x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	avg	
-0.44816 	 -0.84319 	-0.44816 	 -0.84329 	-0.44816 	 -0.84348 	-0.44816 	 -0.84322 	-0.44816 	 -0.84310 	-0.44816 	 -0.84283 	-0.44816 	 -0.84301 	-0.44816 	 -0.84327 	-0.44816 	 -0.84317 	 
-0.44632 	 -0.84298 	-0.44632 	 -0.84298 	-0.44632 	 -0.84322 	-0.44632 	 -0.84302 	-0.44632 	 -0.84288 	-0.44632 	 -0.84265 	-0.44632 	 -0.84281 	-0.44632 	 -0.84306 	-0.44632 	 -0.84295 	 
-0.44444 	 -0.84279 	-0.44444 	 -0.84271 	-0.44444 	 -0.84296 	-0.44444 	 -0.84284 	-0.44444 	 -0.84270 	-0.44444 	 -0.84253 	-0.44444 	 -0.84267 	-0.44444 	 -0.84291 	-0.44444 	 -0.84276 	 
-0.44252 	 -0.84262 	-0.44252 	 -0.84254 	-0.44252 	 -0.84279 	-0.44252 	 -0.84269 	-0.44252 	 -0.84256 	-0.44252 	 -0.84244 	-0.44252 	 -0.84257 	-0.44252 	 -0.84279 	-0.44252 	 -0.84262 	 
-0.44056 	 -0.84249 	-0.44056 	 -0.84252 	-0.44056 	 -0.84279 	-0.44056 	 -0.84256 	-0.44056 	 -0.84247 	-0.44056 	 -0.84240 	-0.44056 	 -0.84252 	-0.44056 	 -0.84271 	-0.44056 	 -0.84256 	 
-0.43855 	 -0.84238 	-0.43855 	 -0.84267 	-0.43855 	 -0.84294 	-0.43855 	 -0.84249 	-0.43855 	 -0.84242 	-0.43855 	 -0.84240 	-0.43855 	 -0.84252 	-0.43855 	 -0.84266 	-0.43855 	 -0.84256 	 
-0.43650 	 -0.84232 	-0.43650 	 -0.84290 	-0.43650 	 -0.84313 	-0.43650 	 -0.84252 	-0.43650 	 -0.84242 	-0.43650 	 -0.84244 	-0.43650 	 -0.84258 	-0.43650 	 -0.84265 	-0.43650 	 -0.84262 	 
-0.43441 	 -0.84232 	-0.43441 	 -0.84312 	-0.43441 	 -0.84328 	-0.43441 	 -0.84269 	-0.43441 	 -0.84246 	-0.43441 	 -0.84250 	-0.43441 	 -0.84268 	-0.43441 	 -0.84269 	-0.43441 	 -0.84272 	 
-0.43227 	 -0.84240 	-0.43227 	 -0.84331 	-0.43227 	 -0.84340 	-0.43227 	 -0.84297 	-0.43227 	 -0.84256 	-0.43227 	 -0.84258 	-0.43227 	 -0.84283 	-0.43227 	 -0.84278 	-0.43227 	 -0.84285 	 
-0.43009 	 -0.84257 	-0.43009 	 -0.84346 	-0.43009 	 -0.84350 	-0.43009 	 -0.84332 	-0.43009 	 -0.84272 	-0.43009 	 -0.84267 	-0.43009 	 -0.84299 	-0.43009 	 -0.84291 	-0.43009 	 -0.84302 	 
-0.42786 	 -0.84281 	-0.42786 	 -0.84358 	-0.42786 	 -0.84360 	-0.42786 	 -0.84366 	-0.42786 	 -0.84294 	-0.42786 	 -0.84275 	-0.42786 	 -0.84316 	-0.42786 	 -0.84309 	-0.42786 	 -0.84320 	 
-0.42559 	 -0.84310 	-0.42559 	 -0.84372 	-0.42559 	 -0.84373 	-0.42559 	 -0.84393 	-0.42559 	 -0.84317 	-0.42559 	 -0.84285 	-0.42559 	 -0.84334 	-0.42559 	 -0.84330 	-0.42559 	 -0.84339 	 
-0.42328 	 -0.84340 	-0.42328 	 -0.84387 	-0.42328 	 -0.84393 	-0.42328 	 -0.84413 	-0.42328 	 -0.84338 	-0.42328 	 -0.84296 	-0.42328 	 -0.84351 	-0.42328 	 -0.84352 	-0.42328 	 -0.84359 	 
-0.42091 	 -0.84367 	-0.42091 	 -0.84404 	-0.42091 	 -0.84422 	-0.42091 	 -0.84428 	-0.42091 	 -0.84357 	-0.42091 	 -0.84309 	-0.42091 	 -0.84367 	-0.42091 	 -0.84374 	-0.42091 	 -0.84379 	 
-0.41851 	 -0.84391 	-0.41851 	 -0.84424 	-0.41851 	 -0.84456 	-0.41851 	 -0.84441 	-0.41851 	 -0.84376 	-0.41851 	 -0.84326 	-0.41851 	 -0.84382 	-0.41851 	 -0.84396 	-0.41851 	 -0.84399 	 
-0.41606 	 -0.84413 	-0.41606 	 -0.84445 	-0.41606 	 -0.84488 	-0.41606 	 -0.84454 	-0.41606 	 -0.84395 	-0.41606 	 -0.84347 	-0.41606 	 -0.84396 	-0.41606 	 -0.84417 	-0.41606 	 -0.84419 	 
-0.41356 	 -0.84434 	-0.41356 	 -0.84466 	-0.41356 	 -0.84514 	-0.41356 	 -0.84467 	-0.41356 	 -0.84415 	-0.41356 	 -0.84373 	-0.41356 	 -0.84408 	-0.41356 	 -0.84440 	-0.41356 	 -0.84440 	 
-0.41102 	 -0.84453 	-0.41102 	 -0.84487 	-0.41102 	 -0.84535 	-0.41102 	 -0.84481 	-0.41102 	 -0.84437 	-0.41102 	 -0.84402 	-0.41102 	 -0.84420 	-0.41102 	 -0.84466 	-0.41102 	 -0.84460 	 
-0.40842 	 -0.84471 	-0.40842 	 -0.84506 	-0.40842 	 -0.84554 	-0.40842 	 -0.84493 	-0.40842 	 -0.84459 	-0.40842 	 -0.84430 	-0.40842 	 -0.84434 	-0.40842 	 -0.84497 	-0.40842 	 -0.84480 	 
-0.40579 	 -0.84490 	-0.40579 	 -0.84523 	-0.40579 	 -0.84571 	-0.40579 	 -0.84504 	-0.40579 	 -0.84481 	-0.40579 	 -0.84454 	-0.40579 	 -0.84454 	-0.40579 	 -0.84534 	-0.40579 	 -0.84501 	 
-0.40311 	 -0.84511 	-0.40311 	 -0.84539 	-0.40311 	 -0.84587 	-0.40311 	 -0.84516 	-0.40311 	 -0.84503 	-0.40311 	 -0.84475 	-0.40311 	 -0.84481 	-0.40311 	 -0.84572 	-0.40311 	 -0.84523 	 
-0.40038 	 -0.84534 	-0.40038 	 -0.84556 	-0.40038 	 -0.84601 	-0.40038 	 -0.84531 	-0.40038 	 -0.84527 	-0.40038 	 -0.84495 	-0.40038 	 -0.84514 	-0.40038 	 -0.84608 	-0.40038 	 -0.84546 	 
-0.39760 	 -0.84560 	-0.39760 	 -0.84573 	-0.39760 	 -0.84617 	-0.39760 	 -0.84549 	-0.39760 	 -0.84556 	-0.39760 	 -0.84521 	-0.39760 	 -0.84549 	-0.39760 	 -0.84639 	-0.39760 	 -0.84570 	 
-0.39478 	 -0.84584 	-0.39478 	 -0.84589 	-0.39478 	 -0.84636 	-0.39478 	 -0.84570 	-0.39478 	 -0.84592 	-0.39478 	 -0.84559 	-0.39478 	 -0.84584 	-0.39478 	 -0.84665 	-0.39478 	 -0.84598 	 
-0.39191 	 -0.84606 	-0.39191 	 -0.84609 	-0.39191 	 -0.84658 	-0.39191 	 -0.84592 	-0.39191 	 -0.84634 	-0.39191 	 -0.84607 	-0.39191 	 -0.84621 	-0.39191 	 -0.84688 	-0.39191 	 -0.84627 	 
-0.38900 	 -0.84625 	-0.38900 	 -0.84641 	-0.38900 	 -0.84686 	-0.38900 	 -0.84614 	-0.38900 	 -0.84679 	-0.38900 	 -0.84653 	-0.38900 	 -0.84661 	-0.38900 	 -0.84710 	-0.38900 	 -0.84659 	 
-0.38604 	 -0.84643 	-0.38604 	 -0.84680 	-0.38604 	 -0.84724 	-0.38604 	 -0.84639 	-0.38604 	 -0.84724 	-0.38604 	 -0.84692 	-0.38604 	 -0.84703 	-0.38604 	 -0.84730 	-0.38604 	 -0.84692 	 
-0.38303 	 -0.84663 	-0.38303 	 -0.84715 	-0.38303 	 -0.84773 	-0.38303 	 -0.84674 	-0.38303 	 -0.84773 	-0.38303 	 -0.84730 	-0.38303 	 -0.84746 	-0.38303 	 -0.84750 	-0.38303 	 -0.84728 	 
-0.37997 	 -0.84690 	-0.37997 	 -0.84742 	-0.37997 	 -0.84832 	-0.37997 	 -0.84729 	-0.37997 	 -0.84824 	-0.37997 	 -0.84773 	-0.37997 	 -0.84791 	-0.37997 	 -0.84776 	-0.37997 	 -0.84770 	 
-0.37687 	 -0.84728 	-0.37687 	 -0.84768 	-0.37687 	 -0.84889 	-0.37687 	 -0.84803 	-0.37687 	 -0.84875 	-0.37687 	 -0.84825 	-0.37687 	 -0.84844 	-0.37687 	 -0.84810 	-0.37687 	 -0.84818 	 
-0.37372 	 -0.84774 	-0.37372 	 -0.84795 	-0.37372 	 -0.84936 	-0.37372 	 -0.84884 	-0.37372 	 -0.84925 	-0.37372 	 -0.84879 	-0.37372 	 -0.84899 	-0.37372 	 -0.84849 	-0.37372 	 -0.84868 	 
-0.37053 	 -0.84820 	-0.37053 	 -0.84826 	-0.37053 	 -0.84976 	-0.37053 	 -0.84957 	-0.37053 	 -0.84976 	-0.37053 	 -0.84935 	-0.37053 	 -0.84944 	-0.37053 	 -0.84890 	-0.37053 	 -0.84916 	 
-0.36729 	 -0.84864 	-0.36729 	 -0.84870 	-0.36729 	 -0.85015 	-0.36729 	 -0.85020 	-0.36729 	 -0.85029 	-0.36729 	 -0.84989 	-0.36729 	 -0.84981 	-0.36729 	 -0.84937 	-0.36729 	 -0.84963 	 
-0.36401 	 -0.84907 	-0.36401 	 -0.84928 	-0.36401 	 -0.85064 	-0.36401 	 -0.85082 	-0.36401 	 -0.85089 	-0.36401 	 -0.85037 	-0.36401 	 -0.85015 	-0.36401 	 -0.84992 	-0.36401 	 -0.85014 	 
-0.36067 	 -0.84951 	-0.36067 	 -0.84996 	-0.36067 	 -0.85131 	-0.36067 	 -0.85149 	-0.36067 	 -0.85163 	-0.36067 	 -0.85081 	-0.36067 	 -0.85052 	-0.36067 	 -0.85052 	-0.36067 	 -0.85072 	 
-0.35730 	 -0.84992 	-0.35730 	 -0.85066 	-0.35730 	 -0.85201 	-0.35730 	 -0.85221 	-0.35730 	 -0.85248 	-0.35730 	 -0.85133 	-0.35730 	 -0.85115 	-0.35730 	 -0.85111 	-0.35730 	 -0.85136 	 
-0.35387 	 -0.85035 	-0.35387 	 -0.85137 	-0.35387 	 -0.85251 	-0.35387 	 -0.85298 	-0.35387 	 -0.85326 	-0.35387 	 -0.85202 	-0.35387 	 -0.85206 	-0.35387 	 -0.85164 	-0.35387 	 -0.85203 	 
-0.35041 	 -0.85091 	-0.35041 	 -0.85205 	-0.35041 	 -0.85288 	-0.35041 	 -0.85379 	-0.35041 	 -0.85386 	-0.35041 	 -0.85277 	-0.35041 	 -0.85297 	-0.35041 	 -0.85216 	-0.35041 	 -0.85267 	 
-0.34689 	 -0.85164 	-0.34689 	 -0.85264 	-0.34689 	 -0.85328 	-0.34689 	 -0.85463 	-0.34689 	 -0.85435 	-0.34689 	 -0.85351 	-0.34689 	 -0.85381 	-0.34689 	 -0.85269 	-0.34689 	 -0.85332 	 
-0.34333 	 -0.85246 	-0.34333 	 -0.85314 	-0.34333 	 -0.85381 	-0.34333 	 -0.85539 	-0.34333 	 -0.85487 	-0.34333 	 -0.85429 	-0.34333 	 -0.85461 	-0.34333 	 -0.85330 	-0.34333 	 -0.85398 	 
-0.33973 	 -0.85329 	-0.33973 	 -0.85363 	-0.33973 	 -0.85442 	-0.33973 	 -0.85585 	-0.33973 	 -0.85548 	-0.33973 	 -0.85513 	-0.33973 	 -0.85533 	-0.33973 	 -0.85408 	-0.33973 	 -0.85465 	 
-0.33608 	 -0.85404 	-0.33608 	 -0.85416 	-0.33608 	 -0.85498 	-0.33608 	 -0.85608 	-0.33608 	 -0.85623 	-0.33608 	 -0.85592 	-0.33608 	 -0.85592 	-0.33608 	 -0.85506 	-0.33608 	 -0.85530 	 
-0.33239 	 -0.85473 	-0.33239 	 -0.85475 	-0.33239 	 -0.85547 	-0.33239 	 -0.85635 	-0.33239 	 -0.85699 	-0.33239 	 -0.85659 	-0.33239 	 -0.85649 	-0.33239 	 -0.85610 	-0.33239 	 -0.85593 	 
-0.32866 	 -0.85545 	-0.32866 	 -0.85545 	-0.32866 	 -0.85602 	-0.32866 	 -0.85669 	-0.32866 	 -0.85760 	-0.32866 	 -0.85718 	-0.32866 	 -0.85714 	-0.32866 	 -0.85696 	-0.32866 	 -0.85656 	 
-0.32488 	 -0.85634 	-0.32488 	 -0.85631 	-0.32488 	 -0.85672 	-0.32488 	 -0.85716 	-0.32488 	 -0.85816 	-0.32488 	 -0.85773 	-0.32488 	 -0.85784 	-0.32488 	 -0.85765 	-0.32488 	 -0.85724 	 
