Density	Momentum:0	Momentum:1	Momentum:2	StagnationEnergy	Function0	Function1	Function2	Function3	Function4	Function5	Points:0	Points:1	Points:2
0.954316	-0.0557291	0.0116465	0.00430023	0.683247	0.000878057	0.00055731	0.000476986	-0.000149749	-3.53604E-05	-1.87279E-06	0	0.15	0.0506
0.954352	-0.055465	0.0113354	0.0037258	0.683244	0.000909746	0.000594899	0.000467143	-0.000175435	-4.17587E-05	1.20373E-05	0	0.15	0.0528
0.954349	-0.0548785	0.0107498	0.00299683	0.683227	0.000958526	0.000624537	0.00047465	-0.000224269	-6.20802E-05	3.10011E-05	0	0.15	0.055
0.954319	-0.0545199	0.0100019	0.00226415	0.683202	0.000995104	0.000649385	0.000500647	-0.000287044	-9.56782E-05	5.92266E-05	0	0.15	0.0572
0.954284	-0.0545535	0.00934325	0.00173655	0.683176	0.00100164	0.000676403	0.0005318	-0.000338799	-0.000123409	9.58922E-05	0	0.15	0.0594
0.954263	-0.0547656	0.00900264	0.00153626	0.683155	0.000982593	0.000696672	0.000548199	-0.000361794	-0.000130147	0.000124572	0	0.15	0.0616
0.954257	-0.0551751	0.00909985	0.00176373	0.68314	0.000944033	0.000688195	0.000545218	-0.000339926	-0.000108653	0.000122709	0	0.15	0.0638
0.954263	-0.0561256	0.00953568	0.00251216	0.683134	0.000897719	0.000657616	0.000541336	-0.000272275	-5.76485E-05	8.22288E-05	0	0.15	0.066
0.954277	-0.0573794	0.0101292	0.00342759	0.683134	0.000865323	0.000627234	0.000550383	-0.000216188	-8.60369E-06	3.78814E-05	0	0.15	0.0682
0.95429	-0.0587815	0.0107537	0.00431625	0.683141	0.000835036	0.000619891	0.000571945	-0.000194591	2.40602E-05	7.2753E-06	0	0.15	0.0704
0.954292	-0.0602669	0.0112281	0.00502631	0.683153	0.000799169	0.000638802	0.000598168	-0.000189722	4.14631E-05	-5.57041E-06	0	0.15	0.0726
0.954286	-0.061727	0.0113786	0.00547476	0.683164	0.0007683	0.000684903	0.000624967	-0.000194378	5.01124E-05	-6.61366E-06	0	0.15	0.0748
0.954292	-0.0628999	0.0111885	0.00567368	0.683171	0.000752179	0.000761585	0.000654804	-0.000218406	5.11146E-05	3.3384E-06	0	0.15	0.077
0.954319	-0.0635563	0.0108993	0.00571534	0.683172	0.000741303	0.000853617	0.000685621	-0.000261695	4.22055E-05	2.52224E-05	0	0.15	0.0792
0.954341	-0.0637894	0.0108115	0.00565874	0.683168	0.000728258	0.00089449	0.000710714	-0.000306164	2.53839E-05	4.93485E-05	0	0.15	0.0814
0.954343	-0.0640443	0.0109538	0.00548304	0.683161	0.00071738	0.000840686	0.000730129	-0.000312806	1.09956E-05	7.08875E-05	0	0.15	0.0836
0.954339	-0.0647163	0.0110654	0.0051895	0.683154	0.000719911	0.000768707	0.000747965	-0.000283492	5.3485E-06	9.93711E-05	0	0.15	0.0858
0.95434	-0.065753	0.0109559	0.00488087	0.683149	0.000749906	0.000737505	0.000764441	-0.000263627	8.89658E-06	0.000134445	0	0.15	0.088
0.954335	-0.0667766	0.0107652	0.00470232	0.683145	0.000800893	0.000718911	0.000775764	-0.000272178	0.000017107	0.000161087	0	0.15	0.0902
0.954324	-0.0674822	0.0107895	0.00472049	0.683142	0.000845295	0.000685117	0.000776699	-0.000296398	2.10178E-05	0.000167466	0	0.15	0.0924
0.95432	-0.0678242	0.0111685	0.00486839	0.683145	0.000867845	0.000636624	0.000761323	-0.000314977	1.69232E-05	0.00015263	0	0.15	0.0946
0.954341	-0.0679871	0.0118263	0.00500638	0.683158	0.000875635	0.000578949	0.000727482	-0.000314126	9.8007E-06	0.000125081	0	0.15	0.0968
0.954395	-0.068205	0.0125656	0.00504922	0.68318	0.000878977	0.000523935	0.000679957	-0.000296504	1.06147E-05	9.31765E-05	0	0.15	0.099
0.954469	-0.0684851	0.0130787	0.00504122	0.683209	0.000885605	0.000476119	0.000628478	-0.000269871	2.74117E-05	5.80758E-05	0	0.15	0.1012
0.954544	-0.0684792	0.0130253	0.00499933	0.683244	0.000901552	0.000440115	0.000594726	-0.000232802	0.0000498	2.66548E-05	0	0.15	0.1034
0.954602	-0.068092	0.0124116	0.00511574	0.683279	0.000930493	0.000417249	0.000572818	-0.000197597	6.68419E-05	1.38819E-05	0	0.15	0.1056
0.954654	-0.0675642	0.0117279	0.00540668	0.683312	0.000961502	0.000419686	0.000552771	-0.000183237	8.62753E-05	1.08289E-05	0	0.15	0.1078
0.954704	-0.0671301	0.0113624	0.00572704	0.683339	0.00098532	0.000431867	0.0005368	-0.00018196	0.000106893	6.04876E-06	0	0.15	0.11
