t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5
  1.5017210E+02         9.3528634E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6806334E-01         9.6801651E-01         1.4641209E-01        -9.0367710E-03        -3.9173208E-02         6.9659036E-01         9.0092742E-01         7.1158834E-02         6.7136161E-02        -1.3246647E-01         6.4031559E-01         9.6062660E-01         1.7424509E-01         3.2435339E-02         3.6039621E-02         6.9210196E-01         9.4251639E-01         2.7409983E-01         2.0059395E-01         1.6093989E-01         6.6993397E-01
  1.5017980E+02         9.3521607E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6801357E-01         9.7193164E-01         1.7830856E-01        -2.0576390E-02        -4.6017371E-02         6.9653219E-01         9.0609783E-01         6.4169385E-02         9.9330656E-02        -1.4779063E-01         6.4250469E-01         9.6001083E-01         1.7568804E-01         3.4559071E-02         4.2366769E-02         6.9110304E-01         9.4381440E-01         2.5243777E-01         2.0696926E-01         1.5666176E-01         6.7173982E-01
  1.5018770E+02         9.3511438E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6794133E-01         9.7573626E-01         2.0944171E-01        -2.6316885E-02        -5.0418369E-02         6.9616818E-01         9.1271299E-01         6.5319471E-02         1.3603109E-01        -1.4573528E-01         6.4629680E-01         9.5964050E-01         1.7461693E-01         4.2260118E-02         4.6292271E-02         6.8975401E-01         9.4453102E-01         2.2655794E-01         2.0874859E-01         1.5074274E-01         6.7294365E-01
  1.5019540E+02         9.3499088E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6785324E-01         9.7862685E-01         2.3686995E-01        -2.5006836E-02        -5.1708754E-02         6.9544166E-01         9.1909540E-01         6.7252100E-02         1.6062543E-01        -1.3035078E-01         6.5081650E-01         9.5956159E-01         1.7237337E-01         5.6262176E-02         4.5492735E-02         6.8831712E-01         9.4450301E-01         2.0357631E-01         2.0546138E-01         1.4061202E-01         6.7327321E-01
  1.5020330E+02         9.3482459E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6773468E-01         9.8024440E-01         2.6054156E-01        -1.7392339E-02        -4.9885381E-02         6.9426244E-01         9.2480201E-01         6.7447878E-02         1.6760850E-01        -1.0809713E-01         6.5554219E-01         9.5960850E-01         1.7010960E-01         7.7113532E-02         3.9334610E-02         6.8697554E-01         9.4373798E-01         1.8796058E-01         2.0028287E-01         1.2427363E-01         6.7289698E-01
  1.5021110E+02         9.3462014E-01         0.0000000E+00        -1.3877788E-17         0.0000000E+00         6.6758895E-01         9.8031086E-01         2.7875358E-01        -6.2487694E-03        -4.5160472E-02         6.9269633E-01         9.2930722E-01         6.7158468E-02         1.5924685E-01        -8.5667573E-02         6.5955454E-01         9.5936471E-01         1.6892916E-01         1.0233432E-01         2.9284550E-02         6.8589896E-01         9.4255227E-01         1.8083237E-01         2.0001857E-01         1.0330804E-01         6.7246354E-01
  1.5021890E+02         9.3435127E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6739726E-01         9.7881901E-01         2.9250506E-01         5.5119144E-03        -3.7695102E-02         6.9068432E-01         9.3238652E-01         6.6419460E-02         1.4304407E-01        -6.6645384E-02         6.6222709E-01         9.5831931E-01         1.6960132E-01         1.2980770E-01         1.7366886E-02         6.8501383E-01         9.4148010E-01         1.7691602E-01         2.1069218E-01         7.9688914E-02         6.7268634E-01
  1.5022670E+02         9.3404287E-01        -5.5511151E-17         0.0000000E+00         0.0000000E+00         6.6717690E-01         9.7611070E-01         3.0228716E-01         1.4361023E-02        -2.8493255E-02         6.8839461E-01         9.3406612E-01         6.6098556E-02         1.2555256E-01        -5.0676912E-02         6.6376871E-01         9.5633167E-01         1.7259385E-01         1.5429765E-01         6.4647659E-03         6.8433964E-01         9.4109368E-01         1.6999584E-01         2.3149227E-01         5.8491554E-02         6.7363161E-01
  1.5023450E+02         9.3371385E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6694146E-01         9.7254914E-01         3.1037721E-01         1.8931191E-02        -1.8137800E-02         6.8580592E-01         9.3450397E-01         6.7437530E-02         1.0729845E-01        -3.1146785E-02         6.6435444E-01         9.5372695E-01         1.7806964E-01         1.7305352E-01        -2.6365304E-03         6.8394607E-01         9.4144034E-01         1.5644068E-01         2.5503379E-01         4.3028403E-02         6.7469472E-01
  1.5024240E+02         9.3340516E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6672021E-01         9.6870339E-01         3.1857151E-01         1.8981908E-02        -7.7261277E-03         6.8298864E-01         9.3370652E-01         6.6312104E-02         8.9695565E-02        -9.6667008E-03         6.6353554E-01         9.5147038E-01         1.8542273E-01         1.8309768E-01        -9.7772880E-03         6.8397939E-01         9.4237995E-01         1.3840213E-01         2.7034962E-01         3.6077578E-02         6.7543560E-01
