   n        time         Cl         Cd
  938560   151.09217   0.7753173   0.3547322
  938580   151.09536   0.7752145   0.3547052
  938600   151.09854   0.7750882   0.3546699
  938620   151.10172   0.7749675   0.3546366
  938640   151.10491   0.7748593   0.3546086
  938660   151.10809   0.7747760   0.3545897
  938680   151.11128   0.7747415   0.3545876
  938700   151.11446   0.7747423   0.3546014
  938720   151.11764   0.7747807   0.3546304
  938740   151.12083   0.7748737   0.3546757
  938760   151.12401   0.7749723   0.3547242
  938780   151.12719   0.7750161   0.3547612
  938800   151.13038   0.7750051   0.3547869
  938820   151.13356   0.7749668   0.3548065
  938840   151.13674   0.7749036   0.3548174
  938860   151.13993   0.7747982   0.3548149
  938880   151.14311   0.7746292   0.3547958
  938900   151.14629   0.7744154   0.3547660
  938920   151.14948   0.7742120   0.3547380
  938940   151.15266   0.7740316   0.3547158
  938960   151.15584   0.7738708   0.3547013
  938980   151.15902   0.7737252   0.3546957
  939000   151.16221   0.7735712   0.3546924
  939020   151.16539   0.7734239   0.3546918
  939040   151.16857   0.7733010   0.3546962
  939060   151.17175   0.7731889   0.3547014
  939080   151.17494   0.7730657   0.3547018
  939100   151.17812   0.7729047   0.3546892
  939120   151.18130   0.7727096   0.3546633
  939140   151.18448   0.7725165   0.3546342
  939160   151.18766   0.7723221   0.3546029
  939180   151.19084   0.7721176   0.3545681
  939200   151.19403   0.7719371   0.3545380
  939220   151.19721   0.7717745   0.3545117
  939240   151.20039   0.7715821   0.3544781
  939260   151.20357   0.7713652   0.3544376
  939280   151.20675   0.7711430   0.3543948
  939300   151.20993   0.7709351   0.3543561
  939320   151.21311   0.7707548   0.3543272
  939340   151.21629   0.7705591   0.3542970
  939360   151.21947   0.7703446   0.3542648
  939380   151.22265   0.7701466   0.3542400
  939400   151.22584   0.7699348   0.3542137
  939420   151.22902   0.7696954   0.3541795
  939440   151.23220   0.7694753   0.3541478
  939460   151.23538   0.7693153   0.3541288
  939480   151.23856   0.7691959   0.3541178
  939500   151.24174   0.7690534   0.3540990
  939520   151.24492   0.7688830   0.3540709
  939540   151.24810   0.7687227   0.3540429
  939560   151.25128   0.7685761   0.3540161
  939580   151.25446   0.7684242   0.3539852
  939600   151.25764   0.7682706   0.3539510
  939620   151.26082   0.7681414   0.3539205
  939640   151.26400   0.7680117   0.3538868
  939660   151.26718   0.7678533   0.3538434
  939680   151.27036   0.7676856   0.3537962
  939700   151.27354   0.7674913   0.3537430
  939720   151.27673   0.7672723   0.3536840
  939740   151.27991   0.7670553   0.3536260
  939760   151.28309   0.7668181   0.3535656
  939780   151.28627   0.7665387   0.3534968
  939800   151.28945   0.7662394   0.3534229
  939820   151.29263   0.7659246   0.3533440
  939840   151.29581   0.7655849   0.3532571
  939860   151.29899   0.7652398   0.3531688
  939880   151.30217   0.7649077   0.3530877
  939900   151.30535   0.7645820   0.3530131
  939920   151.30853   0.7642528   0.3529397
  939940   151.31171   0.7639486   0.3528709
  939960   151.31489   0.7636795   0.3528094
  939980   151.31807   0.7634342   0.3527557
  940000   151.32126   0.7632009   0.3527070
  940020   151.32444   0.7629750   0.3526579
  940040   151.32762   0.7627613   0.3526078
  940060   151.33080   0.7625554   0.3525588
  940080   151.33398   0.7623424   0.3525097
  940100   151.33716   0.7621334   0.3524628
  940120   151.34034   0.7619366   0.3524197
  940140   151.34352   0.7617385   0.3523756
  940160   151.34670   0.7615305   0.3523278
  940180   151.34988   0.7613293   0.3522806
  940200   151.35306   0.7611511   0.3522380
  940220   151.35624   0.7610052   0.3522029
  940240   151.35942   0.7608923   0.3521765
  940260   151.36259   0.7607781   0.3521500
  940280   151.36577   0.7606586   0.3521213
  940300   151.36895   0.7605396   0.3520921
  940320   151.37213   0.7604222   0.3520640
  940340   151.37531   0.7603203   0.3520430
  940360   151.37849   0.7602425   0.3520303
  940380   151.38167   0.7601794   0.3520204
  940400   151.38485   0.7600793   0.3520011
  940420   151.38802   0.7598999   0.3519645
  940440   151.39120   0.7596864   0.3519211
  940460   151.39438   0.7594901   0.3518828
  940480   151.39756   0.7593151   0.3518525
  940500   151.40074   0.7591620   0.3518311
  940520   151.40392   0.7590207   0.3518143
  940540   151.40710   0.7588577   0.3517969
  940560   151.41027   0.7586834   0.3517836
  940580   151.41345   0.7585010   0.3517717
  940600   151.41663   0.7582778   0.3517506
  940620   151.41981   0.7580337   0.3517253
  940640   151.42299   0.7578384   0.3517157
  940660   151.42616   0.7577281   0.3517308
  940680   151.42934   0.7576376   0.3517510
  940700   151.43252   0.7574943   0.3517542
  940720   151.43570   0.7573187   0.3517473
  940740   151.43888   0.7571584   0.3517461
  940760   151.44206   0.7569952   0.3517435
  940780   151.44523   0.7567954   0.3517269
  940800   151.44841   0.7565854   0.3517037
  940820   151.45159   0.7564223   0.3516923
  940840   151.45477   0.7562977   0.3516906
  940860   151.45795   0.7561440   0.3516780
  940880   151.46112   0.7559039   0.3516361
  940900   151.46430   0.7556032   0.3515717
  940920   151.46748   0.7553098   0.3515053
  940940   151.47066   0.7550089   0.3514337
  940960   151.47383   0.7546647   0.3513444
  940980   151.47701   0.7543155   0.3512457
  941000   151.48019   0.7540116   0.3511567
  941020   151.48337   0.7537480   0.3510841
  941040   151.48655   0.7534864   0.3510168
  941060   151.48972   0.7532368   0.3509502
  941080   151.49290   0.7530456   0.3508930
  941100   151.49608   0.7528816   0.3508397
  941120   151.49925   0.7527028   0.3507805
  941140   151.50243   0.7525437   0.3507227
  941160   151.50561   0.7524528   0.3506787
  941180   151.50879   0.7524131   0.3506430
  941200   151.51196   0.7523604   0.3506004
  941220   151.51514   0.7522751   0.3505510
  941240   151.51832   0.7521906   0.3505076
  941260   151.52150   0.7521265   0.3504758
  941280   151.52467   0.7520576   0.3504467
  941300   151.52785   0.7519382   0.3504073
  941320   151.53103   0.7517386   0.3503502
  941340   151.53420   0.7514753   0.3502802
  941360   151.53738   0.7512117   0.3502152
  941380   151.54056   0.7509761   0.3501608
  941400   151.54373   0.7507586   0.3501137
