x0	i=0	x1	i=1	x2	i=2	
8.008008e-02 	 8.002501e-02 	8.008008e-02 	 8.008018e-02 	8.008008e-02 	 8.007635e-02 	 
8.108108e-02 	 8.102532e-02 	8.108108e-02 	 8.108119e-02 	8.108108e-02 	 8.107731e-02 	 
8.208208e-02 	 8.202562e-02 	8.208208e-02 	 8.208220e-02 	8.208208e-02 	 8.207827e-02 	 
8.308308e-02 	 8.302591e-02 	8.308308e-02 	 8.308321e-02 	8.308308e-02 	 8.307923e-02 	 
8.408408e-02 	 8.402621e-02 	8.408408e-02 	 8.408422e-02 	8.408408e-02 	 8.408019e-02 	 
8.508509e-02 	 8.502650e-02 	8.508509e-02 	 8.508522e-02 	8.508509e-02 	 8.508115e-02 	 
8.608609e-02 	 8.602679e-02 	8.608609e-02 	 8.608623e-02 	8.608609e-02 	 8.608211e-02 	 
8.708709e-02 	 8.702708e-02 	8.708709e-02 	 8.708724e-02 	8.708709e-02 	 8.708307e-02 	 
8.808809e-02 	 8.802736e-02 	8.808809e-02 	 8.808825e-02 	8.808809e-02 	 8.808403e-02 	 
8.908909e-02 	 8.902764e-02 	8.908909e-02 	 8.908926e-02 	8.908909e-02 	 8.908498e-02 	 
9.009009e-02 	 9.002792e-02 	9.009009e-02 	 9.009027e-02 	9.009009e-02 	 9.008594e-02 	 
9.109109e-02 	 9.102819e-02 	9.109109e-02 	 9.109128e-02 	9.109109e-02 	 9.108690e-02 	 
9.209209e-02 	 9.202846e-02 	9.209209e-02 	 9.209230e-02 	9.209209e-02 	 9.208786e-02 	 
9.309309e-02 	 9.302873e-02 	9.309309e-02 	 9.309331e-02 	9.309309e-02 	 9.308882e-02 	 
9.409409e-02 	 9.402899e-02 	9.409409e-02 	 9.409432e-02 	9.409409e-02 	 9.408978e-02 	 
9.509510e-02 	 9.502925e-02 	9.509510e-02 	 9.509533e-02 	9.509510e-02 	 9.509074e-02 	 
9.609610e-02 	 9.602950e-02 	9.609610e-02 	 9.609634e-02 	9.609610e-02 	 9.609170e-02 	 
9.709710e-02 	 9.702975e-02 	9.709710e-02 	 9.709736e-02 	9.709710e-02 	 9.709266e-02 	 
9.809810e-02 	 9.803000e-02 	9.809810e-02 	 9.809837e-02 	9.809810e-02 	 9.809361e-02 	 
9.909910e-02 	 9.903024e-02 	9.909910e-02 	 9.909939e-02 	9.909910e-02 	 9.909457e-02 	 
1.001001e-01 	 1.000305e-01 	1.001001e-01 	 1.001004e-01 	1.001001e-01 	 1.000955e-01 	 
1.011011e-01 	 1.010307e-01 	1.011011e-01 	 1.011014e-01 	1.011011e-01 	 1.010965e-01 	 
1.021021e-01 	 1.020309e-01 	1.021021e-01 	 1.021024e-01 	1.021021e-01 	 1.020974e-01 	 
