x0	G1	x1	G2	x2	G3	x3	G4	
-3.013040e-01 	 -8.238421e-01 	-3.081640e-02 	 -6.330930e-01 	-2.017230e-01 	 -8.177974e-01 	-2.017230e-01 	 -7.934949e-01 	 
-2.972290e-01 	 -8.220738e-01 	-2.163090e-02 	 -6.216952e-01 	-1.954330e-01 	 -8.150534e-01 	-1.954330e-01 	 -7.917703e-01 	 
-2.931130e-01 	 -8.205543e-01 	-1.243390e-02 	 -6.110957e-01 	-1.890960e-01 	 -8.121973e-01 	-1.890960e-01 	 -7.895255e-01 	 
-2.889570e-01 	 -8.193427e-01 	-3.229290e-03 	 -6.007127e-01 	-1.827130e-01 	 -8.093269e-01 	-1.827130e-01 	 -7.860576e-01 	 
-2.847610e-01 	 -8.185936e-01 	5.979290e-03 	 -5.903714e-01 	-1.762850e-01 	 -8.062126e-01 	-1.762850e-01 	 -7.816702e-01 	 
-2.805260e-01 	 -8.181375e-01 	1.518810e-02 	 -5.805760e-01 	-1.698150e-01 	 -8.024589e-01 	-1.698150e-01 	 -7.769485e-01 	 
-2.762510e-01 	 -8.177898e-01 	2.439340e-02 	 -5.710811e-01 	-1.633020e-01 	 -7.979449e-01 	-1.633020e-01 	 -7.723581e-01 	 
-2.719380e-01 	 -8.175078e-01 	3.359140e-02 	 -5.622507e-01 	-1.567500e-01 	 -7.926381e-01 	-1.567500e-01 	 -7.683310e-01 	 
-2.675870e-01 	 -8.172115e-01 	4.277850e-02 	 -5.547434e-01 	-1.501600e-01 	 -7.863047e-01 	-1.501600e-01 	 -7.642960e-01 	 
-2.631980e-01 	 -8.167085e-01 	5.195080e-02 	 -5.479910e-01 	-1.435320e-01 	 -7.788581e-01 	-1.435320e-01 	 -7.594958e-01 	 
-2.587730e-01 	 -8.158225e-01 	6.110470e-02 	 -5.420517e-01 	-1.368680e-01 	 -7.707479e-01 	-1.368680e-01 	 -7.543674e-01 	 
-2.543100e-01 	 -8.148215e-01 	7.023650e-02 	 -5.376498e-01 	-1.301700e-01 	 -7.623067e-01 	-1.301700e-01 	 -7.492859e-01 	 
-2.498110e-01 	 -8.139221e-01 	7.934240e-02 	 -5.344708e-01 	-1.234400e-01 	 -7.530420e-01 	-1.234400e-01 	 -7.439167e-01 	 
-2.452770e-01 	 -8.129350e-01 	8.841890e-02 	 -5.318690e-01 	-1.166790e-01 	 -7.428504e-01 	-1.166790e-01 	 -7.379082e-01 	 
-2.407080e-01 	 -8.118601e-01 	9.746210e-02 	 -5.295705e-01 	-1.098880e-01 	 -7.323564e-01 	-1.098880e-01 	 -7.314290e-01 	 
-2.361040e-01 	 -8.108788e-01 	1.064690e-01 	 -5.273242e-01 	-1.030700e-01 	 -7.218108e-01 	-1.030700e-01 	 -7.251926e-01 	 
-2.314670e-01 	 -8.098094e-01 	1.154350e-01 	 -5.252120e-01 	-9.622510e-02 	 -7.113935e-01 	-9.622510e-02 	 -7.192408e-01 	 
-2.267960e-01 	 -8.082514e-01 	1.243570e-01 	 -5.238328e-01 	-8.935560e-02 	 -7.011054e-01 	-8.935560e-02 	 -7.128105e-01 	 
-2.220920e-01 	 -8.061406e-01 	1.332310e-01 	 -5.233019e-01 	-8.246300e-02 	 -6.906050e-01 	-8.246300e-02 	 -7.056547e-01 	 
-2.173560e-01 	 -8.037444e-01 	1.420540e-01 	 -5.230743e-01 	-7.554890e-02 	 -6.801393e-01 	-7.554890e-02 	 -6.983430e-01 	 
-2.125890e-01 	 -8.014246e-01 	1.508230e-01 	 -5.229233e-01 	-6.861510e-02 	 -6.699716e-01 	-6.861510e-02 	 -6.913227e-01 	 
-2.077900e-01 	 -7.992653e-01 	1.595340e-01 	 -5.230127e-01 	-6.166300e-02 	 -6.600463e-01 	-6.166300e-02 	 -6.842051e-01 	 
-2.029610e-01 	 -7.970829e-01 	1.681830e-01 	 -5.235516e-01 	-5.469440e-02 	 -6.507795e-01 	-5.469440e-02 	 -6.764467e-01 	 
