x0	g1_up	x1	dns_up	x2	g1_bot	x3	dns_bot	
2.204799e-02 	 -5.930216e-03 	nan          	nan          	2.204799e-02 	 3.811611e-03 	nan          	nan          	 
3.427232e-02 	 -6.091779e-03 	nan          	nan          	3.427232e-02 	 3.698458e-03 	nan          	nan          	 
4.646391e-02 	 -5.766177e-03 	nan          	nan          	4.646391e-02 	 3.588770e-03 	nan          	nan          	 
5.861415e-02 	 -5.144303e-03 	nan          	nan          	5.861415e-02 	 3.482127e-03 	nan          	nan          	 
7.071450e-02 	 -4.257647e-03 	nan          	nan          	7.071450e-02 	 3.378366e-03 	nan          	nan          	 
8.275648e-02 	 -3.091035e-03 	nan          	nan          	8.275648e-02 	 3.277222e-03 	nan          	nan          	 
9.473172e-02 	 -1.756286e-03 	nan          	nan          	9.473172e-02 	 3.178627e-03 	nan          	nan          	 
1.066319e-01 	 -3.837224e-04 	nan          	nan          	1.066319e-01 	 3.082121e-03 	nan          	nan          	 
1.184488e-01 	 9.601093e-04 	nan          	nan          	1.184488e-01 	 2.987634e-03 	nan          	nan          	 
1.301744e-01 	 2.204151e-03 	nan          	nan          	1.301744e-01 	 2.894992e-03 	nan          	nan          	 
1.418007e-01 	 3.262371e-03 	nan          	nan          	1.418007e-01 	 2.803894e-03 	nan          	nan          	 
1.533198e-01 	 4.093430e-03 	nan          	nan          	1.533198e-01 	 2.714282e-03 	nan          	nan          	 
1.647241e-01 	 4.741666e-03 	nan          	nan          	1.647241e-01 	 2.625869e-03 	nan          	nan          	 
1.760059e-01 	 5.281596e-03 	nan          	nan          	1.760059e-01 	 2.538447e-03 	nan          	nan          	 
1.871578e-01 	 5.728397e-03 	nan          	nan          	1.871578e-01 	 2.451906e-03 	nan          	nan          	 
1.981727e-01 	 6.044358e-03 	nan          	nan          	1.981727e-01 	 2.366178e-03 	nan          	nan          	 
2.090436e-01 	 6.224791e-03 	nan          	nan          	2.090436e-01 	 2.281020e-03 	nan          	nan          	 
2.197634e-01 	 6.317707e-03 	nan          	nan          	2.197634e-01 	 2.196435e-03 	nan          	nan          	 
2.303256e-01 	 6.366141e-03 	nan          	nan          	2.303256e-01 	 2.112311e-03 	nan          	nan          	 
2.407237e-01 	 6.381063e-03 	nan          	nan          	2.407237e-01 	 2.028581e-03 	nan          	nan          	 
2.509516e-01 	 6.361005e-03 	nan          	nan          	2.509516e-01 	 1.945216e-03 	nan          	nan          	 
2.610030e-01 	 6.308951e-03 	nan          	nan          	2.610030e-01 	 1.862233e-03 	nan          	nan          	 
2.708724e-01 	 6.237125e-03 	nan          	nan          	2.708724e-01 	 1.779593e-03 	nan          	nan          	 
2.805542e-01 	 6.163609e-03 	nan          	nan          	2.805542e-01 	 1.697485e-03 	nan          	nan          	 
2.900431e-01 	 6.092716e-03 	nan          	nan          	2.900431e-01 	 1.615841e-03 	nan          	nan          	 
2.993341e-01 	 6.013016e-03 	nan          	nan          	2.993341e-01 	 1.534852e-03 	nan          	nan          	 
3.084225e-01 	 5.916864e-03 	nan          	nan          	3.084225e-01 	 1.454637e-03 	nan          	nan          	 
3.173040e-01 	 5.813144e-03 	nan          	nan          	3.173040e-01 	 1.375326e-03 	nan          	nan          	 
3.259743e-01 	 5.714770e-03 	nan          	nan          	3.259743e-01 	 1.297059e-03 	nan          	nan          	 
3.344297e-01 	 5.623607e-03 	nan          	nan          	3.344297e-01 	 1.220070e-03 	nan          	nan          	 
3.426666e-01 	 5.530209e-03 	nan          	nan          	3.426666e-01 	 1.144499e-03 	nan          	nan          	 
3.506819e-01 	 5.425833e-03 	nan          	nan          	3.506819e-01 	 1.070556e-03 	nan          	nan          	 
3.584728e-01 	 5.308794e-03 	nan          	nan          	3.584728e-01 	 9.983924e-04 	nan          	nan          	 
3.660367e-01 	 5.184242e-03 	nan          	nan          	3.660367e-01 	 9.282407e-04 	nan          	nan          	 
3.733716e-01 	 5.059911e-03 	nan          	nan          	3.733716e-01 	 8.602705e-04 	nan          	nan          	 
3.804757e-01 	 4.942731e-03 	nan          	nan          	3.804757e-01 	 7.946258e-04 	nan          	nan          	 
3.873476e-01 	 4.835723e-03 	nan          	nan          	3.873476e-01 	 7.314115e-04 	nan          	nan          	 
3.939863e-01 	 4.738397e-03 	nan          	nan          	3.939863e-01 	 6.708059e-04 	nan          	nan          	 
4.003913e-01 	 4.647382e-03 	nan          	nan          	4.003913e-01 	 6.128925e-04 	nan          	nan          	 
4.065624e-01 	 4.558668e-03 	nan          	nan          	4.065624e-01 	 5.577322e-04 	nan          	nan          	 
4.124997e-01 	 4.469418e-03 	nan          	nan          	4.124997e-01 	 5.053908e-04 	nan          	nan          	 
4.182040e-01 	 4.378756e-03 	nan          	nan          	4.182040e-01 	 4.558822e-04 	nan          	nan          	 
4.236763e-01 	 4.288264e-03 	nan          	nan          	4.236763e-01 	 4.092012e-04 	nan          	nan          	 
4.289183e-01 	 4.200918e-03 	nan          	nan          	4.289183e-01 	 3.653486e-04 	nan          	nan          	 
4.339319e-01 	 4.118167e-03 	nan          	nan          	4.339319e-01 	 3.242572e-04 	nan          	nan          	 
4.387196e-01 	 4.038402e-03 	nan          	nan          	4.387196e-01 	 2.858675e-04 	nan          	nan          	 
4.432844e-01 	 3.958744e-03 	nan          	nan          	4.432844e-01 	 2.501364e-04 	nan          	nan          	 
4.476297e-01 	 3.878761e-03 	nan          	nan          	4.476297e-01 	 2.169334e-04 	nan          	nan          	 
