x0	T4	x1	T5	x2	T6	x3	T8	
-4.311716e-01 	 -1.355376e+00 	-4.311716e-01 	 -1.888391e+00 	-4.311716e-01 	 -1.743208e+00 	-4.311716e-01 	 -5.891862e-01 	 
-4.293035e-01 	 -1.361408e+00 	-4.293035e-01 	 -1.891275e+00 	-4.293035e-01 	 -1.743801e+00 	-4.293035e-01 	 -5.906525e-01 	 
-4.273944e-01 	 -1.368149e+00 	-4.273944e-01 	 -1.894525e+00 	-4.273944e-01 	 -1.744020e+00 	-4.273944e-01 	 -5.920631e-01 	 
-4.254439e-01 	 -1.374848e+00 	-4.254439e-01 	 -1.897586e+00 	-4.254439e-01 	 -1.743331e+00 	-4.254439e-01 	 -5.936248e-01 	 
-4.234516e-01 	 -1.382003e+00 	-4.234516e-01 	 -1.899332e+00 	-4.234516e-01 	 -1.740374e+00 	-4.234516e-01 	 -5.954129e-01 	 
-4.214171e-01 	 -1.389022e+00 	-4.214171e-01 	 -1.899343e+00 	-4.214171e-01 	 -1.735505e+00 	-4.214171e-01 	 -5.970871e-01 	 
-4.193401e-01 	 -1.395232e+00 	-4.193401e-01 	 -1.897748e+00 	-4.193401e-01 	 -1.729322e+00 	-4.193401e-01 	 -5.984991e-01 	 
-4.172201e-01 	 -1.401246e+00 	-4.172201e-01 	 -1.894512e+00 	-4.172201e-01 	 -1.719068e+00 	-4.172201e-01 	 -5.999442e-01 	 
-4.150571e-01 	 -1.407157e+00 	-4.150571e-01 	 -1.887971e+00 	-4.150571e-01 	 -1.703633e+00 	-4.150571e-01 	 -6.015680e-01 	 
-4.128505e-01 	 -1.413370e+00 	-4.128505e-01 	 -1.876507e+00 	-4.128505e-01 	 -1.684261e+00 	-4.128505e-01 	 -6.032913e-01 	 
-4.106001e-01 	 -1.420695e+00 	-4.106001e-01 	 -1.860598e+00 	-4.106001e-01 	 -1.659672e+00 	-4.106001e-01 	 -6.050728e-01 	 
-4.083058e-01 	 -1.427690e+00 	-4.083058e-01 	 -1.840462e+00 	-4.083058e-01 	 -1.629369e+00 	-4.083058e-01 	 -6.068914e-01 	 
-4.059672e-01 	 -1.434461e+00 	-4.059672e-01 	 -1.814655e+00 	-4.059672e-01 	 -1.594524e+00 	-4.059672e-01 	 -6.086862e-01 	 
-4.035842e-01 	 -1.442739e+00 	-4.035842e-01 	 -1.780735e+00 	-4.035842e-01 	 -1.557205e+00 	-4.035842e-01 	 -6.104518e-01 	 
-4.011565e-01 	 -1.450982e+00 	-4.011565e-01 	 -1.741406e+00 	-4.011565e-01 	 -1.517960e+00 	-4.011565e-01 	 -6.122625e-01 	 
-3.986840e-01 	 -1.459097e+00 	-3.986840e-01 	 -1.700080e+00 	-3.986840e-01 	 -1.473575e+00 	-3.986840e-01 	 -6.140479e-01 	 
-3.961666e-01 	 -1.468086e+00 	-3.961666e-01 	 -1.654993e+00 	-3.961666e-01 	 -1.425347e+00 	-3.961666e-01 	 -6.156003e-01 	 
-3.936040e-01 	 -1.475614e+00 	-3.936040e-01 	 -1.609932e+00 	-3.936040e-01 	 -1.375448e+00 	-3.936040e-01 	 -6.169288e-01 	 
-3.909962e-01 	 -1.482386e+00 	-3.909962e-01 	 -1.569781e+00 	-3.909962e-01 	 -1.322333e+00 	-3.909962e-01 	 -6.181554e-01 	 
-3.883431e-01 	 -1.491104e+00 	-3.883431e-01 	 -1.531281e+00 	-3.883431e-01 	 -1.268963e+00 	-3.883431e-01 	 -6.192971e-01 	 
-3.856446e-01 	 -1.499311e+00 	-3.856446e-01 	 -1.491778e+00 	-3.856446e-01 	 -1.217394e+00 	-3.856446e-01 	 -6.203700e-01 	 
-3.829007e-01 	 -1.505348e+00 	-3.829007e-01 	 -1.451010e+00 	-3.829007e-01 	 -1.167995e+00 	-3.829007e-01 	 -6.214296e-01 	 
-3.801112e-01 	 -1.511531e+00 	-3.801112e-01 	 -1.406507e+00 	-3.801112e-01 	 -1.122029e+00 	-3.801112e-01 	 -6.226708e-01 	 
-3.772762e-01 	 -1.518123e+00 	-3.772762e-01 	 -1.361126e+00 	-3.772762e-01 	 -1.077605e+00 	-3.772762e-01 	 -6.241171e-01 	 
-3.743956e-01 	 -1.522971e+00 	-3.743956e-01 	 -1.319632e+00 	-3.743956e-01 	 -1.034232e+00 	-3.743956e-01 	 -6.255000e-01 	 
-3.714696e-01 	 -1.525243e+00 	-3.714696e-01 	 -1.280542e+00 	-3.714696e-01 	 -9.919877e-01 	-3.714696e-01 	 -6.267358e-01 	 
-3.684980e-01 	 -1.525408e+00 	-3.684980e-01 	 -1.241970e+00 	-3.684980e-01 	 -9.495983e-01 	-3.684980e-01 	 -6.278325e-01 	 
-3.654809e-01 	 -1.523572e+00 	-3.654809e-01 	 -1.205168e+00 	-3.654809e-01 	 -9.089002e-01 	-3.654809e-01 	 -6.287822e-01 	 
-3.624185e-01 	 -1.519958e+00 	-3.624185e-01 	 -1.172959e+00 	-3.624185e-01 	 -8.730142e-01 	-3.624185e-01 	 -6.296842e-01 	 
-3.593107e-01 	 -1.514569e+00 	-3.593107e-01 	 -1.145495e+00 	-3.593107e-01 	 -8.440490e-01 	-3.593107e-01 	 -6.305174e-01 	 
-3.561577e-01 	 -1.506302e+00 	-3.561577e-01 	 -1.118869e+00 	-3.561577e-01 	 -8.210363e-01 	-3.561577e-01 	 -6.312565e-01 	 
-3.529596e-01 	 -1.493799e+00 	-3.529596e-01 	 -1.095027e+00 	-3.529596e-01 	 -7.973706e-01 	-3.529596e-01 	 -6.320088e-01 	 
-3.497164e-01 	 -1.476697e+00 	-3.497164e-01 	 -1.078832e+00 	-3.497164e-01 	 -7.724135e-01 	-3.497164e-01 	 -6.327704e-01 	 
-3.464285e-01 	 -1.456407e+00 	-3.464285e-01 	 -1.065398e+00 	-3.464285e-01 	 -7.525718e-01 	-3.464285e-01 	 -6.334618e-01 	 
-3.430957e-01 	 -1.434026e+00 	-3.430957e-01 	 -1.049629e+00 	-3.430957e-01 	 -7.400362e-01 	-3.430957e-01 	 -6.340486e-01 	 
-3.397186e-01 	 -1.408791e+00 	-3.397186e-01 	 -1.032071e+00 	-3.397186e-01 	 -7.307075e-01 	-3.397186e-01 	 -6.345096e-01 	 
-3.362970e-01 	 -1.380507e+00 	-3.362970e-01 	 -1.011637e+00 	-3.362970e-01 	 -7.202263e-01 	-3.362970e-01 	 -6.348593e-01 	 
-3.328313e-01 	 -1.350486e+00 	-3.328313e-01 	 -9.911374e-01 	-3.328313e-01 	 -7.122737e-01 	-3.328313e-01 	 -6.351877e-01 	 
-3.293217e-01 	 -1.320037e+00 	-3.293217e-01 	 -9.755554e-01 	-3.293217e-01 	 -7.108578e-01 	-3.293217e-01 	 -6.355480e-01 	 
-3.257684e-01 	 -1.288922e+00 	-3.257684e-01 	 -9.621589e-01 	-3.257684e-01 	 -7.086233e-01 	-3.257684e-01 	 -6.359175e-01 	 
-3.221716e-01 	 -1.256847e+00 	-3.221716e-01 	 -9.482194e-01 	-3.221716e-01 	 -7.013926e-01 	-3.221716e-01 	 -6.363096e-01 	 
-3.185317e-01 	 -1.224634e+00 	-3.185317e-01 	 -9.328652e-01 	-3.185317e-01 	 -6.938493e-01 	-3.185317e-01 	 -6.367335e-01 	 
-3.148488e-01 	 -1.191657e+00 	-3.148488e-01 	 -9.132924e-01 	-3.148488e-01 	 -6.872901e-01 	-3.148488e-01 	 -6.371772e-01 	 
-3.111233e-01 	 -1.157262e+00 	-3.111233e-01 	 -8.940573e-01 	-3.111233e-01 	 -6.841986e-01 	-3.111233e-01 	 -6.375799e-01 	 
-3.073556e-01 	 -1.122923e+00 	-3.073556e-01 	 -8.813086e-01 	-3.073556e-01 	 -6.855391e-01 	-3.073556e-01 	 -6.378660e-01 	 
-3.035458e-01 	 -1.088844e+00 	-3.035458e-01 	 -8.717003e-01 	-3.035458e-01 	 -6.834834e-01 	-3.035458e-01 	 -6.381561e-01 	 
-2.996944e-01 	 -1.053887e+00 	-2.996944e-01 	 -8.614165e-01 	-2.996944e-01 	 -6.778567e-01 	-2.996944e-01 	 -6.385534e-01 	 
-2.958016e-01 	 -1.018873e+00 	-2.958016e-01 	 -8.496770e-01 	-2.958016e-01 	 -6.742222e-01 	-2.958016e-01 	 -6.390779e-01 	 
-2.918678e-01 	 -9.859478e-01 	-2.918678e-01 	 -8.337718e-01 	-2.918678e-01 	 -6.690988e-01 	-2.918678e-01 	 -6.397137e-01 	 
-2.878935e-01 	 -9.562567e-01 	-2.878935e-01 	 -8.156176e-01 	-2.878935e-01 	 -6.639225e-01 	-2.878935e-01 	 -6.402833e-01 	 
-2.838789e-01 	 -9.277498e-01 	-2.838789e-01 	 -8.010039e-01 	-2.838789e-01 	 -6.642987e-01 	-2.838789e-01 	 -6.406409e-01 	 
-2.798245e-01 	 -8.977184e-01 	-2.798245e-01 	 -7.897797e-01 	-2.798245e-01 	 -6.650974e-01 	-2.798245e-01 	 -6.408899e-01 	 
-2.757306e-01 	 -8.682578e-01 	-2.757306e-01 	 -7.783329e-01 	-2.757306e-01 	 -6.622125e-01 	-2.757306e-01 	 -6.411787e-01 	 
-2.715978e-01 	 -8.421668e-01 	-2.715978e-01 	 -7.665431e-01 	-2.715978e-01 	 -6.599846e-01 	-2.715978e-01 	 -6.415217e-01 	 
-2.674264e-01 	 -8.185541e-01 	-2.674264e-01 	 -7.544831e-01 	-2.674264e-01 	 -6.595872e-01 	-2.674264e-01 	 -6.418714e-01 	 
-2.632168e-01 	 -7.968474e-01 	-2.632168e-01 	 -7.396535e-01 	-2.632168e-01 	 -6.596707e-01 	-2.632168e-01 	 -6.421999e-01 	 
-2.589696e-01 	 -7.776071e-01 	-2.589696e-01 	 -7.234648e-01 	-2.589696e-01 	 -6.601753e-01 	-2.589696e-01 	 -6.425615e-01 	 
-2.546851e-01 	 -7.595217e-01 	-2.546851e-01 	 -7.117121e-01 	-2.546851e-01 	 -6.585766e-01 	-2.546851e-01 	 -6.431032e-01 	 
-2.503639e-01 	 -7.410456e-01 	-2.503639e-01 	 -7.048603e-01 	-2.503639e-01 	 -6.551381e-01 	-2.503639e-01 	 -6.438847e-01 	 
-2.460064e-01 	 -7.237735e-01 	-2.460064e-01 	 -6.985660e-01 	-2.460064e-01 	 -6.538466e-01 	-2.460064e-01 	 -6.447350e-01 	 
-2.416132e-01 	 -7.098962e-01 	-2.416132e-01 	 -6.891392e-01 	-2.416132e-01 	 -6.536466e-01 	-2.416132e-01 	 -6.454861e-01 	 
-2.371847e-01 	 -6.974255e-01 	-2.371847e-01 	 -6.778898e-01 	-2.371847e-01 	 -6.527420e-01 	-2.371847e-01 	 -6.461550e-01 	 
-2.327214e-01 	 -6.835695e-01 	-2.327214e-01 	 -6.701545e-01 	-2.327214e-01 	 -6.529724e-01 	-2.327214e-01 	 -6.468742e-01 	 
-2.282239e-01 	 -6.688312e-01 	-2.282239e-01 	 -6.658775e-01 	-2.282239e-01 	 -6.536691e-01 	-2.282239e-01 	 -6.477365e-01 	 
-2.236928e-01 	 -6.532638e-01 	-2.236928e-01 	 -6.619317e-01 	-2.236928e-01 	 -6.532003e-01 	-2.236928e-01 	 -6.487365e-01 	 
-2.191285e-01 	 -6.370328e-01 	-2.191285e-01 	 -6.587408e-01 	-2.191285e-01 	 -6.519671e-01 	-2.191285e-01 	 -6.498929e-01 	 
-2.145316e-01 	 -6.237833e-01 	-2.145316e-01 	 -6.563394e-01 	-2.145316e-01 	 -6.508187e-01 	-2.145316e-01 	 -6.513181e-01 	 
-2.099027e-01 	 -6.145446e-01 	-2.099027e-01 	 -6.533076e-01 	-2.099027e-01 	 -6.515340e-01 	-2.099027e-01 	 -6.530135e-01 	 
-2.052424e-01 	 -6.059669e-01 	-2.052424e-01 	 -6.503604e-01 	-2.052424e-01 	 -6.540188e-01 	-2.052424e-01 	 -6.547924e-01 	 
-2.005512e-01 	 -5.974116e-01 	-2.005512e-01 	 -6.488001e-01 	-2.005512e-01 	 -6.568547e-01 	-2.005512e-01 	 -6.564997e-01 	 
-1.958298e-01 	 -5.892087e-01 	-1.958298e-01 	 -6.480385e-01 	-1.958298e-01 	 -6.591303e-01 	-1.958298e-01 	 -6.581090e-01 	 
-1.910787e-01 	 -5.806614e-01 	-1.910787e-01 	 -6.475166e-01 	-1.910787e-01 	 -6.602362e-01 	-1.910787e-01 	 -6.596283e-01 	 
