x	Cp	
3.650903e-01 	 -8.003155e-01 	 
3.685347e-01 	 -7.980091e-01 	 
3.719318e-01 	 -7.957309e-01 	 
3.752814e-01 	 -7.934279e-01 	 
3.785833e-01 	 -7.911334e-01 	 
3.818371e-01 	 -7.888836e-01 	 
3.850428e-01 	 -7.866501e-01 	 
3.882000e-01 	 -7.843603e-01 	 
3.913087e-01 	 -7.820413e-01 	 
3.943687e-01 	 -7.797809e-01 	 
3.973798e-01 	 -7.775987e-01 	 
4.003418e-01 	 -7.754482e-01 	 
4.032547e-01 	 -7.732925e-01 	 
4.061185e-01 	 -7.712206e-01 	 
4.089329e-01 	 -7.692752e-01 	 
4.116979e-01 	 -7.673356e-01 	 
4.144135e-01 	 -7.653628e-01 	 
4.170797e-01 	 -7.634080e-01 	 
4.196965e-01 	 -7.614900e-01 	 
4.222637e-01 	 -7.596656e-01 	 
4.247816e-01 	 -7.579661e-01 	 
4.272501e-01 	 -7.563611e-01 	 
4.296692e-01 	 -7.548247e-01 	 
4.320391e-01 	 -7.532792e-01 	 
4.343599e-01 	 -7.516953e-01 	 
4.366316e-01 	 -7.501736e-01 	 
4.388545e-01 	 -7.487357e-01 	 
4.410286e-01 	 -7.473414e-01 	 
4.431541e-01 	 -7.460245e-01 	 
4.452313e-01 	 -7.447975e-01 	 
4.472603e-01 	 -7.436440e-01 	 
4.492413e-01 	 -7.425664e-01 	 
4.511747e-01 	 -7.415613e-01 	 
4.530607e-01 	 -7.406258e-01 	 
4.548997e-01 	 -7.397387e-01 	 
4.566918e-01 	 -7.388581e-01 	 
4.584375e-01 	 -7.379601e-01 	 
4.601371e-01 	 -7.370833e-01 	 
4.617909e-01 	 -7.362799e-01 	 
4.633995e-01 	 -7.355404e-01 	 
4.649633e-01 	 -7.348210e-01 	 
4.664825e-01 	 -7.341277e-01 	 
4.679578e-01 	 -7.334939e-01 	 
4.693896e-01 	 -7.329038e-01 	 
4.707785e-01 	 -7.323288e-01 	 
4.721249e-01 	 -7.317709e-01 	 
4.734295e-01 	 -7.312358e-01 	 
4.746927e-01 	 -7.307323e-01 	 
4.759153e-01 	 -7.302722e-01 	 
4.770978e-01 	 -7.298413e-01 	 
4.782410e-01 	 -7.294126e-01 	 
4.793454e-01 	 -7.289870e-01 	 
4.804118e-01 	 -7.285740e-01 	 
4.814408e-01 	 -7.281719e-01 	 
4.824334e-01 	 -7.277747e-01 	 
4.833902e-01 	 -7.273926e-01 	 
4.843120e-01 	 -7.270346e-01 	 
4.851996e-01 	 -7.266761e-01 	 
4.860540e-01 	 -7.263204e-01 	 
4.868760e-01 	 -7.259599e-01 	 
4.876664e-01 	 -7.256089e-01 	 
4.884262e-01 	 -7.252674e-01 	 
4.891564e-01 	 -7.249096e-01 	 
4.898580e-01 	 -7.245676e-01 	 
4.905319e-01 	 -7.242053e-01 	 
4.911792e-01 	 -7.238625e-01 	 
4.918009e-01 	 -7.235242e-01 	 
4.923982e-01 	 -7.231427e-01 	 
4.929722e-01 	 -7.228548e-01 	 
4.935239e-01 	 -7.224247e-01 	 
4.940546e-01 	 -7.221668e-01 	 
4.945655e-01 	 -7.217422e-01 	 
4.950578e-01 	 -7.214304e-01 	 
4.955327e-01 	 -7.211546e-01 	 
4.959916e-01 	 -7.206451e-01 	 
4.964357e-01 	 -7.206527e-01 	 
4.968664e-01 	 -7.199174e-01 	 
4.972851e-01 	 -7.200856e-01 	 
4.976931e-01 	 -7.195758e-01 	 
4.980919e-01 	 -7.191740e-01 	 
4.984830e-01 	 -7.201927e-01 	 
4.988678e-01 	 -7.180723e-01 	 
4.992478e-01 	 -7.246524e-01 	 
4.996247e-01 	 -7.247511e-01 	 
5.000000e-01 	 -7.309189e-01 	 
