x0	avg	
3.161523e-01 	 -7.412076e-01 	 
3.201818e-01 	 -7.406462e-01 	 
3.241686e-01 	 -7.400265e-01 	 
3.281122e-01 	 -7.393548e-01 	 
3.320123e-01 	 -7.386059e-01 	 
3.358684e-01 	 -7.377543e-01 	 
3.396801e-01 	 -7.368161e-01 	 
3.434471e-01 	 -7.358380e-01 	 
3.471690e-01 	 -7.348393e-01 	 
3.508455e-01 	 -7.337980e-01 	 
3.544762e-01 	 -7.327027e-01 	 
3.580607e-01 	 -7.315735e-01 	 
3.615989e-01 	 -7.303880e-01 	 
3.650903e-01 	 -7.291097e-01 	 
3.685347e-01 	 -7.277844e-01 	 
3.719318e-01 	 -7.264598e-01 	 
3.752814e-01 	 -7.251164e-01 	 
3.785833e-01 	 -7.237275e-01 	 
3.818371e-01 	 -7.223078e-01 	 
3.850428e-01 	 -7.208864e-01 	 
3.882000e-01 	 -7.194507e-01 	 
3.913087e-01 	 -7.179974e-01 	 
3.943687e-01 	 -7.165572e-01 	 
3.973798e-01 	 -7.151043e-01 	 
4.003418e-01 	 -7.136081e-01 	 
4.032547e-01 	 -7.120641e-01 	 
4.061185e-01 	 -7.104930e-01 	 
4.089329e-01 	 -7.089728e-01 	 
4.116979e-01 	 -7.075302e-01 	 
4.144135e-01 	 -7.060767e-01 	 
4.170797e-01 	 -7.045311e-01 	 
4.196965e-01 	 -7.029355e-01 	 
4.222637e-01 	 -7.013993e-01 	 
4.247816e-01 	 -6.999271e-01 	 
4.272501e-01 	 -6.984468e-01 	 
4.296692e-01 	 -6.969673e-01 	 
4.320391e-01 	 -6.955009e-01 	 
4.343599e-01 	 -6.940346e-01 	 
4.366316e-01 	 -6.926016e-01 	 
4.388545e-01 	 -6.911967e-01 	 
4.410286e-01 	 -6.897959e-01 	 
4.431541e-01 	 -6.884283e-01 	 
4.452313e-01 	 -6.871126e-01 	 
4.472603e-01 	 -6.858454e-01 	 
4.492413e-01 	 -6.846471e-01 	 
4.511747e-01 	 -6.835196e-01 	 
4.530607e-01 	 -6.824256e-01 	 
4.548997e-01 	 -6.813337e-01 	 
4.566918e-01 	 -6.802465e-01 	 
4.584375e-01 	 -6.791651e-01 	 
4.601371e-01 	 -6.781020e-01 	 
4.617909e-01 	 -6.770805e-01 	 
4.633995e-01 	 -6.760759e-01 	 
4.649633e-01 	 -6.750514e-01 	 
4.664825e-01 	 -6.740211e-01 	 
4.679578e-01 	 -6.730142e-01 	 
4.693896e-01 	 -6.720287e-01 	 
4.707785e-01 	 -6.710485e-01 	 
4.721249e-01 	 -6.700808e-01 	 
4.734295e-01 	 -6.691493e-01 	 
4.746927e-01 	 -6.682649e-01 	 
4.759153e-01 	 -6.674293e-01 	 
4.770978e-01 	 -6.666467e-01 	 
4.782410e-01 	 -6.659163e-01 	 
4.793454e-01 	 -6.652341e-01 	 
4.804118e-01 	 -6.645892e-01 	 
4.814408e-01 	 -6.639778e-01 	 
4.824334e-01 	 -6.633943e-01 	 
4.833902e-01 	 -6.628361e-01 	 
4.843120e-01 	 -6.623071e-01 	 
4.851996e-01 	 -6.617852e-01 	 
4.860540e-01 	 -6.612714e-01 	 
4.868760e-01 	 -6.607518e-01 	 
4.876664e-01 	 -6.602300e-01 	 
4.884262e-01 	 -6.597110e-01 	 
4.891564e-01 	 -6.591847e-01 	 
4.898580e-01 	 -6.586848e-01 	 
4.905319e-01 	 -6.581748e-01 	 
4.911792e-01 	 -6.576869e-01 	 
4.918009e-01 	 -6.572152e-01 	 
4.923982e-01 	 -6.567153e-01 	 
4.929722e-01 	 -6.563067e-01 	 
4.935239e-01 	 -6.557868e-01 	 
4.940546e-01 	 -6.554281e-01 	 
4.945655e-01 	 -6.549397e-01 	 
4.950578e-01 	 -6.545581e-01 	 
4.955327e-01 	 -6.542289e-01 	 
4.959916e-01 	 -6.537086e-01 	 
4.964357e-01 	 -6.536586e-01 	 
4.968664e-01 	 -6.529865e-01 	 
4.972851e-01 	 -6.531068e-01 	 
4.976931e-01 	 -6.526753e-01 	 
4.980919e-01 	 -6.523310e-01 	 
4.984830e-01 	 -6.532539e-01 	 
4.988678e-01 	 -6.514976e-01 	 
4.992478e-01 	 -6.571991e-01 	 
4.996247e-01 	 -6.572607e-01 	 
5.000000e-01 	 -6.630616e-01 	 
