x0	Forced	x1	Inflow	x2	G2	x3	G3	x4	G4	x5	3DU	
-2.743559e-01 	 -9.440000e-04 	-2.743559e-01 	 -9.506000e-04 	-3.146995e-01 	 -1.076000e-03 	-3.893134e-01 	 -1.732267e-03 	-4.028850e-01 	 -1.018933e-03 	7.220700e-02 	 -4.938860e-03 	 
-2.677910e-01 	 -8.960000e-04 	-2.677910e-01 	 -9.122000e-04 	-3.098109e-01 	 -1.050200e-03 	-3.854085e-01 	 -1.832667e-03 	-4.001848e-01 	 -1.182267e-03 	8.038100e-02 	 -4.033110e-03 	 
-2.611758e-01 	 -8.882000e-04 	-2.611758e-01 	 -8.744000e-04 	-3.049122e-01 	 -1.086600e-03 	-3.814234e-01 	 -1.911067e-03 	-3.974744e-01 	 -1.326800e-03 	8.855600e-02 	 -2.976600e-03 	 
-2.545305e-01 	 -8.800000e-04 	-2.545305e-01 	 -8.380000e-04 	-3.000236e-01 	 -1.165600e-03 	-3.773679e-01 	 -1.967200e-03 	-3.947541e-01 	 -1.452533e-03 	9.673000e-02 	 -1.618580e-03 	 
-2.478451e-01 	 -8.626000e-04 	-2.478451e-01 	 -8.022000e-04 	-2.951250e-01 	 -1.245200e-03 	-3.732422e-01 	 -2.004400e-03 	-3.920237e-01 	 -1.561600e-03 	1.021800e-01 	 -7.132390e-04 	 
-2.411094e-01 	 -8.524000e-04 	-2.411094e-01 	 -7.690000e-04 	-2.902263e-01 	 -1.279800e-03 	-3.690362e-01 	 -2.028000e-03 	-3.892833e-01 	 -1.656400e-03 	1.103540e-01 	 6.447770e-04 	 
-2.343437e-01 	 -8.440000e-04 	-2.343437e-01 	 -7.370000e-04 	-2.853377e-01 	 -1.241200e-03 	-3.647700e-01 	 -2.034667e-03 	-3.865228e-01 	 -1.737067e-03 	1.185290e-01 	 1.701290e-03 	 
-2.275278e-01 	 -8.158000e-04 	-2.275278e-01 	 -7.066000e-04 	-2.804391e-01 	 -1.155000e-03 	-3.604235e-01 	 -2.031467e-03 	-3.837623e-01 	 -1.803733e-03 	1.267030e-01 	 2.607040e-03 	 
-2.206717e-01 	 -7.742000e-04 	-2.206717e-01 	 -6.752000e-04 	-2.755304e-01 	 -1.072400e-03 	-3.560067e-01 	 -2.017067e-03 	-3.809817e-01 	 -1.860000e-03 	1.348770e-01 	 3.663550e-03 	 
-2.137855e-01 	 -7.480000e-04 	-2.137855e-01 	 -6.404000e-04 	-2.706318e-01 	 -1.023000e-03 	-3.515095e-01 	 -1.994667e-03 	-3.781911e-01 	 -1.905733e-03 	1.457770e-01 	 4.569720e-03 	 
-2.068591e-01 	 -7.334000e-04 	-2.068591e-01 	 -6.050000e-04 	-2.657231e-01 	 -1.007000e-03 	-3.469422e-01 	 -1.964800e-03 	-3.753904e-01 	 -1.941467e-03 	1.539510e-01 	 5.324720e-03 	 
-1.998826e-01 	 -7.114000e-04 	-1.998826e-01 	 -5.810000e-04 	-2.608245e-01 	 -1.006600e-03 	-3.422945e-01 	 -1.927467e-03 	-3.725797e-01 	 -1.968000e-03 	1.648500e-01 	 5.778620e-03 	 
-1.928759e-01 	 -6.770000e-04 	-1.928759e-01 	 -5.792000e-04 	-2.559158e-01 	 -1.008800e-03 	-3.375866e-01 	 -1.887333e-03 	-3.697590e-01 	 -1.987733e-03 	1.784740e-01 	 6.232940e-03 	 
-1.858391e-01 	 -6.488000e-04 	-1.858391e-01 	 -6.032000e-04 	-2.510071e-01 	 -1.011600e-03 	-3.327883e-01 	 -1.844933e-03 	-3.669182e-01 	 -1.999600e-03 	1.948230e-01 	 6.386150e-03 	 
-1.787622e-01 	 -6.394000e-04 	-1.787622e-01 	 -6.390000e-04 	-2.460984e-01 	 -1.016600e-03 	-3.279298e-01 	 -1.799333e-03 	-3.640673e-01 	 -2.006667e-03 	2.193460e-01 	 6.540600e-03 	 
-1.716451e-01 	 -6.408000e-04 	-1.716451e-01 	 -6.684000e-04 	-2.411797e-01 	 -1.018200e-03 	-3.229910e-01 	 -1.750933e-03 	-3.612064e-01 	 -2.007200e-03 	2.520440e-01 	 6.394780e-03 	 
-1.644979e-01 	 -6.372000e-04 	-1.644979e-01 	 -6.780000e-04 	-2.362610e-01 	 -1.005200e-03 	-3.179820e-01 	 -1.701867e-03 	-3.583255e-01 	 -2.004000e-03 	2.765670e-01 	 6.096970e-03 	 
-1.573106e-01 	 -6.162000e-04 	-1.573106e-01 	 -6.676000e-04 	-2.313523e-01 	 -9.766000e-04 	-3.129026e-01 	 -1.654000e-03 	-3.554445e-01 	 -1.995733e-03 	2.983650e-01 	 5.798750e-03 	 
-1.500931e-01 	 -5.588000e-04 	-1.500931e-01 	 -6.390000e-04 	-2.264235e-01 	 -9.440000e-04 	-3.077430e-01 	 -1.604667e-03 	-3.525334e-01 	 -1.983867e-03 	3.256130e-01 	 5.350590e-03 	 
-1.428455e-01 	 -4.626000e-04 	-1.428455e-01 	 -5.800000e-04 	-2.215048e-01 	 -9.176000e-04 	-3.025131e-01 	 -1.555467e-03 	-3.496224e-01 	 -1.966800e-03 	3.501360e-01 	 4.902030e-03 	 
-1.355678e-01 	 -3.498000e-04 	-1.355678e-01 	 -4.856000e-04 	-2.165861e-01 	 -8.930000e-04 	-2.972129e-01 	 -1.508000e-03 	-3.466912e-01 	 -1.947600e-03 	3.719350e-01 	 4.603810e-03 	 
-1.282700e-01 	 -2.560000e-04 	-1.282700e-01 	 -3.624000e-04 	-2.116574e-01 	 -8.646000e-04 	-2.918525e-01 	 -1.461200e-03 	-3.437500e-01 	 -1.927467e-03 	3.937330e-01 	 4.305590e-03 	 
-1.209321e-01 	 -1.994000e-04 	-1.209321e-01 	 -2.290000e-04 	-2.067286e-01 	 -8.326000e-04 	-2.864118e-01 	 -1.415333e-03 	-3.407988e-01 	 -1.906533e-03 	4.155310e-01 	 3.856610e-03 	 
-1.135641e-01 	 -1.660000e-04 	-1.135641e-01 	 -1.082000e-04 	-2.017998e-01 	 -7.942000e-04 	-2.809009e-01 	 -1.369600e-03 	-3.378275e-01 	 -1.882800e-03 	4.373300e-01 	 3.407640e-03 	 
-1.061760e-01 	 -1.466000e-04 	-1.061760e-01 	 -3.020000e-05 	-1.968611e-01 	 -7.442000e-04 	-2.753196e-01 	 -1.326933e-03 	-3.348461e-01 	 -1.856533e-03 	4.591280e-01 	 3.109420e-03 	 
