x0	T1	x1	T2	
-2.674264e-01 	 2.681761e-03 	-2.674264e-01 	 -4.774668e-03 	 
-2.632168e-01 	 2.156821e-03 	-2.632168e-01 	 -4.787787e-03 	 
-2.589696e-01 	 1.739712e-03 	-2.589696e-01 	 -4.848891e-03 	 
-2.546851e-01 	 1.497439e-03 	-2.546851e-01 	 -4.859554e-03 	 
-2.503639e-01 	 1.000839e-03 	-2.503639e-01 	 -4.785416e-03 	 
-2.460064e-01 	 1.967978e-04 	-2.460064e-01 	 -4.675206e-03 	 
-2.416132e-01 	 -4.641998e-04 	-2.416132e-01 	 -4.567404e-03 	 
-2.371847e-01 	 -7.702993e-04 	-2.371847e-01 	 -4.457380e-03 	 
-2.327214e-01 	 -9.184854e-04 	-2.327214e-01 	 -4.311540e-03 	 
-2.282239e-01 	 -9.923354e-04 	-2.282239e-01 	 -4.064821e-03 	 
-2.236928e-01 	 -9.065717e-04 	-2.236928e-01 	 -3.714567e-03 	 
-2.191285e-01 	 -6.573907e-04 	-2.191285e-01 	 -3.382032e-03 	 
-2.145316e-01 	 -4.154260e-04 	-2.145316e-01 	 -3.149536e-03 	 
-2.099027e-01 	 -5.339787e-04 	-2.099027e-01 	 -2.996581e-03 	 
-2.052424e-01 	 -1.040571e-03 	-2.052424e-01 	 -2.881540e-03 	 
-2.005512e-01 	 -1.341798e-03 	-2.005512e-01 	 -2.734585e-03 	 
-1.958298e-01 	 -1.142500e-03 	-1.958298e-01 	 -2.483314e-03 	 
-1.910787e-01 	 -8.537221e-04 	-1.910787e-01 	 -2.179197e-03 	 
-1.862985e-01 	 -7.507604e-04 	-1.862985e-01 	 -1.956709e-03 	 
-1.814898e-01 	 -6.891302e-04 	-1.814898e-01 	 -1.862834e-03 	 
-1.766534e-01 	 -4.945506e-04 	-1.766534e-01 	 -1.826684e-03 	 
-1.717898e-01 	 -1.876340e-04 	-1.717898e-01 	 -1.767008e-03 	 
-1.668996e-01 	 4.792990e-06 	-1.668996e-01 	 -1.681741e-03 	 
-1.619835e-01 	 -2.390911e-05 	-1.619835e-01 	 -1.621556e-03 	 
-1.570422e-01 	 -8.663858e-05 	-1.570422e-01 	 -1.590970e-03 	 
-1.520763e-01 	 -8.452761e-05 	-1.520763e-01 	 -1.534246e-03 	 
-1.470864e-01 	 -1.303799e-04 	-1.470864e-01 	 -1.436468e-03 	 
-1.420733e-01 	 -2.665981e-04 	-1.420733e-01 	 -1.347733e-03 	 
-1.370377e-01 	 -4.349293e-04 	-1.370377e-01 	 -1.301150e-03 	 
-1.319802e-01 	 -5.961247e-04 	-1.319802e-01 	 -1.276894e-03 	 
-1.269015e-01 	 -7.068162e-04 	-1.269015e-01 	 -1.243972e-03 	 
-1.218023e-01 	 -7.294050e-04 	-1.218023e-01 	 -1.187710e-03 	 
-1.166834e-01 	 -7.175740e-04 	-1.166834e-01 	 -1.107208e-03 	 
-1.115453e-01 	 -7.244819e-04 	-1.115453e-01 	 -1.015727e-03 	 
-1.063889e-01 	 -7.010506e-04 	-1.063889e-01 	 -9.384444e-04 	 
-1.012149e-01 	 -6.592068e-04 	-1.012149e-01 	 -8.980741e-04 	 
-9.602398e-02 	 -6.885592e-04 	-9.602398e-02 	 -8.935406e-04 	 
-9.081687e-02 	 -7.476983e-04 	-9.081687e-02 	 -8.855842e-04 	 
-8.559431e-02 	 -7.501042e-04 	-8.559431e-02 	 -8.252924e-04 	 
-8.035704e-02 	 -7.359287e-04 	-8.035704e-02 	 -7.332409e-04 	 
-7.510580e-02 	 -7.557420e-04 	-7.510580e-02 	 -6.913182e-04 	 
-6.984135e-02 	 -8.079284e-04 	-6.984135e-02 	 -7.207862e-04 	 
-6.456441e-02 	 -8.777113e-04 	-6.456441e-02 	 -7.609956e-04 	 
-5.927577e-02 	 -8.688329e-04 	-5.927577e-02 	 -7.686089e-04 	 
-5.397616e-02 	 -6.981313e-04 	-5.397616e-02 	 -7.510238e-04 	 
-4.866635e-02 	 -5.001425e-04 	-4.866635e-02 	 -7.221758e-04 	 
-4.334711e-02 	 -4.579844e-04 	-4.334711e-02 	 -6.846361e-04 	 
-3.801919e-02 	 -5.257637e-04 	-3.801919e-02 	 -6.402780e-04 	 
-3.268336e-02 	 -5.538874e-04 	-3.268336e-02 	 -5.933496e-04 	 
-2.734040e-02 	 -5.206018e-04 	-2.734040e-02 	 -5.537611e-04 	 
-2.199108e-02 	 -4.937982e-04 	-2.199108e-02 	 -5.378916e-04 	 
-1.663616e-02 	 -5.013087e-04 	-1.663616e-02 	 -5.521850e-04 	 
-1.127644e-02 	 -5.212337e-04 	-1.127644e-02 	 -5.819196e-04 	 
-5.912673e-03 	 -5.294959e-04 	-5.912673e-03 	 -6.050065e-04 	 
-5.456544e-04 	 -5.183647e-04 	-5.456544e-04 	 -6.109476e-04 	 
4.823841e-03 	 -4.944120e-04 	4.823841e-03 	 -6.013779e-04 	 
1.019503e-02 	 -4.726675e-04 	1.019503e-02 	 -5.864455e-04 	 
1.556714e-02 	 -4.615417e-04 	1.556714e-02 	 -5.802846e-04 	 
2.093937e-02 	 -4.600504e-04 	2.093937e-02 	 -5.905532e-04 	 
2.631096e-02 	 -4.687911e-04 	2.631096e-02 	 -6.152253e-04 	 
3.168111e-02 	 -4.891551e-04 	3.168111e-02 	 -6.450396e-04 	 
3.704904e-02 	 -5.144997e-04 	3.704904e-02 	 -6.696820e-04 	 
4.241397e-02 	 -5.267838e-04 	4.241397e-02 	 -6.853925e-04 	 
4.777512e-02 	 -5.163968e-04 	4.777512e-02 	 -6.976955e-04 	 
5.313171e-02 	 -4.986437e-04 	5.313171e-02 	 -7.067553e-04 	 
5.848294e-02 	 -4.975674e-04 	5.848294e-02 	 -7.032389e-04 	 
6.382806e-02 	 -5.186948e-04 	6.382806e-02 	 -6.854232e-04 	 
6.916627e-02 	 -5.475603e-04 	6.916627e-02 	 -6.671756e-04 	 
7.449679e-02 	 -5.676763e-04 	7.449679e-02 	 -6.635780e-04 	 
7.981886e-02 	 -5.753275e-04 	7.981886e-02 	 -6.754721e-04 	 
8.513170e-02 	 -5.748622e-04 	8.513170e-02 	 -6.906575e-04 	 
9.043452e-02 	 -5.644194e-04 	9.043452e-02 	 -6.971235e-04 	 
9.572658e-02 	 -5.475512e-04 	9.572658e-02 	 -6.922504e-04 	 
1.010071e-01 	 -5.434279e-04 	1.010071e-01 	 -6.780511e-04 	 
1.062753e-01 	 -5.537889e-04 	1.062753e-01 	 -6.536745e-04 	 
1.115304e-01 	 -5.600187e-04 	1.115304e-01 	 -6.210561e-04 	 
1.167717e-01 	 -5.708531e-04 	1.167717e-01 	 -5.920146e-04 	 
1.219984e-01 	 -6.002744e-04 	1.219984e-01 	 -5.784929e-04 	 
1.272098e-01 	 -6.166158e-04 	1.272098e-01 	 -5.797934e-04 	 
1.324050e-01 	 -5.895205e-04 	1.324050e-01 	 -5.864086e-04 	 
1.375835e-01 	 -5.440442e-04 	1.375835e-01 	 -5.936013e-04 	 
1.427443e-01 	 -5.116204e-04 	1.427443e-01 	 -6.040497e-04 	 
1.478868e-01 	 -4.807751e-04 	1.478868e-01 	 -6.206588e-04 	 
1.530103e-01 	 -4.351686e-04 	1.530103e-01 	 -6.363782e-04 	 
1.581140e-01 	 -4.054304e-04 	1.581140e-01 	 -6.402673e-04 	 
1.631972e-01 	 -4.369299e-04 	1.631972e-01 	 -6.341504e-04 	 
1.682591e-01 	 -5.203467e-04 	1.682591e-01 	 -6.341650e-04 	 
1.732991e-01 	 -6.017533e-04 	1.732991e-01 	 -6.513488e-04 	 
1.783164e-01 	 -6.536054e-04 	1.783164e-01 	 -6.837529e-04 	 
1.833104e-01 	 -6.879893e-04 	1.833104e-01 	 -7.283647e-04 	 
1.882803e-01 	 -7.164190e-04 	1.882803e-01 	 -7.863719e-04 	 
1.932255e-01 	 -7.385103e-04 	1.932255e-01 	 -8.538112e-04 	 
1.981452e-01 	 -7.586076e-04 	1.981452e-01 	 -9.267125e-04 	 
2.030388e-01 	 -7.838885e-04 	2.030388e-01 	 -1.007778e-03 	 
2.079056e-01 	 -8.198834e-04 	2.079056e-01 	 -1.098530e-03 	 
2.127449e-01 	 -8.632789e-04 	2.127449e-01 	 -1.190829e-03 	 
2.175561e-01 	 -8.996372e-04 	2.175561e-01 	 -1.278803e-03 	 
2.223385e-01 	 -9.260212e-04 	2.223385e-01 	 -1.361065e-03 	 
2.270915e-01 	 -9.645524e-04 	2.270915e-01 	 -1.433031e-03 	 
2.318144e-01 	 -1.029307e-03 	2.318144e-01 	 -1.492525e-03 	 
2.365066e-01 	 -1.106588e-03 	2.365066e-01 	 -1.547721e-03 	 
2.411674e-01 	 -1.183565e-03 	2.411674e-01 	 -1.610986e-03 	 
2.457964e-01 	 -1.264117e-03 	2.457964e-01 	 -1.684462e-03 	 
2.503927e-01 	 -1.353983e-03 	2.503927e-01 	 -1.760036e-03 	 
2.549559e-01 	 -1.447436e-03 	2.549559e-01 	 -1.831184e-03 	 
2.594854e-01 	 -1.535074e-03 	2.594854e-01 	 -1.905942e-03 	 
2.639805e-01 	 -1.614799e-03 	2.639805e-01 	 -1.997210e-03 	 
2.684407e-01 	 -1.691908e-03 	2.684407e-01 	 -2.102749e-03 	 
2.728654e-01 	 -1.773322e-03 	2.728654e-01 	 -2.205890e-03 	 
2.772542e-01 	 -1.859118e-03 	2.772542e-01 	 -2.290522e-03 	 
2.816063e-01 	 -1.940292e-03 	2.816063e-01 	 -2.357597e-03 	 
2.859213e-01 	 -2.007321e-03 	2.859213e-01 	 -2.425031e-03 	 
2.901987e-01 	 -2.062564e-03 	2.901987e-01 	 -2.509528e-03 	 
2.944379e-01 	 -2.113888e-03 	2.944379e-01 	 -2.607383e-03 	 
2.986384e-01 	 -2.165256e-03 	2.986384e-01 	 -2.700015e-03 	 
3.027998e-01 	 -2.216404e-03 	3.027998e-01 	 -2.770463e-03 	 
3.069215e-01 	 -2.266304e-03 	3.069215e-01 	 -2.820857e-03 	 
3.110031e-01 	 -2.310008e-03 	3.110031e-01 	 -2.866387e-03 	 
3.150441e-01 	 -2.347748e-03 	3.150441e-01 	 -2.917146e-03 	 
3.190441e-01 	 -2.388818e-03 	3.190441e-01 	 -2.968090e-03 	 
3.230026e-01 	 -2.441681e-03 	3.230026e-01 	 -3.009733e-03 	 
3.269191e-01 	 -2.504286e-03 	3.269191e-01 	 -3.039053e-03 	 
3.307934e-01 	 -2.565710e-03 	3.307934e-01 	 -3.060521e-03 	 
3.346248e-01 	 -2.621240e-03 	3.346248e-01 	 -3.086863e-03 	 
3.384132e-01 	 -2.676694e-03 	3.384132e-01 	 -3.125284e-03 	 
3.421580e-01 	 -2.741491e-03 	3.421580e-01 	 -3.171485e-03 	 
3.458590e-01 	 -2.818575e-03 	3.458590e-01 	 -3.219410e-03 	 
3.495156e-01 	 -2.897087e-03 	3.495156e-01 	 -3.262698e-03 	 
3.531277e-01 	 -2.952963e-03 	3.531277e-01 	 -3.295197e-03 	 
3.566949e-01 	 -2.968510e-03 	3.566949e-01 	 -3.324138e-03 	 
3.602169e-01 	 -2.951220e-03 	3.602169e-01 	 -3.359405e-03 	 
3.636933e-01 	 -2.928632e-03 	3.636933e-01 	 -3.398247e-03 	 
3.671238e-01 	 -2.915128e-03 	3.671238e-01 	 -3.437114e-03 	 
3.705083e-01 	 -2.901887e-03 	3.705083e-01 	 -3.485694e-03 	 
3.738464e-01 	 -2.878458e-03 	3.738464e-01 	 -3.540328e-03 	 
3.771379e-01 	 -2.853617e-03 	3.771379e-01 	 -3.579627e-03 	 
3.803825e-01 	 -2.837606e-03 	3.803825e-01 	 -3.596985e-03 	 
3.835800e-01 	 -2.834904e-03 	3.835800e-01 	 -3.609756e-03 	 
3.867303e-01 	 -2.850663e-03 	3.867303e-01 	 -3.614275e-03 	 
3.898331e-01 	 -2.884475e-03 	3.898331e-01 	 -3.586185e-03 	 
3.928883e-01 	 -2.923133e-03 	3.928883e-01 	 -3.530055e-03 	 
3.958956e-01 	 -2.954984e-03 	3.958956e-01 	 -3.479079e-03 	 
3.988551e-01 	 -2.984386e-03 	3.988551e-01 	 -3.449026e-03 	 
4.017664e-01 	 -3.009685e-03 	4.017664e-01 	 -3.407227e-03 	 
4.046296e-01 	 -3.016810e-03 	4.046296e-01 	 -3.314320e-03 	 
4.074445e-01 	 -3.001931e-03 	4.074445e-01 	 -3.168882e-03 	 
4.102111e-01 	 -2.981364e-03 	4.102111e-01 	 -2.974227e-03 	 
4.129292e-01 	 -2.972727e-03 	4.129292e-01 	 -2.731011e-03 	 
4.155989e-01 	 -2.984147e-03 	4.155989e-01 	 -2.506129e-03 	 
4.182201e-01 	 -3.018094e-03 	4.182201e-01 	 -2.392887e-03 	 
4.207928e-01 	 -3.051012e-03 	4.207928e-01 	 -2.385211e-03 	 
4.233170e-01 	 -3.038602e-03 	4.233170e-01 	 -2.415594e-03 	 
4.257928e-01 	 -2.968045e-03 	4.257928e-01 	 -2.431943e-03 	 
4.282201e-01 	 -2.878580e-03 	4.282201e-01 	 -2.357657e-03 	 
4.305991e-01 	 -2.817577e-03 	4.305991e-01 	 -2.156012e-03 	 
4.329297e-01 	 -2.794602e-03 	4.329297e-01 	 -1.960624e-03 	 
4.352122e-01 	 -2.765679e-03 	4.352122e-01 	 -1.930702e-03 	 
4.374466e-01 	 -2.684132e-03 	4.374466e-01 	 -2.001732e-03 	 
4.396331e-01 	 -2.572265e-03 	4.396331e-01 	 -1.990295e-03 	 
4.417717e-01 	 -2.472143e-03 	4.417717e-01 	 -1.878167e-03 	 
4.438628e-01 	 -2.362676e-03 	4.438628e-01 	 -1.818332e-03 	 
4.459064e-01 	 -2.249656e-03 	4.459064e-01 	 -1.879508e-03 	 
4.479028e-01 	 -2.187192e-03 	4.479028e-01 	 -1.937088e-03 	 
4.498522e-01 	 -2.179872e-03 	4.498522e-01 	 -1.901976e-03 	 
4.517549e-01 	 -2.197663e-03 	4.517549e-01 	 -1.842883e-03 	 
4.536111e-01 	 -2.227071e-03 	4.536111e-01 	 -1.819184e-03 	 
4.554211e-01 	 -2.260680e-03 	4.554211e-01 	 -1.793878e-03 	 
4.571853e-01 	 -2.281466e-03 	4.571853e-01 	 -1.719700e-03 	 
4.589039e-01 	 -2.271555e-03 	4.589039e-01 	 -1.601956e-03 	 
4.605774e-01 	 -2.233268e-03 	4.605774e-01 	 -1.475452e-03 	 
4.622060e-01 	 -2.186405e-03 	4.622060e-01 	 -1.358683e-03 	 
4.637902e-01 	 -2.134412e-03 	4.637902e-01 	 -1.254625e-03 	 
4.653305e-01 	 -2.073801e-03 	4.653305e-01 	 -1.195475e-03 	 
4.668271e-01 	 -2.008840e-03 	4.668271e-01 	 -1.209996e-03 	 
4.682807e-01 	 -1.946507e-03 	4.682807e-01 	 -1.255579e-03 	 
4.696916e-01 	 -1.893571e-03 	4.696916e-01 	 -1.274150e-03 	 
4.710604e-01 	 -1.859251e-03 	4.710604e-01 	 -1.287160e-03 	 
4.723876e-01 	 -1.840747e-03 	4.723876e-01 	 -1.337559e-03 	 
4.736738e-01 	 -1.822502e-03 	4.736738e-01 	 -1.383483e-03 	 
4.749194e-01 	 -1.794380e-03 	4.749194e-01 	 -1.361019e-03 	 
4.761253e-01 	 -1.759873e-03 	4.761253e-01 	 -1.298493e-03 	 
4.772918e-01 	 -1.726463e-03 	4.772918e-01 	 -1.258922e-03 	 
4.784197e-01 	 -1.687246e-03 	4.784197e-01 	 -1.247964e-03 	 
4.795097e-01 	 -1.625018e-03 	4.795097e-01 	 -1.251996e-03 	 
4.805624e-01 	 -1.531691e-03 	4.805624e-01 	 -1.267159e-03 	 
4.815785e-01 	 -1.420476e-03 	4.815785e-01 	 -1.283969e-03 	 
4.825588e-01 	 -1.307602e-03 	4.825588e-01 	 -1.296127e-03 	 
4.835040e-01 	 -1.204520e-03 	4.835040e-01 	 -1.313307e-03 	 
4.844150e-01 	 -1.129594e-03 	4.844150e-01 	 -1.343578e-03 	 
4.852925e-01 	 -1.102310e-03 	4.852925e-01 	 -1.370174e-03 	 
4.861373e-01 	 -1.117825e-03 	4.861373e-01 	 -1.365205e-03 	 
4.869504e-01 	 -1.138954e-03 	4.869504e-01 	 -1.323716e-03 	 
4.877326e-01 	 -1.135023e-03 	4.877326e-01 	 -1.273564e-03 	 
4.884848e-01 	 -1.104502e-03 	4.884848e-01 	 -1.243782e-03 	 
4.892080e-01 	 -1.058834e-03 	4.892080e-01 	 -1.240373e-03 	 
4.899030e-01 	 -1.002928e-03 	4.899030e-01 	 -1.249693e-03 	 
4.905710e-01 	 -9.411940e-04 	4.905710e-01 	 -1.254872e-03 	 
4.912129e-01 	 -8.878691e-04 	4.912129e-01 	 -1.247648e-03 	 
4.918298e-01 	 -8.549303e-04 	4.918298e-01 	 -1.231779e-03 	 
4.924226e-01 	 -8.292064e-04 	4.924226e-01 	 -1.211511e-03 	 
4.929926e-01 	 -7.930833e-04 	4.929926e-01 	 -1.193348e-03 	 
4.935409e-01 	 -7.361229e-04 	4.935409e-01 	 -1.171216e-03 	 
4.940685e-01 	 -6.775679e-04 	4.940685e-01 	 -1.146089e-03 	 
4.945767e-01 	 -6.312983e-04 	4.945767e-01 	 -1.112900e-03 	 
4.950666e-01 	 -6.025680e-04 	4.950666e-01 	 -1.074437e-03 	 
4.955395e-01 	 -5.827968e-04 	4.955395e-01 	 -1.033806e-03 	 
4.959967e-01 	 -5.585710e-04 	4.959967e-01 	 -9.876593e-04 	 
