x0	T1	x1	T2	x2	T3	x3	T4	x4	avg	
-4.214171e-01 	 -4.390473e-03 	-4.214171e-01 	 9.139581e-04 	-4.214171e-01 	 -5.044323e-03 	-4.214171e-01 	 6.303395e-04 	-4.364962e-01 	 1.046431e-03 	 
-4.193401e-01 	 -5.332229e-03 	-4.193401e-01 	 8.175285e-04 	-4.193401e-01 	 -6.903329e-03 	-4.193401e-01 	 6.043255e-04 	-4.344028e-01 	 7.832624e-04 	 
-4.172201e-01 	 -5.500215e-03 	-4.172201e-01 	 6.889126e-04 	-4.172201e-01 	 -7.035294e-03 	-4.172201e-01 	 6.073966e-04 	-4.322655e-01 	 7.021556e-04 	 
-4.150571e-01 	 -4.461902e-03 	-4.150571e-01 	 6.763225e-04 	-4.150571e-01 	 -5.613324e-03 	-4.150571e-01 	 5.883215e-04 	-4.300840e-01 	 7.882254e-04 	 
-4.128505e-01 	 -2.587501e-03 	-4.128505e-01 	 6.870213e-04 	-4.128505e-01 	 -3.417698e-03 	-4.128505e-01 	 5.354654e-04 	-4.278581e-01 	 9.765938e-04 	 
-4.106001e-01 	 -7.694193e-04 	-4.106001e-01 	 5.206198e-04 	-4.106001e-01 	 -1.363999e-03 	-4.106001e-01 	 4.722343e-04 	-4.255875e-01 	 1.209593e-03 	 
-4.083058e-01 	 5.782677e-04 	-4.083058e-01 	 1.105112e-04 	-4.083058e-01 	 3.626054e-06 	-4.083058e-01 	 3.964773e-04 	-4.232719e-01 	 1.435547e-03 	 
-4.059672e-01 	 1.288633e-03 	-4.059672e-01 	 -4.018791e-04 	-4.059672e-01 	 8.287758e-04 	-4.059672e-01 	 2.887087e-04 	-4.209110e-01 	 1.607517e-03 	 
-4.035842e-01 	 1.496870e-03 	-4.035842e-01 	 -8.880630e-04 	-4.035842e-01 	 1.558056e-03 	-4.035842e-01 	 1.699738e-04 	-4.185047e-01 	 1.719831e-03 	 
-4.011565e-01 	 1.638531e-03 	-4.011565e-01 	 -1.406326e-03 	-4.011565e-01 	 2.093359e-03 	-4.011565e-01 	 8.189271e-05 	-4.160528e-01 	 1.800469e-03 	 
-3.986840e-01 	 1.783638e-03 	-3.986840e-01 	 -2.057829e-03 	-3.986840e-01 	 2.029878e-03 	-3.986840e-01 	 3.290782e-05 	-4.135550e-01 	 1.852005e-03 	 
-3.961666e-01 	 1.667811e-03 	-3.961666e-01 	 -2.794420e-03 	-3.961666e-01 	 1.639351e-03 	-3.961666e-01 	 -1.766705e-05 	-4.110113e-01 	 1.844559e-03 	 
-3.936040e-01 	 1.205803e-03 	-3.936040e-01 	 -3.532487e-03 	-3.936040e-01 	 1.541309e-03 	-3.936040e-01 	 -1.225542e-04 	-4.084214e-01 	 1.758346e-03 	 
-3.909962e-01 	 7.029781e-04 	-3.909962e-01 	 -4.351646e-03 	-3.909962e-01 	 1.660346e-03 	-3.909962e-01 	 -2.694350e-04 	-4.057853e-01 	 1.612239e-03 	 
-3.883431e-01 	 7.167623e-04 	-3.883431e-01 	 -5.335921e-03 	-3.883431e-01 	 1.761540e-03 	-3.883431e-01 	 -3.945922e-04 	-4.031029e-01 	 1.457371e-03 	 
-3.856446e-01 	 1.223353e-03 	-3.856446e-01 	 -6.376192e-03 	-3.856446e-01 	 2.142764e-03 	-3.856446e-01 	 -4.893865e-04 	-4.003740e-01 	 1.318672e-03 	 
