x0	T1	x1	T2	x2	T3	
-2.327214e-01 	 -3.586255e-04 	-2.327214e-01 	 1.586103e-03 	-2.327214e-01 	 -5.123087e-03 	 
-2.282239e-01 	 -2.449724e-04 	-2.282239e-01 	 1.143323e-03 	-2.282239e-01 	 -5.223304e-03 	 
-2.236928e-01 	 -3.048130e-04 	-2.236928e-01 	 9.027581e-04 	-2.236928e-01 	 -5.317571e-03 	 
-2.191285e-01 	 -3.707703e-04 	-2.191285e-01 	 9.374462e-04 	-2.191285e-01 	 -5.366116e-03 	 
-2.145316e-01 	 -3.029632e-04 	-2.145316e-01 	 8.052214e-04 	-2.145316e-01 	 -5.328670e-03 	 
-2.099027e-01 	 -3.571319e-04 	-2.099027e-01 	 2.180365e-04 	-2.099027e-01 	 -5.170957e-03 	 
-2.052424e-01 	 -5.812178e-04 	-2.052424e-01 	 -3.558358e-04 	-2.052424e-01 	 -4.896572e-03 	 
-2.005512e-01 	 -7.421684e-04 	-2.005512e-01 	 -4.896794e-04 	-2.005512e-01 	 -4.563263e-03 	 
-1.958298e-01 	 -6.725675e-04 	-1.958298e-01 	 -3.781439e-04 	-1.958298e-01 	 -4.243121e-03 	 
-1.910787e-01 	 -4.292483e-04 	-1.910787e-01 	 -2.632281e-04 	-1.910787e-01 	 -3.980948e-03 	 
-1.862985e-01 	 -3.725801e-04 	-1.862985e-01 	 -1.306260e-04 	-1.862985e-01 	 -3.782527e-03 	 
-1.814898e-01 	 -6.708849e-04 	-1.814898e-01 	 1.690105e-06 	-1.814898e-01 	 -3.617901e-03 	 
-1.766534e-01 	 -9.728455e-04 	-1.766534e-01 	 7.987642e-05 	-1.766534e-01 	 -3.444971e-03 	 
-1.717898e-01 	 -1.043753e-03 	-1.717898e-01 	 1.202704e-04 	-1.717898e-01 	 -3.248704e-03 	 
-1.668996e-01 	 -1.015070e-03 	-1.668996e-01 	 6.219815e-05 	-1.668996e-01 	 -3.060734e-03 	 
-1.619835e-01 	 -9.432040e-04 	-1.619835e-01 	 -1.894107e-04 	-1.619835e-01 	 -2.924716e-03 	 
-1.570422e-01 	 -8.067189e-04 	-1.570422e-01 	 -4.669226e-04 	-1.570422e-01 	 -2.842725e-03 	 
-1.520763e-01 	 -7.350589e-04 	-1.520763e-01 	 -4.925375e-04 	-1.520763e-01 	 -2.766281e-03 	 
-1.470864e-01 	 -8.464184e-04 	-1.470864e-01 	 -4.068392e-04 	-1.470864e-01 	 -2.665445e-03 	 
