x0	G1	x1	G2	x2	G3	x3	G4	
-4.255875e-01 	 1.194182e-03 	-3.435329e-01 	 4.664491e-04 	-3.983787e-01 	 1.724632e-03 	-3.983790e-01 	 1.616514e-03 	 
-4.232720e-01 	 1.374051e-03 	-3.373544e-01 	 6.776915e-04 	-3.947195e-01 	 1.605135e-03 	-3.947195e-01 	 1.440568e-03 	 
-4.209109e-01 	 1.506025e-03 	-3.310507e-01 	 9.403815e-04 	-3.909815e-01 	 1.509400e-03 	-3.909815e-01 	 1.242303e-03 	 
-4.185046e-01 	 1.615671e-03 	-3.246229e-01 	 1.069673e-03 	-3.871654e-01 	 1.353712e-03 	-3.871654e-01 	 1.044632e-03 	 
-4.160528e-01 	 1.702502e-03 	-3.180725e-01 	 1.078598e-03 	-3.832708e-01 	 1.144150e-03 	-3.832710e-01 	 8.608665e-04 	 
-4.135550e-01 	 1.759685e-03 	-3.114018e-01 	 1.094043e-03 	-3.792984e-01 	 9.806659e-04 	-3.792984e-01 	 7.171202e-04 	 
-4.110113e-01 	 1.793815e-03 	-3.046121e-01 	 1.116837e-03 	-3.752481e-01 	 8.840450e-04 	-3.752483e-01 	 6.416067e-04 	 
-4.084214e-01 	 1.776947e-03 	-2.977059e-01 	 1.102187e-03 	-3.711202e-01 	 8.103932e-04 	-3.711203e-01 	 6.524262e-04 	 
-4.057855e-01 	 1.671947e-03 	-2.906849e-01 	 1.034002e-03 	-3.669153e-01 	 7.343807e-04 	-3.669151e-01 	 7.001691e-04 	 
-4.031028e-01 	 1.519176e-03 	-2.835512e-01 	 8.956799e-04 	-3.626336e-01 	 6.677072e-04 	-3.626335e-01 	 7.274442e-04 	 
-4.003738e-01 	 1.404988e-03 	-2.763074e-01 	 7.258404e-04 	-3.582751e-01 	 6.444356e-04 	-3.582750e-01 	 7.464656e-04 	 
-3.975988e-01 	 1.311430e-03 	-2.689558e-01 	 6.288321e-04 	-3.538404e-01 	 6.810644e-04 	-3.538405e-01 	 7.752099e-04 	 
-3.947768e-01 	 1.181115e-03 	-2.614981e-01 	 6.357984e-04 	-3.493304e-01 	 7.732721e-04 	-3.493305e-01 	 8.091483e-04 	 
-3.919084e-01 	 1.048857e-03 	-2.539375e-01 	 6.510928e-04 	-3.447452e-01 	 8.853769e-04 	-3.447453e-01 	 8.891135e-04 	 
-3.889933e-01 	 9.560537e-04 	-2.462761e-01 	 5.838349e-04 	-3.400856e-01 	 9.811565e-04 	-3.400856e-01 	 1.023004e-03 	 
-3.860317e-01 	 8.715983e-04 	-2.385171e-01 	 4.282745e-04 	-3.353520e-01 	 1.055409e-03 	-3.353518e-01 	 1.122162e-03 	 
