x0	y0	y1	y2	y3	y4	y5	y6	y7	y8	y9	y10	
8.437347e-01 	2.442871e-01 	1.370936e-01 	1.087953e-01 	1.423289e-01 	6.110825e-02 	1.618921e-01 	1.533234e-01 	9.098513e-02 	1.738796e-01 	9.284404e-02 	-7.788929e-03 	 
8.593140e-01 	2.418591e-01 	1.303308e-01 	9.966028e-02 	1.309418e-01 	4.675978e-02 	1.380642e-01 	1.468371e-01 	1.684650e-01 	1.660216e-01 	4.088972e-02 	2.194837e-02 	 
8.748932e-01 	2.393033e-01 	1.233840e-01 	9.294548e-02 	1.146860e-01 	3.894698e-02 	1.216141e-01 	1.726210e-01 	1.909282e-01 	1.568130e-01 	1.746021e-03 	5.196007e-02 	 
8.904724e-01 	2.366536e-01 	1.163667e-01 	8.677465e-02 	9.470875e-02 	4.354320e-02 	1.133361e-01 	2.043448e-01 	1.871213e-01 	1.258150e-01 	2.186291e-02 	6.379349e-02 	 
9.062195e-01 	2.339378e-01 	1.092580e-01 	7.753947e-02 	7.407262e-02 	6.091442e-02 	1.099199e-01 	2.120650e-01 	1.726379e-01 	7.270744e-02 	7.479348e-02 	6.493779e-02 	 
9.217834e-01 	2.312719e-01 	1.019941e-01 	6.231964e-02 	5.940866e-02 	7.947338e-02 	1.122739e-01 	2.012763e-01 	1.251557e-01 	3.742560e-03 	1.133566e-01 	5.024012e-02 	 
9.373627e-01 	2.286239e-01 	9.408955e-02 	4.133806e-02 	5.957168e-02 	8.597237e-02 	1.205242e-01 	1.900543e-01 	8.346373e-02 	-6.363756e-02 	1.120059e-01 	2.023063e-02 	 
9.531097e-01 	2.259671e-01 	8.516543e-02 	1.997796e-02 	8.229502e-02 	7.965483e-02 	1.266377e-01 	1.828496e-01 	7.090009e-02 	-3.175451e-02 	7.350802e-02 	9.163817e-03 	 
9.686890e-01 	2.234716e-01 	7.549536e-02 	8.616067e-03 	1.173118e-01 	7.363005e-02 	1.245603e-01 	1.642704e-01 	1.044066e-01 	1.096173e-01 	4.820669e-02 	5.188457e-02 	 
9.842682e-01 	2.212255e-01 	6.567025e-02 	1.619336e-02 	1.357342e-01 	8.371595e-02 	1.233320e-01 	1.314690e-01 	1.534387e-01 	2.259254e-01 	7.196233e-02 	1.302579e-01 	 
9.998474e-01 	2.192163e-01 	5.720856e-02 	4.093724e-02 	1.275959e-01 	1.080889e-01 	1.268064e-01 	9.929847e-02 	1.359097e-01 	2.489425e-01 	1.075796e-01 	1.902910e-01 	 
1.015594e+00 	2.173641e-01 	5.180228e-02 	6.275400e-02 	1.110564e-01 	1.148886e-01 	1.173245e-01 	7.389107e-02 	8.583971e-02 	1.944639e-01 	1.029847e-01 	2.055524e-01 	 
1.031174e+00 	2.157219e-01 	4.995347e-02 	5.977096e-02 	1.052780e-01 	9.910852e-02 	8.886373e-02 	5.862056e-02 	6.926460e-02 	1.118380e-01 	6.203371e-02 	1.877486e-01 	 
1.046753e+00 	2.143905e-01 	4.941780e-02 	3.317231e-02 	1.023187e-01 	1.100894e-01 	6.222472e-02 	5.398598e-02 	7.122511e-02 	5.408968e-02 	1.948419e-02 	1.563302e-01 	 
1.062332e+00 	2.135062e-01 	4.640330e-02 	5.109000e-03 	1.009569e-01 	1.075682e-01 	6.363569e-02 	6.063382e-02 	9.206998e-02 	7.609297e-02 	-8.747254e-03 	1.219738e-01 	 
1.078079e+00 	2.130938e-01 	3.850685e-02 	-7.129349e-03 	1.430688e-01 	7.719676e-02 	9.143572e-02 	7.513867e-02 	1.348860e-01 	1.545329e-01 	-2.082683e-02 	9.002931e-02 	 
1.093658e+00 	2.130742e-01 	2.833745e-02 	7.000085e-03 	1.588516e-01 	6.313983e-02 	1.253957e-01 	7.962454e-02 	1.280250e-01 	1.990243e-01 	-2.316717e-03 	6.881974e-02 	 
1.109253e+00 	2.132935e-01 	2.348297e-02 	6.754477e-02 	1.290895e-01 	9.464405e-02 	1.528409e-01 	6.304780e-02 	6.845978e-02 	1.746297e-01 	4.883949e-02 	6.338380e-02 	 
1.124832e+00 	2.136077e-01 	3.146320e-02 	1.227005e-01 	1.241523e-01 	1.510185e-01 	1.633537e-01 	3.531415e-02 	3.130659e-02 	1.162081e-01 	8.988058e-02 	6.936919e-02 	 
1.140594e+00 	2.139223e-01 	5.065092e-02 	1.212432e-01 	1.346939e-01 	1.993855e-01 	1.406307e-01 	1.908963e-02 	2.713749e-02 	5.829309e-02 	8.237143e-02 	7.622813e-02 	 
1.156189e+00 	2.141810e-01 	6.683660e-02 	9.758529e-02 	1.253825e-01 	2.199753e-01 	8.406495e-02 	2.711884e-02 	5.018409e-02 	-6.111876e-03 	6.111570e-02 	7.327519e-02 	 
1.171768e+00 	2.143698e-01 	6.779037e-02 	9.535567e-02 	1.338170e-01 	1.732128e-01 	1.297443e-02 	6.061027e-02 	1.012379e-01 	-4.877412e-02 	5.202552e-02 	5.484628e-02 	 
1.187363e+00 	2.145496e-01 	5.350560e-02 	8.754160e-02 	1.903558e-01 	1.130618e-01 	-1.552077e-03 	1.130489e-01 	1.499113e-01 	-4.568990e-02 	3.428588e-02 	2.514965e-02 	 
1.203125e+00 	2.147843e-01 	3.588685e-02 	7.975151e-02 	1.685633e-01 	9.123038e-02 	3.763144e-02 	1.504462e-01 	1.561122e-01 	-1.232511e-02 	8.810825e-03 	-1.039339e-03 	 
1.218704e+00 	2.151299e-01 	3.454432e-02 	1.313939e-01 	1.384920e-01 	1.287460e-01 	1.023730e-01 	1.524963e-01 	1.232427e-01 	1.430618e-02 	-5.227360e-03 	-8.460104e-03 	 
1.234283e+00 	2.157538e-01 	6.062443e-02 	1.674695e-01 	1.505581e-01 	1.721880e-01 	1.614394e-01 	1.318661e-01 	7.282887e-02 	-8.619110e-03 	-7.576452e-03 	-6.933279e-04 	 
1.249863e+00 	2.169097e-01 	9.963718e-02 	1.592064e-01 	1.754859e-01 	2.058931e-01 	1.497034e-01 	1.002803e-01 	2.460057e-02 	-5.064052e-02 	-3.041161e-03 	5.329961e-03 	 
1.265610e+00 	2.186823e-01 	1.217676e-01 	1.586229e-01 	1.961521e-01 	1.837842e-01 	9.578969e-02 	6.347397e-02 	-1.038388e-02 	-3.511069e-02 	1.791727e-02 	1.353266e-03 	 
1.281189e+00 	2.207919e-01 	1.201308e-01 	1.610633e-01 	2.230558e-01 	1.131678e-01 	9.813617e-02 	2.746452e-02 	-2.818808e-02 	-2.042575e-04 	4.743373e-02 	-6.297772e-03 	 
1.296768e+00 	2.230911e-01 	1.037055e-01 	1.456057e-01 	2.296072e-01 	5.168526e-02 	1.412249e-01 	1.635320e-02 	-3.594618e-02 	-3.149530e-04 	6.336864e-02 	-1.192745e-02 	 
1.312332e+00 	2.255944e-01 	8.947860e-02 	1.527979e-01 	1.852400e-01 	4.164022e-02 	1.739605e-01 	5.206020e-02 	-4.303408e-02 	-3.190586e-02 	7.787028e-02 	-1.379364e-02 	 
1.328079e+00 	2.283889e-01 	9.880291e-02 	1.927241e-01 	1.765076e-01 	7.354183e-02 	1.830697e-01 	7.985285e-02 	-4.369692e-02 	-7.315814e-02 	1.018270e-01 	-1.541067e-02 	 
1.343658e+00 	2.313919e-01 	1.296132e-01 	2.018216e-01 	1.852363e-01 	1.371356e-01 	1.653427e-01 	4.882451e-02 	-3.762722e-02 	-1.022443e-01 	1.056367e-01 	-2.920672e-02 	 
1.359222e+00 	2.344080e-01 	1.557929e-01 	1.991449e-01 	1.951272e-01 	1.913513e-01 	1.533500e-01 	1.895797e-02 	-3.085678e-02 	-1.086260e-01 	8.876507e-02 	-4.577580e-02 	 
1.374969e+00 	2.372600e-01 	1.650055e-01 	1.893630e-01 	2.397182e-01 	1.476469e-01 	1.627060e-01 	4.841012e-02 	3.346483e-03 	-7.996951e-02 	7.662965e-02 	-3.425732e-02 	 
1.390549e+00 	2.398467e-01 	1.623363e-01 	1.765716e-01 	2.728308e-01 	9.697627e-02 	1.791599e-01 	1.210722e-01 	6.830446e-02 	-1.581591e-02 	7.522072e-02 	6.891944e-05 	 
1.406128e+00 	2.423038e-01 	1.553077e-01 	1.684915e-01 	2.436654e-01 	1.013691e-01 	1.821391e-01 	1.503727e-01 	1.117350e-01 	8.429131e-02 	6.709241e-02 	3.132403e-02 	 
1.421860e+00 	2.446899e-01 	1.548353e-01 	1.936746e-01 	2.142964e-01 	1.488661e-01 	1.669300e-01 	9.860174e-02 	1.091125e-01 	1.760941e-01 	3.668782e-02 	3.855867e-02 	 
1.437439e+00 	2.469564e-01 	1.656081e-01 	2.248601e-01 	2.162504e-01 	2.153866e-01 	1.431589e-01 	2.732615e-02 	7.936395e-02 	2.310265e-01 	-4.962596e-03 	1.861724e-02 	 
1.453003e+00 	2.491078e-01 	1.803189e-01 	2.360635e-01 	2.110813e-01 	2.619957e-01 	1.277453e-01 	-5.583529e-03 	4.933096e-02 	2.468605e-01 	-7.455059e-02 	-7.633632e-03 	 
1.468750e+00 	2.510861e-01 	1.908793e-01 	2.333649e-01 	2.221083e-01 	2.331015e-01 	9.992822e-02 	3.547895e-02 	3.534135e-02 	2.119659e-01 	-1.299217e-01 	-1.515024e-02 	 
1.484314e+00 	2.528305e-01 	1.956740e-01 	2.107318e-01 	2.517026e-01 	1.889721e-01 	9.132330e-02 	7.879021e-02 	4.447746e-02 	1.440349e-01 	-1.098723e-01 	4.664210e-03 	 
1.499878e+00 	2.544834e-01 	1.966493e-01 	1.913508e-01 	2.650695e-01 	1.734502e-01 	1.588091e-01 	8.252941e-02 	5.792980e-02 	8.992413e-02 	-6.531312e-02 	3.498329e-02 	 
1.515625e+00 	2.561814e-01 	1.968581e-01 	2.004546e-01 	2.372273e-01 	1.899662e-01 	2.578904e-01 	9.196089e-02 	5.130439e-02 	5.682803e-02 	-4.845028e-02 	4.211253e-02 	 
1.531189e+00 	2.579083e-01 	1.989413e-01 	2.327572e-01 	2.346657e-01 	2.374894e-01 	2.534141e-01 	1.109636e-01 	2.480800e-02 	4.559424e-02 	-4.977166e-02 	2.553500e-02 	 
1.546753e+00 	2.595809e-01 	2.029691e-01 	2.551545e-01 	2.462736e-01 	2.599230e-01 	1.844223e-01 	1.160910e-01 	4.900442e-02 	4.956899e-02 	-4.690288e-02 	1.368374e-02 	 
1.562500e+00 	2.610720e-01 	2.073489e-01 	2.639950e-01 	2.375674e-01 	2.727062e-01 	1.230518e-01 	9.732532e-02 	1.675732e-01 	4.350850e-02 	-3.552267e-02 	-3.798099e-03 	 
1.578064e+00 	2.622975e-01 	2.105773e-01 	2.583993e-01 	2.366906e-01 	2.673082e-01 	8.991501e-02 	7.603474e-02 	1.889125e-01 	2.661907e-02 	-2.060154e-02 	-3.563111e-02 	 
1.593628e+00 	2.633008e-01 	2.122636e-01 	2.391711e-01 	2.559972e-01 	2.233339e-01 	1.391504e-01 	9.198192e-02 	1.660128e-01 	4.053200e-03 	-6.855238e-03 	-5.933470e-02 	 
1.609360e+00 	2.641547e-01 	2.127487e-01 	2.251274e-01 	2.702143e-01 	1.743711e-01 	2.261745e-01 	1.440746e-01 	2.621594e-01 	-5.044196e-02 	1.123064e-02 	-6.250034e-02 	 
1.624939e+00 	2.649167e-01 	2.126683e-01 	2.285140e-01 	2.605509e-01 	1.394865e-01 	2.807191e-01 	1.673018e-01 	3.071624e-01 	-1.517249e-01 	3.916606e-02 	-5.288028e-02 	 
1.640503e+00 	2.655640e-01 	2.125325e-01 	2.415235e-01 	2.562731e-01 	1.349963e-01 	2.904222e-01 	1.269217e-01 	2.690514e-01 	-1.499686e-01 	8.137523e-02 	-3.709011e-02 	 
1.656235e+00 	2.660011e-01 	2.124615e-01 	2.527643e-01 	2.674214e-01 	1.502826e-01 	2.694448e-01 	5.470739e-02 	2.242967e-01 	-5.748346e-02 	1.198148e-01 	-1.900667e-02 	 
1.671814e+00 	2.661371e-01 	2.122084e-01 	2.583267e-01 	2.746002e-01 	1.638812e-01 	2.423929e-01 	9.374088e-02 	2.066144e-01 	2.416198e-02 	1.196668e-01 	-5.063965e-03 	 
1.687378e+00 	2.659090e-01 	2.113874e-01 	2.574916e-01 	2.757582e-01 	1.654348e-01 	2.156767e-01 	2.069261e-01 	2.158144e-01 	6.398700e-02 	8.005253e-02 	3.405061e-03 	 
1.702957e+00 	2.652842e-01 	2.097334e-01 	2.500105e-01 	2.797483e-01 	1.505246e-01 	1.930625e-01 	2.014492e-01 	2.219537e-01 	9.006869e-02 	3.105515e-02 	9.855745e-03 	 
1.718689e+00 	2.642756e-01 	2.070706e-01 	2.385818e-01 	2.878493e-01 	1.422271e-01 	1.693202e-01 	1.717435e-01 	2.134277e-01 	1.091135e-01 	-3.358089e-03 	2.021602e-02 	 
1.734268e+00 	2.629260e-01 	2.034789e-01 	2.280263e-01 	2.879041e-01 	1.492026e-01 	1.706328e-01 	1.418389e-01 	1.958681e-01 	1.140346e-01 	-4.987154e-02 	4.283947e-02 	 
1.749832e+00 	2.612569e-01 	1.990965e-01 	2.212971e-01 	2.763172e-01 	1.776712e-01 	2.087356e-01 	9.858499e-02 	1.583826e-01 	1.059335e-01 	-1.045707e-01 	8.024914e-02 	 
1.765579e+00 	2.592970e-01 	1.941667e-01 	2.184058e-01 	2.583957e-01 	2.269004e-01 	2.232552e-01 	5.644064e-02 	1.406543e-01 	9.082460e-02 	-1.067812e-01 	1.207936e-01 	 
1.781143e+00 	2.571946e-01 	1.889803e-01 	2.171220e-01 	2.387560e-01 	2.611372e-01 	1.984399e-01 	3.327193e-02 	1.576384e-01 	7.088622e-02 	-3.338873e-02 	1.477043e-01 	 
1.796722e+00 	2.549870e-01 	1.835004e-01 	2.146177e-01 	2.200871e-01 	2.700876e-01 	1.739562e-01 	5.005673e-02 	1.686171e-01 	5.046532e-02 	4.519184e-02 	1.568339e-01 	 
