x0	up	x1	bot	
4.629025e-01 	 3.848589e-03 	4.629025e-01 	 5.340465e-05 	 
4.662198e-01 	 3.776725e-03 	4.662198e-01 	 3.301180e-05 	 
4.693491e-01 	 3.707471e-03 	4.693491e-01 	 1.430787e-05 	 
4.722976e-01 	 3.641569e-03 	4.722976e-01 	 -2.447671e-06 	 
4.750729e-01 	 3.579573e-03 	4.750729e-01 	 -1.800142e-05 	 
4.776833e-01 	 3.520246e-03 	4.776833e-01 	 -3.189066e-05 	 
4.801378e-01 	 3.463210e-03 	4.801378e-01 	 -4.428798e-05 	 
4.824458e-01 	 3.409370e-03 	4.824458e-01 	 -5.642216e-05 	 
4.846173e-01 	 3.357319e-03 	4.846173e-01 	 -6.593923e-05 	 
4.866631e-01 	 3.309440e-03 	4.866631e-01 	 -7.531484e-05 	 
4.885946e-01 	 3.265944e-03 	4.885946e-01 	 -8.469875e-05 	 
4.904236e-01 	 3.224267e-03 	4.904236e-01 	 -9.064481e-05 	 
4.921628e-01 	 3.188742e-03 	4.921628e-01 	 -9.972253e-05 	 
4.938255e-01 	 3.157295e-03 	4.938255e-01 	 -1.026457e-04 	 
4.954256e-01 	 3.127793e-03 	4.954256e-01 	 -1.042494e-04 	 
4.969777e-01 	 3.107610e-03 	4.969777e-01 	 -1.226315e-04 	 
4.984972e-01 	 3.102442e-03 	4.984972e-01 	 -7.763704e-05 	 
5.000000e-01 	 3.117296e-03 	5.000000e-01 	 7.731618e-05 	 
