x0	Forced	x1	Inflow	x2	G2	x3	G3	x4	G4	x5	3DU	
3.200227e-01 	 -6.394000e-04 	3.200227e-01 	 -6.390000e-04 	2.529427e-01 	 -1.016600e-03 	1.714227e-01 	 -1.799333e-03 	1.354227e-01 	 -2.006667e-03 	7.193460e-01 	 6.540600e-03 	 
3.271127e-01 	 -6.408000e-04 	3.271127e-01 	 -6.684000e-04 	2.578427e-01 	 -1.018200e-03 	1.763427e-01 	 -1.750933e-03 	1.382727e-01 	 -2.007200e-03 	7.520440e-01 	 6.394780e-03 	 
3.342327e-01 	 -6.372000e-04 	3.342327e-01 	 -6.780000e-04 	2.627427e-01 	 -1.005200e-03 	1.813327e-01 	 -1.701867e-03 	1.411427e-01 	 -2.004000e-03 	7.765670e-01 	 6.096970e-03 	 
3.413927e-01 	 -6.162000e-04 	3.413927e-01 	 -6.676000e-04 	2.676327e-01 	 -9.766000e-04 	1.863927e-01 	 -1.654000e-03 	1.440127e-01 	 -1.995733e-03 	7.983650e-01 	 5.798750e-03 	 
3.485827e-01 	 -5.588000e-04 	3.485827e-01 	 -6.390000e-04 	2.725427e-01 	 -9.440000e-04 	1.915327e-01 	 -1.604667e-03 	1.469127e-01 	 -1.983867e-03 	8.256130e-01 	 5.350590e-03 	 
3.558027e-01 	 -4.626000e-04 	3.558027e-01 	 -5.800000e-04 	2.774427e-01 	 -9.176000e-04 	1.967427e-01 	 -1.555467e-03 	1.498127e-01 	 -1.966800e-03 	8.501360e-01 	 4.902030e-03 	 
3.630527e-01 	 -3.498000e-04 	3.630527e-01 	 -4.856000e-04 	2.823427e-01 	 -8.930000e-04 	2.020227e-01 	 -1.508000e-03 	1.527327e-01 	 -1.947600e-03 	8.719350e-01 	 4.603810e-03 	 
3.703227e-01 	 -2.560000e-04 	3.703227e-01 	 -3.624000e-04 	2.872527e-01 	 -8.646000e-04 	2.073627e-01 	 -1.461200e-03 	1.556627e-01 	 -1.927467e-03 	8.937330e-01 	 4.305590e-03 	 
3.776327e-01 	 -1.994000e-04 	3.776327e-01 	 -2.290000e-04 	2.921627e-01 	 -8.326000e-04 	2.127827e-01 	 -1.415333e-03 	1.586027e-01 	 -1.906533e-03 	9.155310e-01 	 3.856610e-03 	 
3.849727e-01 	 -1.660000e-04 	3.849727e-01 	 -1.082000e-04 	2.970727e-01 	 -7.942000e-04 	2.182727e-01 	 -1.369600e-03 	1.615627e-01 	 -1.882800e-03 	9.373300e-01 	 3.407640e-03 	 
3.923327e-01 	 -1.466000e-04 	3.923327e-01 	 -3.020000e-05 	3.019927e-01 	 -7.442000e-04 	2.238327e-01 	 -1.326933e-03 	1.645327e-01 	 -1.856533e-03 	9.591280e-01 	 3.109420e-03 	 
3.997227e-01 	 -1.808000e-04 	3.997227e-01 	 -5.600000e-06 	3.069127e-01 	 -6.892000e-04 	2.294527e-01 	 -1.284667e-03 	1.675227e-01 	 -1.828000e-03 	9.782020e-01 	 2.810780e-03 	 
4.071327e-01 	 -2.928000e-04 	4.071327e-01 	 5.400000e-06 	3.118327e-01 	 -6.484000e-04 	2.351427e-01 	 -1.243867e-03 	1.705227e-01 	 -1.802267e-03 	nan          	nan          	 
4.145627e-01 	 -4.018000e-04 	4.145627e-01 	 8.000000e-05 	3.167527e-01 	 -6.264000e-04 	2.408927e-01 	 -1.204133e-03 	1.735327e-01 	 -1.773733e-03 	nan          	nan          	 
4.220227e-01 	 -4.006000e-04 	4.220227e-01 	 2.492000e-04 	3.216727e-01 	 -6.022000e-04 	2.467127e-01 	 -1.167067e-03 	1.765627e-01 	 -1.744133e-03 	nan          	nan          	 
4.294927e-01 	 -3.258000e-04 	4.294927e-01 	 3.816000e-04 	3.266027e-01 	 -5.590000e-04 	2.526027e-01 	 -1.129333e-03 	1.796027e-01 	 -1.714133e-03 	nan          	nan          	 
4.369827e-01 	 -3.602000e-04 	4.369827e-01 	 1.846000e-04 	3.315327e-01 	 -5.144000e-04 	2.585427e-01 	 -1.093200e-03 	1.826527e-01 	 -1.684400e-03 	nan          	nan          	 
4.444927e-01 	 -6.790000e-04 	4.444927e-01 	 -5.790000e-04 	3.364627e-01 	 -4.820000e-04 	2.645527e-01 	 -1.057733e-03 	1.857227e-01 	 -1.654800e-03 	nan          	nan          	 
4.520227e-01 	 -1.385000e-03 	4.520227e-01 	 -1.853200e-03 	3.414027e-01 	 -4.542000e-04 	2.706227e-01 	 -1.023200e-03 	1.888127e-01 	 -1.625467e-03 	nan          	nan          	 
4.595627e-01 	 -2.473600e-03 	4.595627e-01 	 -3.327800e-03 	3.463427e-01 	 -4.208000e-04 	2.767427e-01 	 -9.916000e-04 	1.919027e-01 	 -1.596267e-03 	nan          	nan          	 
4.671127e-01 	 -3.797600e-03 	4.671127e-01 	 -4.740400e-03 	3.512827e-01 	 -3.778000e-04 	2.829327e-01 	 -9.622667e-04 	1.950127e-01 	 -1.567200e-03 	nan          	nan          	 
4.746827e-01 	 -5.148400e-03 	4.746827e-01 	 -6.065800e-03 	3.562227e-01 	 -3.392000e-04 	2.891727e-01 	 -9.352000e-04 	1.981427e-01 	 -1.537867e-03 	nan          	nan          	 
4.822627e-01 	 -6.300600e-03 	4.822627e-01 	 -7.372200e-03 	3.611727e-01 	 -3.198000e-04 	2.954627e-01 	 -9.078667e-04 	2.012827e-01 	 -1.508667e-03 	nan          	nan          	 
4.898427e-01 	 -6.932000e-03 	4.898427e-01 	 -8.705800e-03 	3.661227e-01 	 -3.378000e-04 	3.018127e-01 	 -8.809333e-04 	2.044327e-01 	 -1.480000e-03 	nan          	nan          	 
4.974327e-01 	 -6.779200e-03 	4.974327e-01 	 -1.010560e-02 	3.710727e-01 	 -3.934000e-04 	3.082127e-01 	 -8.530667e-04 	2.076027e-01 	 -1.453067e-03 	nan          	nan          	 
