x0	8A00W11AoA20/	x1	8A15W11AoA20/	
1.812480e+01 	 3.824286e-01 	1.812486e+01 	 3.703012e-01 	 
1.825000e+01 	 3.806610e-01 	1.824993e+01 	 3.703702e-01 	 
1.837490e+01 	 3.788441e-01 	1.837488e+01 	 3.704805e-01 	 
1.850000e+01 	 3.770449e-01 	1.850000e+01 	 3.704881e-01 	 
1.862500e+01 	 3.754434e-01 	1.862485e+01 	 3.706336e-01 	 
1.874980e+01 	 3.743816e-01 	1.874994e+01 	 3.707227e-01 	 
1.887500e+01 	 3.736860e-01 	1.887500e+01 	 3.707807e-01 	 
1.899990e+01 	 3.733910e-01 	1.899988e+01 	 3.707065e-01 	 
1.912490e+01 	 3.733276e-01 	1.912495e+01 	 3.704806e-01 	 
1.924990e+01 	 3.736004e-01 	1.924990e+01 	 3.703111e-01 	 
1.937500e+01 	 3.740627e-01 	1.937488e+01 	 3.701747e-01 	 
1.949980e+01 	 3.749165e-01 	1.949984e+01 	 3.699642e-01 	 
1.962500e+01 	 3.760981e-01 	1.962495e+01 	 3.696624e-01 	 
1.974990e+01 	 3.768107e-01 	1.974994e+01 	 3.694572e-01 	 
1.987500e+01 	 3.777958e-01 	1.987491e+01 	 3.691459e-01 	 
1.999990e+01 	 3.792331e-01 	1.999994e+01 	 3.689646e-01 	 
2.012480e+01 	 3.808546e-01 	2.012496e+01 	 3.688590e-01 	 
2.024990e+01 	 3.822964e-01 	2.024997e+01 	 3.689159e-01 	 
2.037490e+01 	 3.831869e-01 	2.037495e+01 	 3.690497e-01 	 
2.049980e+01 	 3.841639e-01 	2.049995e+01 	 3.691489e-01 	 
2.062490e+01 	 3.849561e-01 	2.062485e+01 	 3.693797e-01 	 
2.074990e+01 	 3.858171e-01 	2.074984e+01 	 3.699331e-01 	 
2.087490e+01 	 3.867518e-01 	2.087498e+01 	 3.707119e-01 	 
2.099980e+01 	 3.876927e-01 	2.099991e+01 	 3.713542e-01 	 
2.112490e+01 	 3.885465e-01 	2.112497e+01 	 3.718162e-01 	 
2.124990e+01 	 3.896552e-01 	2.124997e+01 	 3.723128e-01 	 
2.137490e+01 	 3.904619e-01 	2.137495e+01 	 3.725587e-01 	 
2.149990e+01 	 3.911138e-01 	2.149993e+01 	 3.729010e-01 	 
2.162500e+01 	 3.916367e-01 	2.162492e+01 	 3.730489e-01 	 
2.174990e+01 	 3.917995e-01 	2.174991e+01 	 3.730769e-01 	 
2.187480e+01 	 3.921960e-01 	2.187488e+01 	 3.732349e-01 	 
2.199990e+01 	 3.924291e-01 	2.199983e+01 	 3.730526e-01 	 
2.212490e+01 	 3.925736e-01 	2.212499e+01 	 3.726702e-01 	 
2.224990e+01 	 3.923889e-01 	2.224998e+01 	 3.721668e-01 	 
2.237500e+01 	 3.920211e-01 	2.237497e+01 	 3.718924e-01 	 
2.250000e+01 	 3.914937e-01 	2.249985e+01 	 3.715325e-01 	 
2.262500e+01 	 3.910581e-01 	2.262498e+01 	 3.710722e-01 	 
2.274980e+01 	 3.905160e-01 	2.274988e+01 	 3.706651e-01 	 
2.287490e+01 	 3.897180e-01 	2.287485e+01 	 3.702908e-01 	 
2.299980e+01 	 3.888001e-01 	2.299988e+01 	 3.698682e-01 	 
2.312500e+01 	 3.877243e-01 	2.312494e+01 	 3.695289e-01 	 
2.325000e+01 	 3.864360e-01 	2.324999e+01 	 3.694352e-01 	 
2.337480e+01 	 3.852533e-01 	2.337484e+01 	 3.694430e-01 	 
2.349990e+01 	 3.842576e-01 	2.349992e+01 	 3.695510e-01 	 
2.362500e+01 	 3.832876e-01 	2.362500e+01 	 3.695138e-01 	 
2.374990e+01 	 3.822846e-01 	2.374995e+01 	 3.694988e-01 	 
2.387500e+01 	 3.812183e-01 	2.387495e+01 	 3.694034e-01 	 
2.399990e+01 	 3.803542e-01 	2.399983e+01 	 3.695200e-01 	 
2.412490e+01 	 3.799872e-01 	2.412488e+01 	 3.693381e-01 	 
2.424990e+01 	 3.796620e-01 	2.424987e+01 	 3.693317e-01 	 
2.437490e+01 	 3.796066e-01 	2.437489e+01 	 3.694166e-01 	 
2.449990e+01 	 3.797940e-01 	2.449998e+01 	 3.697199e-01 	 
2.462500e+01 	 3.799607e-01 	2.462494e+01 	 3.698636e-01 	 
2.475000e+01 	 3.802406e-01 	2.474992e+01 	 3.699964e-01 	 
2.487500e+01 	 3.802536e-01 	2.487491e+01 	 3.698925e-01 	 
2.499990e+01 	 3.803583e-01 	2.499997e+01 	 3.699534e-01 	 
2.512490e+01 	 3.810297e-01 	2.512495e+01 	 3.698006e-01 	 
2.524990e+01 	 3.822531e-01 	2.524984e+01 	 3.697149e-01 	 
2.537490e+01 	 3.839122e-01 	2.537490e+01 	 3.698488e-01 	 
2.550000e+01 	 3.851712e-01 	2.549991e+01 	 3.699282e-01 	 
2.562500e+01 	 3.868156e-01 	2.562489e+01 	 3.698001e-01 	 
2.575000e+01 	 3.880442e-01 	2.574983e+01 	 3.695666e-01 	 
2.587490e+01 	 3.896239e-01 	2.587494e+01 	 3.695972e-01 	 
2.599980e+01 	 3.908450e-01 	2.599998e+01 	 3.698217e-01 	 
2.612490e+01 	 3.921108e-01 	2.612489e+01 	 3.701364e-01 	 
2.624990e+01 	 3.929614e-01 	2.624985e+01 	 3.702962e-01 	 
2.637480e+01 	 3.938223e-01 	2.637497e+01 	 3.704736e-01 	 
2.650000e+01 	 3.948171e-01 	2.649990e+01 	 3.707787e-01 	 
2.662500e+01 	 3.958641e-01 	2.662497e+01 	 3.710193e-01 	 
2.674980e+01 	 3.968638e-01 	2.674988e+01 	 3.712741e-01 	 
2.687490e+01 	 3.979555e-01 	2.687493e+01 	 3.713607e-01 	 
2.699990e+01 	 3.989806e-01 	2.699986e+01 	 3.716778e-01 	 
2.712500e+01 	 3.996546e-01 	2.712496e+01 	 3.717148e-01 	 
2.724990e+01 	 3.998145e-01 	2.724995e+01 	 3.714530e-01 	 
2.737500e+01 	 3.995124e-01 	2.737486e+01 	 3.710386e-01 	 
2.749980e+01 	 3.990237e-01 	2.749994e+01 	 3.706242e-01 	 
2.762500e+01 	 3.985911e-01 	2.762500e+01 	 3.704360e-01 	 
2.774990e+01 	 3.983721e-01 	2.774993e+01 	 3.704358e-01 	 
2.787480e+01 	 3.973623e-01 	2.787493e+01 	 3.704467e-01 	 
2.800000e+01 	 3.968888e-01 	2.800000e+01 	 3.701356e-01 	 
2.812480e+01 	 3.963052e-01 	2.812491e+01 	 3.698559e-01 	 
2.824980e+01 	 3.949696e-01 	2.824989e+01 	 3.696838e-01 	 
2.837480e+01 	 3.931975e-01 	2.837484e+01 	 3.696569e-01 	 
2.849990e+01 	 3.922765e-01 	2.849992e+01 	 3.695293e-01 	 
2.862490e+01 	 3.919461e-01 	2.862486e+01 	 3.697595e-01 	 
2.874990e+01 	 3.921571e-01 	2.875000e+01 	 3.701657e-01 	 
2.887500e+01 	 3.915241e-01 	2.887500e+01 	 3.705684e-01 	 
2.899990e+01 	 3.898398e-01 	2.899983e+01 	 3.709575e-01 	 
2.912500e+01 	 3.880738e-01 	2.912492e+01 	 3.714197e-01 	 
2.924990e+01 	 3.860512e-01 	2.924999e+01 	 3.715143e-01 	 
2.937500e+01 	 3.846989e-01 	2.937487e+01 	 3.714587e-01 	 
2.949990e+01 	 3.836402e-01 	2.949996e+01 	 3.714962e-01 	 
2.962490e+01 	 3.830557e-01 	2.962491e+01 	 3.717043e-01 	 
