x0	delta	x1	wle	x2	sle	
-4.006796e-01 	 1.041155e-04 	-4.006796e-01 	 1.261544e-03 	-4.006796e-01 	 1.157429e-03 	 
-3.979848e-01 	 1.058003e-04 	-3.979848e-01 	 1.252375e-03 	-3.979848e-01 	 1.146574e-03 	 
-3.952413e-01 	 1.074358e-04 	-3.952413e-01 	 1.242666e-03 	-3.952413e-01 	 1.135230e-03 	 
-3.924490e-01 	 1.089952e-04 	-3.924490e-01 	 1.232408e-03 	-3.924490e-01 	 1.123413e-03 	 
-3.896081e-01 	 1.104733e-04 	-3.896081e-01 	 1.221590e-03 	-3.896081e-01 	 1.111117e-03 	 
-3.867184e-01 	 1.118314e-04 	-3.867184e-01 	 1.210198e-03 	-3.867184e-01 	 1.098366e-03 	 
-3.837799e-01 	 1.131080e-04 	-3.837799e-01 	 1.198241e-03 	-3.837799e-01 	 1.085133e-03 	 
-3.807929e-01 	 1.142818e-04 	-3.807929e-01 	 1.185726e-03 	-3.807929e-01 	 1.071444e-03 	 
-3.777573e-01 	 1.153609e-04 	-3.777573e-01 	 1.172657e-03 	-3.777573e-01 	 1.057296e-03 	 
-3.746732e-01 	 1.163356e-04 	-3.746732e-01 	 1.159044e-03 	-3.746732e-01 	 1.042708e-03 	 
-3.715406e-01 	 1.172166e-04 	-3.715406e-01 	 1.144891e-03 	-3.715406e-01 	 1.027675e-03 	 
-3.683598e-01 	 1.180164e-04 	-3.683598e-01 	 1.130208e-03 	-3.683598e-01 	 1.012191e-03 	 
-3.651308e-01 	 1.186963e-04 	-3.651308e-01 	 1.114987e-03 	-3.651308e-01 	 9.962905e-04 	 
-3.618539e-01 	 1.192480e-04 	-3.618539e-01 	 1.099223e-03 	-3.618539e-01 	 9.799754e-04 	 
-3.585290e-01 	 1.196873e-04 	-3.585290e-01 	 1.082924e-03 	-3.585290e-01 	 9.632363e-04 	 
-3.551566e-01 	 1.199965e-04 	-3.551566e-01 	 1.066091e-03 	-3.551566e-01 	 9.460948e-04 	 
-3.517366e-01 	 1.201519e-04 	-3.517366e-01 	 1.048728e-03 	-3.517366e-01 	 9.285765e-04 	 
-3.482694e-01 	 1.201929e-04 	-3.482694e-01 	 1.030843e-03 	-3.482694e-01 	 9.106496e-04 	 
-3.447552e-01 	 1.200661e-04 	-3.447552e-01 	 1.012439e-03 	-3.447552e-01 	 8.923731e-04 	 
-3.411943e-01 	 1.198152e-04 	-3.411943e-01 	 9.935237e-04 	-3.411943e-01 	 8.737086e-04 	 
-3.375868e-01 	 1.194089e-04 	-3.375868e-01 	 9.741079e-04 	-3.375868e-01 	 8.546990e-04 	 
-3.339331e-01 	 1.188641e-04 	-3.339331e-01 	 9.542167e-04 	-3.339331e-01 	 8.353525e-04 	 
-3.302335e-01 	 1.181821e-04 	-3.302335e-01 	 9.338562e-04 	-3.302335e-01 	 8.156741e-04 	 
-3.264883e-01 	 1.173709e-04 	-3.264883e-01 	 9.130408e-04 	-3.264883e-01 	 7.956699e-04 	 
-3.226977e-01 	 1.164309e-04 	-3.226977e-01 	 8.917897e-04 	-3.226977e-01 	 7.753589e-04 	 
-3.188622e-01 	 1.153610e-04 	-3.188622e-01 	 8.701239e-04 	-3.188622e-01 	 7.547629e-04 	 
-3.149821e-01 	 1.142096e-04 	-3.149821e-01 	 8.480650e-04 	-3.149821e-01 	 7.338555e-04 	 
-3.110579e-01 	 1.129386e-04 	-3.110579e-01 	 8.256391e-04 	-3.110579e-01 	 7.127006e-04 	 
-3.070897e-01 	 1.115971e-04 	-3.070897e-01 	 8.028508e-04 	-3.070897e-01 	 6.912538e-04 	 
-3.030782e-01 	 1.101034e-04 	-3.030782e-01 	 7.796905e-04 	-3.030782e-01 	 6.695871e-04 	 
-2.990236e-01 	 1.085278e-04 	-2.990236e-01 	 7.561908e-04 	-2.990236e-01 	 6.476630e-04 	 
-2.949264e-01 	 1.068676e-04 	-2.949264e-01 	 7.323858e-04 	-2.949264e-01 	 6.255182e-04 	 
-2.907871e-01 	 1.050911e-04 	-2.907871e-01 	 7.082704e-04 	-2.907871e-01 	 6.031793e-04 	 
-2.866061e-01 	 1.032133e-04 	-2.866061e-01 	 6.838367e-04 	-2.866061e-01 	 5.806234e-04 	 
-2.823838e-01 	 1.012582e-04 	-2.823838e-01 	 6.591334e-04 	-2.823838e-01 	 5.578752e-04 	 
-2.781209e-01 	 9.923583e-05 	-2.781209e-01 	 6.342084e-04 	-2.781209e-01 	 5.349725e-04 	 
-2.738177e-01 	 9.716005e-05 	-2.738177e-01 	 6.090532e-04 	-2.738177e-01 	 5.118932e-04 	 
-2.694748e-01 	 9.498719e-05 	-2.694748e-01 	 5.836602e-04 	-2.694748e-01 	 4.886730e-04 	 
-2.650927e-01 	 9.273900e-05 	-2.650927e-01 	 5.580555e-04 	-2.650927e-01 	 4.653165e-04 	 
-2.606719e-01 	 9.042400e-05 	-2.606719e-01 	 5.322596e-04 	-2.606719e-01 	 4.418356e-04 	 
-2.562130e-01 	 8.806047e-05 	-2.562130e-01 	 5.063280e-04 	-2.562130e-01 	 4.182675e-04 	 
-2.517166e-01 	 8.569524e-05 	-2.517166e-01 	 4.802751e-04 	-2.517166e-01 	 3.945799e-04 	 
-2.471832e-01 	 8.325642e-05 	-2.471832e-01 	 4.540808e-04 	-2.471832e-01 	 3.708243e-04 	 
-2.426134e-01 	 8.079018e-05 	-2.426134e-01 	 4.277714e-04 	-2.426134e-01 	 3.469812e-04 	 
