x0	8A00W11AoA20/	x1	8A15W11AoA20/	
2.899990e+01 	 6.906612e-01 	2.899983e+01 	 6.962849e-01 	 
2.912500e+01 	 6.917759e-01 	2.912492e+01 	 6.960514e-01 	 
2.924990e+01 	 6.929850e-01 	2.924999e+01 	 6.961538e-01 	 
2.937500e+01 	 6.936035e-01 	2.937487e+01 	 6.962601e-01 	 
2.949990e+01 	 6.940616e-01 	2.949996e+01 	 6.962106e-01 	 
2.962490e+01 	 6.942081e-01 	2.962491e+01 	 6.959983e-01 	 
2.974990e+01 	 6.943983e-01 	2.974990e+01 	 6.957408e-01 	 
2.987490e+01 	 6.946285e-01 	2.987498e+01 	 6.957512e-01 	 
3.000000e+01 	 6.947007e-01 	2.999988e+01 	 6.957240e-01 	 
3.012480e+01 	 6.952428e-01 	3.012497e+01 	 6.955208e-01 	 
3.024980e+01 	 6.956093e-01 	3.024989e+01 	 6.954555e-01 	 
3.037490e+01 	 6.960373e-01 	3.037496e+01 	 6.953964e-01 	 
3.050000e+01 	 6.961552e-01 	3.049998e+01 	 6.954854e-01 	 
3.062500e+01 	 6.963869e-01 	3.062492e+01 	 6.955593e-01 	 
3.074990e+01 	 6.961947e-01 	3.075000e+01 	 6.956860e-01 	 
3.087500e+01 	 6.956341e-01 	3.087489e+01 	 6.959852e-01 	 
3.099980e+01 	 6.948797e-01 	3.099986e+01 	 6.963999e-01 	 
3.112490e+01 	 6.940588e-01 	3.112487e+01 	 6.968018e-01 	 
3.125000e+01 	 6.930498e-01 	3.124994e+01 	 6.972059e-01 	 
3.137500e+01 	 6.920128e-01 	3.137498e+01 	 6.976460e-01 	 
3.150000e+01 	 6.909398e-01 	3.149983e+01 	 6.980785e-01 	 
3.162490e+01 	 6.899798e-01 	3.162500e+01 	 6.984300e-01 	 
3.174990e+01 	 6.895912e-01 	3.174993e+01 	 6.988167e-01 	 
3.187490e+01 	 6.888653e-01 	3.187486e+01 	 6.991190e-01 	 
3.199990e+01 	 6.881855e-01 	3.199993e+01 	 6.993555e-01 	 
3.212500e+01 	 6.872610e-01 	3.212485e+01 	 6.995740e-01 	 
3.224990e+01 	 6.863804e-01 	3.224991e+01 	 7.000098e-01 	 
3.237490e+01 	 6.862046e-01 	3.237494e+01 	 7.003716e-01 	 
3.249990e+01 	 6.856490e-01 	3.249991e+01 	 7.007086e-01 	 
3.262490e+01 	 6.851716e-01 	3.262487e+01 	 7.010701e-01 	 
3.274980e+01 	 6.845929e-01 	3.274991e+01 	 7.011277e-01 	 
3.287490e+01 	 6.846125e-01 	3.287493e+01 	 7.008601e-01 	 
3.299980e+01 	 6.848497e-01 	3.299994e+01 	 7.006849e-01 	 
3.312480e+01 	 6.850163e-01 	3.312497e+01 	 7.006337e-01 	 
3.324980e+01 	 6.853166e-01 	3.324984e+01 	 7.003560e-01 	 
3.337480e+01 	 6.855299e-01 	3.337484e+01 	 7.001820e-01 	 
3.349990e+01 	 6.855469e-01 	3.350000e+01 	 7.002724e-01 	 
3.362490e+01 	 6.856810e-01 	3.362495e+01 	 7.001195e-01 	 
3.375000e+01 	 6.859434e-01 	3.374987e+01 	 6.998251e-01 	 
3.387490e+01 	 6.865166e-01 	3.387490e+01 	 6.995913e-01 	 
3.399980e+01 	 6.874510e-01 	3.399994e+01 	 6.994007e-01 	 
3.412490e+01 	 6.884802e-01 	3.412500e+01 	 6.991364e-01 	 
3.424990e+01 	 6.895275e-01 	3.424989e+01 	 6.990131e-01 	 
3.437500e+01 	 6.907133e-01 	3.437491e+01 	 6.987308e-01 	 
3.449990e+01 	 6.916162e-01 	3.449997e+01 	 6.985378e-01 	 
3.462480e+01 	 6.923293e-01 	3.462499e+01 	 6.982755e-01 	 
3.474980e+01 	 6.926098e-01 	3.474988e+01 	 6.983668e-01 	 
3.487490e+01 	 6.929980e-01 	3.487497e+01 	 6.984984e-01 	 
3.500000e+01 	 6.935371e-01 	3.499999e+01 	 6.987401e-01 	 
3.512480e+01 	 6.938847e-01 	3.512483e+01 	 6.990525e-01 	 
3.524990e+01 	 6.938456e-01 	3.524985e+01 	 6.992266e-01 	 
3.537490e+01 	 6.937785e-01 	3.537484e+01 	 6.993852e-01 	 
3.549990e+01 	 6.936357e-01 	3.549994e+01 	 6.997846e-01 	 
3.562480e+01 	 6.937101e-01 	3.562493e+01 	 6.998125e-01 	 
3.574990e+01 	 6.940672e-01 	3.574989e+01 	 6.997812e-01 	 
3.587490e+01 	 6.943604e-01 	3.587500e+01 	 6.996007e-01 	 
3.600000e+01 	 6.945711e-01 	3.599994e+01 	 6.995305e-01 	 
3.612480e+01 	 6.944869e-01 	3.612499e+01 	 6.994657e-01 	 
3.625000e+01 	 6.944015e-01 	3.624998e+01 	 6.991697e-01 	 
3.637490e+01 	 6.936868e-01 	3.637498e+01 	 6.987755e-01 	 
3.649980e+01 	 6.931475e-01 	3.649997e+01 	 6.983469e-01 	 
3.662490e+01 	 6.927851e-01 	3.662484e+01 	 6.978277e-01 	 
3.674990e+01 	 6.921529e-01 	3.674992e+01 	 6.975782e-01 	 
3.687490e+01 	 6.916640e-01 	3.687496e+01 	 6.972485e-01 	 
3.699990e+01 	 6.907469e-01 	3.699999e+01 	 6.968481e-01 	 
3.712490e+01 	 6.900204e-01 	3.712484e+01 	 6.966049e-01 	 
3.725000e+01 	 6.890156e-01 	3.724984e+01 	 6.964114e-01 	 
3.737490e+01 	 6.882789e-01 	3.737485e+01 	 6.960114e-01 	 
3.750000e+01 	 6.874315e-01 	3.749999e+01 	 6.957940e-01 	 
3.762500e+01 	 6.865068e-01 	3.762496e+01 	 6.956720e-01 	 
3.774990e+01 	 6.854801e-01 	3.774992e+01 	 6.959093e-01 	 
3.787480e+01 	 6.846651e-01 	3.787492e+01 	 6.960756e-01 	 
3.799990e+01 	 6.841562e-01 	3.799995e+01 	 6.960815e-01 	 
3.812500e+01 	 6.837952e-01 	3.812486e+01 	 6.961169e-01 	 
3.824980e+01 	 6.832208e-01 	3.824996e+01 	 6.962740e-01 	 
3.837480e+01 	 6.826876e-01 	3.837497e+01 	 6.962382e-01 	 
3.849990e+01 	 6.821877e-01 	3.849993e+01 	 6.961912e-01 	 
3.862490e+01 	 6.818739e-01 	3.862492e+01 	 6.959480e-01 	 
3.874980e+01 	 6.819029e-01 	3.874992e+01 	 6.956010e-01 	 
3.887500e+01 	 6.819196e-01 	3.887491e+01 	 6.952806e-01 	 
3.899990e+01 	 6.820393e-01 	3.899991e+01 	 6.949143e-01 	 
3.912490e+01 	 6.825578e-01 	3.912490e+01 	 6.949321e-01 	 
3.924980e+01 	 6.831062e-01 	3.924993e+01 	 6.947240e-01 	 
3.937480e+01 	 6.838273e-01 	3.937490e+01 	 6.948190e-01 	 
3.949990e+01 	 6.847901e-01 	3.949984e+01 	 6.949293e-01 	 
3.962490e+01 	 6.859661e-01 	3.962494e+01 	 6.951197e-01 	 
3.974980e+01 	 6.871471e-01 	3.974988e+01 	 6.953993e-01 	 
3.987490e+01 	 6.884012e-01 	3.987500e+01 	 6.955642e-01 	 
4.000000e+01 	 6.896381e-01 	4.000000e+01 	 6.955073e-01 	 
4.000010e+01 	 6.896400e-01 	4.012490e+01 	 6.954513e-01 	 
4.012510e+01 	 6.906956e-01 	4.024990e+01 	 6.955345e-01 	 
4.025000e+01 	 6.913155e-01 	4.037480e+01 	 6.955015e-01 	 
4.037500e+01 	 6.917594e-01 	4.049990e+01 	 6.955923e-01 	 
4.050000e+01 	 6.925012e-01 	4.062490e+01 	 6.957780e-01 	 
4.062500e+01 	 6.934049e-01 	4.075000e+01 	 6.960986e-01 	 
4.075000e+01 	 6.942701e-01 	4.087500e+01 	 6.960627e-01 	 
4.087500e+01 	 6.950438e-01 	4.100000e+01 	 6.961504e-01 	 
4.100000e+01 	 6.958979e-01 	4.112490e+01 	 6.960242e-01 	 
4.112500e+01 	 6.973100e-01 	4.125000e+01 	 6.961420e-01 	 
4.125000e+01 	 6.988603e-01 	4.137490e+01 	 6.960416e-01 	 
4.137500e+01 	 6.997724e-01 	4.150000e+01 	 6.957414e-01 	 
4.150010e+01 	 7.002001e-01 	4.162490e+01 	 6.957377e-01 	 
4.162510e+01 	 7.004501e-01 	4.174990e+01 	 6.958891e-01 	 
4.175010e+01 	 7.004451e-01 	4.187490e+01 	 6.959387e-01 	 
4.187510e+01 	 7.004781e-01 	4.199990e+01 	 6.958851e-01 	 
4.200010e+01 	 7.001494e-01 	4.212490e+01 	 6.956398e-01 	 
4.212510e+01 	 6.998800e-01 	4.225000e+01 	 6.955122e-01 	 
4.225010e+01 	 6.998490e-01 	4.237490e+01 	 6.953160e-01 	 
4.237500e+01 	 6.985909e-01 	4.250000e+01 	 6.952084e-01 	 
4.250010e+01 	 6.975871e-01 	4.262490e+01 	 6.949766e-01 	 
4.262500e+01 	 6.967113e-01 	4.274990e+01 	 6.946967e-01 	 
4.275010e+01 	 6.954395e-01 	4.287480e+01 	 6.944594e-01 	 
4.287500e+01 	 6.946836e-01 	4.300000e+01 	 6.944887e-01 	 
4.300010e+01 	 6.926813e-01 	4.312490e+01 	 6.941882e-01 	 
4.312510e+01 	 6.901824e-01 	4.324990e+01 	 6.939367e-01 	 
