x0	cdp	x1	cdv	
1.362490e+01 	 3.408673e-01 	1.362490e+01 	 4.279100e-03 	 
1.374990e+01 	 3.444177e-01 	1.374990e+01 	 4.220900e-03 	 
1.387490e+01 	 3.489506e-01 	1.387490e+01 	 4.219400e-03 	 
1.399990e+01 	 3.552643e-01 	1.399990e+01 	 4.196100e-03 	 
1.412480e+01 	 3.634632e-01 	1.412480e+01 	 4.199700e-03 	 
1.425000e+01 	 3.708810e-01 	1.425000e+01 	 4.188600e-03 	 
1.437490e+01 	 3.774704e-01 	1.437490e+01 	 4.177000e-03 	 
1.449990e+01 	 3.825871e-01 	1.449990e+01 	 4.164000e-03 	 
1.462490e+01 	 3.857415e-01 	1.462490e+01 	 4.115700e-03 	 
1.474980e+01 	 3.881743e-01 	1.474980e+01 	 4.114900e-03 	 
1.487490e+01 	 3.884767e-01 	1.487490e+01 	 4.148000e-03 	 
1.499990e+01 	 3.890615e-01 	1.499990e+01 	 4.198300e-03 	 
1.512490e+01 	 3.891046e-01 	1.512490e+01 	 4.277600e-03 	 
1.524980e+01 	 3.893075e-01 	1.524980e+01 	 4.412900e-03 	 
1.537480e+01 	 3.875489e-01 	1.537480e+01 	 4.650000e-03 	 
1.549990e+01 	 3.838720e-01 	1.549990e+01 	 4.937300e-03 	 
1.562490e+01 	 3.840659e-01 	1.562490e+01 	 5.258000e-03 	 
1.574980e+01 	 3.848751e-01 	1.574980e+01 	 5.600700e-03 	 
1.587480e+01 	 3.873031e-01 	1.587480e+01 	 5.946400e-03 	 
1.599990e+01 	 3.907943e-01 	1.599990e+01 	 6.287400e-03 	 
1.612490e+01 	 3.948631e-01 	1.612490e+01 	 6.577900e-03 	 
1.624980e+01 	 3.999898e-01 	1.624980e+01 	 6.824900e-03 	 
1.637500e+01 	 4.039453e-01 	1.637500e+01 	 7.044700e-03 	 
1.650000e+01 	 4.046843e-01 	1.650000e+01 	 7.248700e-03 	 
1.662480e+01 	 4.052534e-01 	1.662480e+01 	 7.388400e-03 	 
1.674990e+01 	 4.089686e-01 	1.674990e+01 	 7.489500e-03 	 
1.687490e+01 	 4.110106e-01 	1.687490e+01 	 7.491000e-03 	 
1.699990e+01 	 4.118123e-01 	1.699990e+01 	 7.548500e-03 	 
1.712480e+01 	 4.094110e-01 	1.712480e+01 	 7.755100e-03 	 
1.724980e+01 	 4.051268e-01 	1.724980e+01 	 7.779400e-03 	 
1.737490e+01 	 3.993243e-01 	1.737490e+01 	 7.715400e-03 	 
1.749990e+01 	 3.921135e-01 	1.749990e+01 	 7.654500e-03 	 
1.762490e+01 	 3.831965e-01 	1.762490e+01 	 7.665600e-03 	 
1.774990e+01 	 3.751602e-01 	1.774990e+01 	 7.578700e-03 	 
1.787490e+01 	 3.686780e-01 	1.787490e+01 	 7.427500e-03 	 
1.799990e+01 	 3.627406e-01 	1.799990e+01 	 7.265900e-03 	 
1.812480e+01 	 3.564021e-01 	1.812480e+01 	 7.055100e-03 	 
1.824990e+01 	 3.543698e-01 	1.824990e+01 	 6.755800e-03 	 
1.837490e+01 	 3.520838e-01 	1.837490e+01 	 6.428100e-03 	 
1.849990e+01 	 3.453697e-01 	1.849990e+01 	 6.271700e-03 	 
