x0	avg	
2.780410e-01 	 -1.412599e-03 	 
2.824338e-01 	 -1.439055e-03 	 
2.867882e-01 	 -1.464372e-03 	 
2.911038e-01 	 -1.485605e-03 	 
2.953799e-01 	 -1.502377e-03 	 
2.996161e-01 	 -1.518772e-03 	 
3.038120e-01 	 -1.537016e-03 	 
3.079669e-01 	 -1.556842e-03 	 
3.120805e-01 	 -1.576974e-03 	 
3.161523e-01 	 -1.597910e-03 	 
3.201818e-01 	 -1.619397e-03 	 
3.241686e-01 	 -1.640527e-03 	 
3.281122e-01 	 -1.662289e-03 	 
3.320123e-01 	 -1.685305e-03 	 
3.358684e-01 	 -1.708515e-03 	 
3.396801e-01 	 -1.728906e-03 	 
3.434471e-01 	 -1.744237e-03 	 
3.471690e-01 	 -1.756825e-03 	 
3.508455e-01 	 -1.770195e-03 	 
3.544762e-01 	 -1.784824e-03 	 
3.580607e-01 	 -1.799891e-03 	 
3.615989e-01 	 -1.817917e-03 	 
3.650903e-01 	 -1.836012e-03 	 
3.685347e-01 	 -1.848521e-03 	 
3.719318e-01 	 -1.855262e-03 	 
3.752814e-01 	 -1.860557e-03 	 
3.785833e-01 	 -1.866912e-03 	 
3.818371e-01 	 -1.870103e-03 	 
3.850428e-01 	 -1.868891e-03 	 
3.882000e-01 	 -1.866493e-03 	 
3.913087e-01 	 -1.865519e-03 	 
3.943687e-01 	 -1.867004e-03 	 
3.973798e-01 	 -1.870882e-03 	 
4.003418e-01 	 -1.873372e-03 	 
4.032547e-01 	 -1.872298e-03 	 
4.061185e-01 	 -1.867998e-03 	 
4.089329e-01 	 -1.860917e-03 	 
4.116979e-01 	 -1.854789e-03 	 
4.144135e-01 	 -1.853727e-03 	 
4.170797e-01 	 -1.856048e-03 	 
4.196965e-01 	 -1.852464e-03 	 
4.222637e-01 	 -1.838498e-03 	 
4.247816e-01 	 -1.822791e-03 	 
4.272501e-01 	 -1.813337e-03 	 
4.296692e-01 	 -1.804552e-03 	 
4.320391e-01 	 -1.790576e-03 	 
4.343599e-01 	 -1.772498e-03 	 
4.366316e-01 	 -1.755398e-03 	 
4.388545e-01 	 -1.741453e-03 	 
4.410286e-01 	 -1.725186e-03 	 
4.431541e-01 	 -1.701477e-03 	 
4.452313e-01 	 -1.673282e-03 	 
4.472603e-01 	 -1.644035e-03 	 
4.492413e-01 	 -1.613262e-03 	 
4.511747e-01 	 -1.584201e-03 	 
4.530607e-01 	 -1.563564e-03 	 
4.548997e-01 	 -1.551591e-03 	 
4.566918e-01 	 -1.543035e-03 	 
4.584375e-01 	 -1.533158e-03 	 
4.601371e-01 	 -1.519511e-03 	 
4.617909e-01 	 -1.503785e-03 	 
4.633995e-01 	 -1.491415e-03 	 
4.649633e-01 	 -1.483812e-03 	 
4.664825e-01 	 -1.476112e-03 	 
4.679578e-01 	 -1.464443e-03 	 
4.693896e-01 	 -1.449238e-03 	 
4.707785e-01 	 -1.432338e-03 	 
4.721249e-01 	 -1.412162e-03 	 
4.734295e-01 	 -1.388580e-03 	 
4.746927e-01 	 -1.362390e-03 	 
4.759153e-01 	 -1.333222e-03 	 
4.770978e-01 	 -1.301115e-03 	 
4.782410e-01 	 -1.268029e-03 	 
4.793454e-01 	 -1.236324e-03 	 
4.804118e-01 	 -1.206789e-03 	 
4.814408e-01 	 -1.181184e-03 	 
4.824334e-01 	 -1.159073e-03 	 
4.833902e-01 	 -1.137590e-03 	 
4.843120e-01 	 -1.117341e-03 	 
4.851996e-01 	 -1.099882e-03 	 
4.860540e-01 	 -1.085432e-03 	 
4.868760e-01 	 -1.073133e-03 	 
4.876664e-01 	 -1.061811e-03 	 
4.884262e-01 	 -1.050289e-03 	 
4.891564e-01 	 -1.037199e-03 	 
4.898580e-01 	 -1.022395e-03 	 
4.905319e-01 	 -1.007171e-03 	 
4.911792e-01 	 -9.900652e-04 	 
4.918009e-01 	 -9.716759e-04 	 
4.923982e-01 	 -9.492344e-04 	 
4.929722e-01 	 -9.271042e-04 	 
4.935239e-01 	 -8.997300e-04 	 
4.940546e-01 	 -8.712139e-04 	 
4.945655e-01 	 -8.373482e-04 	 
4.950578e-01 	 -7.990476e-04 	 
4.955327e-01 	 -7.563248e-04 	 
4.959916e-01 	 -7.045785e-04 	 
4.964357e-01 	 -6.468032e-04 	 
4.968664e-01 	 -5.810809e-04 	 
4.972851e-01 	 -4.995764e-04 	 
4.976931e-01 	 -4.274977e-04 	 
4.980919e-01 	 -3.152977e-04 	 
4.984830e-01 	 -2.775429e-04 	 
4.988678e-01 	 -1.768016e-04 	 
4.992478e-01 	 -3.006959e-04 	 
4.996247e-01 	 -7.575468e-04 	 
5.000000e-01 	 -7.506183e-04 	 
