St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	St7	i7	St8	i8	
1.060529e+00 	 1.249123e-08 	1.060529e+00 	 9.635571e-09 	1.060529e+00 	 6.897352e-09 	1.060529e+00 	 6.212389e-08 	1.060529e+00 	 1.023248e-06 	1.060529e+00 	 6.156634e-06 	1.060529e+00 	 1.467460e-05 	1.060529e+00 	 8.180366e-06 	1.060529e+00 	 5.413269e-06 	 
1.166582e+00 	 9.787052e-09 	1.166582e+00 	 8.163736e-09 	1.166582e+00 	 7.192478e-09 	1.166582e+00 	 5.342647e-08 	1.166582e+00 	 1.025459e-06 	1.166582e+00 	 5.676854e-06 	1.166582e+00 	 1.527081e-05 	1.166582e+00 	 1.068744e-05 	1.166582e+00 	 5.123456e-06 	 
1.272635e+00 	 9.692417e-09 	1.272635e+00 	 8.682546e-09 	1.272635e+00 	 7.836136e-09 	1.272635e+00 	 5.924298e-08 	1.272635e+00 	 1.382846e-06 	1.272635e+00 	 8.260097e-06 	1.272635e+00 	 1.873486e-05 	1.272635e+00 	 1.174677e-05 	1.272635e+00 	 6.938033e-06 	 
1.378688e+00 	 8.427444e-09 	1.378688e+00 	 7.766151e-09 	1.378688e+00 	 7.425079e-09 	1.378688e+00 	 1.206481e-07 	1.378688e+00 	 1.467855e-06 	1.378688e+00 	 9.894110e-06 	1.378688e+00 	 2.067181e-05 	1.378688e+00 	 1.583138e-05 	1.378688e+00 	 1.169102e-05 	 
1.484740e+00 	 6.603561e-09 	1.484740e+00 	 6.211084e-09 	1.484740e+00 	 6.555421e-09 	1.484740e+00 	 1.104935e-07 	1.484740e+00 	 1.466894e-06 	1.484740e+00 	 8.576705e-06 	1.484740e+00 	 2.243869e-05 	1.484740e+00 	 1.752086e-05 	1.484740e+00 	 9.618289e-06 	 
1.590793e+00 	 4.683190e-09 	1.590793e+00 	 4.592142e-09 	1.590793e+00 	 5.213360e-09 	1.590793e+00 	 1.900814e-07 	1.590793e+00 	 2.331183e-06 	1.590793e+00 	 7.271680e-06 	1.590793e+00 	 1.699470e-05 	1.590793e+00 	 8.643090e-06 	1.590793e+00 	 6.359698e-06 	 
1.696846e+00 	 4.222082e-09 	1.696846e+00 	 4.204113e-09 	1.696846e+00 	 6.143545e-09 	1.696846e+00 	 3.844079e-07 	1.696846e+00 	 3.604702e-06 	1.696846e+00 	 9.917515e-06 	1.696846e+00 	 1.603073e-05 	1.696846e+00 	 8.112063e-06 	1.696846e+00 	 5.326462e-06 	 
1.802899e+00 	 3.261847e-09 	1.802899e+00 	 3.505484e-09 	1.802899e+00 	 5.027797e-09 	1.802899e+00 	 1.907410e-07 	1.802899e+00 	 2.424317e-06 	1.802899e+00 	 1.469494e-05 	1.802899e+00 	 1.778815e-05 	1.802899e+00 	 1.035431e-05 	1.802899e+00 	 5.496186e-06 	 
1.908952e+00 	 2.710231e-09 	1.908952e+00 	 2.852344e-09 	1.908952e+00 	 5.214127e-09 	1.908952e+00 	 1.155034e-07 	1.908952e+00 	 1.987697e-06 	1.908952e+00 	 1.122061e-05 	1.908952e+00 	 2.025963e-05 	1.908952e+00 	 1.215843e-05 	1.908952e+00 	 3.262947e-06 	 
2.015005e+00 	 3.383940e-09 	2.015005e+00 	 3.550239e-09 	2.015005e+00 	 7.279286e-09 	2.015005e+00 	 2.663123e-07 	2.015005e+00 	 3.104767e-06 	2.015005e+00 	 1.148042e-05 	2.015005e+00 	 2.341207e-05 	2.015005e+00 	 2.111896e-05 	2.015005e+00 	 6.053828e-06 	 
2.121058e+00 	 2.041037e-09 	2.121058e+00 	 2.524052e-09 	2.121058e+00 	 4.671739e-09 	2.121058e+00 	 4.916157e-07 	2.121058e+00 	 3.595223e-06 	2.121058e+00 	 1.549878e-05 	2.121058e+00 	 2.750821e-05 	2.121058e+00 	 1.998678e-05 	2.121058e+00 	 8.330372e-06 	 
2.227111e+00 	 1.598382e-09 	2.227111e+00 	 2.127045e-09 	2.227111e+00 	 4.655196e-09 	2.227111e+00 	 3.956665e-07 	2.227111e+00 	 3.717876e-06 	2.227111e+00 	 1.620914e-05 	2.227111e+00 	 1.891120e-05 	2.227111e+00 	 1.058214e-05 	2.227111e+00 	 7.604468e-06 	 
2.333164e+00 	 1.848248e-09 	2.333164e+00 	 2.435896e-09 	2.333164e+00 	 5.612620e-09 	2.333164e+00 	 4.752365e-07 	2.333164e+00 	 6.939660e-06 	2.333164e+00 	 2.156141e-05 	2.333164e+00 	 2.304993e-05 	2.333164e+00 	 8.442975e-06 	2.333164e+00 	 7.454011e-06 	 
2.439216e+00 	 4.140578e-09 	2.439216e+00 	 4.175982e-09 	2.439216e+00 	 6.592985e-09 	2.439216e+00 	 4.661026e-07 	2.439216e+00 	 8.320641e-06 	2.439216e+00 	 2.659596e-05 	2.439216e+00 	 2.589320e-05 	2.439216e+00 	 7.535193e-06 	2.439216e+00 	 6.020697e-06 	 
2.545269e+00 	 4.484739e-09 	2.545269e+00 	 4.524229e-09 	2.545269e+00 	 7.829266e-09 	2.545269e+00 	 4.483938e-07 	2.545269e+00 	 8.786993e-06 	2.545269e+00 	 2.618296e-05 	2.545269e+00 	 2.992907e-05 	2.545269e+00 	 8.042565e-06 	2.545269e+00 	 3.452999e-06 	 
2.651322e+00 	 1.921686e-09 	2.651322e+00 	 2.196413e-09 	2.651322e+00 	 4.941738e-09 	2.651322e+00 	 7.436665e-07 	2.651322e+00 	 2.121323e-05 	2.651322e+00 	 4.253132e-05 	2.651322e+00 	 2.854839e-05 	2.651322e+00 	 1.260705e-05 	2.651322e+00 	 3.194438e-06 	 
2.757375e+00 	 1.194869e-09 	2.757375e+00 	 1.400363e-09 	2.757375e+00 	 3.636244e-09 	2.757375e+00 	 7.935074e-07 	2.757375e+00 	 2.529654e-05 	2.757375e+00 	 3.235802e-05 	2.757375e+00 	 2.475391e-05 	2.757375e+00 	 1.751117e-05 	2.757375e+00 	 3.211552e-06 	 
2.863428e+00 	 1.413144e-09 	2.863428e+00 	 1.498587e-09 	2.863428e+00 	 4.404536e-09 	2.863428e+00 	 7.222903e-07 	2.863428e+00 	 1.965795e-05 	2.863428e+00 	 2.448670e-05 	2.863428e+00 	 2.523092e-05 	2.863428e+00 	 1.663964e-05 	2.863428e+00 	 4.638950e-06 	 
2.969481e+00 	 1.577256e-09 	2.969481e+00 	 2.137338e-09 	2.969481e+00 	 5.748678e-09 	2.969481e+00 	 7.719328e-07 	2.969481e+00 	 2.391663e-05 	2.969481e+00 	 2.594452e-05 	2.969481e+00 	 1.275417e-05 	2.969481e+00 	 8.304976e-06 	2.969481e+00 	 3.100558e-06 	 
3.075534e+00 	 1.198534e-09 	3.075534e+00 	 1.648996e-09 	3.075534e+00 	 3.452055e-09 	3.075534e+00 	 6.742633e-07 	3.075534e+00 	 2.874520e-05 	3.075534e+00 	 3.851725e-05 	3.075534e+00 	 1.178953e-05 	3.075534e+00 	 6.431418e-06 	3.075534e+00 	 3.766757e-06 	 
3.181587e+00 	 1.193483e-09 	3.181587e+00 	 1.470710e-09 	3.181587e+00 	 3.169178e-09 	3.181587e+00 	 7.619903e-07 	3.181587e+00 	 3.023140e-05 	3.181587e+00 	 3.400764e-05 	3.181587e+00 	 1.417057e-05 	3.181587e+00 	 5.218653e-06 	3.181587e+00 	 3.271908e-06 	 
3.287640e+00 	 1.163544e-09 	3.287640e+00 	 1.386866e-09 	3.287640e+00 	 3.229443e-09 	3.287640e+00 	 1.297941e-06 	3.287640e+00 	 4.062038e-05 	3.287640e+00 	 3.028471e-05 	3.287640e+00 	 1.763549e-05 	3.287640e+00 	 5.122986e-06 	3.287640e+00 	 2.862938e-06 	 
3.393692e+00 	 8.223056e-10 	3.393692e+00 	 9.557515e-10 	3.393692e+00 	 2.156849e-09 	3.393692e+00 	 1.008167e-06 	3.393692e+00 	 3.469832e-05 	3.393692e+00 	 2.967473e-05 	3.393692e+00 	 1.462420e-05 	3.393692e+00 	 5.916856e-06 	3.393692e+00 	 3.116604e-06 	 
3.499745e+00 	 3.998538e-10 	3.499745e+00 	 4.479125e-10 	3.499745e+00 	 8.369962e-10 	3.499745e+00 	 9.492567e-07 	3.499745e+00 	 5.030151e-05 	3.499745e+00 	 3.930594e-05 	3.499745e+00 	 1.357219e-05 	3.499745e+00 	 5.656919e-06 	3.499745e+00 	 3.748485e-06 	 
3.605798e+00 	 4.774909e-10 	3.605798e+00 	 4.831700e-10 	3.605798e+00 	 9.171680e-10 	3.605798e+00 	 8.562165e-07 	3.605798e+00 	 5.657112e-05 	3.605798e+00 	 4.445748e-05 	3.605798e+00 	 1.179986e-05 	3.605798e+00 	 5.555878e-06 	3.605798e+00 	 2.440611e-06 	 
3.711851e+00 	 5.240271e-10 	3.711851e+00 	 4.942068e-10 	3.711851e+00 	 9.320918e-10 	3.711851e+00 	 7.495043e-07 	3.711851e+00 	 5.035959e-05 	3.711851e+00 	 3.733062e-05 	3.711851e+00 	 1.768255e-05 	3.711851e+00 	 8.945188e-06 	3.711851e+00 	 2.368173e-06 	 
3.817904e+00 	 4.402995e-10 	3.817904e+00 	 4.041745e-10 	3.817904e+00 	 7.338359e-10 	3.817904e+00 	 6.844512e-07 	3.817904e+00 	 3.563207e-05 	3.817904e+00 	 3.216660e-05 	3.817904e+00 	 1.364761e-05 	3.817904e+00 	 8.243438e-06 	3.817904e+00 	 4.365486e-06 	 
3.923957e+00 	 3.298171e-10 	3.923957e+00 	 3.565624e-10 	3.923957e+00 	 8.912986e-10 	3.923957e+00 	 6.026993e-07 	3.923957e+00 	 3.410429e-05 	3.923957e+00 	 3.390493e-05 	3.923957e+00 	 9.831150e-06 	3.923957e+00 	 6.005869e-06 	3.923957e+00 	 4.208744e-06 	 
4.030010e+00 	 3.274339e-10 	4.030010e+00 	 4.079170e-10 	4.030010e+00 	 6.350213e-10 	4.030010e+00 	 7.245407e-07 	4.030010e+00 	 4.211220e-05 	4.030010e+00 	 3.242317e-05 	4.030010e+00 	 1.584432e-05 	4.030010e+00 	 4.762836e-06 	4.030010e+00 	 4.912136e-06 	 
4.136063e+00 	 4.705763e-10 	4.136063e+00 	 7.045363e-10 	4.136063e+00 	 5.559905e-10 	4.136063e+00 	 7.139839e-07 	4.136063e+00 	 3.261669e-05 	4.136063e+00 	 4.358835e-05 	4.136063e+00 	 2.104711e-05 	4.136063e+00 	 6.055745e-06 	4.136063e+00 	 4.472744e-06 	 
4.242116e+00 	 4.397399e-10 	4.242116e+00 	 8.538505e-10 	4.242116e+00 	 7.905636e-10 	4.242116e+00 	 3.685601e-07 	4.242116e+00 	 4.020541e-05 	4.242116e+00 	 4.973972e-05 	4.242116e+00 	 2.116171e-05 	4.242116e+00 	 7.284005e-06 	4.242116e+00 	 4.877010e-06 	 
4.348168e+00 	 2.687454e-10 	4.348168e+00 	 5.043100e-10 	4.348168e+00 	 4.969409e-10 	4.348168e+00 	 2.724717e-07 	4.348168e+00 	 3.402933e-05 	4.348168e+00 	 3.434359e-05 	4.348168e+00 	 1.334683e-05 	4.348168e+00 	 6.835940e-06 	4.348168e+00 	 4.435761e-06 	 
4.454221e+00 	 2.869241e-10 	4.454221e+00 	 3.568923e-10 	4.454221e+00 	 2.191145e-10 	4.454221e+00 	 2.504798e-07 	4.454221e+00 	 1.720481e-05 	4.454221e+00 	 3.894467e-05 	4.454221e+00 	 1.203417e-05 	4.454221e+00 	 5.027158e-06 	4.454221e+00 	 3.273864e-06 	 
4.560274e+00 	 9.236352e-11 	4.560274e+00 	 1.350600e-10 	4.560274e+00 	 8.660526e-11 	4.560274e+00 	 1.137728e-07 	4.560274e+00 	 6.795088e-06 	4.560274e+00 	 2.218432e-05 	4.560274e+00 	 9.559938e-06 	4.560274e+00 	 3.202158e-06 	4.560274e+00 	 8.175107e-07 	 
