x0	g1_up	x1	dns_up	x2	g1_bot	x3	dns_bot	x4	O2_up	x5	O2_bot	
-4.069311e-01 	 4.922366e-04 	2.339788e-01 	 6.522237e-03 	-4.069311e-01 	 1.474351e-02 	nan          	nan          	-4.069311e-01 	 4.993331e-04 	-4.069311e-01 	 1.449046e-02 	 
-4.018313e-01 	 1.115242e-04 	2.620130e-01 	 6.318894e-03 	-4.018313e-01 	 1.447404e-02 	nan          	nan          	-4.018313e-01 	 8.147952e-05 	-4.018313e-01 	 1.418935e-02 	 
-3.965869e-01 	 -2.240784e-04 	2.881741e-01 	 5.859483e-03 	-3.965869e-01 	 1.420015e-02 	nan          	nan          	-3.965869e-01 	 -2.880529e-04 	-3.965869e-01 	 1.388829e-02 	 
-3.911988e-01 	 -5.155139e-04 	3.152705e-01 	 5.451314e-03 	-3.911988e-01 	 1.392615e-02 	nan          	nan          	-3.911988e-01 	 -6.100539e-04 	-3.911988e-01 	 1.358763e-02 	 
-3.856680e-01 	 -7.646132e-04 	3.414340e-01 	 5.145486e-03 	-3.856680e-01 	 1.364701e-02 	nan          	nan          	-3.856680e-01 	 -8.861713e-04 	-3.856680e-01 	 1.328676e-02 	 
-3.799957e-01 	 -9.738237e-04 	3.722675e-01 	 4.660716e-03 	-3.799957e-01 	 1.336691e-02 	nan          	nan          	-3.799957e-01 	 -1.118658e-03 	-3.799957e-01 	 1.298899e-02 	 
-3.741831e-01 	 -1.145923e-03 	4.012319e-01 	 4.175851e-03 	-3.741831e-01 	 1.308542e-02 	nan          	nan          	-3.741831e-01 	 -1.309979e-03 	-3.741831e-01 	 1.269258e-02 	 
-3.682317e-01 	 -1.283489e-03 	4.367364e-01 	 3.563334e-03 	-3.682317e-01 	 1.280354e-02 	nan          	nan          	-3.682317e-01 	 -1.462608e-03 	-3.682317e-01 	 1.240067e-02 	 
-3.621429e-01 	 -1.388501e-03 	4.619629e-01 	 3.103875e-03 	-3.621429e-01 	 1.252204e-02 	nan          	nan          	-3.621429e-01 	 -1.579071e-03 	-3.621429e-01 	 1.211195e-02 	 
-3.559183e-01 	 -1.463939e-03 	4.843872e-01 	 2.746661e-03 	-3.559183e-01 	 1.224186e-02 	nan          	nan          	-3.559183e-01 	 -1.662707e-03 	-3.559183e-01 	 1.182779e-02 	 
-3.495596e-01 	 -1.513504e-03 	4.984307e-01 	 4.334411e-03 	-3.495596e-01 	 1.196244e-02 	nan          	nan          	-3.495596e-01 	 -1.717652e-03 	-3.495596e-01 	 1.154731e-02 	 
-3.430686e-01 	 -1.541523e-03 	nan          	nan          	-3.430686e-01 	 1.168421e-02 	nan          	nan          	-3.430686e-01 	 -1.748388e-03 	-3.430686e-01 	 1.127164e-02 	 
-3.364472e-01 	 -1.551846e-03 	nan          	nan          	-3.364472e-01 	 1.140929e-02 	nan          	nan          	-3.364472e-01 	 -1.758923e-03 	-3.364472e-01 	 1.100055e-02 	 
-3.296975e-01 	 -1.546889e-03 	nan          	nan          	-3.296975e-01 	 1.113531e-02 	nan          	nan          	-3.296975e-01 	 -1.752363e-03 	-3.296975e-01 	 1.073468e-02 	 
-3.228214e-01 	 -1.528522e-03 	nan          	nan          	-3.228214e-01 	 1.086515e-02 	nan          	nan          	-3.228214e-01 	 -1.731212e-03 	-3.228214e-01 	 1.047395e-02 	 
-3.158212e-01 	 -1.499556e-03 	nan          	nan          	-3.158212e-01 	 1.059960e-02 	nan          	nan          	-3.158212e-01 	 -1.698621e-03 	-3.158212e-01 	 1.021876e-02 	 
-3.086991e-01 	 -1.462657e-03 	nan          	nan          	-3.086991e-01 	 1.033643e-02 	nan          	nan          	-3.086991e-01 	 -1.657915e-03 	-3.086991e-01 	 9.968907e-03 	 
-3.014576e-01 	 -1.420833e-03 	nan          	nan          	-3.014576e-01 	 1.007904e-02 	nan          	nan          	-3.014576e-01 	 -1.611980e-03 	-3.014576e-01 	 9.724269e-03 	 
-2.940990e-01 	 -1.375749e-03 	nan          	nan          	-2.940990e-01 	 9.825396e-03 	nan          	nan          	-2.940990e-01 	 -1.562552e-03 	-2.940990e-01 	 9.484871e-03 	 
-2.866260e-01 	 -1.328555e-03 	nan          	nan          	-2.866260e-01 	 9.575672e-03 	nan          	nan          	-2.866260e-01 	 -1.510503e-03 	-2.866260e-01 	 9.250925e-03 	 
-2.790410e-01 	 -1.279832e-03 	nan          	nan          	-2.790410e-01 	 9.331601e-03 	nan          	nan          	-2.790410e-01 	 -1.456729e-03 	-2.790410e-01 	 9.022572e-03 	 
-2.713469e-01 	 -1.231067e-03 	nan          	nan          	-2.713469e-01 	 9.092614e-03 	nan          	nan          	-2.713469e-01 	 -1.402502e-03 	-2.713469e-01 	 8.799965e-03 	 
-2.635463e-01 	 -1.183856e-03 	nan          	nan          	-2.635463e-01 	 8.858087e-03 	nan          	nan          	-2.635463e-01 	 -1.349158e-03 	-2.635463e-01 	 8.582413e-03 	 
-2.556421e-01 	 -1.139270e-03 	nan          	nan          	-2.556421e-01 	 8.628900e-03 	nan          	nan          	-2.556421e-01 	 -1.297373e-03 	-2.556421e-01 	 8.370210e-03 	 
-2.476372e-01 	 -1.097400e-03 	nan          	nan          	-2.476372e-01 	 8.405237e-03 	nan          	nan          	-2.476372e-01 	 -1.247399e-03 	-2.476372e-01 	 8.163253e-03 	 
-2.395346e-01 	 -1.057580e-03 	nan          	nan          	-2.395346e-01 	 8.187648e-03 	nan          	nan          	-2.395346e-01 	 -1.198745e-03 	-2.395346e-01 	 7.961721e-03 	 
-2.313373e-01 	 -1.019181e-03 	nan          	nan          	-2.313373e-01 	 7.973889e-03 	nan          	nan          	-2.313373e-01 	 -1.151436e-03 	-2.313373e-01 	 7.764820e-03 	 
-2.230484e-01 	 -9.819164e-04 	nan          	nan          	-2.230484e-01 	 7.767205e-03 	nan          	nan          	-2.230484e-01 	 -1.105639e-03 	-2.230484e-01 	 7.573417e-03 	 
-2.146711e-01 	 -9.458498e-04 	nan          	nan          	-2.146711e-01 	 7.565219e-03 	nan          	nan          	-2.146711e-01 	 -1.061755e-03 	-2.146711e-01 	 7.386711e-03 	 
-2.062086e-01 	 -9.111916e-04 	nan          	nan          	-2.062086e-01 	 7.367933e-03 	nan          	nan          	-2.062086e-01 	 -1.020060e-03 	-2.062086e-01 	 7.204842e-03 	 
-1.976642e-01 	 -8.777025e-04 	nan          	nan          	-1.976642e-01 	 7.175840e-03 	nan          	nan          	-1.976642e-01 	 -9.806206e-04 	-1.976642e-01 	 7.027497e-03 	 
-1.890413e-01 	 -8.456221e-04 	nan          	nan          	-1.890413e-01 	 6.990073e-03 	nan          	nan          	-1.890413e-01 	 -9.435555e-04 	-1.890413e-01 	 6.855222e-03 	 
-1.803431e-01 	 -8.144445e-04 	nan          	nan          	-1.803431e-01 	 6.808896e-03 	nan          	nan          	-1.803431e-01 	 -9.086317e-04 	-1.803431e-01 	 6.687062e-03 	 
-1.715731e-01 	 -7.839021e-04 	nan          	nan          	-1.715731e-01 	 6.632739e-03 	nan          	nan          	-1.715731e-01 	 -8.753862e-04 	-1.715731e-01 	 6.523760e-03 	 
-1.627349e-01 	 -7.542770e-04 	nan          	nan          	-1.627349e-01 	 6.461668e-03 	nan          	nan          	-1.627349e-01 	 -8.438767e-04 	-1.627349e-01 	 6.364755e-03 	 
-1.538319e-01 	 -7.253566e-04 	nan          	nan          	-1.538319e-01 	 6.295800e-03 	nan          	nan          	-1.538319e-01 	 -8.135206e-04 	-1.538319e-01 	 6.209429e-03 	 
-1.448677e-01 	 -6.946981e-04 	nan          	nan          	-1.448677e-01 	 6.133990e-03 	nan          	nan          	-1.448677e-01 	 -7.813906e-04 	-1.448677e-01 	 6.058793e-03 	 
-1.358459e-01 	 -6.597295e-04 	nan          	nan          	-1.358459e-01 	 5.977110e-03 	nan          	nan          	-1.358459e-01 	 -7.441928e-04 	-1.358459e-01 	 5.911829e-03 	 
-1.267700e-01 	 -6.180150e-04 	nan          	nan          	-1.267700e-01 	 5.825220e-03 	nan          	nan          	-1.267700e-01 	 -6.989706e-04 	-1.267700e-01 	 5.769133e-03 	 
-1.176439e-01 	 -5.697092e-04 	nan          	nan          	-1.176439e-01 	 5.677001e-03 	nan          	nan          	-1.176439e-01 	 -6.457619e-04 	-1.176439e-01 	 5.629748e-03 	 
-1.084712e-01 	 -5.247110e-04 	nan          	nan          	-1.084712e-01 	 5.533459e-03 	nan          	nan          	-1.084712e-01 	 -5.956733e-04 	-1.084712e-01 	 5.494600e-03 	 
-9.925561e-02 	 -4.915929e-04 	nan          	nan          	-9.925561e-02 	 5.393870e-03 	nan          	nan          	-9.925561e-02 	 -5.582108e-04 	-9.925561e-02 	 5.362746e-03 	 
-9.000088e-02 	 -4.612271e-04 	nan          	nan          	-9.000088e-02 	 5.258778e-03 	nan          	nan          	-9.000088e-02 	 -5.233280e-04 	-9.000088e-02 	 5.234715e-03 	 
