x0	cdp	x1	cdv	
1.400000e+01 	 2.890281e-01 	1.400000e+01 	 5.699800e-03 	 
1.412500e+01 	 2.903051e-01 	1.412500e+01 	 5.651300e-03 	 
1.425000e+01 	 2.912788e-01 	1.425000e+01 	 5.625900e-03 	 
1.437500e+01 	 2.922492e-01 	1.437500e+01 	 5.621900e-03 	 
1.450000e+01 	 2.937132e-01 	1.450000e+01 	 5.675300e-03 	 
1.462490e+01 	 2.944328e-01 	1.462490e+01 	 5.710000e-03 	 
1.474990e+01 	 2.950041e-01 	1.474990e+01 	 5.742200e-03 	 
1.487500e+01 	 2.959920e-01 	1.487500e+01 	 5.791200e-03 	 
1.499990e+01 	 2.971686e-01 	1.499990e+01 	 5.779000e-03 	 
1.512500e+01 	 2.971818e-01 	1.512500e+01 	 5.764300e-03 	 
1.524990e+01 	 2.975342e-01 	1.524990e+01 	 5.736300e-03 	 
1.537490e+01 	 2.991060e-01 	1.537490e+01 	 5.746200e-03 	 
1.549990e+01 	 3.006245e-01 	1.549990e+01 	 5.711400e-03 	 
1.562500e+01 	 3.020544e-01 	1.562500e+01 	 5.732300e-03 	 
1.574990e+01 	 3.043060e-01 	1.574990e+01 	 5.745700e-03 	 
1.587500e+01 	 3.050566e-01 	1.587500e+01 	 5.780500e-03 	 
1.599990e+01 	 3.050921e-01 	1.599990e+01 	 5.768900e-03 	 
1.612500e+01 	 3.060519e-01 	1.612500e+01 	 5.790700e-03 	 
1.625000e+01 	 3.066230e-01 	1.625000e+01 	 5.770800e-03 	 
1.637480e+01 	 3.063839e-01 	1.637480e+01 	 5.765800e-03 	 
1.649990e+01 	 3.055912e-01 	1.649990e+01 	 5.789600e-03 	 
1.662480e+01 	 3.038283e-01 	1.662480e+01 	 5.827800e-03 	 
1.674990e+01 	 3.004354e-01 	1.674990e+01 	 5.822900e-03 	 
1.687500e+01 	 2.974701e-01 	1.687500e+01 	 5.806900e-03 	 
1.699990e+01 	 2.948422e-01 	1.699990e+01 	 5.812600e-03 	 
1.712500e+01 	 2.931387e-01 	1.712500e+01 	 5.781600e-03 	 
1.725000e+01 	 2.918028e-01 	1.725000e+01 	 5.749400e-03 	 
1.737490e+01 	 2.906965e-01 	1.737490e+01 	 5.732600e-03 	 
1.749990e+01 	 2.878094e-01 	1.749990e+01 	 5.763900e-03 	 
1.762490e+01 	 2.842917e-01 	1.762490e+01 	 5.734000e-03 	 
1.775000e+01 	 2.828926e-01 	1.775000e+01 	 5.742800e-03 	 
1.787500e+01 	 2.826387e-01 	1.787500e+01 	 5.747700e-03 	 
1.799990e+01 	 2.820786e-01 	1.799990e+01 	 5.814000e-03 	 
1.812490e+01 	 2.805599e-01 	1.812490e+01 	 5.827100e-03 	 
1.824990e+01 	 2.789448e-01 	1.824990e+01 	 5.835600e-03 	 
1.837500e+01 	 2.772986e-01 	1.837500e+01 	 5.802400e-03 	 
1.850000e+01 	 2.755569e-01 	1.850000e+01 	 5.780900e-03 	 
1.862490e+01 	 2.738308e-01 	1.862490e+01 	 5.804300e-03 	 
1.875000e+01 	 2.715053e-01 	1.875000e+01 	 5.786600e-03 	 
1.887490e+01 	 2.685657e-01 	1.887490e+01 	 5.807800e-03 	 
1.899990e+01 	 2.651591e-01 	1.899990e+01 	 5.773400e-03 	 
1.912490e+01 	 2.617531e-01 	1.912490e+01 	 5.733400e-03 	 
1.924990e+01 	 2.589262e-01 	1.924990e+01 	 5.760500e-03 	 
1.937500e+01 	 2.561130e-01 	1.937500e+01 	 5.729900e-03 	 
1.949980e+01 	 2.528138e-01 	1.949980e+01 	 5.698800e-03 	 
1.962490e+01 	 2.506480e-01 	1.962490e+01 	 5.659200e-03 	 
1.974990e+01 	 2.490152e-01 	1.974990e+01 	 5.691500e-03 	 
1.987500e+01 	 2.488543e-01 	1.987500e+01 	 5.736500e-03 	 
1.999990e+01 	 2.493707e-01 	1.999990e+01 	 5.760100e-03 	 
2.012500e+01 	 2.496052e-01 	2.012500e+01 	 5.742600e-03 	 
2.024990e+01 	 2.494029e-01 	2.024990e+01 	 5.719600e-03 	 
2.037500e+01 	 2.502036e-01 	2.037500e+01 	 5.698300e-03 	 
2.049990e+01 	 2.526145e-01 	2.049990e+01 	 5.667500e-03 	 
2.062490e+01 	 2.559801e-01 	2.062490e+01 	 5.636700e-03 	 
2.074990e+01 	 2.579169e-01 	2.074990e+01 	 5.570100e-03 	 
2.087500e+01 	 2.594485e-01 	2.087500e+01 	 5.564900e-03 	 
