x0	i=0	x1	i=1	x2	i=2	
9.209209e-02 	 -1.405028e-05 	9.209209e-02 	 1.583648e-07 	9.209209e-02 	 -2.181766e-06 	 
9.309309e-02 	 -1.438125e-05 	9.309309e-02 	 1.688393e-07 	9.309309e-02 	 -2.225811e-06 	 
9.409409e-02 	 -1.471762e-05 	9.409409e-02 	 1.798800e-07 	9.409409e-02 	 -2.270169e-06 	 
9.509510e-02 	 -1.505950e-05 	9.509510e-02 	 1.915109e-07 	9.509510e-02 	 -2.314835e-06 	 
9.609610e-02 	 -1.540699e-05 	9.609610e-02 	 2.037564e-07 	9.609610e-02 	 -2.359802e-06 	 
9.709710e-02 	 -1.576022e-05 	9.709710e-02 	 2.166419e-07 	9.709710e-02 	 -2.405066e-06 	 
9.809810e-02 	 -1.611929e-05 	9.809810e-02 	 2.301933e-07 	9.809810e-02 	 -2.450620e-06 	 
9.909910e-02 	 -1.648432e-05 	9.909910e-02 	 2.444374e-07 	9.909910e-02 	 -2.496458e-06 	 
1.001001e-01 	 -1.685544e-05 	1.001001e-01 	 2.594016e-07 	1.001001e-01 	 -2.542575e-06 	 
1.011011e-01 	 -1.723278e-05 	1.011011e-01 	 2.751142e-07 	1.011011e-01 	 -2.588965e-06 	 
1.021021e-01 	 -1.761646e-05 	1.021021e-01 	 2.916044e-07 	1.021021e-01 	 -2.635620e-06 	 
1.031031e-01 	 -1.800662e-05 	1.031031e-01 	 3.089019e-07 	1.031031e-01 	 -2.682535e-06 	 
1.041041e-01 	 -1.840340e-05 	1.041041e-01 	 3.270375e-07 	1.041041e-01 	 -2.729704e-06 	 
1.051051e-01 	 -1.880693e-05 	1.051051e-01 	 3.460426e-07 	1.051051e-01 	 -2.777120e-06 	 
1.061061e-01 	 -1.921737e-05 	1.061061e-01 	 3.659495e-07 	1.061061e-01 	 -2.824776e-06 	 
1.071071e-01 	 -1.963486e-05 	1.071071e-01 	 3.867915e-07 	1.071071e-01 	 -2.872667e-06 	 
1.081081e-01 	 -2.005955e-05 	1.081081e-01 	 4.086025e-07 	1.081081e-01 	 -2.920785e-06 	 
1.091091e-01 	 -2.049161e-05 	1.091091e-01 	 4.314174e-07 	1.091091e-01 	 -2.969123e-06 	 
1.101101e-01 	 -2.093119e-05 	1.101101e-01 	 4.552720e-07 	1.101101e-01 	 -3.017675e-06 	 
1.111111e-01 	 -2.137845e-05 	1.111111e-01 	 4.802030e-07 	1.111111e-01 	 -3.066433e-06 	 
1.121121e-01 	 -2.183357e-05 	1.121121e-01 	 5.062479e-07 	1.121121e-01 	 -3.115391e-06 	 
1.131131e-01 	 -2.229672e-05 	1.131131e-01 	 5.334453e-07 	1.131131e-01 	 -3.164542e-06 	 
1.141141e-01 	 -2.276807e-05 	1.141141e-01 	 5.618344e-07 	1.141141e-01 	 -3.213877e-06 	 
1.151151e-01 	 -2.324781e-05 	1.151151e-01 	 5.914558e-07 	1.151151e-01 	 -3.263390e-06 	 
1.161161e-01 	 -2.373612e-05 	1.161161e-01 	 6.223507e-07 	1.161161e-01 	 -3.313074e-06 	 
1.171171e-01 	 -2.423319e-05 	1.171171e-01 	 6.545612e-07 	1.171171e-01 	 -3.362919e-06 	 
1.181181e-01 	 -2.473921e-05 	1.181181e-01 	 6.881308e-07 	1.181181e-01 	 -3.412920e-06 	 
1.191191e-01 	 -2.525438e-05 	1.191191e-01 	 7.231036e-07 	1.191191e-01 	 -3.463068e-06 	 
1.201201e-01 	 -2.577890e-05 	1.201201e-01 	 7.595248e-07 	1.201201e-01 	 -3.513355e-06 	 
1.211211e-01 	 -2.631298e-05 	1.211211e-01 	 7.974406e-07 	1.211211e-01 	 -3.563774e-06 	 
1.221221e-01 	 -2.685684e-05 	1.221221e-01 	 8.368983e-07 	1.221221e-01 	 -3.614315e-06 	 
1.231231e-01 	 -2.741067e-05 	1.231231e-01 	 8.779461e-07 	1.231231e-01 	 -3.664972e-06 	 
1.241241e-01 	 -2.797470e-05 	1.241241e-01 	 9.206334e-07 	1.241241e-01 	 -3.715735e-06 	 
1.251251e-01 	 -2.854917e-05 	1.251251e-01 	 9.650104e-07 	1.251251e-01 	 -3.766596e-06 	 
1.261261e-01 	 -2.913428e-05 	1.261261e-01 	 1.011129e-06 	1.261261e-01 	 -3.817547e-06 	 
1.271271e-01 	 -2.973028e-05 	1.271271e-01 	 1.059041e-06 	1.271271e-01 	 -3.868578e-06 	 
1.281281e-01 	 -3.033740e-05 	1.281281e-01 	 1.108800e-06 	1.281281e-01 	 -3.919682e-06 	 
1.291291e-01 	 -3.095588e-05 	1.291291e-01 	 1.160461e-06 	1.291291e-01 	 -3.970849e-06 	 
1.301301e-01 	 -3.158597e-05 	1.301301e-01 	 1.214079e-06 	1.301301e-01 	 -4.022069e-06 	 
1.311311e-01 	 -3.222791e-05 	1.311311e-01 	 1.269713e-06 	1.311311e-01 	 -4.073335e-06 	 
1.321321e-01 	 -3.288197e-05 	1.321321e-01 	 1.327418e-06 	1.321321e-01 	 -4.124636e-06 	 
1.331331e-01 	 -3.354839e-05 	1.331331e-01 	 1.387255e-06 	1.331331e-01 	 -4.175964e-06 	 
