x0	delta	x1	wle	x2	sle	
-3.484010e-01 	 6.613823e-05 	-3.484010e-01 	 4.212610e-04 	-3.484010e-01 	 3.551228e-04 	 
-3.455181e-01 	 6.591144e-05 	-3.455181e-01 	 4.217379e-04 	-3.455181e-01 	 3.558265e-04 	 
-3.425949e-01 	 6.545960e-05 	-3.425949e-01 	 4.220116e-04 	-3.425949e-01 	 3.565520e-04 	 
-3.396313e-01 	 6.477847e-05 	-3.396313e-01 	 4.220628e-04 	-3.396313e-01 	 3.572843e-04 	 
-3.366277e-01 	 6.388289e-05 	-3.366277e-01 	 4.218735e-04 	-3.366277e-01 	 3.579906e-04 	 
-3.335839e-01 	 6.279107e-05 	-3.335839e-01 	 4.214559e-04 	-3.335839e-01 	 3.586648e-04 	 
-3.305001e-01 	 6.143427e-05 	-3.305001e-01 	 4.208179e-04 	-3.305001e-01 	 3.593836e-04 	 
-3.273767e-01 	 5.991651e-05 	-3.273767e-01 	 4.199770e-04 	-3.273767e-01 	 3.600605e-04 	 
-3.242135e-01 	 5.822352e-05 	-3.242135e-01 	 4.189583e-04 	-3.242135e-01 	 3.607347e-04 	 
-3.210110e-01 	 5.643756e-05 	-3.210110e-01 	 4.178491e-04 	-3.210110e-01 	 3.614115e-04 	 
-3.177692e-01 	 5.459103e-05 	-3.177692e-01 	 4.166431e-04 	-3.177692e-01 	 3.620521e-04 	 
-3.144885e-01 	 5.266001e-05 	-3.144885e-01 	 4.153492e-04 	-3.144885e-01 	 3.626892e-04 	 
-3.111689e-01 	 5.068999e-05 	-3.111689e-01 	 4.140018e-04 	-3.111689e-01 	 3.633118e-04 	 
-3.078108e-01 	 4.864466e-05 	-3.078108e-01 	 4.126315e-04 	-3.078108e-01 	 3.639869e-04 	 
-3.044143e-01 	 4.663663e-05 	-3.044143e-01 	 4.112694e-04 	-3.044143e-01 	 3.646328e-04 	 
-3.009799e-01 	 4.465031e-05 	-3.009799e-01 	 4.099461e-04 	-3.009799e-01 	 3.652958e-04 	 
-2.975077e-01 	 4.274980e-05 	-2.975077e-01 	 4.087107e-04 	-2.975077e-01 	 3.659609e-04 	 
-2.939980e-01 	 4.087964e-05 	-2.939980e-01 	 4.074539e-04 	-2.939980e-01 	 3.665742e-04 	 
-2.904511e-01 	 3.880465e-05 	-2.904511e-01 	 4.060740e-04 	-2.904511e-01 	 3.672694e-04 	 
-2.868674e-01 	 3.681289e-05 	-2.868674e-01 	 4.046637e-04 	-2.868674e-01 	 3.678508e-04 	 
-2.832472e-01 	 3.487855e-05 	-2.832472e-01 	 4.033165e-04 	-2.832472e-01 	 3.684379e-04 	 
-2.795907e-01 	 3.290134e-05 	-2.795907e-01 	 4.019684e-04 	-2.795907e-01 	 3.690670e-04 	 
-2.758985e-01 	 3.082426e-05 	-2.758985e-01 	 4.005013e-04 	-2.758985e-01 	 3.696770e-04 	 
-2.721707e-01 	 2.867604e-05 	-2.721707e-01 	 3.989415e-04 	-2.721707e-01 	 3.702654e-04 	 
-2.684078e-01 	 2.658044e-05 	-2.684078e-01 	 3.974739e-04 	-2.684078e-01 	 3.708934e-04 	 
-2.646101e-01 	 2.463763e-05 	-2.646101e-01 	 3.961237e-04 	-2.646101e-01 	 3.714860e-04 	 
-2.607781e-01 	 2.262571e-05 	-2.607781e-01 	 3.947329e-04 	-2.607781e-01 	 3.721072e-04 	 
-2.569121e-01 	 2.058447e-05 	-2.569121e-01 	 3.932962e-04 	-2.569121e-01 	 3.727118e-04 	 
-2.530125e-01 	 1.851544e-05 	-2.530125e-01 	 3.918330e-04 	-2.530125e-01 	 3.733176e-04 	 
-2.490799e-01 	 1.649865e-05 	-2.490799e-01 	 3.903491e-04 	-2.490799e-01 	 3.738505e-04 	 
-2.451145e-01 	 1.457044e-05 	-2.451145e-01 	 3.889767e-04 	-2.451145e-01 	 3.744062e-04 	 
-2.411168e-01 	 1.279269e-05 	-2.411168e-01 	 3.877171e-04 	-2.411168e-01 	 3.749244e-04 	 
-2.370872e-01 	 1.103388e-05 	-2.370872e-01 	 3.864724e-04 	-2.370872e-01 	 3.754385e-04 	 
