x0	cf	x1	cp	
3.660367e-01 	 5.179536e-03 	3.660367e-01 	 -3.421083e-02 	 
3.733716e-01 	 5.096979e-03 	3.733716e-01 	 -2.967790e-02 	 
3.804757e-01 	 5.061528e-03 	3.804757e-01 	 -2.453029e-02 	 
3.873476e-01 	 5.047620e-03 	3.873476e-01 	 -1.895800e-02 	 
3.939863e-01 	 5.028037e-03 	3.939863e-01 	 -1.346096e-02 	 
4.003913e-01 	 4.998818e-03 	4.003913e-01 	 -8.232892e-03 	 
4.065624e-01 	 4.975280e-03 	4.065624e-01 	 -3.004074e-03 	 
4.124997e-01 	 4.969104e-03 	4.124997e-01 	 2.580881e-03 	 
4.182040e-01 	 4.971727e-03 	4.182040e-01 	 8.565933e-03 	 
4.236763e-01 	 4.955594e-03 	4.236763e-01 	 1.459569e-02 	 
4.289183e-01 	 4.896083e-03 	4.289183e-01 	 2.028868e-02 	 
4.339319e-01 	 4.796886e-03 	4.339319e-01 	 2.562851e-02 	 
4.387196e-01 	 4.684137e-03 	4.387196e-01 	 3.065541e-02 	 
4.432844e-01 	 4.577441e-03 	4.432844e-01 	 3.530830e-02 	 
4.476297e-01 	 4.477837e-03 	4.476297e-01 	 3.960356e-02 	 
4.517594e-01 	 4.379771e-03 	4.517594e-01 	 4.356578e-02 	 
4.556781e-01 	 4.282411e-03 	4.556781e-01 	 4.723296e-02 	 
4.593906e-01 	 4.188771e-03 	4.593906e-01 	 5.064011e-02 	 
4.629025e-01 	 4.099760e-03 	4.629025e-01 	 5.380213e-02 	 
4.662198e-01 	 4.013746e-03 	4.662198e-01 	 5.675778e-02 	 
4.693491e-01 	 3.932421e-03 	4.693491e-01 	 5.956739e-02 	 
4.722976e-01 	 3.864890e-03 	4.722976e-01 	 6.230846e-02 	 
4.750729e-01 	 3.820297e-03 	4.750729e-01 	 6.509423e-02 	 
4.776833e-01 	 3.795187e-03 	4.776833e-01 	 6.785914e-02 	 
4.801378e-01 	 3.777482e-03 	4.801378e-01 	 7.053986e-02 	 
4.824458e-01 	 3.757934e-03 	4.824458e-01 	 7.319152e-02 	 
4.846173e-01 	 3.731456e-03 	4.846173e-01 	 7.564053e-02 	 
4.866631e-01 	 3.700849e-03 	4.866631e-01 	 7.808432e-02 	 
4.885946e-01 	 3.667933e-03 	4.885946e-01 	 8.036941e-02 	 
4.904236e-01 	 3.631121e-03 	4.904236e-01 	 8.239597e-02 	 
4.921628e-01 	 3.595720e-03 	4.921628e-01 	 8.464009e-02 	 
4.938255e-01 	 3.560504e-03 	4.938255e-01 	 8.630008e-02 	 
4.954256e-01 	 3.522864e-03 	4.954256e-01 	 8.789524e-02 	 
4.969777e-01 	 3.488125e-03 	4.969777e-01 	 8.987039e-02 	 
4.984972e-01 	 3.459807e-03 	4.984972e-01 	 9.127110e-02 	 
5.000000e-01 	 3.448860e-03 	5.000000e-01 	 9.424239e-02 	 
