x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	x9	P3	x10	M6	x11	T3	x12	M7	x13	P4	x14	M8	x15	T4	x16	M9	x17	avg	
-4.858360e-01 	 -8.126330e-01 	-5.009670e-01 	 -9.132960e-01 	-4.858360e-01 	 -1.354600e+00 	-4.707000e-01 	 -1.443290e+00 	-4.858360e-01 	 -1.490690e+00 	-5.009670e-01 	 -1.157140e+00 	-4.858360e-01 	 -1.432540e+00 	-4.707000e-01 	 -1.348400e+00 	-4.858360e-01 	 -1.432420e+00 	-5.009670e-01 	 -1.157510e+00 	-4.858360e-01 	 -1.489430e+00 	-4.707000e-01 	 -1.441880e+00 	-4.858360e-01 	 -1.352200e+00 	-5.009670e-01 	 -8.995500e-01 	-4.858360e-01 	 -8.112190e-01 	-4.707000e-01 	 -7.323420e-01 	-4.858360e-01 	 -8.126330e-01 	-4.858360e-01 	 -1.181281e+00 	 
-4.847760e-01 	 -7.995030e-01 	-4.999130e-01 	 -9.223590e-01 	-4.847760e-01 	 -1.358040e+00 	-4.696340e-01 	 -1.439830e+00 	-4.847760e-01 	 -1.497650e+00 	-4.999130e-01 	 -1.176550e+00 	-4.847760e-01 	 -1.434820e+00 	-4.696340e-01 	 -1.347390e+00 	-4.847760e-01 	 -1.434690e+00 	-4.999130e-01 	 -1.177010e+00 	-4.847760e-01 	 -1.496340e+00 	-4.696340e-01 	 -1.438100e+00 	-4.847760e-01 	 -1.355510e+00 	-4.999130e-01 	 -9.080740e-01 	-4.847760e-01 	 -7.979220e-01 	-4.696340e-01 	 -7.325340e-01 	-4.847760e-01 	 -7.995030e-01 	-4.847760e-01 	 -1.183284e+00 	 
-4.836800e-01 	 -7.862150e-01 	-4.988230e-01 	 -9.286430e-01 	-4.836800e-01 	 -1.359140e+00 	-4.685320e-01 	 -1.436790e+00 	-4.836800e-01 	 -1.501870e+00 	-4.988230e-01 	 -1.193490e+00 	-4.836800e-01 	 -1.434330e+00 	-4.685320e-01 	 -1.346290e+00 	-4.836800e-01 	 -1.434210e+00 	-4.988230e-01 	 -1.194040e+00 	-4.836800e-01 	 -1.500500e+00 	-4.685320e-01 	 -1.434700e+00 	-4.836800e-01 	 -1.356490e+00 	-4.988230e-01 	 -9.137740e-01 	-4.836800e-01 	 -7.845250e-01 	-4.685320e-01 	 -7.323080e-01 	-4.836800e-01 	 -7.862150e-01 	-4.836800e-01 	 -1.183737e+00 	 
-4.825440e-01 	 -7.742670e-01 	-4.976920e-01 	 -9.332880e-01 	-4.825440e-01 	 -1.358810e+00 	-4.673910e-01 	 -1.435400e+00 	-4.825440e-01 	 -1.504280e+00 	-4.976920e-01 	 -1.209200e+00 	-4.825440e-01 	 -1.431940e+00 	-4.673910e-01 	 -1.346240e+00 	-4.825440e-01 	 -1.431810e+00 	-4.976920e-01 	 -1.209840e+00 	-4.825440e-01 	 -1.502870e+00 	-4.673910e-01 	 -1.433050e+00 	-4.825440e-01 	 -1.356040e+00 	-4.976920e-01 	 -9.177810e-01 	-4.825440e-01 	 -7.724590e-01 	-4.673910e-01 	 -7.334880e-01 	-4.825440e-01 	 -7.742670e-01 	-4.825440e-01 	 -1.183825e+00 	 
-4.813680e-01 	 -7.638940e-01 	-4.965190e-01 	 -9.356930e-01 	-4.813680e-01 	 -1.356830e+00 	-4.662110e-01 	 -1.434270e+00 	-4.813680e-01 	 -1.504580e+00 	-4.965190e-01 	 -1.223130e+00 	-4.813680e-01 	 -1.427330e+00 	-4.662110e-01 	 -1.346040e+00 	-4.813680e-01 	 -1.427200e+00 	-4.965190e-01 	 -1.223870e+00 	-4.813680e-01 	 -1.503140e+00 	-4.662110e-01 	 -1.431840e+00 	-4.813680e-01 	 -1.353900e+00 	-4.965190e-01 	 -9.194890e-01 	-4.813680e-01 	 -7.619770e-01 	-4.662110e-01 	 -7.350440e-01 	-4.813680e-01 	 -7.638940e-01 	-4.813680e-01 	 -1.183066e+00 	 
-4.801480e-01 	 -7.556550e-01 	-4.953030e-01 	 -9.361060e-01 	-4.801480e-01 	 -1.353750e+00 	-4.649870e-01 	 -1.433760e+00 	-4.801480e-01 	 -1.503220e+00 	-4.953030e-01 	 -1.235540e+00 	-4.801480e-01 	 -1.421160e+00 	-4.649870e-01 	 -1.346200e+00 	-4.801480e-01 	 -1.421050e+00 	-4.953030e-01 	 -1.236370e+00 	-4.801480e-01 	 -1.501730e+00 	-4.649870e-01 	 -1.431290e+00 	-4.801480e-01 	 -1.350660e+00 	-4.953030e-01 	 -9.191420e-01 	-4.801480e-01 	 -7.536910e-01 	-4.649870e-01 	 -7.371300e-01 	-4.801480e-01 	 -7.556550e-01 	-4.801480e-01 	 -1.181889e+00 	 
-4.788830e-01 	 -7.493030e-01 	-4.940390e-01 	 -9.346920e-01 	-4.788830e-01 	 -1.349770e+00 	-4.637200e-01 	 -1.433840e+00 	-4.788830e-01 	 -1.500340e+00 	-4.940390e-01 	 -1.246670e+00 	-4.788830e-01 	 -1.413800e+00 	-4.637200e-01 	 -1.346650e+00 	-4.788830e-01 	 -1.413700e+00 	-4.940390e-01 	 -1.247590e+00 	-4.788830e-01 	 -1.498820e+00 	-4.637200e-01 	 -1.431290e+00 	-4.788830e-01 	 -1.346490e+00 	-4.940390e-01 	 -9.169030e-01 	-4.788830e-01 	 -7.472750e-01 	-4.637200e-01 	 -7.398920e-01 	-4.788830e-01 	 -7.493030e-01 	-4.788830e-01 	 -1.180372e+00 	 
-4.775700e-01 	 -7.443080e-01 	-4.927280e-01 	 -9.312270e-01 	-4.775700e-01 	 -1.345050e+00 	-4.624060e-01 	 -1.434250e+00 	-4.775700e-01 	 -1.496180e+00 	-4.927280e-01 	 -1.256310e+00 	-4.775700e-01 	 -1.405480e+00 	-4.624060e-01 	 -1.346990e+00 	-4.775700e-01 	 -1.405380e+00 	-4.927280e-01 	 -1.257340e+00 	-4.775700e-01 	 -1.494600e+00 	-4.624060e-01 	 -1.431460e+00 	-4.775700e-01 	 -1.341570e+00 	-4.927280e-01 	 -9.125490e-01 	-4.775700e-01 	 -7.422500e-01 	-4.624060e-01 	 -7.434340e-01 	-4.775700e-01 	 -7.443080e-01 	-4.775700e-01 	 -1.178393e+00 	 
-4.762080e-01 	 -7.405700e-01 	-4.913660e-01 	 -9.260000e-01 	-4.762080e-01 	 -1.340010e+00 	-4.610430e-01 	 -1.435390e+00 	-4.762080e-01 	 -1.491240e+00 	-4.913660e-01 	 -1.264780e+00 	-4.762080e-01 	 -1.396680e+00 	-4.610430e-01 	 -1.347810e+00 	-4.762080e-01 	 -1.396560e+00 	-4.913660e-01 	 -1.265920e+00 	-4.762080e-01 	 -1.489590e+00 	-4.610430e-01 	 -1.432190e+00 	-4.762080e-01 	 -1.336330e+00 	-4.913660e-01 	 -9.063810e-01 	-4.762080e-01 	 -7.384870e-01 	-4.610430e-01 	 -7.473820e-01 	-4.762080e-01 	 -7.405700e-01 	-4.762080e-01 	 -1.176229e+00 	 
-4.747950e-01 	 -7.378840e-01 	-4.899520e-01 	 -9.189270e-01 	-4.747950e-01 	 -1.334850e+00 	-4.596310e-01 	 -1.436860e+00 	-4.747950e-01 	 -1.485630e+00 	-4.899520e-01 	 -1.272030e+00 	-4.747950e-01 	 -1.387700e+00 	-4.596310e-01 	 -1.349210e+00 	-4.747950e-01 	 -1.387580e+00 	-4.899520e-01 	 -1.273260e+00 	-4.747950e-01 	 -1.483920e+00 	-4.596310e-01 	 -1.433250e+00 	-4.747950e-01 	 -1.330970e+00 	-4.899520e-01 	 -8.983330e-01 	-4.747950e-01 	 -7.357780e-01 	-4.596310e-01 	 -7.504290e-01 	-4.747950e-01 	 -7.378840e-01 	-4.747950e-01 	 -1.173794e+00 	 
