x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	x9	P3	x10	M6	x11	T3	x12	M7	x13	P4	x14	M8	x15	T4	x16	M9	
-4.872210e-01 	 6.347200e-03 	-5.023520e-01 	 1.801450e-02 	-4.872210e-01 	 1.372900e-02 	-4.720860e-01 	 -1.251340e-03 	-4.872210e-01 	 1.546970e-02 	-5.023520e-01 	 2.138930e-02 	-4.872210e-01 	 1.437730e-02 	-4.720860e-01 	 -1.511350e-03 	-4.872210e-01 	 1.437760e-02 	-5.023520e-01 	 2.140320e-02 	-4.872210e-01 	 1.542240e-02 	-4.720860e-01 	 -1.251030e-03 	-4.872210e-01 	 1.367210e-02 	-5.023520e-01 	 1.785800e-02 	-4.872210e-01 	 6.389840e-03 	-4.720860e-01 	 -5.757540e-04 	-4.872210e-01 	 6.347200e-03 	 
-4.863000e-01 	 5.296890e-03 	-5.014400e-01 	 1.733950e-02 	-4.863000e-01 	 1.306170e-02 	-4.711560e-01 	 -1.399240e-03 	-4.863000e-01 	 1.480220e-02 	-5.014400e-01 	 2.085580e-02 	-4.863000e-01 	 1.363550e-02 	-4.711560e-01 	 -1.441200e-03 	-4.863000e-01 	 1.363650e-02 	-5.014400e-01 	 2.086950e-02 	-4.863000e-01 	 1.475390e-02 	-4.711560e-01 	 -1.473350e-03 	-4.863000e-01 	 1.300180e-02 	-5.014400e-01 	 1.716950e-02 	-4.863000e-01 	 5.341470e-03 	-4.711560e-01 	 -4.753280e-04 	-4.863000e-01 	 5.296890e-03 	 
-4.853620e-01 	 4.333860e-03 	-5.005100e-01 	 1.664810e-02 	-4.853620e-01 	 1.240170e-02 	-4.702090e-01 	 -1.449560e-03 	-4.853620e-01 	 1.412730e-02 	-5.005100e-01 	 2.031040e-02 	-4.853620e-01 	 1.288300e-02 	-4.702090e-01 	 -1.291490e-03 	-4.853620e-01 	 1.288560e-02 	-5.005100e-01 	 2.032370e-02 	-4.853620e-01 	 1.407750e-02 	-4.702090e-01 	 -1.580420e-03 	-4.853620e-01 	 1.233860e-02 	-5.005100e-01 	 1.646320e-02 	-4.853620e-01 	 4.378990e-03 	-4.702090e-01 	 -3.956920e-04 	-4.853620e-01 	 4.333860e-03 	 
-4.844060e-01 	 3.505910e-03 	-4.995620e-01 	 1.597120e-02 	-4.844060e-01 	 1.175830e-02 	-4.692440e-01 	 -1.394090e-03 	-4.844060e-01 	 1.345390e-02 	-4.995620e-01 	 1.979150e-02 	-4.844060e-01 	 1.213050e-02 	-4.692440e-01 	 -1.124910e-03 	-4.844060e-01 	 1.213560e-02 	-4.995620e-01 	 1.980450e-02 	-4.844060e-01 	 1.340190e-02 	-4.692440e-01 	 -1.559450e-03 	-4.844060e-01 	 1.169220e-02 	-4.995620e-01 	 1.576940e-02 	-4.844060e-01 	 3.551280e-03 	-4.692440e-01 	 -3.393180e-04 	-4.844060e-01 	 3.505910e-03 	 
-4.834310e-01 	 2.837990e-03 	-4.985950e-01 	 1.530310e-02 	-4.834310e-01 	 1.113660e-02 	-4.682610e-01 	 -1.268950e-03 	-4.834310e-01 	 1.278780e-02 	-4.985950e-01 	 1.929240e-02 	-4.834310e-01 	 1.138810e-02 	-4.682610e-01 	 -9.602540e-04 	-4.834310e-01 	 1.139540e-02 	-4.985950e-01 	 1.930500e-02 	-4.834310e-01 	 1.273280e-02 	-4.682610e-01 	 -1.442500e-03 	-4.834310e-01 	 1.106790e-02 	-4.985950e-01 	 1.508220e-02 	-4.834310e-01 	 2.882920e-03 	-4.682610e-01 	 -2.872390e-04 	-4.834310e-01 	 2.837990e-03 	 
-4.824350e-01 	 2.304920e-03 	-4.976070e-01 	 1.462480e-02 	-4.824350e-01 	 1.053380e-02 	-4.672590e-01 	 -1.130100e-03 	-4.824350e-01 	 1.212720e-02 	-4.976070e-01 	 1.879200e-02 	-4.824350e-01 	 1.065630e-02 	-4.672590e-01 	 -8.076140e-04 	-4.824350e-01 	 1.066520e-02 	-4.976070e-01 	 1.880400e-02 	-4.824350e-01 	 1.206910e-02 	-4.672590e-01 	 -1.274770e-03 	-4.824350e-01 	 1.046360e-02 	-4.976070e-01 	 1.438250e-02 	-4.824350e-01 	 2.348850e-03 	-4.672590e-01 	 -2.441380e-04 	-4.824350e-01 	 2.304920e-03 	 
-4.814190e-01 	 1.849900e-03 	-4.965970e-01 	 1.395740e-02 	-4.814190e-01 	 9.960660e-03 	-4.662350e-01 	 -9.900010e-04 	-4.814190e-01 	 1.148510e-02 	-4.965970e-01 	 1.831690e-02 	-4.814190e-01 	 9.942570e-03 	-4.662350e-01 	 -6.595900e-04 	-4.814190e-01 	 9.952420e-03 	-4.965970e-01 	 1.832860e-02 	-4.814190e-01 	 1.142430e-02 	-4.662350e-01 	 -1.071160e-03 	-4.814190e-01 	 9.889470e-03 	-4.965970e-01 	 1.369100e-02 	-4.814190e-01 	 1.891690e-03 	-4.662350e-01 	 -1.923930e-04 	-4.814190e-01 	 1.849900e-03 	 
-4.803800e-01 	 1.403640e-03 	-4.955640e-01 	 1.329200e-02 	-4.803800e-01 	 9.415150e-03 	-4.651890e-01 	 -8.369690e-04 	-4.803800e-01 	 1.085790e-02 	-4.955640e-01 	 1.785820e-02 	-4.803800e-01 	 9.232720e-03 	-4.651890e-01 	 -5.234890e-04 	-4.803800e-01 	 9.243850e-03 	-4.955640e-01 	 1.786990e-02 	-4.803800e-01 	 1.079500e-02 	-4.651890e-01 	 -8.447480e-04 	-4.803800e-01 	 9.343660e-03 	-4.955640e-01 	 1.299890e-02 	-4.803800e-01 	 1.441060e-03 	-4.651890e-01 	 -9.667660e-05 	-4.803800e-01 	 1.403640e-03 	 
-4.793170e-01 	 9.345750e-04 	-4.945070e-01 	 1.262900e-02 	-4.793170e-01 	 8.908050e-03 	-4.641200e-01 	 -6.523070e-04 	-4.793170e-01 	 1.025110e-02 	-4.945070e-01 	 1.741870e-02 	-4.793170e-01 	 8.525220e-03 	-4.641200e-01 	 -4.035730e-04 	-4.793170e-01 	 8.538180e-03 	-4.945070e-01 	 1.743030e-02 	-4.793170e-01 	 1.018580e-02 	-4.641200e-01 	 -6.063640e-04 	-4.793170e-01 	 8.836300e-03 	-4.945070e-01 	 1.230640e-02 	-4.793170e-01 	 9.657210e-04 	-4.641200e-01 	 5.766670e-05 	-4.793170e-01 	 9.345750e-04 	 
-4.782300e-01 	 4.612920e-04 	-4.934250e-01 	 1.196760e-02 	-4.782300e-01 	 8.441840e-03 	-4.630280e-01 	 -4.293840e-04 	-4.782300e-01 	 9.658300e-03 	-4.934250e-01 	 1.699900e-02 	-4.782300e-01 	 7.822920e-03 	-4.630280e-01 	 -2.978300e-04 	-4.782300e-01 	 7.837760e-03 	-4.934250e-01 	 1.701020e-02 	-4.782300e-01 	 9.589050e-03 	-4.630280e-01 	 -3.611920e-04 	-4.782300e-01 	 8.369390e-03 	-4.934250e-01 	 1.161220e-02 	-4.782300e-01 	 4.839730e-04 	-4.630280e-01 	 2.634650e-04 	-4.782300e-01 	 4.612920e-04 	 
