xm 	 xl 	 cl 	 cd 	
 4.17500e-01 	 5.00000e-03 	 7.76547e-04 	-3.45642e-02 	
 4.22500e-01 	 5.00000e-03 	 7.43845e-04 	-3.47676e-02 	
 4.27500e-01 	 5.00000e-03 	 7.09300e-04 	-3.49730e-02 	
 4.32500e-01 	 5.00000e-03 	 6.73731e-04 	-3.51803e-02 	
 4.37500e-01 	 5.00000e-03 	 6.36523e-04 	-3.53900e-02 	
 4.42500e-01 	 5.00000e-03 	 5.98291e-04 	-3.56007e-02 	
 4.47500e-01 	 5.00000e-03 	 5.61359e-04 	-3.58146e-02 	
 4.52500e-01 	 5.00000e-03 	 5.23260e-04 	-3.60276e-02 	
 4.57500e-01 	 5.00000e-03 	 4.83797e-04 	-3.62431e-02 	
 4.62500e-01 	 5.00000e-03 	 4.43283e-04 	-3.64607e-02 	
 4.67500e-01 	 5.00000e-03 	 4.01250e-04 	-3.66814e-02 	
 4.72500e-01 	 5.00000e-03 	 3.56169e-04 	-3.69024e-02 	
 4.77500e-01 	 5.00000e-03 	 3.06954e-04 	-3.71263e-02 	
 4.82500e-01 	 5.00000e-03 	 2.52634e-04 	-3.73501e-02 	
 4.87500e-01 	 5.00000e-03 	 1.92553e-04 	-3.75787e-02 	
 4.92500e-01 	 5.00000e-03 	 1.25433e-04 	-3.78078e-02 	
 4.97500e-01 	 5.00000e-03 	 4.76031e-05 	-3.80346e-02 	
