t     p     U
  0.3696252E+03       0.6834439E+00       0.3979323E+00
  0.3697503E+03       0.6823660E+00       0.3998961E+00
  0.3698753E+03       0.6813642E+00       0.4016691E+00
  0.3700002E+03       0.6805717E+00       0.4032969E+00
  0.3701253E+03       0.6798204E+00       0.4048363E+00
  0.3702503E+03       0.6789196E+00       0.4067012E+00
  0.3703752E+03       0.6788826E+00       0.4075482E+00
  0.3705002E+03       0.6792284E+00       0.4077115E+00
  0.3706252E+03       0.6796119E+00       0.4076660E+00
  0.3707502E+03       0.6798556E+00       0.4076931E+00
  0.3708752E+03       0.6798803E+00       0.4079809E+00
  0.3710003E+03       0.6803613E+00       0.4077770E+00
  0.3711253E+03       0.6814878E+00       0.4065742E+00
  0.3712503E+03       0.6826194E+00       0.4051383E+00
  0.3713752E+03       0.6840729E+00       0.4031363E+00
  0.3715002E+03       0.6853441E+00       0.4011515E+00
  0.3716253E+03       0.6864681E+00       0.3993615E+00
  0.3717503E+03       0.6875395E+00       0.3975554E+00
  0.3718752E+03       0.6883223E+00       0.3960756E+00
  0.3720003E+03       0.6895409E+00       0.3940960E+00
  0.3721253E+03       0.6910743E+00       0.3916045E+00
  0.3722502E+03       0.6928877E+00       0.3886470E+00
  0.3723752E+03       0.6942900E+00       0.3859995E+00
  0.3725002E+03       0.6951670E+00       0.3840147E+00
  0.3726252E+03       0.6957292E+00       0.3825964E+00
  0.3727503E+03       0.6957515E+00       0.3818932E+00
  0.3728752E+03       0.6955417E+00       0.3816472E+00
  0.3730003E+03       0.6953468E+00       0.3816051E+00
  0.3731252E+03       0.6955177E+00       0.3811679E+00
  0.3732503E+03       0.6954675E+00       0.3809054E+00
  0.3733753E+03       0.6954492E+00       0.3806474E+00
  0.3735002E+03       0.6954493E+00       0.3804398E+00
  0.3736252E+03       0.6956807E+00       0.3799576E+00
  0.3737503E+03       0.6957871E+00       0.3795766E+00
  0.3738753E+03       0.6957894E+00       0.3793618E+00
  0.3740002E+03       0.6956577E+00       0.3793654E+00
  0.3741253E+03       0.6953855E+00       0.3794785E+00
  0.3742503E+03       0.6946376E+00       0.3801769E+00
  0.3743753E+03       0.6939570E+00       0.3808818E+00
  0.3745003E+03       0.6929964E+00       0.3820392E+00
  0.3746253E+03       0.6916150E+00       0.3837676E+00
  0.3747503E+03       0.6906863E+00       0.3852685E+00
  0.3748752E+03       0.6891535E+00       0.3874078E+00
  0.3750002E+03       0.6877728E+00       0.3896622E+00
  0.3751252E+03       0.6867571E+00       0.3916134E+00
