x0	T1	x1	T2	x2	T3	x3	avg	
-0.37440 	 -1.26286 	-0.37440 	 -1.10685 	-0.37440 	 -0.98923 	-0.37440 	 -1.11965 	 
-0.37147 	 -1.20675 	-0.37147 	 -1.05955 	-0.37147 	 -1.00068 	-0.37147 	 -1.08899 	 
-0.36850 	 -1.00608 	-0.36850 	 -1.00675 	-0.36850 	 -1.01321 	-0.36850 	 -1.00868 	 
-0.36548 	 -0.90956 	-0.36548 	 -0.96070 	-0.36548 	 -1.02601 	-0.36548 	 -0.96542 	 
-0.36242 	 -0.97887 	-0.36242 	 -0.91727 	-0.36242 	 -1.03557 	-0.36242 	 -0.97724 	 
-0.35931 	 -1.09990 	-0.35931 	 -0.91269 	-0.35931 	 -1.04006 	-0.35931 	 -1.01755 	 
-0.35616 	 -1.08699 	-0.35616 	 -0.94707 	-0.35616 	 -1.04133 	-0.35616 	 -1.02513 	 
-0.35296 	 -0.95449 	-0.35296 	 -0.99598 	-0.35296 	 -1.04072 	-0.35296 	 -0.99706 	 
-0.34972 	 -0.88077 	-0.34972 	 -1.03219 	-0.34972 	 -1.03833 	-0.34972 	 -0.98376 	 
-0.34643 	 -0.86188 	-0.34643 	 -1.02093 	-0.34643 	 -1.03318 	-0.34643 	 -0.97200 	 
-0.34310 	 -0.84195 	-0.34310 	 -0.98922 	-0.34310 	 -1.02748 	-0.34310 	 -0.95288 	 
-0.33972 	 -0.83000 	-0.33972 	 -0.99332 	-0.33972 	 -1.02694 	-0.33972 	 -0.95009 	 
-0.33630 	 -0.82309 	-0.33630 	 -1.01467 	-0.33630 	 -1.02221 	-0.33630 	 -0.95332 	 
-0.33283 	 -0.84774 	-0.33283 	 -0.98470 	-0.33283 	 -0.99796 	-0.33283 	 -0.94347 	 
-0.32932 	 -0.88861 	-0.32932 	 -0.89766 	-0.32932 	 -0.96648 	-0.32932 	 -0.91758 	 
-0.32577 	 -0.90682 	-0.32577 	 -0.83368 	-0.32577 	 -0.94986 	-0.32577 	 -0.89679 	 
-0.32217 	 -0.91052 	-0.32217 	 -0.83152 	-0.32217 	 -0.94727 	-0.32217 	 -0.89644 	 
-0.31853 	 -0.88360 	-0.31853 	 -0.85861 	-0.31853 	 -0.94822 	-0.31853 	 -0.89681 	 
-0.31485 	 -0.83197 	-0.31485 	 -0.89708 	-0.31485 	 -0.94844 	-0.31485 	 -0.89249 	 
