"Density" "Momentum:0" "Momentum:1" "Momentum:2" "StagnationEnergy" "Pressure" "Points:0" "Points:1" "Points:2" "Density" "Momentum:0" "Momentum:1" "Momentum:2" "StagnationEnergy" "Pressure" "Points:0" "Points:1" "Points:2"
5.53571e-03 2.84612e-04 -2.04475e-05 -4.46163e-04 -1.32979e+00 -5.31926e-01 -4.16764e-01 7.24897e-02 9.90000e-02 5.53571e-03 2.84612e-04 -2.04475e-05 -4.46163e-04 -1.32979e+00 -5.31926e-01 -4.16764e-01 7.24897e-02 9.90000e-02
-3.72602e-04 4.48493e-05 -1.65594e-04 -6.92420e-04 -1.35883e+00 -5.43260e-01 -4.15310e-01 7.24261e-02 9.68000e-02 -3.72602e-04 4.48493e-05 -1.65594e-04 -6.92420e-04 -1.35883e+00 -5.43260e-01 -4.15310e-01 7.24261e-02 9.68000e-02
-6.06985e-03 -2.06636e-04 -2.42365e-04 -7.57005e-04 -1.45485e+00 -5.81918e-01 -4.14019e-01 7.23695e-02 9.46000e-02 -6.06985e-03 -2.06636e-04 -2.42365e-04 -7.57005e-04 -1.45485e+00 -5.81918e-01 -4.14019e-01 7.23695e-02 9.46000e-02
-9.92118e-03 -3.86218e-04 -2.60852e-04 -6.69225e-04 -1.50937e+00 -6.03734e-01 -4.12910e-01 7.23210e-02 9.24000e-02 -9.92118e-03 -3.86218e-04 -2.60852e-04 -6.69225e-04 -1.50937e+00 -6.03734e-01 -4.12910e-01 7.23210e-02 9.24000e-02
-1.20974e-02 -4.87829e-04 -2.64579e-04 -5.46373e-04 -1.50283e+00 -6.01124e-01 -4.12001e-01 7.22812e-02 9.02000e-02 -1.20974e-02 -4.87829e-04 -2.64579e-04 -5.46373e-04 -1.50283e+00 -6.01124e-01 -4.12001e-01 7.22812e-02 9.02000e-02
-9.79211e-03 -3.98927e-04 -1.97420e-04 -4.17181e-04 -1.45460e+00 -5.81834e-01 -4.11306e-01 7.22508e-02 8.80000e-02 -9.79211e-03 -3.98927e-04 -1.97420e-04 -4.17181e-04 -1.45460e+00 -5.81834e-01 -4.11306e-01 7.22508e-02 8.80000e-02
-3.99597e-03 -1.59931e-04 -8.63195e-05 -3.49957e-04 -1.38195e+00 -5.52772e-01 -4.10837e-01 7.22303e-02 8.58000e-02 -3.99597e-03 -1.59931e-04 -8.63195e-05 -3.49957e-04 -1.38195e+00 -5.52772e-01 -4.10837e-01 7.22303e-02 8.58000e-02
-2.18358e-04 -6.42482e-06 -1.07428e-05 -3.40304e-04 -1.35410e+00 -5.41533e-01 -4.10600e-01 7.22199e-02 8.36000e-02 -2.18358e-04 -6.42482e-06 -1.07428e-05 -3.40304e-04 -1.35410e+00 -5.41533e-01 -4.10600e-01 7.22199e-02 8.36000e-02
-1.14512e-03 -5.08686e-05 -1.12537e-05 -2.92213e-04 -1.39871e+00 -5.59467e-01 -4.10600e-01 7.22199e-02 8.14000e-02 -1.14512e-03 -5.08686e-05 -1.12537e-05 -2.92213e-04 -1.39871e+00 -5.59467e-01 -4.10600e-01 7.22199e-02 8.14000e-02
-4.35585e-03 -1.89221e-04 -5.50250e-05 -2.26801e-04 -1.44392e+00 -5.77563e-01 -4.10837e-01 7.22303e-02 7.92000e-02 -4.35585e-03 -1.89221e-04 -5.50250e-05 -2.26801e-04 -1.44392e+00 -5.77563e-01 -4.10837e-01 7.22303e-02 7.92000e-02
-6.82002e-03 -2.99585e-04 -8.04713e-05 -2.67943e-04 -1.43414e+00 -5.73652e-01 -4.11306e-01 7.22508e-02 7.70000e-02 -6.82002e-03 -2.99585e-04 -8.04713e-05 -2.67943e-04 -1.43414e+00 -5.73652e-01 -4.11306e-01 7.22508e-02 7.70000e-02
-7.88307e-03 -3.56503e-04 -7.11648e-05 -3.87879e-04 -1.40726e+00 -5.62898e-01 -4.12001e-01 7.22812e-02 7.48000e-02 -7.88307e-03 -3.56503e-04 -7.11648e-05 -3.87879e-04 -1.40726e+00 -5.62898e-01 -4.12001e-01 7.22812e-02 7.48000e-02
-8.08325e-03 -3.73383e-04 -5.87267e-05 -4.06308e-04 -1.41354e+00 -5.65408e-01 -4.12910e-01 7.23210e-02 7.26000e-02 -8.08325e-03 -3.73383e-04 -5.87267e-05 -4.06308e-04 -1.41354e+00 -5.65408e-01 -4.12910e-01 7.23210e-02 7.26000e-02
-7.76575e-03 -3.56548e-04 -6.88557e-05 -2.72887e-04 -1.43773e+00 -5.75087e-01 -4.14019e-01 7.23695e-02 7.04000e-02 -7.76575e-03 -3.56548e-04 -6.88557e-05 -2.72887e-04 -1.43773e+00 -5.75087e-01 -4.14019e-01 7.23695e-02 7.04000e-02
