"Result"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"Density"	"StagnationEnergy"	"Pressure"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
-1.99269e+00	6.01976e-01	3.82722e-01	7.27776e-05	8.34682e-01	5.54870e-01	1.00018e-01	1	8.10000e-02	-4.50000e-01	8.10000e-02	-8.25000e-02
-1.97836e+00	6.02380e-01	3.78870e-01	6.82330e-05	8.35922e-01	5.56017e-01	1.01243e-01	1	8.20000e-02	-4.50000e-01	8.20000e-02	-8.25000e-02
-1.96427e+00	6.02754e-01	3.75122e-01	6.34634e-05	8.37136e-01	5.57144e-01	1.02437e-01	1	8.30000e-02	-4.50000e-01	8.30000e-02	-8.25000e-02
-1.95039e+00	6.03035e-01	3.71434e-01	5.81189e-05	8.38328e-01	5.58255e-01	1.03629e-01	1	8.40000e-02	-4.50000e-01	8.40000e-02	-8.25000e-02
-1.93668e+00	6.03187e-01	3.67783e-01	5.14492e-05	8.39502e-01	5.59351e-01	1.04833e-01	1	8.50000e-02	-4.50000e-01	8.50000e-02	-8.25000e-02
-1.92321e+00	6.03219e-01	3.64172e-01	4.47071e-05	8.40654e-01	5.60429e-01	1.06047e-01	1	8.60000e-02	-4.50000e-01	8.60000e-02	-8.25000e-02
-1.90999e+00	6.03142e-01	3.60626e-01	3.79242e-05	8.41786e-01	5.61487e-01	1.07262e-01	1	8.70000e-02	-4.50000e-01	8.70000e-02	-8.25000e-02
-1.89703e+00	6.03014e-01	3.57187e-01	3.10974e-05	8.42897e-01	5.62523e-01	1.08454e-01	1	8.80000e-02	-4.50000e-01	8.80000e-02	-8.25000e-02
-1.88430e+00	6.02879e-01	3.53850e-01	2.42336e-05	8.43990e-01	5.63542e-01	1.09614e-01	1	8.90000e-02	-4.50000e-01	8.90000e-02	-8.25000e-02
-1.87168e+00	6.02730e-01	3.50609e-01	1.72482e-05	8.45072e-01	5.64551e-01	1.10748e-01	1	9.00000e-02	-4.50000e-01	9.00000e-02	-8.25000e-02
-1.85927e+00	6.02593e-01	3.47476e-01	1.03111e-05	8.46135e-01	5.65544e-01	1.11846e-01	1	9.10000e-02	-4.50000e-01	9.10000e-02	-8.25000e-02
