x0	Cl	x1	Cd	
209.99892 	 0.62940 	209.99892 	 0.27982 	 
210.35185 	 0.64783 	210.35185 	 0.28821 	 
210.70478 	 0.65554 	210.70478 	 0.29026 	 
211.05770 	 0.65990 	211.05770 	 0.28856 	 
211.41063 	 0.66312 	211.41063 	 0.28611 	 
211.76356 	 0.66344 	211.76356 	 0.28429 	 
212.11649 	 0.66620 	212.11649 	 0.28522 	 
212.46942 	 0.66283 	212.46942 	 0.27902 	 
212.82235 	 0.64637 	212.82235 	 0.26665 	 
213.17527 	 0.63071 	213.17527 	 0.25847 	 
213.52820 	 0.61370 	213.52820 	 0.25103 	 
213.88113 	 0.60177 	213.88113 	 0.24921 	 
214.23406 	 0.60119 	214.23406 	 0.25066 	 
214.58699 	 0.59950 	214.58699 	 0.25167 	 
214.93992 	 0.60366 	214.93992 	 0.25485 	 
215.29284 	 0.61657 	215.29284 	 0.26260 	 
215.64577 	 0.64029 	215.64577 	 0.27591 	 
215.99870 	 0.66003 	215.99870 	 0.28473 	 
216.35163 	 0.67976 	216.35163 	 0.29254 	 
216.70456 	 0.70355 	216.70456 	 0.30195 	 
217.05748 	 0.72491 	217.05748 	 0.31470 	 
217.41041 	 0.73944 	217.41041 	 0.32596 	 
217.76334 	 0.74670 	217.76334 	 0.32893 	 
218.11627 	 0.74026 	218.11627 	 0.32872 	 
218.46920 	 0.72732 	218.46920 	 0.32758 	 
218.82213 	 0.70840 	218.82213 	 0.32190 	 
219.17505 	 0.69292 	219.17505 	 0.31703 	 
219.52798 	 0.67265 	219.52798 	 0.30934 	 
219.88091 	 0.65898 	219.88091 	 0.30207 	 
220.23384 	 0.63997 	220.23384 	 0.29154 	 
220.58677 	 0.62832 	220.58677 	 0.28420 	 
220.93970 	 0.62813 	220.93970 	 0.28300 	 
221.29262 	 0.64645 	221.29262 	 0.29045 	 
221.64555 	 0.67295 	221.64555 	 0.30062 	 
221.99848 	 0.69555 	221.99848 	 0.30971 	 
222.35141 	 0.70261 	222.35141 	 0.31053 	 
222.70434 	 0.70549 	222.70434 	 0.31312 	 
223.05726 	 0.70198 	223.05726 	 0.31298 	 
223.41019 	 0.68738 	223.41019 	 0.30650 	 
223.76312 	 0.67435 	223.76312 	 0.30216 	 
224.11605 	 0.67144 	224.11605 	 0.30574 	 
224.46898 	 0.66466 	224.46898 	 0.30905 	 
224.82191 	 0.65407 	224.82191 	 0.30875 	 
225.17483 	 0.64662 	225.17483 	 0.30852 	 
225.52776 	 0.64299 	225.52776 	 0.30958 	 
225.88069 	 0.65519 	225.88069 	 0.31703 	 
226.23362 	 0.66885 	226.23362 	 0.32301 	 
226.58655 	 0.68014 	226.58655 	 0.32445 	 
226.93948 	 0.68760 	226.93948 	 0.32526 	 
227.29240 	 0.69248 	227.29240 	 0.32554 	 
227.64533 	 0.69883 	227.64533 	 0.32745 	 
227.99826 	 0.70824 	227.99826 	 0.33465 	 
228.35119 	 0.70561 	228.35119 	 0.33855 	 
228.70412 	 0.69672 	228.70412 	 0.33643 	 
229.05704 	 0.67807 	229.05704 	 0.33282 	 
229.40997 	 0.65324 	229.40997 	 0.33036 	 
229.76290 	 0.63030 	229.76290 	 0.32703 	 
230.11583 	 0.60265 	230.11583 	 0.32036 	 
230.46876 	 0.58507 	230.46876 	 0.31465 	 
230.82169 	 0.58146 	230.82169 	 0.31361 	 
231.17461 	 0.56823 	231.17461 	 0.30106 	 
231.52754 	 0.56012 	231.52754 	 0.28831 	 
231.88047 	 0.58026 	231.88047 	 0.28844 	 
232.23340 	 0.64334 	232.23340 	 0.30772 	 
232.58633 	 0.67422 	232.58633 	 0.30992 	 
232.93926 	 0.69621 	232.93926 	 0.30544 	 
233.29218 	 0.71870 	233.29218 	 0.31017 	 
233.64511 	 0.74586 	233.64511 	 0.32090 	 
233.99804 	 0.78902 	233.99804 	 0.33862 	 
234.35097 	 0.80926 	234.35097 	 0.35025 	 
234.70390 	 0.80477 	234.70390 	 0.34960 	 
235.05682 	 0.79264 	235.05682 	 0.34854 	 
235.40975 	 0.76920 	235.40975 	 0.34764 	 
235.76268 	 0.74059 	235.76268 	 0.34101 	 
236.11561 	 0.72076 	236.11561 	 0.33466 	 
236.46854 	 0.70222 	236.46854 	 0.32844 	 
236.82147 	 0.68857 	236.82147 	 0.32061 	 
237.17439 	 0.69633 	237.17439 	 0.32120 	 
237.52732 	 0.69545 	237.52732 	 0.31827 	 
237.88025 	 0.69326 	237.88025 	 0.31473 	 
238.23318 	 0.68171 	238.23318 	 0.30757 	 
238.58611 	 0.68491 	238.58611 	 0.30686 	 
238.93904 	 0.69683 	238.93904 	 0.31379 	 
239.29196 	 0.71154 	239.29196 	 0.32238 	 
239.64489 	 0.72564 	239.64489 	 0.32960 	 
239.99782 	 0.72819 	239.99782 	 0.33000 	 
