x0	BtSide	x1	UpSide	
-2.191290e-01 	 1.022390e-01 	-2.191290e-01 	 -1.022390e-01 	 
-2.145320e-01 	 1.023350e-01 	-2.145320e-01 	 -1.023350e-01 	 
-2.099030e-01 	 1.024130e-01 	-2.099030e-01 	 -1.024130e-01 	 
-2.052420e-01 	 1.024730e-01 	-2.052420e-01 	 -1.024730e-01 	 
-2.005510e-01 	 1.025140e-01 	-2.005510e-01 	 -1.025140e-01 	 
-1.958300e-01 	 1.025370e-01 	-1.958300e-01 	 -1.025370e-01 	 
-1.910790e-01 	 1.025420e-01 	-1.910790e-01 	 -1.025420e-01 	 
-1.862980e-01 	 1.025280e-01 	-1.862980e-01 	 -1.025280e-01 	 
-1.814900e-01 	 1.024950e-01 	-1.814900e-01 	 -1.024950e-01 	 
-1.766530e-01 	 1.024450e-01 	-1.766530e-01 	 -1.024450e-01 	 
-1.717900e-01 	 1.023770e-01 	-1.717900e-01 	 -1.023770e-01 	 
-1.669000e-01 	 1.022900e-01 	-1.669000e-01 	 -1.022900e-01 	 
-1.619840e-01 	 1.021850e-01 	-1.619840e-01 	 -1.021850e-01 	 
-1.570420e-01 	 1.020630e-01 	-1.570420e-01 	 -1.020630e-01 	 
-1.520760e-01 	 1.019230e-01 	-1.520760e-01 	 -1.019230e-01 	 
-1.470860e-01 	 1.017650e-01 	-1.470860e-01 	 -1.017650e-01 	 
-1.420730e-01 	 1.015900e-01 	-1.420730e-01 	 -1.015900e-01 	 
-1.370380e-01 	 1.013970e-01 	-1.370380e-01 	 -1.013970e-01 	 
-1.319800e-01 	 1.011870e-01 	-1.319800e-01 	 -1.011870e-01 	 
-1.269020e-01 	 1.009590e-01 	-1.269020e-01 	 -1.009590e-01 	 
-1.218020e-01 	 1.007150e-01 	-1.218020e-01 	 -1.007150e-01 	 
-1.166830e-01 	 1.004540e-01 	-1.166830e-01 	 -1.004540e-01 	 
-1.115450e-01 	 1.001770e-01 	-1.115450e-01 	 -1.001770e-01 	 
-1.063890e-01 	 9.988240e-02 	-1.063890e-01 	 -9.988240e-02 	 
-1.012150e-01 	 9.957190e-02 	-1.012150e-01 	 -9.957190e-02 	 
-9.602400e-02 	 9.924530e-02 	-9.602400e-02 	 -9.924530e-02 	 
-9.081690e-02 	 9.890290e-02 	-9.081690e-02 	 -9.890290e-02 	 
-8.559430e-02 	 9.854460e-02 	-8.559430e-02 	 -9.854460e-02 	 
-8.035700e-02 	 9.817090e-02 	-8.035700e-02 	 -9.817090e-02 	 
-7.510580e-02 	 9.778180e-02 	-7.510580e-02 	 -9.778180e-02 	 
-6.984130e-02 	 9.737760e-02 	-6.984130e-02 	 -9.737760e-02 	 
-6.456440e-02 	 9.695860e-02 	-6.456440e-02 	 -9.695860e-02 	 
-5.927580e-02 	 9.652480e-02 	-5.927580e-02 	 -9.652480e-02 	 
-5.397620e-02 	 9.607670e-02 	-5.397620e-02 	 -9.607670e-02 	 
-4.866640e-02 	 9.561430e-02 	-4.866640e-02 	 -9.561430e-02 	 
-4.334710e-02 	 9.513790e-02 	-4.334710e-02 	 -9.513790e-02 	 
