x0	cl	x1	cd	
5.657400e-01 	 -4.371049e-08 	5.657400e-01 	 1.894388e-03 	 
5.685200e-01 	 -3.421761e-08 	5.685200e-01 	 1.909414e-03 	 
5.713000e-01 	 -7.359925e-09 	5.713000e-01 	 1.924539e-03 	 
5.740800e-01 	 2.132947e-09 	5.740800e-01 	 1.939566e-03 	 
5.768500e-01 	 2.899064e-08 	5.768500e-01 	 1.954691e-03 	 
5.796300e-01 	 -4.263245e-08 	5.796300e-01 	 1.969834e-03 	 
5.824100e-01 	 1.590058e-09 	5.824100e-01 	 1.985057e-03 	 
5.851900e-01 	 2.844775e-08 	5.851900e-01 	 2.000182e-03 	 
5.879600e-01 	 -2.581052e-08 	5.879600e-01 	 2.015423e-03 	 
5.907400e-01 	 1.841199e-08 	5.907400e-01 	 2.030647e-03 	 
5.935200e-01 	 -3.584628e-08 	5.935200e-01 	 2.045888e-03 	 
5.963000e-01 	 8.376225e-09 	5.963000e-01 	 2.061111e-03 	 
5.990800e-01 	 -4.588204e-08 	5.990800e-01 	 2.076352e-03 	 
6.018500e-01 	 1.570528e-08 	6.018500e-01 	 2.091675e-03 	 
6.046300e-01 	 -2.118817e-08 	6.046300e-01 	 2.107014e-03 	 
6.074100e-01 	 2.303434e-08 	6.074100e-01 	 2.122238e-03 	 
6.101900e-01 	 -1.385911e-08 	6.101900e-01 	 2.137577e-03 	 
6.129600e-01 	 -3.338774e-08 	6.129600e-01 	 2.153015e-03 	 
6.157400e-01 	 2.819958e-08 	6.157400e-01 	 2.168337e-03 	 
6.185200e-01 	 8.670948e-09 	6.185200e-01 	 2.183775e-03 	 
6.213000e-01 	 -2.822250e-08 	6.213000e-01 	 2.199114e-03 	 
6.240700e-01 	 -4.775113e-08 	6.240700e-01 	 2.214552e-03 	 
6.268500e-01 	 3.120101e-08 	6.268500e-01 	 2.229973e-03 	 
6.296300e-01 	 1.167238e-08 	6.296300e-01 	 2.245411e-03 	 
6.324100e-01 	 9.508561e-09 	6.324100e-01 	 2.260947e-03 	 
6.351900e-01 	 -1.002007e-08 	6.351900e-01 	 2.276385e-03 	 
6.379600e-01 	 -1.218389e-08 	6.379600e-01 	 2.291922e-03 	 
6.407400e-01 	 -1.434770e-08 	6.407400e-01 	 2.307458e-03 	 
6.435200e-01 	 -1.651152e-08 	6.435200e-01 	 2.322994e-03 	 
6.463000e-01 	 -1.867533e-08 	6.463000e-01 	 2.338531e-03 	 
6.490700e-01 	 -2.083915e-08 	6.490700e-01 	 2.354067e-03 	 
6.518500e-01 	 -2.300296e-08 	6.518500e-01 	 2.369604e-03 	 
6.546300e-01 	 -7.801958e-09 	6.546300e-01 	 2.385238e-03 	 
6.574100e-01 	 7.399045e-09 	6.574100e-01 	 2.400873e-03 	 
6.601800e-01 	 5.235230e-09 	6.601800e-01 	 2.416410e-03 	 
6.629600e-01 	 2.043623e-08 	6.629600e-01 	 2.432045e-03 	 
6.657400e-01 	 3.563724e-08 	6.657400e-01 	 2.447680e-03 	 
6.685200e-01 	 -4.764254e-08 	6.685200e-01 	 2.463332e-03 	 
6.713000e-01 	 -3.244153e-08 	6.713000e-01 	 2.478967e-03 	 
6.740700e-01 	 1.242872e-10 	6.740700e-01 	 2.494700e-03 	 
6.768500e-01 	 1.532529e-08 	6.768500e-01 	 2.510335e-03 	 
6.796300e-01 	 3.052629e-08 	6.796300e-01 	 2.525970e-03 	 
6.824100e-01 	 -3.538866e-08 	6.824100e-01 	 2.541721e-03 	 
