   n        time         Cl         Cd         AoA         M
    3040     0.44066   0.0000000   0.0002134   0.0000000   0.0001597
    3060     0.44357   0.0000000   0.0002171   0.0000000   0.0001618
    3080     0.44647   0.0000000   0.0002207   0.0000000   0.0001639
    3100     0.44938   0.0000000   0.0002243   0.0000000   0.0001661
    3120     0.45228   0.0000000   0.0002280   0.0000000   0.0001682
    3140     0.45519   0.0000000   0.0002316   0.0000000   0.0001704
    3160     0.45809   0.0000000   0.0002353   0.0000000   0.0001726
    3180     0.46100   0.0000000   0.0002390   0.0000000   0.0001748
    3200     0.46390   0.0000000   0.0002427   0.0000000   0.0001770
    3220     0.46681   0.0000000   0.0002464   0.0000000   0.0001792
    3240     0.46971   0.0000000   0.0002501   0.0000000   0.0001814
    3260     0.47262   0.0000000   0.0002538   0.0000000   0.0001837
    3280     0.47552   0.0000000   0.0002575   0.0000000   0.0001859
    3300     0.47842   0.0000000   0.0002612   0.0000000   0.0001882
    3320     0.48133   0.0000000   0.0002650   0.0000000   0.0001905
    3340     0.48423   0.0000000   0.0002687   0.0000000   0.0001928
    3360     0.48714   0.0000000   0.0002725   0.0000000   0.0001951
    3380     0.49004   0.0000000   0.0002762   0.0000000   0.0001975
    3400     0.49295   0.0000000   0.0002800   0.0000000   0.0001998
    3420     0.49585   0.0000000   0.0002838   0.0000000   0.0002022
    3440     0.49876   0.0000000   0.0002876   0.0000000   0.0002046
    3460     0.50166   0.0000000   0.0002914   0.0000000   0.0002069
    3480     0.50457   0.0000000   0.0002952   0.0000000   0.0002093
    3500     0.50747   0.0000000   0.0002990   0.0000000   0.0002118
    3520     0.51038   0.0000000   0.0003028   0.0000000   0.0002142
    3540     0.51328   0.0000000   0.0003067   0.0000000   0.0002166
    3560     0.51619   0.0000000   0.0003105   0.0000000   0.0002191
    3580     0.51909   0.0000000   0.0003143   0.0000000   0.0002216
    3600     0.52200   0.0000000   0.0003182   0.0000000   0.0002241
    3620     0.52490   0.0000000   0.0003221   0.0000000   0.0002266
    3640     0.52781   0.0000000   0.0003259   0.0000000   0.0002291
    3660     0.53071   0.0000000   0.0003298   0.0000000   0.0002316
    3680     0.53362   0.0000000   0.0003337   0.0000000   0.0002341
    3700     0.53652   0.0000000   0.0003376   0.0000000   0.0002367
    3720     0.53943   0.0000000   0.0003415   0.0000000   0.0002393
    3740     0.54233   0.0000000   0.0003454   0.0000000   0.0002418
    3760     0.54524   0.0000000   0.0003493   0.0000000   0.0002444
    3780     0.54814   0.0000000   0.0003532   0.0000000   0.0002470
    3800     0.55105   0.0000000   0.0003571   0.0000000   0.0002497
    3820     0.55395   0.0000000   0.0003610   0.0000000   0.0002523
    3840     0.55685   0.0000000   0.0003650   0.0000000   0.0002550
    3860     0.55976   0.0000000   0.0003689   0.0000000   0.0002576
    3880     0.56266   0.0000000   0.0003728   0.0000000   0.0002603
    3900     0.56557   0.0000000   0.0003768   0.0000000   0.0002630
    3920     0.56847   0.0000000   0.0003808   0.0000000   0.0002657
    3940     0.57138   0.0000000   0.0003847   0.0000000   0.0002684
    3960     0.57428   0.0000000   0.0003887   0.0000000   0.0002712
    3980     0.57719   0.0000000   0.0003927   0.0000000   0.0002739
    4000     0.58009   0.0000000   0.0003966   0.0000000   0.0002767
    4020     0.58300   0.0000000   0.0004006   0.0000000   0.0002795
    4040     0.58590   0.0000000   0.0004046   0.0000000   0.0002822
    4060     0.58881   0.0000000   0.0004086   0.0000000   0.0002851
    4080     0.59171   0.0000000   0.0004126   0.0000000   0.0002879
    4100     0.59462   0.0000000   0.0004166   0.0000000   0.0002907
    4120     0.59752   0.0000000   0.0004206   0.0000000   0.0002935
    4140     0.60042   0.0000000   0.0004246   0.0000000   0.0002964
    4160     0.60333   0.0000000   0.0004287   0.0000000   0.0002993
    4180     0.60623   0.0000000   0.0004327   0.0000000   0.0003022
    4200     0.60914   0.0000000   0.0004367   0.0000000   0.0003051
    4220     0.61204   0.0000000   0.0004408   0.0000000   0.0003080
    4240     0.61495   0.0000000   0.0004448   0.0000000   0.0003109
    4260     0.61785   0.0000000   0.0004489   0.0000000   0.0003139
    4280     0.62076   0.0000000   0.0004529   0.0000000   0.0003168
    4300     0.62366   0.0000000   0.0004570   0.0000000   0.0003198
    4320     0.62657   0.0000000   0.0004610   0.0000000   0.0003228
    4340     0.62947   0.0000000   0.0004651   0.0000000   0.0003258
    4360     0.63237   0.0000000   0.0004691   0.0000000   0.0003288
    4380     0.63528   0.0000000   0.0004732   0.0000000   0.0003318
    4400     0.63818   0.0000000   0.0004773   0.0000000   0.0003348
    4420     0.64109   0.0000000   0.0004814   0.0000000   0.0003379
    4440     0.64399   0.0000000   0.0004855   0.0000000   0.0003410
    4460     0.64690   0.0000000   0.0004895   0.0000000   0.0003441
    4480     0.64980   0.0000000   0.0004936   0.0000000   0.0003471
    4500     0.65271   0.0000000   0.0004977   0.0000000   0.0003503
    4520     0.65561   0.0000000   0.0005018   0.0000000   0.0003534
    4540     0.65851   0.0000000   0.0005059   0.0000000   0.0003565
    4560     0.66142   0.0000000   0.0005100   0.0000000   0.0003597
    4580     0.66432   0.0000000   0.0005141   0.0000000   0.0003628
    4600     0.66723   0.0000000   0.0005183   0.0000000   0.0003660
    4620     0.67013   0.0000000   0.0005224   0.0000000   0.0003692
    4640     0.67304   0.0000000   0.0005265   0.0000000   0.0003724
    4660     0.67594   0.0000000   0.0005306   0.0000000   0.0003756
    4680     0.67885   0.0000000   0.0005347   0.0000000   0.0003789
    4700     0.68175   0.0000000   0.0005389   0.0000000   0.0003821
    4720     0.68465   0.0000000   0.0005430   0.0000000   0.0003854
    4740     0.68756   0.0000000   0.0005471   0.0000000   0.0003886
    4760     0.69046   0.0000000   0.0005513   0.0000000   0.0003919
    4780     0.69337   0.0000000   0.0005554   0.0000000   0.0003952
    4800     0.69627   0.0000000   0.0005595   0.0000000   0.0003986
    4820     0.69918   0.0000000   0.0005637   0.0000000   0.0004019
    4840     0.70208   0.0000000   0.0005678   0.0000000   0.0004052
    4860     0.70498   0.0000000   0.0005720   0.0000000   0.0004086
    4880     0.70789   0.0000000   0.0005761   0.0000000   0.0004120
    4900     0.71079   0.0000000   0.0005803   0.0000000   0.0004153
    4920     0.71370   0.0000000   0.0005844   0.0000000   0.0004187
    4940     0.71660   0.0000000   0.0005886   0.0000000   0.0004222
    4960     0.71951   0.0000000   0.0005928   0.0000000   0.0004256
    4980     0.72241   0.0000000   0.0005969   0.0000000   0.0004290
    5000     0.72531   0.0000000   0.0006011   0.0000000   0.0004325
    5020     0.72822   0.0000000   0.0006053   0.0000000   0.0004359
    5040     0.73112   0.0000000   0.0006094   0.0000000   0.0004394
    5060     0.73403   0.0000000   0.0006136   0.0000000   0.0004429
    5080     0.73693   0.0000000   0.0006178   0.0000000   0.0004464
    5100     0.73983   0.0000000   0.0006219   0.0000000   0.0004500
    5120     0.74274   0.0000000   0.0006261   0.0000000   0.0004535
    5140     0.74564   0.0000000   0.0006303   0.0000000   0.0004570
    5160     0.74855   0.0000000   0.0006345   0.0000000   0.0004606
