x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	x9	P3	x10	M6	x11	T3	x12	M7	x13	P4	x14	M8	x15	T4	x16	M9	x17	avg	
-0.48343 	 -0.73079 	-0.49860 	 -0.87132 	-0.48343 	 -1.27761 	-0.46826 	 -1.34278 	-0.48343 	 -1.41654 	-0.49860 	 -1.13211 	-0.48343 	 -1.36769 	-0.46826 	 -1.28348 	-0.48343 	 -1.36851 	-0.49860 	 -1.13749 	-0.48343 	 -1.43285 	-0.46826 	 -1.36741 	-0.48343 	 -1.29343 	-0.49860 	 -0.86460 	-0.48343 	 -0.73578 	-0.46826 	 -0.68322 	-0.48343 	 -0.73079 	-0.48343 	 -1.11979 	 
-0.48244 	 -0.71995 	-0.49761 	 -0.87480 	-0.48244 	 -1.27678 	-0.46726 	 -1.34182 	-0.48244 	 -1.41791 	-0.49761 	 -1.14509 	-0.48244 	 -1.36539 	-0.46726 	 -1.28281 	-0.48244 	 -1.36611 	-0.49761 	 -1.15065 	-0.48244 	 -1.43454 	-0.46726 	 -1.36563 	-0.48244 	 -1.29285 	-0.49761 	 -0.86784 	-0.48244 	 -0.72528 	-0.46726 	 -0.68320 	-0.48244 	 -0.71995 	-0.48244 	 -1.11945 	 
-0.48142 	 -0.71054 	-0.49660 	 -0.87676 	-0.48142 	 -1.27500 	-0.46624 	 -1.34136 	-0.48142 	 -1.41793 	-0.49660 	 -1.15679 	-0.48142 	 -1.36174 	-0.46624 	 -1.28249 	-0.48142 	 -1.36235 	-0.49660 	 -1.16253 	-0.48142 	 -1.43488 	-0.46624 	 -1.36444 	-0.48142 	 -1.29127 	-0.49660 	 -0.86954 	-0.48142 	 -0.71625 	-0.46624 	 -0.68337 	-0.48142 	 -0.71054 	-0.48142 	 -1.11869 	 
-0.48038 	 -0.70266 	-0.49556 	 -0.87734 	-0.48038 	 -1.27239 	-0.46519 	 -1.34123 	-0.48038 	 -1.41668 	-0.49556 	 -1.16738 	-0.48038 	 -1.35690 	-0.46519 	 -1.28242 	-0.48038 	 -1.35740 	-0.49556 	 -1.17330 	-0.48038 	 -1.43393 	-0.46519 	 -1.36370 	-0.48038 	 -1.28880 	-0.49556 	 -0.86983 	-0.48038 	 -0.70876 	-0.46519 	 -0.68366 	-0.48038 	 -0.70266 	-0.48038 	 -1.11759 	 
-0.47932 	 -0.69617 	-0.49451 	 -0.87643 	-0.47932 	 -1.26908 	-0.46412 	 -1.34126 	-0.47932 	 -1.41432 	-0.49451 	 -1.17677 	-0.47932 	 -1.35108 	-0.46412 	 -1.28240 	-0.47932 	 -1.35146 	-0.49451 	 -1.18285 	-0.47932 	 -1.43181 	-0.46412 	 -1.36327 	-0.47932 	 -1.28559 	-0.49451 	 -0.86860 	-0.47932 	 -0.70270 	-0.46412 	 -0.68410 	-0.47932 	 -0.69617 	-0.47932 	 -1.11612 	 
-0.47823 	 -0.69098 	-0.49343 	 -0.87425 	-0.47823 	 -1.26536 	-0.46303 	 -1.34185 	-0.47823 	 -1.41115 	-0.49343 	 -1.18520 	-0.47823 	 -1.34459 	-0.46303 	 -1.28263 	-0.47823 	 -1.34485 	-0.49343 	 -1.19145 	-0.47823 	 -1.42882 	-0.46303 	 -1.36345 	-0.47823 	 -1.28189 	-0.49343 	 -0.86607 	-0.47823 	 -0.69792 	-0.46303 	 -0.68501 	-0.47823 	 -0.69098 	-0.47823 	 -1.11450 	 
-0.47712 	 -0.68679 	-0.49232 	 -0.87075 	-0.47712 	 -1.26131 	-0.46191 	 -1.34294 	-0.47712 	 -1.40728 	-0.49232 	 -1.19264 	-0.47712 	 -1.33755 	-0.46191 	 -1.28288 	-0.47712 	 -1.33769 	-0.49232 	 -1.19905 	-0.47712 	 -1.42508 	-0.46191 	 -1.36403 	-0.47712 	 -1.27780 	-0.49232 	 -0.86220 	-0.47712 	 -0.69409 	-0.46191 	 -0.68616 	-0.47712 	 -0.68679 	-0.47712 	 -1.11265 	 
-0.47598 	 -0.68352 	-0.49118 	 -0.86603 	-0.47598 	 -1.25719 	-0.46077 	 -1.34469 	-0.47598 	 -1.40295 	-0.49118 	 -1.19918 	-0.47598 	 -1.33024 	-0.46077 	 -1.28328 	-0.47598 	 -1.33026 	-0.49118 	 -1.20576 	-0.47598 	 -1.42082 	-0.46077 	 -1.36504 	-0.47598 	 -1.27355 	-0.49118 	 -0.85707 	-0.47598 	 -0.69115 	-0.46077 	 -0.68767 	-0.47598 	 -0.68352 	-0.47598 	 -1.11070 	 
-0.47481 	 -0.68107 	-0.49002 	 -0.86015 	-0.47481 	 -1.25314 	-0.45959 	 -1.34696 	-0.47481 	 -1.39828 	-0.49002 	 -1.20492 	-0.47481 	 -1.32291 	-0.45959 	 -1.28378 	-0.47481 	 -1.32283 	-0.49002 	 -1.21164 	-0.47481 	 -1.41616 	-0.45959 	 -1.36627 	-0.47481 	 -1.26928 	-0.49002 	 -0.85078 	-0.47481 	 -0.68895 	-0.45959 	 -0.68962 	-0.47481 	 -0.68107 	-0.47481 	 -1.10869 	 
-0.47362 	 -0.67939 	-0.48883 	 -0.85315 	-0.47362 	 -1.24931 	-0.45840 	 -1.34954 	-0.47362 	 -1.39344 	-0.48883 	 -1.20984 	-0.47362 	 -1.31582 	-0.45840 	 -1.28433 	-0.47362 	 -1.31567 	-0.48883 	 -1.21672 	-0.47362 	 -1.41125 	-0.45840 	 -1.36762 	-0.47362 	 -1.26514 	-0.48883 	 -0.84334 	-0.47362 	 -0.68742 	-0.45840 	 -0.69211 	-0.47362 	 -0.67939 	-0.47362 	 -1.10667 	 
-0.47239 	 -0.67841 	-0.48760 	 -0.84515 	-0.47239 	 -1.24588 	-0.45717 	 -1.35239 	-0.47239 	 -1.38865 	-0.48760 	 -1.21407 	-0.47239 	 -1.30929 	-0.45717 	 -1.28498 	-0.47239 	 -1.30908 	-0.48760 	 -1.22110 	-0.47239 	 -1.40628 	-0.45717 	 -1.36927 	-0.47239 	 -1.26128 	-0.48760 	 -0.83490 	-0.47239 	 -0.68647 	-0.45717 	 -0.69529 	-0.47239 	 -0.67841 	-0.47239 	 -1.10476 	 
-0.47114 	 -0.67800 	-0.48635 	 -0.83621 	-0.47114 	 -1.24299 	-0.45591 	 -1.35546 	-0.47114 	 -1.38411 	-0.48635 	 -1.21761 	-0.47114 	 -1.30350 	-0.45591 	 -1.28569 	-0.47114 	 -1.30325 	-0.48635 	 -1.22478 	-0.47114 	 -1.40141 	-0.45591 	 -1.37122 	-0.47114 	 -1.25782 	-0.48635 	 -0.82555 	-0.47114 	 -0.68597 	-0.45591 	 -0.69889 	-0.47114 	 -0.67800 	-0.47114 	 -1.10297 	 
-0.46985 	 -0.67810 	-0.48507 	 -0.82648 	-0.46985 	 -1.24080 	-0.45463 	 -1.35879 	-0.46985 	 -1.38005 	-0.48507 	 -1.22053 	-0.46985 	 -1.29858 	-0.45463 	 -1.28652 	-0.46985 	 -1.29829 	-0.48507 	 -1.22784 	-0.46985 	 -1.39686 	-0.45463 	 -1.37349 	-0.46985 	 -1.25491 	-0.48507 	 -0.81545 	-0.46985 	 -0.68580 	-0.45463 	 -0.70228 	-0.46985 	 -0.67810 	-0.46985 	 -1.10134 	 
-0.46853 	 -0.67863 	-0.48375 	 -0.81612 	-0.46853 	 -1.23947 	-0.45331 	 -1.36236 	-0.46853 	 -1.37662 	-0.48375 	 -1.22289 	-0.46853 	 -1.29454 	-0.45331 	 -1.28740 	-0.46853 	 -1.29423 	-0.48375 	 -1.23032 	-0.46853 	 -1.39279 	-0.45331 	 -1.37595 	-0.46853 	 -1.25268 	-0.48375 	 -0.80478 	-0.46853 	 -0.68585 	-0.45331 	 -0.70496 	-0.46853 	 -0.67863 	-0.46853 	 -1.09989 	 
-0.46718 	 -0.67958 	-0.48240 	 -0.80531 	-0.46718 	 -1.23913 	-0.45196 	 -1.36622 	-0.46718 	 -1.37389 	-0.48240 	 -1.22471 	-0.46718 	 -1.29132 	-0.45196 	 -1.28839 	-0.46718 	 -1.29101 	-0.48240 	 -1.23228 	-0.46718 	 -1.38929 	-0.45196 	 -1.37855 	-0.46718 	 -1.25124 	-0.48240 	 -0.79374 	-0.46718 	 -0.68606 	-0.45196 	 -0.70708 	-0.46718 	 -0.67958 	-0.46718 	 -1.09867 	 
-0.46580 	 -0.68102 	-0.48101 	 -0.79430 	-0.46580 	 -1.23995 	-0.45057 	 -1.37052 	-0.46580 	 -1.37185 	-0.48101 	 -1.22607 	-0.46580 	 -1.28882 	-0.45057 	 -1.28976 	-0.46580 	 -1.28855 	-0.48101 	 -1.23376 	-0.46580 	 -1.38642 	-0.45057 	 -1.38124 	-0.46580 	 -1.25073 	-0.48101 	 -0.78263 	-0.46580 	 -0.68651 	-0.45057 	 -0.70893 	-0.46580 	 -0.68102 	-0.46580 	 -1.09777 	 
-0.46438 	 -0.68301 	-0.47959 	 -0.78335 	-0.46438 	 -1.24206 	-0.44916 	 -1.37513 	-0.46438 	 -1.37046 	-0.47959 	 -1.22700 	-0.46438 	 -1.28694 	-0.44916 	 -1.29157 	-0.46438 	 -1.28675 	-0.47959 	 -1.23480 	-0.46438 	 -1.38414 	-0.44916 	 -1.38391 	-0.46438 	 -1.25124 	-0.47959 	 -0.77172 	-0.46438 	 -0.68743 	-0.44916 	 -0.71058 	-0.46438 	 -0.68301 	-0.46438 	 -1.09724 	 
-0.46292 	 -0.68565 	-0.47813 	 -0.77278 	-0.46292 	 -1.24562 	-0.44771 	 -1.37973 	-0.46292 	 -1.36965 	-0.47813 	 -1.22755 	-0.46292 	 -1.28556 	-0.44771 	 -1.29350 	-0.46292 	 -1.28549 	-0.47813 	 -1.23544 	-0.46292 	 -1.38239 	-0.44771 	 -1.38677 	-0.46292 	 -1.25290 	-0.47813 	 -0.76136 	-0.46292 	 -0.68910 	-0.44771 	 -0.71200 	-0.46292 	 -0.68565 	-0.46292 	 -1.09713 	 
-0.46143 	 -0.68891 	-0.47664 	 -0.76291 	-0.46143 	 -1.25078 	-0.44622 	 -1.38429 	-0.46143 	 -1.36931 	-0.47664 	 -1.22776 	-0.46143 	 -1.28460 	-0.44622 	 -1.29537 	-0.46143 	 -1.28469 	-0.47664 	 -1.23575 	-0.46143 	 -1.38104 	-0.44622 	 -1.39005 	-0.46143 	 -1.25582 	-0.47664 	 -0.75185 	-0.46143 	 -0.69167 	-0.44622 	 -0.71322 	-0.46143 	 -0.68891 	-0.46143 	 -1.09747 	 
-0.45991 	 -0.69253 	-0.47511 	 -0.75404 	-0.45991 	 -1.25767 	-0.44470 	 -1.38894 	-0.45991 	 -1.36927 	-0.47511 	 -1.22769 	-0.45991 	 -1.28395 	-0.44470 	 -1.29732 	-0.45991 	 -1.28427 	-0.47511 	 -1.23575 	-0.45991 	 -1.38000 	-0.44470 	 -1.39361 	-0.45991 	 -1.26015 	-0.47511 	 -0.74345 	-0.45991 	 -0.69511 	-0.44470 	 -0.71434 	-0.45991 	 -0.69253 	-0.45991 	 -1.09827 	 
-0.45835 	 -0.69620 	-0.47354 	 -0.74643 	-0.45835 	 -1.26639 	-0.44314 	 -1.39369 	-0.45835 	 -1.36929 	-0.47354 	 -1.22736 	-0.45835 	 -1.28355 	-0.44314 	 -1.29948 	-0.45835 	 -1.28414 	-0.47354 	 -1.23548 	-0.45835 	 -1.37915 	-0.44314 	 -1.39701 	-0.45835 	 -1.26599 	-0.47354 	 -0.73636 	-0.45835 	 -0.69924 	-0.44314 	 -0.71544 	-0.45835 	 -0.69620 	-0.45835 	 -1.09949 	 
