   n        time         Clp         Cdp         Clv         Cdv
 1615900   225.32544   0.6159571   0.0005304   0.0275332   0.0082866
 1615920   225.32808   0.6159761   0.0005304   0.0275361   0.0082864
 1615940   225.33073   0.6159950   0.0005305   0.0275390   0.0082861
 1615960   225.33337   0.6160139   0.0005305   0.0275418   0.0082860
 1615980   225.33601   0.6160331   0.0005305   0.0275447   0.0082857
 1616000   225.33866   0.6160525   0.0005305   0.0275476   0.0082855
 1616020   225.34130   0.6160721   0.0005305   0.0275504   0.0082852
 1616040   225.34394   0.6160920   0.0005306   0.0275533   0.0082847
 1616060   225.34659   0.6161120   0.0005307   0.0275562   0.0082842
 1616080   225.34923   0.6161320   0.0005308   0.0275590   0.0082836
 1616100   225.35188   0.6161520   0.0005310   0.0275617   0.0082830
 1616120   225.35452   0.6161721   0.0005311   0.0275644   0.0082823
 1616140   225.35716   0.6161924   0.0005312   0.0275671   0.0082815
 1616160   225.35981   0.6162134   0.0005313   0.0275698   0.0082807
 1616180   225.36245   0.6162350   0.0005314   0.0275726   0.0082798
 1616200   225.36509   0.6162575   0.0005315   0.0275754   0.0082789
 1616220   225.36774   0.6162810   0.0005316   0.0275783   0.0082779
 1616240   225.37038   0.6163053   0.0005318   0.0275814   0.0082769
 1616260   225.37302   0.6163307   0.0005320   0.0275846   0.0082758
 1616280   225.37567   0.6163576   0.0005322   0.0275881   0.0082746
 1616300   225.37831   0.6163863   0.0005324   0.0275919   0.0082733
 1616320   225.38096   0.6164169   0.0005326   0.0275960   0.0082718
 1616340   225.38360   0.6164489   0.0005329   0.0276005   0.0082703
 1616360   225.38624   0.6164815   0.0005331   0.0276050   0.0082688
 1616380   225.38889   0.6165139   0.0005334   0.0276095   0.0082672
 1616400   225.39153   0.6165460   0.0005336   0.0276139   0.0082657
 1616420   225.39417   0.6165777   0.0005339   0.0276183   0.0082643
 1616440   225.39682   0.6166093   0.0005342   0.0276226   0.0082630
 1616460   225.39946   0.6166404   0.0005344   0.0276269   0.0082617
 1616480   225.40210   0.6166711   0.0005347   0.0276311   0.0082604
 1616500   225.40475   0.6167008   0.0005349   0.0276351   0.0082592
 1616520   225.40739   0.6167295   0.0005351   0.0276390   0.0082580
 1616540   225.41004   0.6167568   0.0005353   0.0276426   0.0082567
 1616560   225.41268   0.6167830   0.0005356   0.0276460   0.0082555
 1616580   225.41532   0.6168081   0.0005358   0.0276492   0.0082543
 1616600   225.41797   0.6168326   0.0005360   0.0276523   0.0082531
 1616620   225.42061   0.6168566   0.0005363   0.0276553   0.0082521
 1616640   225.42325   0.6168804   0.0005365   0.0276582   0.0082512
 1616660   225.42590   0.6169040   0.0005366   0.0276611   0.0082506
 1616680   225.42854   0.6169277   0.0005368   0.0276640   0.0082501
 1616700   225.43118   0.6169514   0.0005369   0.0276668   0.0082499
 1616720   225.43383   0.6169752   0.0005369   0.0276696   0.0082499
 1616740   225.43647   0.6169992   0.0005370   0.0276725   0.0082502
 1616760   225.43912   0.6170233   0.0005370   0.0276753   0.0082508
 1616780   225.44176   0.6170478   0.0005369   0.0276781   0.0082516
 1616800   225.44440   0.6170729   0.0005369   0.0276809   0.0082526
 1616820   225.44705   0.6170985   0.0005367   0.0276838   0.0082539
 1616840   225.44969   0.6171245   0.0005366   0.0276866   0.0082553
 1616860   225.45233   0.6171507   0.0005364   0.0276894   0.0082569
 1616880   225.45498   0.6171770   0.0005363   0.0276921   0.0082586
 1616900   225.45762   0.6172033   0.0005361   0.0276948   0.0082605
 1616920   225.46026   0.6172296   0.0005359   0.0276974   0.0082623
 1616940   225.46291   0.6172558   0.0005357   0.0276999   0.0082641
 1616960   225.46555   0.6172818   0.0005356   0.0277024   0.0082660
 1616980   225.46820   0.6173077   0.0005354   0.0277049   0.0082677
 1617000   225.47084   0.6173331   0.0005353   0.0277073   0.0082694
 1617020   225.47348   0.6173576   0.0005352   0.0277096   0.0082710
 1617040   225.47613   0.6173808   0.0005351   0.0277117   0.0082724
 1617060   225.47877   0.6174024   0.0005350   0.0277136   0.0082737
 1617080   225.48141   0.6174221   0.0005349   0.0277153   0.0082749
 1617100   225.48406   0.6174393   0.0005349   0.0277165   0.0082760
 1617120   225.48670   0.6174538   0.0005349   0.0277174   0.0082768
 1617140   225.48934   0.6174650   0.0005349   0.0277178   0.0082776
 1617160   225.49199   0.6174728   0.0005349   0.0277177   0.0082781
 1617180   225.49463   0.6174770   0.0005350   0.0277171   0.0082785
 1617200   225.49728   0.6174775   0.0005351   0.0277160   0.0082787
 1617220   225.49992   0.6174742   0.0005352   0.0277143   0.0082787
 1617240   225.50256   0.6174670   0.0005354   0.0277120   0.0082785
 1617260   225.50521   0.6174560   0.0005356   0.0277093   0.0082781
 1617280   225.50785   0.6174413   0.0005358   0.0277060   0.0082775
 1617300   225.51049   0.6174230   0.0005360   0.0277022   0.0082767
 1617320   225.51314   0.6174011   0.0005363   0.0276979   0.0082758
 1617340   225.51578   0.6173759   0.0005366   0.0276932   0.0082747
 1617360   225.51842   0.6173472   0.0005369   0.0276881   0.0082734
 1617380   225.52107   0.6173152   0.0005372   0.0276825   0.0082719
 1617400   225.52371   0.6172799   0.0005376   0.0276764   0.0082704
 1617420   225.52636   0.6172412   0.0005380   0.0276698   0.0082687
 1617440   225.52900   0.6171991   0.0005383   0.0276628   0.0082669
 1617460   225.53164   0.6171535   0.0005388   0.0276552   0.0082650
 1617480   225.53429   0.6171046   0.0005392   0.0276471   0.0082630
 1617500   225.53693   0.6170523   0.0005397   0.0276384   0.0082609
 1617520   225.53958   0.6169968   0.0005401   0.0276292   0.0082587
