   n        time         Clp         Cdp     Clv         Cdv
     276    90.15630   0.6260721   0.0005135   0.0304885   0.0079529
     277    90.16420   0.6260535   0.0005123   0.0304732   0.0079590
     278    90.17190   0.6260290   0.0005117   0.0304577   0.0079632
     279    90.17980   0.6260040   0.0005113   0.0304426   0.0079660
     280    90.18750   0.6259930   0.0005111   0.0304311   0.0079679
     281    90.19540   0.6259962   0.0005108   0.0304226   0.0079697
     282    90.20320   0.6260064   0.0005103   0.0304145   0.0079719
     283    90.21110   0.6260422   0.0005098   0.0304106   0.0079749
     284    90.21880   0.6261082   0.0005092   0.0304124   0.0079786
     285    90.22670   0.6261862   0.0005086   0.0304149   0.0079831
     286    90.23440   0.6262700   0.0005081   0.0304168   0.0079877
     287    90.24230   0.6263700   0.0005079   0.0304199   0.0079925
     288    90.25000   0.6264860   0.0005078   0.0304251   0.0079968
     289    90.25790   0.6266221   0.0005080   0.0304326   0.0080003
     290    90.26570   0.6267651   0.0005083   0.0304403   0.0080025
     291    90.27350   0.6269070   0.0005088   0.0304456   0.0080035
     292    90.28130   0.6270456   0.0005092   0.0304491   0.0080035
     293    90.28920   0.6272005   0.0005096   0.0304550   0.0080030
     294    90.29690   0.6273630   0.0005097   0.0304628   0.0080023
     295    90.30480   0.6275209   0.0005097   0.0304689   0.0080015
     296    90.31250   0.6276609   0.0005098   0.0304716   0.0080005
     297    90.32040   0.6277909   0.0005101   0.0304717   0.0079988
     298    90.32810   0.6279092   0.0005107   0.0304703   0.0079958
     299    90.33600   0.6280227   0.0005115   0.0304679   0.0079911
     300    90.34380   0.6281292   0.0005125   0.0304651   0.0079845
     301    90.35160   0.6282252   0.0005138   0.0304606   0.0079758
     302    90.35940   0.6282960   0.0005153   0.0304518   0.0079653
     303    90.36730   0.6283426   0.0005172   0.0304383   0.0079531
     304    90.37510   0.6283731   0.0005194   0.0304226   0.0079399
     305    90.38290   0.6283923   0.0005216   0.0304062   0.0079266
     306    90.39080   0.6283955   0.0005238   0.0303873   0.0079134
     307    90.39850   0.6283795   0.0005258   0.0303654   0.0079017
     308    90.40640   0.6283525   0.0005275   0.0303415   0.0078920
     309    90.41410   0.6283256   0.0005285   0.0303185   0.0078857
     310    90.42200   0.6283025   0.0005290   0.0302966   0.0078832
     311    90.42970   0.6282907   0.0005288   0.0302779   0.0078847
     312    90.43760   0.6282944   0.0005281   0.0302627   0.0078899
     313    90.44530   0.6283061   0.0005270   0.0302499   0.0078978
     314    90.45320   0.6283210   0.0005256   0.0302378   0.0079074
     315    90.46100   0.6283427   0.0005242   0.0302278   0.0079176
     316    90.46880   0.6283706   0.0005227   0.0302197   0.0079279
     317    90.47670   0.6283949   0.0005213   0.0302116   0.0079379
     318    90.48440   0.6284127   0.0005199   0.0302027   0.0079478
     319    90.49230   0.6284305   0.0005182   0.0301943   0.0079588
     320    90.50000   0.6284510   0.0005163   0.0301874   0.0079710
     321    90.50790   0.6284722   0.0005141   0.0301809   0.0079851
     322    90.51570   0.6284923   0.0005117   0.0301746   0.0080004
     323    90.52350   0.6285145   0.0005093   0.0301688   0.0080167
     324    90.53130   0.6285424   0.0005070   0.0301646   0.0080331
     325    90.53910   0.6285806   0.0005045   0.0301626   0.0080497
     326    90.54700   0.6286254   0.0005020   0.0301623   0.0080663
     327    90.55470   0.6286647   0.0004994   0.0301608   0.0080826
     328    90.56260   0.6286963   0.0004968   0.0301574   0.0080994
     329    90.57040   0.6287315   0.0004942   0.0301555   0.0081156
     330    90.57820   0.6287758   0.0004918   0.0301564   0.0081313
     331    90.58600   0.6288108   0.0004898   0.0301565   0.0081451
     332    90.59380   0.6288286   0.0004881   0.0301535   0.0081567
     333    90.60160   0.6288380   0.0004869   0.0301497   0.0081653
     334    90.60940   0.6288483   0.0004863   0.0301471   0.0081711
     335    90.61730   0.6288578   0.0004861   0.0301453   0.0081742
     336    90.62500   0.6288578   0.0004862   0.0301423   0.0081750
     337    90.63290   0.6288476   0.0004864   0.0301376   0.0081740
     338    90.64070   0.6288357   0.0004868   0.0301335   0.0081716
     339    90.64850   0.6288217   0.0004872   0.0301301   0.0081683
     340    90.65630   0.6288001   0.0004875   0.0301265   0.0081647
     341    90.66410   0.6287658   0.0004878   0.0301218   0.0081610
     342    90.67200   0.6287152   0.0004881   0.0301156   0.0081575
     343    90.67970   0.6286456   0.0004882   0.0301075   0.0081545
     344    90.68760   0.6285511   0.0004881   0.0300966   0.0081521
     345    90.69530   0.6284308   0.0004879   0.0300827   0.0081507
     346    90.70320   0.6282743   0.0004874   0.0300640   0.0081505
     347    90.71090   0.6280815   0.0004866   0.0300401   0.0081518
     348    90.71880   0.6278445   0.0004858   0.0300102   0.0081551
     349    90.72670   0.6275657   0.0004850   0.0299746   0.0081600
     350    90.73440   0.6272493   0.0004843   0.0299332   0.0081659
     351    90.74230   0.6268910   0.0004836   0.0298858   0.0081719
     352    90.75000   0.6265152   0.0004831   0.0298365   0.0081769
     353    90.75790   0.6261087   0.0004829   0.0297834   0.0081802
     354    90.76580   0.6256733   0.0004832   0.0297261   0.0081812
     355    90.77350   0.6252240   0.0004838   0.0296666   0.0081797
     356    90.78140   0.6247555   0.0004846   0.0296051   0.0081757
     357    90.78910   0.6242851   0.0004857   0.0295437   0.0081701
     358    90.79700   0.6237939   0.0004868   0.0294797   0.0081638
     359    90.80470   0.6233040   0.0004879   0.0294162   0.0081581
     360    90.81260   0.6228012   0.0004887   0.0293515   0.0081539
     361    90.82040   0.6222933   0.0004891   0.0292866   0.0081517
     362    90.82820   0.6217893   0.0004893   0.0292223   0.0081514
     363    90.83610   0.6212717   0.0004893   0.0291564   0.0081523
     364    90.84380   0.6207598   0.0004892   0.0290913   0.0081534
     365    90.85170   0.6202380   0.0004894   0.0290250   0.0081538
     366    90.85940   0.6197268   0.0004900   0.0289601   0.0081525
     367    90.86730   0.6192104   0.0004910   0.0288946   0.0081494
