   n        time         Clp         Cdp     Clv         Cdv
     173   131.35170   0.6162562   0.0006006   0.0262818   0.0080410
     174   131.35950   0.6161986   0.0006003   0.0262700   0.0080412
     175   131.36730   0.6161529   0.0006003   0.0262612   0.0080403
     176   131.37500   0.6161137   0.0006005   0.0262544   0.0080384
     177   131.38280   0.6160706   0.0006007   0.0262469   0.0080363
     178   131.39080   0.6160331   0.0006008   0.0262413   0.0080349
     179   131.39860   0.6159999   0.0006005   0.0262378   0.0080350
     180   131.40640   0.6159476   0.0005999   0.0262308   0.0080369
     181   131.41410   0.6158807   0.0005992   0.0262209   0.0080400
     182   131.42190   0.6158214   0.0005984   0.0262133   0.0080439
     183   131.42970   0.6157737   0.0005977   0.0262081   0.0080479
     184   131.43750   0.6157431   0.0005970   0.0262057   0.0080519
     185   131.44550   0.6157457   0.0005964   0.0262094   0.0080561
     186   131.45320   0.6157853   0.0005958   0.0262198   0.0080605
     187   131.46100   0.6158549   0.0005953   0.0262357   0.0080651
     188   131.46880   0.6159486   0.0005948   0.0262556   0.0080693
     189   131.47660   0.6160646   0.0005943   0.0262792   0.0080727
     190   131.48440   0.6162006   0.0005937   0.0263062   0.0080748
     191   131.49220   0.6163375   0.0005935   0.0263331   0.0080759
     192   131.50010   0.6164640   0.0005936   0.0263579   0.0080761
     193   131.50790   0.6165792   0.0005939   0.0263807   0.0080755
     194   131.51570   0.6166927   0.0005942   0.0264037   0.0080734
     195   131.52350   0.6167987   0.0005946   0.0264258   0.0080693
     196   131.53130   0.6168886   0.0005956   0.0264454   0.0080629
     197   131.53910   0.6169647   0.0005970   0.0264629   0.0080539
     198   131.54690   0.6170317   0.0005989   0.0264795   0.0080426
     199   131.55480   0.6170876   0.0006011   0.0264946   0.0080291
     200   131.56260   0.6171337   0.0006035   0.0265084   0.0080150
     201   131.57040   0.6171841   0.0006057   0.0265237   0.0080016
     202   131.57820   0.6172380   0.0006072   0.0265405   0.0079913
     203   131.58600   0.6172812   0.0006081   0.0265558   0.0079857
     204   131.59380   0.6173066   0.0006085   0.0265680   0.0079839
