   n        time         Cl         Cd         AoA         M
    2760     0.47311  -0.0000000   0.0001485   0.0000000   0.0009810
    2780     0.47654  -0.0000000   0.0001513   0.0000000   0.0009953
    2800     0.47998  -0.0000000   0.0001541   0.0000000   0.0010097
    2820     0.48342  -0.0000000   0.0001569   0.0000000   0.0010242
    2840     0.48685  -0.0000000   0.0001597   0.0000000   0.0010388
    2860     0.49029  -0.0000000   0.0001626   0.0000000   0.0010535
    2880     0.49372  -0.0000000   0.0001654   0.0000000   0.0010683
    2900     0.49716  -0.0000000   0.0001682   0.0000000   0.0010832
    2920     0.50060  -0.0000000   0.0001711   0.0000000   0.0010982
    2940     0.50403  -0.0000000   0.0001739   0.0000000   0.0011134
    2960     0.50747  -0.0000000   0.0001767   0.0000000   0.0011286
    2980     0.51091  -0.0000000   0.0001796   0.0000000   0.0011439
    3000     0.51434  -0.0000000   0.0001824   0.0000000   0.0011593
    3020     0.51778  -0.0000000   0.0001853   0.0000000   0.0011748
    3040     0.52122  -0.0000000   0.0001882   0.0000000   0.0011905
    3060     0.52465  -0.0000000   0.0001910   0.0000000   0.0012062
    3080     0.52809  -0.0000000   0.0001939   0.0000000   0.0012220
    3100     0.53152  -0.0000000   0.0001967   0.0000000   0.0012380
    3120     0.53496  -0.0000000   0.0001996   0.0000000   0.0012540
    3140     0.53840  -0.0000000   0.0002025   0.0000000   0.0012702
    3160     0.54183  -0.0000000   0.0002053   0.0000000   0.0012864
    3180     0.54527  -0.0000000   0.0002082   0.0000000   0.0013028
    3200     0.54871  -0.0000000   0.0002111   0.0000000   0.0013192
    3220     0.55214  -0.0000000   0.0002140   0.0000000   0.0013358
    3240     0.55558  -0.0000000   0.0002168   0.0000000   0.0013524
    3260     0.55902  -0.0000000   0.0002197   0.0000000   0.0013692
    3280     0.56245  -0.0000000   0.0002226   0.0000000   0.0013861
    3300     0.56589  -0.0000000   0.0002255   0.0000000   0.0014030
    3320     0.56933  -0.0000000   0.0002284   0.0000000   0.0014201
    3340     0.57276  -0.0000000   0.0002313   0.0000000   0.0014373
    3360     0.57620  -0.0000000   0.0002341   0.0000000   0.0014546
    3380     0.57963  -0.0000000   0.0002370   0.0000000   0.0014719
    3400     0.58307  -0.0000000   0.0002399   0.0000000   0.0014894
