St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	
1.135149e+01 	 4.873916e-07 	1.135149e+01 	 1.261541e-05 	1.135149e+01 	 2.264992e-04 	1.135149e+01 	 1.939706e-03 	1.135149e+01 	 6.365515e-03 	1.135149e+01 	 5.722583e-02 	1.135149e+01 	 4.138403e-01 	 
1.167582e+01 	 3.911508e-07 	1.167582e+01 	 1.108216e-05 	1.167582e+01 	 1.774185e-04 	1.167582e+01 	 1.824108e-03 	1.167582e+01 	 5.569992e-03 	1.167582e+01 	 5.883559e-02 	1.167582e+01 	 2.361767e-01 	 
1.200015e+01 	 3.439790e-07 	1.200015e+01 	 1.222801e-05 	1.200015e+01 	 1.454993e-04 	1.200015e+01 	 1.533289e-03 	1.200015e+01 	 8.455909e-03 	1.200015e+01 	 3.845677e-02 	1.200015e+01 	 2.227622e-01 	 
1.232448e+01 	 3.398354e-07 	1.232448e+01 	 1.239164e-05 	1.232448e+01 	 2.164233e-04 	1.232448e+01 	 1.896879e-03 	1.232448e+01 	 8.267396e-03 	1.232448e+01 	 3.775880e-02 	1.232448e+01 	 2.819513e-01 	 
1.264880e+01 	 2.108736e-07 	1.264880e+01 	 1.225403e-05 	1.264880e+01 	 2.271125e-04 	1.264880e+01 	 1.917873e-03 	1.264880e+01 	 4.400088e-03 	1.264880e+01 	 3.688095e-02 	1.264880e+01 	 2.303029e-01 	 
1.297313e+01 	 2.894662e-07 	1.297313e+01 	 1.109598e-05 	1.297313e+01 	 1.977376e-04 	1.297313e+01 	 1.496189e-03 	1.297313e+01 	 3.003159e-03 	1.297313e+01 	 3.392165e-02 	1.297313e+01 	 1.354112e-01 	 
1.329746e+01 	 2.514380e-07 	1.329746e+01 	 1.956876e-05 	1.329746e+01 	 2.033225e-04 	1.329746e+01 	 1.665597e-03 	1.329746e+01 	 3.701654e-03 	1.329746e+01 	 3.892389e-02 	1.329746e+01 	 1.608191e-01 	 
1.362179e+01 	 2.671315e-07 	1.362179e+01 	 1.237721e-05 	1.362179e+01 	 1.921805e-04 	1.362179e+01 	 2.015160e-03 	1.362179e+01 	 4.370327e-03 	1.362179e+01 	 2.864622e-02 	1.362179e+01 	 1.765155e-01 	 
1.394612e+01 	 2.895431e-07 	1.394612e+01 	 1.029156e-05 	1.394612e+01 	 1.388838e-04 	1.394612e+01 	 1.288424e-03 	1.394612e+01 	 4.287667e-03 	1.394612e+01 	 3.069019e-02 	1.394612e+01 	 1.713814e-01 	 
1.427045e+01 	 2.838193e-07 	1.427045e+01 	 1.085201e-05 	1.427045e+01 	 8.119105e-05 	1.427045e+01 	 9.150864e-04 	1.427045e+01 	 3.749698e-03 	1.427045e+01 	 3.366028e-02 	1.427045e+01 	 2.083410e-01 	 
