St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	
1.232563e+01 	 1.450903e-06 	1.232563e+01 	 1.198738e-05 	1.232563e+01 	 1.138244e-04 	1.232563e+01 	 1.308504e-03 	1.232563e+01 	 4.223817e-03 	1.232563e+01 	 3.057377e-02 	1.232563e+01 	 9.092287e-02 	 
1.265875e+01 	 8.548769e-07 	1.265875e+01 	 1.202303e-05 	1.265875e+01 	 7.613134e-05 	1.265875e+01 	 1.081547e-03 	1.265875e+01 	 3.487938e-03 	1.265875e+01 	 3.531809e-02 	1.265875e+01 	 9.830993e-02 	 
1.299188e+01 	 7.410374e-07 	1.299188e+01 	 1.011104e-05 	1.299188e+01 	 8.944916e-05 	1.299188e+01 	 7.540102e-04 	1.299188e+01 	 3.567120e-03 	1.299188e+01 	 3.217552e-02 	1.299188e+01 	 1.108213e-01 	 
1.332500e+01 	 8.409713e-07 	1.332500e+01 	 7.979109e-06 	1.332500e+01 	 1.126013e-04 	1.332500e+01 	 9.758988e-04 	1.332500e+01 	 1.841531e-03 	1.332500e+01 	 2.237547e-02 	1.332500e+01 	 7.704640e-02 	 
1.365813e+01 	 7.575358e-07 	1.365813e+01 	 9.518947e-06 	1.365813e+01 	 1.109394e-04 	1.365813e+01 	 9.899267e-04 	1.365813e+01 	 1.895588e-03 	1.365813e+01 	 1.929345e-02 	1.365813e+01 	 7.354254e-02 	 
1.399125e+01 	 7.554370e-07 	1.399125e+01 	 8.179766e-06 	1.399125e+01 	 8.464770e-05 	1.399125e+01 	 4.379837e-04 	1.399125e+01 	 1.809585e-03 	1.399125e+01 	 1.726075e-02 	1.399125e+01 	 6.250883e-02 	 
1.432438e+01 	 1.144194e-06 	1.432438e+01 	 6.049870e-06 	1.432438e+01 	 9.251403e-05 	1.432438e+01 	 3.545971e-04 	1.432438e+01 	 1.179883e-03 	1.432438e+01 	 1.391367e-02 	1.432438e+01 	 5.331867e-02 	 
1.465750e+01 	 7.869937e-07 	1.465750e+01 	 5.400043e-06 	1.465750e+01 	 7.013491e-05 	1.465750e+01 	 2.714737e-04 	1.465750e+01 	 1.135341e-03 	1.465750e+01 	 1.351022e-02 	1.465750e+01 	 4.710475e-02 	 
1.499063e+01 	 7.809003e-07 	1.499063e+01 	 3.714581e-06 	1.499063e+01 	 3.991363e-05 	1.499063e+01 	 4.389451e-04 	1.499063e+01 	 2.093539e-03 	1.499063e+01 	 1.213260e-02 	1.499063e+01 	 3.015248e-02 	 
1.532375e+01 	 9.490944e-07 	1.532375e+01 	 3.522726e-06 	1.532375e+01 	 4.321759e-05 	1.532375e+01 	 2.982045e-04 	1.532375e+01 	 1.572361e-03 	1.532375e+01 	 8.351944e-03 	1.532375e+01 	 4.090585e-02 	 
1.565688e+01 	 7.738743e-07 	1.565688e+01 	 3.752011e-06 	1.565688e+01 	 3.950678e-05 	1.565688e+01 	 3.249496e-04 	1.565688e+01 	 6.424321e-04 	1.565688e+01 	 7.592069e-03 	1.565688e+01 	 3.547184e-02 	 
1.599000e+01 	 5.586590e-07 	1.599000e+01 	 3.973527e-06 	1.599000e+01 	 4.470884e-05 	1.599000e+01 	 2.360954e-04 	1.599000e+01 	 7.780766e-04 	1.599000e+01 	 8.703732e-03 	1.599000e+01 	 3.395118e-02 	 
1.632313e+01 	 3.451863e-07 	1.632313e+01 	 4.409018e-06 	1.632313e+01 	 4.204985e-05 	1.632313e+01 	 1.666019e-04 	1.632313e+01 	 8.958408e-04 	1.632313e+01 	 8.503878e-03 	1.632313e+01 	 2.743268e-02 	 
