St0	i0	St1	i1	St2	i2	St3	i3	St4	i4	St5	i5	St6	i6	
1.070291e+01 	 1.216690e-06 	1.070291e+01 	 2.887489e-05 	1.070291e+01 	 1.228225e-04 	1.070291e+01 	 1.139348e-03 	1.070291e+01 	 2.835284e-03 	1.070291e+01 	 2.211285e-02 	1.070291e+01 	 1.317255e-01 	 
1.102724e+01 	 1.384238e-06 	1.102724e+01 	 2.575582e-05 	1.102724e+01 	 1.460579e-04 	1.102724e+01 	 6.131311e-04 	1.102724e+01 	 2.621315e-03 	1.102724e+01 	 2.282484e-02 	1.102724e+01 	 9.958921e-02 	 
1.135157e+01 	 1.085111e-06 	1.135157e+01 	 2.470879e-05 	1.135157e+01 	 1.246598e-04 	1.135157e+01 	 8.636677e-04 	1.135157e+01 	 3.421154e-03 	1.135157e+01 	 2.301797e-02 	1.135157e+01 	 1.059347e-01 	 
1.167590e+01 	 8.760985e-07 	1.167590e+01 	 1.852917e-05 	1.167590e+01 	 2.157209e-04 	1.167590e+01 	 1.267248e-03 	1.167590e+01 	 3.578933e-03 	1.167590e+01 	 1.784362e-02 	1.167590e+01 	 9.881026e-02 	 
1.200023e+01 	 8.799165e-07 	1.200023e+01 	 1.401599e-05 	1.200023e+01 	 1.252878e-04 	1.200023e+01 	 7.504598e-04 	1.200023e+01 	 4.637742e-03 	1.200023e+01 	 1.235881e-02 	1.200023e+01 	 8.222852e-02 	 
1.232456e+01 	 5.755286e-07 	1.232456e+01 	 1.057194e-05 	1.232456e+01 	 9.265311e-05 	1.232456e+01 	 5.535210e-04 	1.232456e+01 	 4.906959e-03 	1.232456e+01 	 8.812830e-03 	1.232456e+01 	 7.669744e-02 	 
1.264889e+01 	 2.804504e-07 	1.264889e+01 	 8.012907e-06 	1.264889e+01 	 7.923286e-05 	1.264889e+01 	 4.018508e-04 	1.264889e+01 	 2.714518e-03 	1.264889e+01 	 8.884951e-03 	1.264889e+01 	 6.358197e-02 	 
1.297322e+01 	 1.950234e-07 	1.297322e+01 	 8.359627e-06 	1.297322e+01 	 6.885771e-05 	1.297322e+01 	 3.118377e-04 	1.297322e+01 	 1.947489e-03 	1.297322e+01 	 1.044072e-02 	1.297322e+01 	 5.259448e-02 	 
1.329755e+01 	 2.332536e-07 	1.329755e+01 	 9.479264e-06 	1.329755e+01 	 5.693708e-05 	1.329755e+01 	 3.362423e-04 	1.329755e+01 	 1.357278e-03 	1.329755e+01 	 8.870557e-03 	1.329755e+01 	 4.534422e-02 	 
1.362188e+01 	 2.622128e-07 	1.362188e+01 	 8.330766e-06 	1.362188e+01 	 5.610661e-05 	1.362188e+01 	 2.317401e-04 	1.362188e+01 	 1.112453e-03 	1.362188e+01 	 8.877918e-03 	1.362188e+01 	 4.561044e-02 	 
1.394621e+01 	 2.274292e-07 	1.394621e+01 	 5.930522e-06 	1.394621e+01 	 4.859634e-05 	1.394621e+01 	 2.664988e-04 	1.394621e+01 	 1.106625e-03 	1.394621e+01 	 7.493441e-03 	1.394621e+01 	 3.771460e-02 	 
1.427054e+01 	 1.672219e-07 	1.427054e+01 	 5.073393e-06 	1.427054e+01 	 4.765110e-05 	1.427054e+01 	 2.568567e-04 	1.427054e+01 	 9.325205e-04 	1.427054e+01 	 3.410226e-03 	1.427054e+01 	 1.698397e-02 	 
1.459488e+01 	 1.374125e-07 	1.459488e+01 	 4.733012e-06 	1.459488e+01 	 3.785681e-05 	1.459488e+01 	 2.027537e-04 	1.459488e+01 	 7.157534e-04 	1.459488e+01 	 1.972344e-03 	1.459488e+01 	 2.217398e-02 	 
1.491921e+01 	 1.599243e-07 	1.491921e+01 	 4.120153e-06 	1.491921e+01 	 2.611667e-05 	1.491921e+01 	 1.936109e-04 	1.491921e+01 	 7.239911e-04 	1.491921e+01 	 2.895838e-03 	1.491921e+01 	 2.198016e-02 	 
1.524354e+01 	 1.558304e-07 	1.524354e+01 	 3.322002e-06 	1.524354e+01 	 2.958802e-05 	1.524354e+01 	 1.391189e-04 	1.524354e+01 	 8.020138e-04 	1.524354e+01 	 3.245677e-03 	1.524354e+01 	 1.698800e-02 	 
1.556787e+01 	 1.518289e-07 	1.556787e+01 	 3.305788e-06 	1.556787e+01 	 2.398233e-05 	1.556787e+01 	 1.388560e-04 	1.556787e+01 	 5.360168e-04 	1.556787e+01 	 2.857576e-03 	1.556787e+01 	 1.926158e-02 	 
1.589220e+01 	 1.295659e-07 	1.589220e+01 	 3.193782e-06 	1.589220e+01 	 2.175552e-05 	1.589220e+01 	 1.220887e-04 	1.589220e+01 	 5.734125e-04 	1.589220e+01 	 2.766296e-03 	1.589220e+01 	 1.578039e-02 	 
1.621653e+01 	 9.558178e-08 	1.621653e+01 	 3.071523e-06 	1.621653e+01 	 1.586211e-05 	1.621653e+01 	 1.037368e-04 	1.621653e+01 	 5.792653e-04 	1.621653e+01 	 2.981795e-03 	1.621653e+01 	 1.143189e-02 	 
1.654086e+01 	 1.134004e-07 	1.654086e+01 	 4.018082e-06 	1.654086e+01 	 2.022783e-05 	1.654086e+01 	 1.030251e-04 	1.654086e+01 	 3.875946e-04 	1.654086e+01 	 2.717389e-03 	1.654086e+01 	 8.552644e-03 	 
1.686519e+01 	 1.335977e-07 	1.686519e+01 	 2.858426e-06 	1.686519e+01 	 2.108944e-05 	1.686519e+01 	 1.094780e-04 	1.686519e+01 	 2.978170e-04 	1.686519e+01 	 1.967246e-03 	1.686519e+01 	 7.907878e-03 	 
1.718952e+01 	 7.571908e-08 	1.718952e+01 	 1.720230e-06 	1.718952e+01 	 1.280752e-05 	1.718952e+01 	 6.111881e-05 	1.718952e+01 	 3.695408e-04 	1.718952e+01 	 1.409934e-03 	1.718952e+01 	 5.770233e-03 	 
1.751385e+01 	 7.386730e-08 	1.751385e+01 	 1.310052e-06 	1.751385e+01 	 1.290460e-05 	1.751385e+01 	 7.217499e-05 	1.751385e+01 	 2.670437e-04 	1.751385e+01 	 1.952282e-03 	1.751385e+01 	 5.578701e-03 	 
1.783818e+01 	 8.159318e-08 	1.783818e+01 	 1.475019e-06 	1.783818e+01 	 1.352461e-05 	1.783818e+01 	 3.979253e-05 	1.783818e+01 	 3.252087e-04 	1.783818e+01 	 1.996388e-03 	1.783818e+01 	 7.622289e-03 	 
1.816251e+01 	 8.693388e-08 	1.816251e+01 	 1.229842e-06 	1.816251e+01 	 1.466294e-05 	1.816251e+01 	 2.814727e-05 	1.816251e+01 	 4.088164e-04 	1.816251e+01 	 1.579035e-03 	1.816251e+01 	 4.734795e-03 	 
1.848684e+01 	 7.862956e-08 	1.848684e+01 	 1.391816e-06 	1.848684e+01 	 1.168519e-05 	1.848684e+01 	 5.399110e-05 	1.848684e+01 	 2.453091e-04 	1.848684e+01 	 1.903343e-03 	1.848684e+01 	 2.792904e-03 	 
1.881117e+01 	 6.022108e-08 	1.881117e+01 	 1.575734e-06 	1.881117e+01 	 9.796459e-06 	1.881117e+01 	 4.241050e-05 	1.881117e+01 	 1.660778e-04 	1.881117e+01 	 3.048341e-03 	1.881117e+01 	 3.290550e-03 	 
1.913550e+01 	 7.440285e-08 	1.913550e+01 	 1.783190e-06 	1.913550e+01 	 1.193219e-05 	1.913550e+01 	 3.396368e-05 	1.913550e+01 	 2.345395e-04 	1.913550e+01 	 2.865436e-03 	1.913550e+01 	 3.406363e-03 	 
1.945983e+01 	 6.099942e-08 	1.945983e+01 	 1.641575e-06 	1.945983e+01 	 1.914846e-05 	1.945983e+01 	 4.596149e-05 	1.945983e+01 	 3.685462e-04 	1.945983e+01 	 2.063210e-03 	1.945983e+01 	 4.258433e-03 	 
1.978416e+01 	 4.682799e-08 	1.978416e+01 	 1.785931e-06 	1.978416e+01 	 1.043212e-05 	1.978416e+01 	 6.914736e-05 	1.978416e+01 	 2.586979e-04 	1.978416e+01 	 1.514643e-03 	1.978416e+01 	 3.741680e-03 	 
2.010850e+01 	 1.497029e-08 	2.010850e+01 	 7.767811e-07 	2.010850e+01 	 4.875462e-06 	2.010850e+01 	 3.309926e-05 	2.010850e+01 	 8.574313e-05 	2.010850e+01 	 6.000284e-04 	2.010850e+01 	 2.129095e-03 	 
