f	Sk
27.52613 2.6799347e-06
27.87456 2.9495459e-06
28.223 2.9964648e-06
28.57143 2.1601749e-06
28.91986 2.197094e-06
29.26829 1.3615159e-06
29.61672 1.1091673e-06
29.96516 1.5241956e-06
30.31359 1.0556416e-06
30.66202 2.0149233e-06
31.01045 1.8888073e-06
31.35889 6.0329189e-07
31.70732 1.242048e-06
32.05575 1.1060626e-06
32.40418 1.5327406e-06
32.75261 1.3901735e-06
33.10105 6.0519604e-07
33.44948 3.5388946e-07
33.79791 3.9737617e-07
34.14634 1.1815872e-06
34.49477 1.1656715e-06
34.84321 7.1265917e-07
35.19164 1.1427898e-06
35.54007 1.1506476e-06
35.8885 1.4787977e-06
36.23693 1.2044808e-06
36.58537 8.7386224e-07
36.9338 1.3575057e-06
37.28223 1.1179531e-06
37.63066 1.306213e-06
37.97909 5.8487443e-07
38.32753 5.0806621e-07
38.67596 8.8122966e-07
39.02439 5.6694763e-07
39.37282 1.0792552e-06
39.72125 6.9592484e-07
40.06969 2.3187264e-07
40.41812 2.0376106e-07
40.76655 4.9727838e-07
41.11498 5.6208689e-07
41.46341 4.1156229e-07
41.81185 4.6305287e-07
42.16028 2.3711347e-07
42.50871 3.0004745e-07
42.85714 5.9626887e-07
43.20557 5.604372e-07
43.55401 5.520698e-07
43.90244 4.731953e-07
44.25087 1.946325e-07
44.5993 5.3505654e-07
44.94774 8.278038e-07
45.29617 7.2985219e-07
45.6446 4.8731886e-07
45.99303 3.0061266e-07
46.34146 3.5884409e-07
46.6899 6.5076092e-07
47.03833 8.6711175e-07
47.38676 3.9674214e-07
47.73519 1.3652766e-07
48.08362 6.1277035e-08
48.43206 4.2996105e-07
48.78049 5.8978204e-07
49.12892 5.213191e-07
49.47735 3.4237667e-07
49.82578 5.8703836e-08
50.17422 2.6024788e-07
50.52265 4.7004714e-07
50.87108 2.3673076e-07
51.21951 8.4907797e-08
51.56794 4.9526607e-08
51.91638 1.4024773e-07
52.26481 3.658698e-07
52.61324 4.6106443e-07
52.96167 2.3577197e-07
53.3101 7.3372062e-08
53.65854 1.0378464e-07
54.00697 2.3473437e-07
54.3554 3.4317626e-07
54.70383 2.640312e-07
55.05226 1.1611997e-07
55.4007 8.3920976e-08
55.74913 1.7247062e-07
56.09756 3.1536253e-07
56.44599 3.8541302e-07
56.79443 3.7047635e-07
57.14286 1.6570478e-07
57.49129 7.6905598e-08
57.83972 2.7405978e-07
58.18815 3.4372438e-07
58.53659 2.6525839e-07
58.88502 1.8298101e-07
59.23345 5.5361606e-08
59.58188 1.0074138e-07
59.93031 2.3981836e-07
60.27875 1.7642363e-07
60.62718 7.0168512e-08
60.97561 1.044974e-07
61.32404 5.4263275e-08
61.67247 1.4078293e-07
62.02091 1.4765059e-07
62.36934 6.6398868e-08
62.71777 5.2491497e-08
63.0662 6.7973383e-08
63.41463 1.1697243e-07
63.76307 8.7165079e-08
64.1115 7.7143616e-08
64.45993 1.266595e-07
64.80836 8.5856678e-08
65.15679 7.6740113e-08
65.50523 4.9133516e-08
65.85366 3.4693023e-08
66.20209 1.4723846e-08
66.55052 5.4756257e-08
66.89895 7.2511682e-08
67.24739 5.8136794e-08
67.59582 5.1500601e-08
67.94425 1.3492713e-08
68.29268 4.7869104e-08
68.64111 8.4750366e-08
68.98955 7.4989867e-08
69.33798 4.8105882e-08
69.68641 2.3771584e-08
70.03484 9.8956647e-09
70.38328 2.4680484e-08
70.73171 2.3029057e-08
71.08014 9.716875e-08
71.42857 1.331674e-07
71.777 4.516215e-08
72.12544 3.7920156e-08
72.47387 3.4849782e-08
72.8223 5.0268736e-08
73.17073 5.7860745e-08
73.51916 5.41239e-08
73.8676 2.9538664e-08
74.21603 6.2793967e-08
74.56446 5.2664511e-08
