"Density"	"Momentum:0"	"Momentum:1"	"Momentum:2"	"StagnationEnergy"	"Pressure"	"Function0"	"Function1"	"Function2"	"Function3"	"Function4"	"Function5"	"vtkValidPointMask"	"arc_length"	"Points:0"	"Points:1"	"Points:2"
-2.51871e-01	1.92245e-05	-1.68608e-05	2.74654e-04	7.10083e-01	2.84033e-01	1.83001e-06	1.06390e-06	3.66324e-08	5.26828e-07	-5.87667e-08	-1.14335e-08	1	8.36000e-02	-6.00000e-01	1.50000e-01	-1.36400e-01
-2.51644e-01	3.11473e-05	-3.05906e-05	2.74478e-04	7.10066e-01	2.84027e-01	1.82566e-06	1.06383e-06	3.74325e-08	5.26525e-07	-6.20771e-08	-1.18307e-08	1	8.58000e-02	-6.00000e-01	1.50000e-01	-1.34200e-01
-2.51396e-01	4.71164e-05	-3.60743e-05	2.68577e-04	7.10049e-01	2.84020e-01	1.82106e-06	1.06373e-06	3.82084e-08	5.26201e-07	-6.52638e-08	-1.22362e-08	1	8.80000e-02	-6.00000e-01	1.50000e-01	-1.32000e-01
-2.51095e-01	5.65441e-05	-3.12488e-05	2.76269e-04	7.10032e-01	2.84013e-01	1.81626e-06	1.06357e-06	3.89609e-08	5.25763e-07	-6.83298e-08	-1.26399e-08	1	9.02000e-02	-6.00000e-01	1.50000e-01	-1.29800e-01
-2.50751e-01	5.56796e-05	-2.84161e-05	2.87237e-04	7.10015e-01	2.84006e-01	1.81114e-06	1.06332e-06	3.96783e-08	5.25290e-07	-7.12532e-08	-1.30529e-08	1	9.24000e-02	-6.00000e-01	1.50000e-01	-1.27600e-01
-2.50624e-01	6.59340e-05	-1.50761e-05	2.84500e-04	7.09996e-01	2.83999e-01	1.80615e-06	1.06340e-06	4.04337e-08	5.25098e-07	-7.41438e-08	-1.34994e-08	1	9.46000e-02	-6.00000e-01	1.50000e-01	-1.25400e-01
-2.50569e-01	5.64745e-05	1.76617e-05	2.72705e-04	7.09977e-01	2.83991e-01	1.80101e-06	1.06357e-06	4.11890e-08	5.25027e-07	-7.69362e-08	-1.39692e-08	1	9.68000e-02	-6.00000e-01	1.50000e-01	-1.23200e-01
-2.50509e-01	2.28831e-05	2.58435e-05	2.94700e-04	7.09958e-01	2.83983e-01	1.79566e-06	1.06368e-06	4.19238e-08	5.24852e-07	-7.95978e-08	-1.44352e-08	1	9.90000e-02	-6.00000e-01	1.50000e-01	-1.21000e-01
-2.50390e-01	-6.72996e-06	3.40299e-05	2.85580e-04	7.09939e-01	2.83976e-01	1.79005e-06	1.06369e-06	4.26290e-08	5.24568e-07	-8.21114e-08	-1.48955e-08	1	1.01200e-01	-6.00000e-01	1.50000e-01	-1.18800e-01
-2.50108e-01	2.37549e-05	8.92242e-05	2.91328e-04	7.09920e-01	2.83968e-01	1.78415e-06	1.06355e-06	4.32961e-08	5.24138e-07	-8.44625e-08	-1.53454e-08	1	1.03400e-01	-6.00000e-01	1.50000e-01	-1.16600e-01
-2.49787e-01	7.68389e-05	1.53234e-04	2.95531e-04	7.09902e-01	2.83961e-01	1.77794e-06	1.06322e-06	4.39159e-08	5.23508e-07	-8.66359e-08	-1.57755e-08	1	1.05600e-01	-6.00000e-01	1.50000e-01	-1.14400e-01
-2.49542e-01	2.72253e-05	1.73119e-04	2.95728e-04	7.09882e-01	2.83953e-01	1.77172e-06	1.06305e-06	4.45590e-08	5.23022e-07	-8.87262e-08	-1.62242e-08	1	1.07800e-01	-6.00000e-01	1.50000e-01	-1.12200e-01
-2.49571e-01	-1.09721e-04	1.67505e-04	3.12190e-04	7.09862e-01	2.83945e-01	1.76574e-06	1.06335e-06	4.52929e-08	5.22973e-07	-9.08194e-08	-1.67328e-08	1	1.10000e-01	-6.00000e-01	1.50000e-01	-1.10000e-01
-2.49657e-01	-1.82571e-04	1.38935e-04	2.84078e-04	7.09842e-01	2.83937e-01	1.75946e-06	1.06345e-06	4.59815e-08	5.22712e-07	-9.27320e-08	-1.72210e-08	1	1.12200e-01	-6.00000e-01	1.50000e-01	-1.07800e-01
-2.49324e-01	-1.46769e-04	2.69776e-04	3.50435e-04	7.09823e-01	2.83929e-01	1.75289e-06	1.06332e-06	4.66178e-08	5.22213e-07	-9.44585e-08	-1.76800e-08	1	1.14400e-01	-6.00000e-01	1.50000e-01	-1.05600e-01
-2.49039e-01	-7.44690e-05	1.28993e-04	2.09378e-04	7.09803e-01	2.83921e-01	1.74602e-06	1.06296e-06	4.71962e-08	5.21475e-07	-9.59969e-08	-1.81065e-08	1	1.16600e-01	-6.00000e-01	1.50000e-01	-1.03400e-01
-2.48993e-01	-1.62224e-04	4.32822e-04	4.56833e-04	7.09784e-01	2.83914e-01	1.73926e-06	1.06286e-06	4.78314e-08	5.20963e-07	-9.74813e-08	-1.85560e-08	1	1.18800e-01	-6.00000e-01	1.50000e-01	-1.01200e-01
-2.48929e-01	-1.63156e-04	2.60063e-04	3.10403e-04	7.09763e-01	2.83906e-01	1.73270e-06	1.06317e-06	4.85544e-08	5.20787e-07	-9.89456e-08	-1.90543e-08	1	1.21000e-01	-6.00000e-01	1.50000e-01	-9.90000e-02
-2.48932e-01	-1.72455e-04	1.79790e-04	1.96784e-04	7.09743e-01	2.83897e-01	1.72589e-06	1.06328e-06	4.92276e-08	5.20432e-07	-1.00225e-07	-1.95264e-08	1	1.23200e-01	-6.00000e-01	1.50000e-01	-9.68000e-02
-2.49124e-01	-1.73069e-04	2.26764e-04	2.00735e-04	7.09723e-01	2.83889e-01	1.71888e-06	1.06323e-06	4.98534e-08	5.19908e-07	-1.01330e-07	-1.99701e-08	1	1.25400e-01	-6.00000e-01	1.50000e-01	-9.46000e-02
-2.48941e-01	-2.02695e-04	3.53543e-04	4.04494e-04	7.09704e-01	2.83882e-01	1.71172e-06	1.06306e-06	5.04386e-08	5.19199e-07	-1.02282e-07	-2.03792e-08	1	1.27600e-01	-6.00000e-01	1.50000e-01	-9.24000e-02
-2.48619e-01	-1.90388e-04	4.54985e-04	6.69113e-04	7.09685e-01	2.83875e-01	1.70449e-06	1.06282e-06	5.09927e-08	5.18424e-07	-1.03098e-07	-2.07707e-08	1	1.29800e-01	-6.00000e-01	1.50000e-01	-9.02000e-02
-2.48337e-01	-1.59972e-04	4.30002e-04	8.80655e-04	7.09666e-01	2.83867e-01	1.69720e-06	1.06256e-06	5.15272e-08	5.17665e-07	-1.03796e-07	-2.11572e-08	1	1.32000e-01	-6.00000e-01	1.50000e-01	-8.80000e-02
