Density	Momentum:0	Momentum:1	Momentum:2	StagnationEnergy	Function0	Function1	Function2	Function3	Function4	Function5	Points:0	Points:1	Points:2
0.954906	-0.0763452	0.0303137	-0.013625	0.687573	0.000821613	0.000962385	0.00121027	4.97686E-05	-0.000307918	-0.000394199	0.1	0.15	-0.1122
0.95483	-0.0750594	0.0296029	-0.0142838	0.68752	0.000861523	0.000998962	0.00127522	2.49628E-05	-0.000287483	-0.000346651	0.1	0.15	-0.11
0.954785	-0.0736629	0.0289397	-0.0150471	0.687484	0.000959684	0.00107371	0.00133918	-4.09179E-06	-0.000255241	-0.000293898	0.1	0.15	-0.1078
0.954787	-0.0720275	0.0283887	-0.0160053	0.687469	0.00113158	0.00120959	0.00140238	-6.18644E-05	-0.000211968	-0.000252289	0.1	0.15	-0.1056
0.954808	-0.0697875	0.0280068	-0.0171636	0.687476	0.00140908	0.00133825	0.0014488	-0.000191765	-0.000162767	-0.000204544	0.1	0.15	-0.1034
0.954812	-0.0671398	0.0277161	-0.018454	0.687489	0.00179883	0.00139602	0.001477	-0.000319557	-0.000168574	-0.000134264	0.1	0.15	-0.1012
0.954795	-0.0647916	0.0275655	-0.0197032	0.687481	0.00208896	0.00143398	0.00151567	-0.000345664	-0.000267767	-6.38678E-05	0.1	0.15	-0.099
0.954773	-0.0630849	0.0278382	-0.0206664	0.687452	0.00216364	0.00146306	0.00156845	-0.000253345	-0.000395624	-1.46126E-05	0.1	0.15	-0.0968
0.95477	-0.0618685	0.0285878	-0.0210257	0.687424	0.00209816	0.00147334	0.0015927	-0.000104265	-0.000503008	1.7211E-07	0.1	0.15	-0.0946
0.954773	-0.0608719	0.0292779	-0.0208492	0.687401	0.00201399	0.00145134	0.00160552	1.39776E-05	-0.000580947	4.41717E-06	0.1	0.15	-0.0924
0.954769	-0.0601148	0.0299005	-0.02032	0.68738	0.00192636	0.00139284	0.00160775	9.47133E-05	-0.000629619	4.16374E-06	0.1	0.15	-0.0902
0.954761	-0.0597088	0.0306324	-0.0196824	0.687361	0.00183685	0.00131729	0.00160813	0.000164175	-0.000658925	1.75477E-06	0.1	0.15	-0.088
0.954763	-0.0597146	0.0314409	-0.0191105	0.687347	0.00175088	0.00125681	0.00161436	0.000230188	-0.000686083	6.8379E-06	0.1	0.15	-0.0858
0.954786	-0.060049	0.032255	-0.0186791	0.687339	0.00168757	0.00123732	0.00162657	0.000269333	-0.000720527	2.30461E-05	0.1	0.15	-0.0836
0.954821	-0.0605021	0.0330989	-0.0183994	0.687334	0.00166255	0.00125594	0.00163886	0.000265736	-0.000757272	3.69813E-05	0.1	0.15	-0.0814
0.954845	-0.0608283	0.0339055	-0.0182254	0.68733	0.0016781	0.00129027	0.00164719	0.000238442	-0.000788778	0.000029827	0.1	0.15	-0.0792
0.954858	-0.0608389	0.0345304	-0.0180382	0.687326	0.00173843	0.00132781	0.00165134	0.000213412	-0.000815926	2.13514E-06	0.1	0.15	-0.077
0.954875	-0.0604846	0.0349826	-0.0176821	0.687323	0.00182729	0.0013649	0.00164917	0.00019437	-0.00083711	-2.56662E-05	0.1	0.15	-0.0748
0.954898	-0.0598385	0.035337	-0.0170871	0.687317	0.00189041	0.00138782	0.00163513	0.000181198	-0.000843991	-3.86285E-05	0.1	0.15	-0.0726
0.954919	-0.0589389	0.0354489	-0.0163468	0.687304	0.00191451	0.00139654	0.00159936	0.000176844	-0.000841522	-3.84744E-05	0.1	0.15	-0.0704
0.954927	-0.0577413	0.0350935	-0.01561	0.687284	0.00194945	0.00142055	0.00153256	0.000176179	-0.000849228	-3.69539E-05	0.1	0.15	-0.0682
0.954919	-0.0559898	0.0340983	-0.0147182	0.687267	0.00200843	0.00144751	0.00145963	0.000165206	-0.000858799	-0.000035729	0.1	0.15	-0.066
0.954906	-0.0535979	0.03279	-0.0137776	0.687248	0.00209597	0.00146784	0.00141005	0.000151051	-0.000855237	-4.92534E-05	0.1	0.15	-0.0638
0.954893	-0.0502998	0.0312009	-0.0127263	0.687225	0.00220932	0.00148035	0.00139947	8.94625E-05	-0.000832657	-6.83445E-05	0.1	0.15	-0.0616
0.954889	-0.0462308	0.029411	-0.0115613	0.687211	0.00239987	0.00150917	0.00141604	-7.13533E-05	-0.000805623	-8.90249E-05	0.1	0.15	-0.0594
0.954912	-0.0420943	0.0274954	-0.0102997	0.687219	0.00272309	0.00155908	0.00144183	-0.000305799	-0.000781485	-0.000116623	0.1	0.15	-0.0572
0.954972	-0.0384495	0.0254339	-0.00899902	0.687248	0.00313097	0.00162619	0.00147181	-0.000548159	-0.00073832	-0.000154589	0.1	0.15	-0.055
0.955061	-0.0350673	0.0232291	-0.00774433	0.687289	0.00353307	0.00171939	0.00150668	-0.000791799	-0.000645704	-0.000190571	0.1	0.15	-0.0528
0.955155	-0.0315869	0.0210321	-0.00656462	0.687341	0.00386769	0.00182886	0.00155603	-0.00104169	-0.000519571	-0.000213143	0.1	0.15	-0.0506
0.955242	-0.028589	0.0191679	-0.00564088	0.687401	0.00408748	0.00191224	0.00163759	-0.00126018	-0.000438559	-0.000214412	0.1	0.15	-0.0484
0.955322	-0.0265597	0.0176924	-0.00510611	0.68745	0.00423089	0.0019649	0.0017322	-0.0014303	-0.000421262	-0.000209176	0.1	0.15	-0.0462
0.955403	-0.0256275	0.016661	-0.00490163	0.687501	0.00432463	0.00197386	0.00183168	-0.00155187	-0.000450949	-0.000180988	0.1	0.15	-0.044
0.955487	-0.0255154	0.0160378	-0.00487126	0.687565	0.0043679	0.00195243	0.00191857	-0.00164457	-0.000517113	-0.000111041	0.1	0.15	-0.0418
0.955568	-0.0258105	0.0158119	-0.00490619	0.687638	0.00433171	0.00191808	0.00197915	-0.00172386	-0.000604257	-0.000001281	0.1	0.15	-0.0396
0.95564	-0.0261046	0.0159225	-0.00503157	0.687714	0.00420333	0.00187312	0.00200334	-0.00177511	-0.000688204	0.000123909	0.1	0.15	-0.0374
0.955705	-0.0261571	0.0161032	-0.0053303	0.687795	0.00400556	0.00182121	0.00197453	-0.00177262	-0.000734396	0.000227221	0.1	0.15	-0.0352
0.95578	-0.0259239	0.0161351	-0.00584646	0.687888	0.00378515	0.00177722	0.00187672	-0.00172329	-0.000717197	0.000282852	0.1	0.15	-0.033
0.955875	-0.0255012	0.0160637	-0.00653323	0.687989	0.00356724	0.00176096	0.00172041	-0.00165751	-0.000653629	0.000295913	0.1	0.15	-0.0308
0.955967	-0.0251741	0.0159188	-0.00724924	0.688079	0.00336422	0.00178439	0.00154894	-0.00159625	-0.000580833	0.000288148	0.1	0.15	-0.0286
0.956024	-0.0252662	0.0156288	-0.00788446	0.688138	0.00318818	0.00183371	0.0014084	-0.00153732	-0.000508473	0.00027596	0.1	0.15	-0.0264
0.956045	-0.0258181	0.0154106	-0.00844926	0.688166	0.00303149	0.00187601	0.00132696	-0.00146663	-0.000436295	0.000265842	0.1	0.15	-0.0242
0.956048	-0.0266287	0.015748	-0.00893182	0.688171	0.00288424	0.00185178	0.00130955	-0.00135457	-0.000369847	0.000242385	0.1	0.15	-0.022
0.956039	-0.0275515	0.0168916	-0.00921846	0.688157	0.00271313	0.00174967	0.00132975	-0.00118593	-0.000299328	0.000178558	0.1	0.15	-0.0198
0.956021	-0.0285066	0.0186942	-0.00930538	0.688135	0.0024782	0.00167407	0.00135834	-0.000999367	-0.000221147	9.59858E-05	0.1	0.15	-0.0176
0.956001	-0.02923	0.0205807	-0.00942239	0.688112	0.00222228	0.00175173	0.0013809	-0.000857023	-0.000152924	2.39933E-05	0.1	0.15	-0.0154
