x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	
-0.39760 	 -1.10673 	-0.41229 	 -1.10385 	-0.39760 	 -1.26372 	-0.38290 	 -1.14477 	-0.39760 	 -1.28033 	-0.41229 	 -1.14288 	-0.39760 	 -1.12435 	-0.38290 	 -1.12270 	-0.39760 	 -1.10673 	 
-0.39478 	 -1.11149 	-0.40943 	 -1.11253 	-0.39478 	 -1.25021 	-0.38011 	 -1.13531 	-0.39478 	 -1.25499 	-0.40943 	 -1.15025 	-0.39478 	 -1.13308 	-0.38011 	 -1.12905 	-0.39478 	 -1.11149 	 
-0.39191 	 -1.11653 	-0.40653 	 -1.12137 	-0.39191 	 -1.23646 	-0.37728 	 -1.12563 	-0.39191 	 -1.23415 	-0.40653 	 -1.15244 	-0.39191 	 -1.14331 	-0.37728 	 -1.13569 	-0.39191 	 -1.11653 	 
-0.38900 	 -1.12225 	-0.40358 	 -1.12905 	-0.38900 	 -1.22364 	-0.37440 	 -1.11895 	-0.38900 	 -1.21976 	-0.40358 	 -1.14736 	-0.38900 	 -1.15350 	-0.37440 	 -1.14179 	-0.38900 	 -1.12225 	 
-0.38604 	 -1.12960 	-0.40059 	 -1.13609 	-0.38604 	 -1.21267 	-0.37147 	 -1.10783 	-0.38604 	 -1.21104 	-0.40059 	 -1.14471 	-0.38604 	 -1.16217 	-0.37147 	 -1.14628 	-0.38604 	 -1.12960 	 
-0.38303 	 -1.13799 	-0.39754 	 -1.14213 	-0.38303 	 -1.20391 	-0.36850 	 -1.09166 	-0.38303 	 -1.20398 	-0.39754 	 -1.15169 	-0.38303 	 -1.16628 	-0.36850 	 -1.14949 	-0.38303 	 -1.13799 	 
-0.37997 	 -1.14614 	-0.39445 	 -1.14690 	-0.37997 	 -1.19485 	-0.36548 	 -1.08219 	-0.37997 	 -1.19734 	-0.39445 	 -1.15968 	-0.37997 	 -1.16634 	-0.36548 	 -1.15238 	-0.37997 	 -1.14614 	 
-0.37687 	 -1.15405 	-0.39131 	 -1.15220 	-0.37687 	 -1.18462 	-0.36242 	 -1.07930 	-0.37687 	 -1.19109 	-0.39131 	 -1.16423 	-0.37687 	 -1.16653 	-0.36242 	 -1.15535 	-0.37687 	 -1.15405 	 
-0.37372 	 -1.16157 	-0.38812 	 -1.15929 	-0.37372 	 -1.17694 	-0.35931 	 -1.07165 	-0.37372 	 -1.18465 	-0.38812 	 -1.16886 	-0.37372 	 -1.16878 	-0.35931 	 -1.15782 	-0.37372 	 -1.16157 	 
-0.37053 	 -1.16767 	-0.38489 	 -1.16678 	-0.37053 	 -1.17253 	-0.35616 	 -1.05997 	-0.37053 	 -1.17897 	-0.38489 	 -1.17449 	-0.37053 	 -1.17154 	-0.35616 	 -1.15902 	-0.37053 	 -1.16767 	 
-0.36729 	 -1.17209 	-0.38161 	 -1.17460 	-0.36729 	 -1.16969 	-0.35296 	 -1.05156 	-0.36729 	 -1.17181 	-0.38161 	 -1.17856 	-0.36729 	 -1.17265 	-0.35296 	 -1.15916 	-0.36729 	 -1.17209 	 
-0.36401 	 -1.17586 	-0.37828 	 -1.18276 	-0.36401 	 -1.16827 	-0.34972 	 -1.04904 	-0.36401 	 -1.16103 	-0.37828 	 -1.17954 	-0.36401 	 -1.17114 	-0.34972 	 -1.15877 	-0.36401 	 -1.17586 	 
-0.36067 	 -1.18027 	-0.37490 	 -1.18807 	-0.36067 	 -1.16976 	-0.34643 	 -1.05170 	-0.36067 	 -1.14725 	-0.37490 	 -1.17999 	-0.36067 	 -1.16732 	-0.34643 	 -1.15776 	-0.36067 	 -1.18027 	 
-0.35730 	 -1.18541 	-0.37148 	 -1.18995 	-0.35730 	 -1.17280 	-0.34310 	 -1.05428 	-0.35730 	 -1.13800 	-0.37148 	 -1.18068 	-0.35730 	 -1.16183 	-0.34310 	 -1.15591 	-0.35730 	 -1.18541 	 
-0.35387 	 -1.19048 	-0.36801 	 -1.18928 	-0.35387 	 -1.17212 	-0.33972 	 -1.05112 	-0.35387 	 -1.13836 	-0.36801 	 -1.17758 	-0.35387 	 -1.15584 	-0.33972 	 -1.15334 	-0.35387 	 -1.19048 	 
-0.35041 	 -1.19491 	-0.36450 	 -1.18734 	-0.35041 	 -1.16553 	-0.33630 	 -1.04497 	-0.35041 	 -1.14247 	-0.36450 	 -1.16971 	-0.35041 	 -1.15131 	-0.33630 	 -1.15020 	-0.35041 	 -1.19491 	 
