x0	M1	x1	P1	x2	M2	x3	T1	x4	M3	x5	P2	x6	M4	x7	T2	x8	M5	
-0.08503 	 -0.00116 	-0.09494 	 -0.00125 	-0.08503 	 -0.00065 	-0.07511 	 -0.00105 	-0.08503 	 -0.00123 	-0.09494 	 -0.00096 	-0.08503 	 -0.00106 	-0.07511 	 -0.00128 	-0.08503 	 -0.00116 	 
-0.07968 	 -0.00120 	-0.08949 	 -0.00139 	-0.07968 	 -0.00062 	-0.06984 	 -0.00111 	-0.07968 	 -0.00123 	-0.08949 	 -0.00096 	-0.07968 	 -0.00102 	-0.06984 	 -0.00130 	-0.07968 	 -0.00120 	 
-0.07431 	 -0.00125 	-0.08403 	 -0.00152 	-0.07431 	 -0.00068 	-0.06456 	 -0.00119 	-0.07431 	 -0.00121 	-0.08403 	 -0.00095 	-0.07431 	 -0.00097 	-0.06456 	 -0.00131 	-0.07431 	 -0.00125 	 
-0.06893 	 -0.00127 	-0.07856 	 -0.00156 	-0.06893 	 -0.00080 	-0.05928 	 -0.00126 	-0.06893 	 -0.00116 	-0.07856 	 -0.00091 	-0.06893 	 -0.00093 	-0.05928 	 -0.00131 	-0.06893 	 -0.00127 	 
-0.06353 	 -0.00126 	-0.07308 	 -0.00154 	-0.06353 	 -0.00089 	-0.05398 	 -0.00130 	-0.06353 	 -0.00112 	-0.07308 	 -0.00085 	-0.06353 	 -0.00090 	-0.05398 	 -0.00130 	-0.06353 	 -0.00126 	 
-0.05813 	 -0.00123 	-0.06758 	 -0.00150 	-0.05813 	 -0.00092 	-0.04867 	 -0.00130 	-0.05813 	 -0.00108 	-0.06758 	 -0.00079 	-0.05813 	 -0.00088 	-0.04867 	 -0.00131 	-0.05813 	 -0.00123 	 
-0.05272 	 -0.00121 	-0.06208 	 -0.00146 	-0.05272 	 -0.00092 	-0.04335 	 -0.00126 	-0.05272 	 -0.00105 	-0.06208 	 -0.00078 	-0.05272 	 -0.00085 	-0.04335 	 -0.00136 	-0.05272 	 -0.00121 	 
-0.04730 	 -0.00119 	-0.05657 	 -0.00144 	-0.04730 	 -0.00095 	-0.03802 	 -0.00122 	-0.04730 	 -0.00105 	-0.05657 	 -0.00080 	-0.04730 	 -0.00077 	-0.03802 	 -0.00140 	-0.04730 	 -0.00119 	 
-0.04187 	 -0.00116 	-0.05104 	 -0.00141 	-0.04187 	 -0.00101 	-0.03268 	 -0.00118 	-0.04187 	 -0.00104 	-0.05104 	 -0.00082 	-0.04187 	 -0.00069 	-0.03268 	 -0.00139 	-0.04187 	 -0.00116 	 
-0.03643 	 -0.00114 	-0.04551 	 -0.00138 	-0.03643 	 -0.00110 	-0.02734 	 -0.00115 	-0.03643 	 -0.00098 	-0.04551 	 -0.00083 	-0.03643 	 -0.00066 	-0.02734 	 -0.00132 	-0.03643 	 -0.00114 	 
-0.03099 	 -0.00112 	-0.03998 	 -0.00136 	-0.03099 	 -0.00116 	-0.02199 	 -0.00113 	-0.03099 	 -0.00087 	-0.03998 	 -0.00085 	-0.03099 	 -0.00067 	-0.02199 	 -0.00121 	-0.03099 	 -0.00112 	 
