   n        time         Clp         Cdv
     215   176.87520   0.6319837   0.2894905
     216   177.00020   0.6380120   0.2932447
     217   177.12510   0.6408619   0.2953336
     218   177.25010   0.6436263   0.2972516
     219   177.37510   0.6467830   0.2994406
     220   177.50010   0.6482632   0.3000641
     221   177.62510   0.6501520   0.3010499
     222   177.75010   0.6520329   0.3023519
     223   177.87510   0.6543351   0.3035564
     224   178.00010   0.6567753   0.3051844
     225   178.12510   0.6583856   0.3061880
     226   178.25000   0.6585894   0.3062609
     227   178.37520   0.6586615   0.3065692
     228   178.50010   0.6562405   0.3055456
     229   178.62520   0.6552406   0.3061606
     230   178.75010   0.6543949   0.3067826
     231   178.87510   0.6545925   0.3067767
     232   179.00010   0.6544872   0.3064552
     233   179.12520   0.6529203   0.3045909
     234   179.25000   0.6503625   0.3024926
     235   179.37510   0.6472805   0.3006318
     236   179.50020   0.6444262   0.2993021
     237   179.62510   0.6400397   0.2971567
     238   179.75010   0.6374016   0.2957633
     239   179.87510   0.6356310   0.2948296
     240   180.00010   0.6340307   0.2947306
     241   180.00030   0.6340239   0.2947296
     242   180.12530   0.6296737   0.2932439
     243   180.25020   0.6252450   0.2904825
     244   180.37530   0.6229716   0.2884193
     245   180.50010   0.6214089   0.2872047
     246   180.62520   0.6166858   0.2840572
     247   180.75020   0.6110245   0.2798773
     248   180.87530   0.6063390   0.2762607
     249   181.00020   0.6040547   0.2736236
     250   181.12530   0.6011754   0.2709643
     251   181.25010   0.5958029   0.2670335
     252   181.37510   0.5912255   0.2636131
     253   181.50030   0.5849822   0.2594414
     254   181.62530   0.5807404   0.2549121
     255   181.75020   0.5782173   0.2515533
     256   181.87510   0.5730572   0.2473522
     257   182.00020   0.5680855   0.2434286
     258   182.12530   0.5637440   0.2407544
     259   182.25020   0.5607762   0.2375408
     260   182.37520   0.5575641   0.2345116
     261   182.50020   0.5563445   0.2326139
     262   182.62510   0.5562888   0.2309702
     263   182.75020   0.5582278   0.2294588
     264   182.87520   0.5576209   0.2280827
     265   183.00030   0.5588478   0.2282016
     266   183.12530   0.5638919   0.2304090
     267   183.25030   0.5722233   0.2342838
     268   183.37520   0.5801485   0.2380570
     269   183.50020   0.5871343   0.2413379
     270   183.62530   0.5925157   0.2438651
     271   183.75020   0.5991601   0.2473326
     272   183.87520   0.6069195   0.2507027
     273   184.00010   0.6120300   0.2529643
     274   184.12520   0.6185364   0.2560814
     275   184.25020   0.6240275   0.2584624
     276   184.37510   0.6276568   0.2598864
     277   184.50020   0.6292095   0.2607618
     278   184.62520   0.6317073   0.2622747
     279   184.75010   0.6319282   0.2630457
     280   184.87530   0.6334350   0.2641580
     281   185.00020   0.6340220   0.2651687
     282   185.12520   0.6345968   0.2660022
     283   185.25010   0.6316722   0.2660258
     284   185.37520   0.6319629   0.2674624
