   n        time         Clp         Cdp
     364   105.50030   0.5717460   0.2644289
     365   105.62520   0.5712529   0.2643503
     366   105.75020   0.5705463   0.2641132
     367   105.87520   0.5687221   0.2632497
     368   106.00030   0.5671191   0.2624315
     369   106.12520   0.5669908   0.2620384
     370   106.25020   0.5662603   0.2612015
     371   106.37520   0.5650362   0.2600658
     372   106.50020   0.5637263   0.2590271
     373   106.62520   0.5625861   0.2581594
     374   106.75030   0.5613516   0.2575748
     375   106.87520   0.5603265   0.2567314
     376   107.00030   0.5588516   0.2551529
     377   107.12530   0.5588223   0.2545656
     378   107.25030   0.5595399   0.2550754
     379   107.37510   0.5605163   0.2560307
     380   107.50020   0.5634172   0.2569818
     381   107.62510   0.5645938   0.2577270
     382   107.75020   0.5653448   0.2578868
     383   107.87520   0.5645977   0.2570992
     384   108.00030   0.5640788   0.2564255
     385   108.12520   0.5643938   0.2561038
     386   108.25020   0.5640938   0.2556000
     387   108.37520   0.5631255   0.2549191
     388   108.50030   0.5623369   0.2543285
     389   108.62520   0.5616246   0.2538159
     390   108.75020   0.5610665   0.2533361
     391   108.87530   0.5600963   0.2530292
     392   109.00010   0.5601172   0.2525843
     393   109.12520   0.5596974   0.2516595
     394   109.25020   0.5593020   0.2510024
     395   109.37520   0.5594660   0.2505282
     396   109.50010   0.5593256   0.2502215
     397   109.62520   0.5603208   0.2503995
     398   109.75030   0.5603463   0.2501994
     399   109.87510   0.5609978   0.2501467
     400   110.00020   0.5614962   0.2504560
     401   110.12520   0.5622920   0.2506990
     402   110.25030   0.5624239   0.2503383
     403   110.37520   0.5623486   0.2500105
     404   110.50010   0.5627737   0.2498931
     405   110.62520   0.5620715   0.2494702
     406   110.75020   0.5611150   0.2485045
     407   110.87520   0.5608262   0.2480489
     408   111.00020   0.5602438   0.2477696
     409   111.12520   0.5599485   0.2476531
     410   111.25020   0.5592205   0.2470117
     411   111.37520   0.5581544   0.2461469
     412   111.50020   0.5581577   0.2456290
     413   111.62520   0.5571887   0.2452827
     414   111.75030   0.5571560   0.2456211
     415   111.87520   0.5580504   0.2462223
     416   112.00020   0.5589705   0.2471223
     417   112.12530   0.5607794   0.2483054
     418   112.25010   0.5626066   0.2494971
     419   112.37520   0.5649329   0.2506785
     420   112.50020   0.5659907   0.2516954
     421   112.62510   0.5683296   0.2529969
     422   112.75020   0.5708007   0.2540853
     423   112.87510   0.5737644   0.2554197
     424   113.00020   0.5767841   0.2570662
     425   113.12530   0.5809101   0.2586439
