t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5       rho6       u6       v6       w6       p6       rho7       u7       v7       w7       p7       rho8       u8       v8       w8       p8       rho9       u9       v9       w9       p9
  1.5015640E+02         9.0987056E-01        -1.3088411E-01        -3.5714511E-02         1.4367738E-02         6.4563447E-01         9.1029775E-01         1.9247192E-01         5.9815414E-02        -1.3222608E-03         6.4642996E-01         9.2432976E-01         7.7821642E-02         1.4425361E-01        -1.1219136E-01         6.6686118E-01         9.4067138E-01         2.7713469E-01        -1.8226050E-04         6.0155954E-02         6.6290802E-01         9.1721350E-01         9.6246108E-02         1.1299035E-02         1.4806713E-01         6.5640861E-01         9.3876934E-01         3.5508201E-01         7.5736165E-02        -1.4766330E-01         6.6687250E-01         9.3759233E-01         3.4965944E-01        -9.6290894E-02        -1.5820849E-01         6.6879529E-01         9.6280658E-01         2.7432948E-01         1.4806826E-01        -3.2061152E-02         6.8473703E-01         9.5837420E-01         3.4677467E-01         1.9762664E-01         1.6939767E-02         6.8058729E-01
  1.5016420E+02         9.1003352E-01        -1.4121319E-01        -3.0097729E-02         3.3081960E-02         6.4442778E-01         9.0783823E-01         1.9661839E-01         6.6477261E-02        -2.2974024E-03         6.4436799E-01         9.2944169E-01         1.2741745E-01         8.5363775E-02        -1.0208900E-01         6.7100555E-01         9.3212831E-01         2.6106769E-01         2.6477413E-02         1.0336293E-01         6.5822858E-01         9.1836429E-01         8.1997491E-02         1.5923556E-02         1.5338694E-01         6.5720630E-01         9.3593478E-01         3.5505021E-01         7.9097003E-02        -1.1365683E-01         6.6468960E-01         9.4354087E-01         3.2832974E-01        -7.6685518E-02        -2.0084466E-01         6.7212969E-01         9.5480502E-01         2.8525883E-01         1.4636949E-01        -1.8680757E-02         6.8156451E-01         9.6062666E-01         3.4175199E-01         1.9209434E-01         1.7046757E-02         6.8164229E-01
  1.5017210E+02         9.0972668E-01        -1.4809033E-01        -2.1919830E-02         5.2387360E-02         6.4396977E-01         9.0536219E-01         1.9611801E-01         7.3045820E-02        -2.0845649E-03         6.4274347E-01         9.3717152E-01         1.8826564E-01         4.4069234E-02        -7.1719237E-02         6.7312402E-01         9.2614555E-01         2.0364967E-01         7.9375267E-02         1.4359680E-01         6.5638149E-01         9.1983092E-01         6.6012494E-02         1.4194137E-02         1.5958041E-01         6.5793896E-01         9.3363541E-01         3.4738350E-01         7.2340161E-02        -4.1209023E-02         6.6351938E-01         9.4826889E-01         3.1885135E-01        -3.9299540E-02        -2.1007580E-01         6.7595786E-01         9.4779581E-01         3.0066976E-01         1.3679074E-01         5.2208547E-03         6.7918015E-01         9.6322811E-01         3.3508578E-01         1.8550593E-01         1.4479404E-02         6.8270147E-01
  1.5017980E+02         9.0954971E-01        -1.5058064E-01        -1.5081492E-02         6.5712258E-02         6.4489728E-01         9.0339112E-01         1.9117752E-01         7.8917779E-02        -2.1130063E-04         6.4181244E-01         9.4571477E-01         2.4552043E-01         2.8665334E-02        -3.9651606E-02         6.7313659E-01         9.2555696E-01         1.3415328E-01         1.3198088E-01         1.5127142E-01         6.5676624E-01         9.2122245E-01         4.9032621E-02         8.0499165E-03         1.6481125E-01         6.5839732E-01         9.3508470E-01         3.1147105E-01         6.1760698E-02         5.7710011E-02         6.6526175E-01         9.5093906E-01         3.1822848E-01        -1.3250334E-03        -1.9175243E-01         6.7902350E-01         9.4350672E-01         3.2435367E-01         1.1970928E-01         2.6619639E-02         6.7688525E-01         9.6534264E-01         3.2659572E-01         1.7959714E-01         9.4071850E-03         6.8362492E-01
  1.5018770E+02         9.1004252E-01        -1.5109996E-01        -1.1631032E-02         6.7120276E-02         6.4731884E-01         9.0213424E-01         1.8176699E-01         8.4379248E-02         3.0302384E-03         6.4160484E-01         9.5243263E-01         2.9200560E-01         3.1805206E-02        -1.8849945E-02         6.7197037E-01         9.2562723E-01         1.0443209E-01         1.4026691E-01         1.2512399E-01         6.5658796E-01         9.2251033E-01         3.2651268E-02        -1.8193215E-04         1.6749728E-01         6.5875578E-01         9.4044930E-01         2.5410476E-01         5.5512480E-02         1.4608030E-01         6.6832948E-01         9.5281023E-01         3.2224298E-01         2.7169742E-02        -1.5613388E-01         6.8093407E-01         9.4075388E-01         3.4610543E-01         1.0109049E-01         4.2730562E-02         6.7372286E-01         9.6656948E-01         3.1532916E-01         1.7545836E-01         2.1188767E-03         6.8440211E-01
  1.5019540E+02         9.1142744E-01        -1.5175429E-01        -1.2106452E-02         5.1120654E-02         6.5070140E-01         9.0178972E-01         1.6925400E-01         8.9784056E-02         6.8330253E-03         6.4216280E-01         9.5479399E-01         3.2370135E-01         4.1561950E-02        -1.2933613E-02         6.7047644E-01         9.2315209E-01         1.4259754E-01         9.1300912E-02         9.9105030E-02         6.5437597E-01         9.2386800E-01         1.9392513E-02        -7.4391286E-03         1.6694289E-01         6.5930200E-01         9.4424063E-01         2.1420603E-01         5.4503836E-02         1.6916622E-01         6.7057294E-01         9.5529503E-01         3.2670954E-01         4.1169364E-02        -1.1715328E-01         6.8186033E-01         9.3765432E-01         3.4661829E-01         8.7600634E-02         6.1940994E-02         6.7014599E-01         9.6679837E-01         3.0199590E-01         1.7369588E-01        -6.1188960E-03         6.8495554E-01
  1.5020330E+02         9.1342723E-01        -1.5155724E-01        -1.6301814E-02         1.6634420E-02         6.5406251E-01         9.0242290E-01         1.5459046E-01         9.5963866E-02         1.1141895E-02         6.4360446E-01         9.5300847E-01         3.4624043E-01         4.8850808E-02        -1.5537328E-02         6.6873437E-01         9.2406809E-01         2.1716279E-01         2.9683067E-02         1.0172343E-01         6.5239066E-01         9.2554373E-01         9.0565355E-03        -1.1305292E-02         1.6353574E-01         6.6013938E-01         9.4222230E-01         2.1606465E-01         4.9659062E-02         1.0917088E-01         6.7053741E-01         9.5914954E-01         3.2945830E-01         4.3781005E-02        -8.3265163E-02         6.8245983E-01         9.3430442E-01         3.1846946E-01         7.9676583E-02         9.6771613E-02         6.6762292E-01         9.6630794E-01         2.8745088E-01         1.7370221E-01        -1.4757570E-02         6.8529058E-01
  1.5021110E+02         9.1487902E-01        -1.4537936E-01        -2.2530809E-02        -3.0994084E-02         6.5562552E-01         9.0410739E-01         1.3919845E-01         1.0220092E-01         1.5594712E-02         6.4604884E-01         9.4917339E-01         3.6441165E-01         5.1138822E-02        -1.8597269E-02         6.6655284E-01         9.2797154E-01         2.6261914E-01         1.1354860E-02         1.2524651E-01         6.5152538E-01         9.2707169E-01         3.6152897E-03        -1.0412626E-02         1.5782122E-01         6.6100609E-01         9.3904179E-01         2.4947594E-01         3.6526732E-02         2.3949449E-03         6.6737843E-01         9.6361697E-01         3.3062249E-01         3.9727833E-02        -6.1254397E-02         6.8306750E-01         9.3329662E-01         2.7783865E-01         7.5129323E-02         1.4500716E-01         6.6748613E-01         9.6546489E-01         2.7425107E-01         1.7458662E-01        -2.3106858E-02         6.8543601E-01
  1.5021890E+02         9.1441107E-01        -1.2515195E-01        -2.6737183E-02        -9.1191605E-02         6.5442425E-01         9.0710747E-01         1.2251692E-01         1.0648096E-01         1.9237630E-02         6.4975142E-01         9.4549167E-01         3.8238895E-01         5.2585527E-02        -1.7360177E-02         6.6385013E-01         9.2642057E-01         2.5126114E-01         3.9545439E-02         1.3149467E-01         6.4890385E-01         9.2805731E-01         3.8764691E-03        -5.4077078E-03         1.5003400E-01         6.6180885E-01         9.4250107E-01         2.8690928E-01         2.1432955E-02        -9.1166079E-02         6.6565549E-01         9.6749449E-01         3.3208549E-01         3.3706412E-02        -5.1188987E-02         6.8362242E-01         9.3593687E-01         2.4795932E-01         6.8421707E-02         1.9452143E-01         6.6977984E-01         9.6450126E-01         2.6312965E-01         1.7568994E-01        -3.1822465E-02         6.8550497E-01
  1.5022670E+02         9.1143024E-01        -9.2321083E-02        -2.7484981E-02        -1.4901802E-01         6.5088195E-01         9.1151476E-01         1.0699800E-01         1.0513195E-01         2.0681303E-02         6.5448958E-01         9.4361418E-01         3.9933246E-01         5.6924183E-02        -1.2783197E-02         6.6147894E-01         9.1931796E-01         2.0963994E-01         7.8476705E-02         7.7914231E-02         6.4718664E-01         9.2857903E-01         9.8277517E-03         1.2175333E-03         1.4245614E-01         6.6261977E-01         9.5076191E-01         3.1141037E-01         1.1310108E-02        -1.2611403E-01         6.6885197E-01         9.6928740E-01         3.3514357E-01         2.9990185E-02        -5.1327728E-02         6.8378097E-01         9.4139922E-01         2.3978221E-01         5.3853966E-02         2.2963920E-01         6.7375594E-01         9.6356106E-01         2.5453678E-01         1.7678782E-01        -4.1025784E-02         6.8556446E-01
  1.5023450E+02         9.0742064E-01        -6.2284559E-02        -3.0047042E-02        -1.8479484E-01         6.4694834E-01         9.1708046E-01         9.8367490E-02         9.5697068E-02         2.1150058E-02         6.5973580E-01         9.4351387E-01         4.1412261E-01         6.4056158E-02        -9.1208732E-03         6.6003281E-01         9.1309029E-01         1.8625423E-01         9.7727373E-02        -4.0064439E-02         6.4819759E-01         9.2911452E-01         2.1875666E-02         6.4196200E-03         1.3798180E-01         6.6361684E-01         9.5621967E-01         3.2689610E-01         2.2655528E-03        -1.0958662E-01         6.7234498E-01         9.6876061E-01         3.3962721E-01         3.1007634E-02        -5.7194877E-02         6.8343920E-01         9.4836205E-01         2.4544653E-01         3.0177752E-02         2.4740352E-01         6.7843252E-01         9.6260053E-01         2.4698231E-01         1.7828466E-01        -5.1481567E-02         6.8561339E-01
