"$C_p$" "Momentum:0" "Momentum:1" "Momentum:2" "Density" "Points:0" "Points:1" "Points:2"
-7.1023467e-01 4.4352862e-01 2.8854623e-01 -1.5448747e-04 9.4203818e-01 -4.3000001e-01 1.5066341e-01 -8.2500003e-02
-7.0672565e-01 4.4300145e-01 2.8832641e-01 -1.5358732e-04 9.4232553e-01 -4.3000001e-01 1.5183134e-01 -8.2500003e-02
-7.0330512e-01 4.4248727e-01 2.8810593e-01 -1.5255655e-04 9.4260573e-01 -4.3000001e-01 1.5299928e-01 -8.2500003e-02
-6.9999449e-01 4.4199389e-01 2.8788462e-01 -1.5136672e-04 9.4287699e-01 -4.3000001e-01 1.5416721e-01 -8.2500003e-02
-6.9675075e-01 4.4150952e-01 2.8766236e-01 -1.5010944e-04 9.4314277e-01 -4.3000001e-01 1.5533514e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.5650308e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.5767102e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.5883894e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.6000688e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.6117482e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.6234274e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.6351068e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.6467862e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.6584654e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.6701448e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.6818242e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.6935034e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.7051828e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.7168622e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.7285414e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.7402208e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.7519002e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.7635795e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.7752588e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.7869382e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.7986175e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.8102968e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.8219762e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.8336555e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.8453348e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.8570141e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.8686935e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.8803728e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.8920521e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.9037315e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.9154108e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.9270901e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.9387695e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.9504488e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.9621281e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.9738075e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.9854869e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 1.9971661e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.0088455e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.0205249e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.0322041e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.0438835e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.0555629e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.0672421e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.0789215e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.0906009e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.1022801e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.1139595e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.1256389e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.1373181e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.1489975e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.1606769e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.1723561e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.1840355e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.1957149e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.2073942e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.2190735e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.2307529e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.2424322e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.2541115e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.2657908e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.2774702e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.2891495e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.3008288e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.3125082e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.3241875e-01 -8.2500003e-02
nan nan nan nan nan -4.3000001e-01 2.3358668e-01 -8.2500003e-02
