   n        time         Clp         Clv         Cdp         Cdv
  799020    90.83527   0.0075026   0.0000190   0.0264418   0.0051647
  799040    90.83751   0.0076846   0.0000193   0.0264331   0.0051632
  799060    90.83975   0.0078655   0.0000195   0.0264241   0.0051616
  799080    90.84199   0.0080453   0.0000197   0.0264150   0.0051600
  799100    90.84422   0.0082240   0.0000199   0.0264056   0.0051584
  799120    90.84646   0.0084019   0.0000201   0.0263961   0.0051568
  799140    90.84870   0.0085788   0.0000202   0.0263865   0.0051552
  799160    90.85094   0.0087551   0.0000204   0.0263768   0.0051535
  799180    90.85318   0.0089308   0.0000204   0.0263672   0.0051518
  799200    90.85541   0.0091060   0.0000205   0.0263576   0.0051500
  799220    90.85765   0.0092808   0.0000206   0.0263480   0.0051481
  799240    90.85989   0.0094555   0.0000206   0.0263386   0.0051462
  799260    90.86213   0.0096302   0.0000206   0.0263293   0.0051442
  799280    90.86437   0.0098049   0.0000207   0.0263201   0.0051421
  799300    90.86660   0.0099797   0.0000206   0.0263110   0.0051400
  799320    90.86884   0.0101546   0.0000206   0.0263020   0.0051379
  799340    90.87108   0.0103298   0.0000206   0.0262931   0.0051357
  799360    90.87332   0.0105053   0.0000206   0.0262842   0.0051336
  799380    90.87555   0.0106812   0.0000206   0.0262754   0.0051314
  799400    90.87779   0.0108576   0.0000205   0.0262666   0.0051293
  799420    90.88003   0.0110345   0.0000205   0.0262579   0.0051272
  799440    90.88227   0.0112119   0.0000205   0.0262493   0.0051251
  799460    90.88451   0.0113898   0.0000205   0.0262407   0.0051231
  799480    90.88674   0.0115678   0.0000205   0.0262324   0.0051212
  799500    90.88898   0.0117459   0.0000205   0.0262242   0.0051193
  799520    90.89122   0.0119238   0.0000205   0.0262164   0.0051174
  799540    90.89346   0.0121014   0.0000205   0.0262089   0.0051156
  799560    90.89570   0.0122785   0.0000205   0.0262018   0.0051139
  799580    90.89793   0.0124550   0.0000205   0.0261951   0.0051122
  799600    90.90017   0.0126307   0.0000206   0.0261890   0.0051106
  799620    90.90241   0.0128052   0.0000206   0.0261834   0.0051090
  799640    90.90465   0.0129786   0.0000207   0.0261784   0.0051074
  799660    90.90689   0.0131507   0.0000207   0.0261738   0.0051058
  799680    90.90912   0.0133212   0.0000208   0.0261696   0.0051042
  799700    90.91136   0.0134900   0.0000209   0.0261659   0.0051027
  799720    90.91360   0.0136568   0.0000210   0.0261627   0.0051011
  799740    90.91584   0.0138215   0.0000211   0.0261598   0.0050995
  799760    90.91808   0.0139839   0.0000212   0.0261572   0.0050978
