   n        time         Cl         Cd
 1278319   210.06788   0.5815815   0.3161314
 1278320   210.06805   0.5815757   0.3161277
 1278321   210.06821   0.5815699   0.3161240
 1278322   210.06837   0.5815642   0.3161204
 1278323   210.06853   0.5815586   0.3161168
 1278324   210.06869   0.5815530   0.3161132
 1278325   210.06885   0.5815475   0.3161097
 1278326   210.06901   0.5815421   0.3161062
 1278327   210.06917   0.5815367   0.3161026
 1278328   210.06933   0.5815313   0.3160991
 1278329   210.06949   0.5815260   0.3160956
 1278330   210.06965   0.5815206   0.3160922
 1278331   210.06981   0.5815153   0.3160887
 1278332   210.06997   0.5815099   0.3160852
 1278333   210.07014   0.5815046   0.3160817
 1278334   210.07030   0.5814991   0.3160782
 1278335   210.07046   0.5814937   0.3160746
 1278336   210.07062   0.5814882   0.3160711
 1278337   210.07078   0.5814827   0.3160676
 1278338   210.07094   0.5814771   0.3160640
 1278339   210.07110   0.5814714   0.3160604
 1278340   210.07126   0.5814657   0.3160568
 1278341   210.07142   0.5814599   0.3160532
 1278342   210.07158   0.5814541   0.3160496
 1278343   210.07174   0.5814482   0.3160460
 1278344   210.07190   0.5814423   0.3160423
 1278345   210.07206   0.5814364   0.3160387
 1278346   210.07222   0.5814303   0.3160350
 1278347   210.07239   0.5814243   0.3160313
 1278348   210.07255   0.5814182   0.3160276
 1278349   210.07271   0.5814120   0.3160239
 1278350   210.07287   0.5814058   0.3160202
 1278351   210.07303   0.5813996   0.3160165
 1278352   210.07319   0.5813933   0.3160127
 1278353   210.07335   0.5813870   0.3160090
 1278354   210.07351   0.5813807   0.3160052
 1278355   210.07367   0.5813743   0.3160014
 1278356   210.07383   0.5813678   0.3159977
 1278357   210.07399   0.5813613   0.3159938
 1278358   210.07415   0.5813548   0.3159900
 1278359   210.07431   0.5813482   0.3159862
 1278360   210.07448   0.5813416   0.3159823
 1278361   210.07464   0.5813349   0.3159784
 1278362   210.07480   0.5813281   0.3159745
 1278363   210.07496   0.5813213   0.3159706
 1278364   210.07512   0.5813144   0.3159666
 1278365   210.07528   0.5813075   0.3159627
 1278366   210.07544   0.5813006   0.3159587
 1278367   210.07560   0.5812936   0.3159548
 1278368   210.07576   0.5812866   0.3159508
 1278369   210.07592   0.5812796   0.3159469
 1278370   210.07608   0.5812725   0.3159430
 1278371   210.07624   0.5812655   0.3159391
 1278372   210.07640   0.5812585   0.3159352
 1278373   210.07657   0.5812515   0.3159314
 1278374   210.07673   0.5812446   0.3159277
 1278375   210.07689   0.5812377   0.3159240
 1278376   210.07705   0.5812309   0.3159204
 1278377   210.07721   0.5812241   0.3159168
 1278378   210.07737   0.5812175   0.3159134
 1278379   210.07753   0.5812110   0.3159100
 1278380   210.07769   0.5812046   0.3159068
 1278381   210.07785   0.5811983   0.3159037
 1278382   210.07801   0.5811921   0.3159007
 1278383   210.07817   0.5811861   0.3158978
 1278384   210.07833   0.5811803   0.3158950
 1278385   210.07849   0.5811746   0.3158924
 1278386   210.07865   0.5811690   0.3158899
 1278387   210.07882   0.5811637   0.3158875
 1278388   210.07898   0.5811584   0.3158852
 1278389   210.07914   0.5811533   0.3158831
 1278390   210.07930   0.5811484   0.3158811
 1278391   210.07946   0.5811436   0.3158792
 1278392   210.07962   0.5811389   0.3158774
 1278393   210.07978   0.5811343   0.3158756
 1278394   210.07994   0.5811298   0.3158740
 1278395   210.08010   0.5811254   0.3158725
 1278396   210.08026   0.5811212   0.3158710
 1278397   210.08042   0.5811170   0.3158696
 1278398   210.08058   0.5811128   0.3158683
 1278399   210.08074   0.5811088   0.3158670
 1278400   210.08091   0.5811047   0.3158657
 1278401   210.08107   0.5811008   0.3158645
 1278402   210.08123   0.5810968   0.3158633
 1278403   210.08139   0.5810929   0.3158621
 1278404   210.08155   0.5810891   0.3158610
 1278405   210.08171   0.5810853   0.3158598
 1278406   210.08187   0.5810815   0.3158587
 1278407   210.08203   0.5810778   0.3158576
 1278408   210.08219   0.5810741   0.3158565
 1278409   210.08235   0.5810705   0.3158554
 1278410   210.08251   0.5810669   0.3158543
 1278411   210.08267   0.5810635   0.3158532
 1278412   210.08283   0.5810601   0.3158522
 1278413   210.08299   0.5810568   0.3158512
 1278414   210.08316   0.5810537   0.3158501
 1278415   210.08332   0.5810506   0.3158491
 1278416   210.08348   0.5810478   0.3158482
 1278417   210.08364   0.5810450   0.3158472
 1278418   210.08380   0.5810425   0.3158463
 1278419   210.08396   0.5810401   0.3158455
 1278420   210.08412   0.5810379   0.3158447
 1278421   210.08428   0.5810359   0.3158439
 1278422   210.08444   0.5810341   0.3158432
 1278423   210.08460   0.5810325   0.3158425
 1278424   210.08476   0.5810310   0.3158419
 1278425   210.08492   0.5810298   0.3158414
 1278426   210.08508   0.5810288   0.3158409
 1278427   210.08525   0.5810279   0.3158404
 1278428   210.08541   0.5810272   0.3158400
 1278429   210.08557   0.5810266   0.3158397
 1278430   210.08573   0.5810262   0.3158394
 1278431   210.08589   0.5810259   0.3158391
 1278432   210.08605   0.5810257   0.3158389
 1278433   210.08621   0.5810255   0.3158387
 1278434   210.08637   0.5810255   0.3158386
 1278435   210.08653   0.5810255   0.3158385
 1278436   210.08669   0.5810256   0.3158384
 1278437   210.08685   0.5810256   0.3158383
 1278438   210.08701   0.5810257   0.3158383
 1278439   210.08717   0.5810258   0.3158383
 1278440   210.08734   0.5810258   0.3158383
 1278441   210.08750   0.5810258   0.3158384
 1278442   210.08766   0.5810258   0.3158384
 1278443   210.08782   0.5810258   0.3158385
 1278444   210.08798   0.5810257   0.3158386
 1278445   210.08814   0.5810256   0.3158387
 1278446   210.08830   0.5810255   0.3158389
 1278447   210.08846   0.5810254   0.3158391
 1278448   210.08862   0.5810253   0.3158393
 1278449   210.08878   0.5810252   0.3158396
 1278450   210.08894   0.5810251   0.3158400
 1278451   210.08910   0.5810251   0.3158404
 1278452   210.08926   0.5810252   0.3158408
 1278453   210.08942   0.5810254   0.3158414
 1278454   210.08959   0.5810257   0.3158420
 1278455   210.08975   0.5810261   0.3158427
 1278456   210.08991   0.5810268   0.3158435
 1278457   210.09007   0.5810276   0.3158444
 1278458   210.09023   0.5810287   0.3158455
 1278459   210.09039   0.5810299   0.3158466
 1278460   210.09055   0.5810315   0.3158478
 1278461   210.09071   0.5810333   0.3158492
 1278462   210.09087   0.5810353   0.3158507
 1278463   210.09103   0.5810377   0.3158523
 1278464   210.09119   0.5810403   0.3158540
 1278465   210.09135   0.5810433   0.3158559
 1278466   210.09151   0.5810465   0.3158579
 1278467   210.09168   0.5810500   0.3158599
 1278468   210.09184   0.5810538   0.3158621
 1278469   210.09200   0.5810578   0.3158644
 1278470   210.09216   0.5810621   0.3158668
 1278471   210.09232   0.5810666   0.3158693
 1278472   210.09248   0.5810714   0.3158719
 1278473   210.09264   0.5810763   0.3158745
 1278474   210.09280   0.5810814   0.3158772
 1278475   210.09296   0.5810866   0.3158799
 1278476   210.09312   0.5810920   0.3158827
 1278477   210.09328   0.5810974   0.3158855
 1278478   210.09344   0.5811029   0.3158884
 1278479   210.09360   0.5811085   0.3158912
 1278480   210.09377   0.5811141   0.3158941
 1278481   210.09393   0.5811197   0.3158969
 1278482   210.09409   0.5811252   0.3158997
 1278483   210.09425   0.5811307   0.3159025
 1278484   210.09441   0.5811362   0.3159053
 1278485   210.09457   0.5811415   0.3159081
 1278486   210.09473   0.5811467   0.3159108
 1278487   210.09489   0.5811519   0.3159134
 1278488   210.09505   0.5811568   0.3159160
 1278489   210.09521   0.5811617   0.3159185
 1278490   210.09537   0.5811663   0.3159210
 1278491   210.09553   0.5811708   0.3159234
 1278492   210.09569   0.5811751   0.3159257
 1278493   210.09585   0.5811792   0.3159279
 1278494   210.09602   0.5811831   0.3159300
 1278495   210.09618   0.5811867   0.3159321
 1278496   210.09634   0.5811901   0.3159340
 1278497   210.09650   0.5811933   0.3159359
 1278498   210.09666   0.5811963   0.3159376
 1278499   210.09682   0.5811990   0.3159393
 1278500   210.09698   0.5812014   0.3159408
 1278501   210.09714   0.5812036   0.3159422
 1278502   210.09730   0.5812055   0.3159436
 1278503   210.09746   0.5812072   0.3159448
 1278504   210.09762   0.5812085   0.3159459
 1278505   210.09778   0.5812096   0.3159468
 1278506   210.09794   0.5812105   0.3159477
 1278507   210.09811   0.5812110   0.3159484
 1278508   210.09827   0.5812113   0.3159491
 1278509   210.09843   0.5812113   0.3159496
 1278510   210.09859   0.5812111   0.3159500
 1278511   210.09875   0.5812106   0.3159503
 1278512   210.09891   0.5812099   0.3159505
 1278513   210.09907   0.5812089   0.3159505
 1278514   210.09923   0.5812077   0.3159505
 1278515   210.09939   0.5812064   0.3159505
 1278516   210.09955   0.5812048   0.3159503
 1278517   210.09971   0.5812031   0.3159500
 1278518   210.09987   0.5812012   0.3159497
 1278519   210.10003   0.5811991   0.3159494
 1278520   210.10020   0.5811970   0.3159490
 1278521   210.10036   0.5811947   0.3159485
 1278522   210.10052   0.5811924   0.3159481
 1278523   210.10068   0.5811900   0.3159476
 1278524   210.10084   0.5811876   0.3159471
 1278525   210.10100   0.5811851   0.3159466
 1278526   210.10116   0.5811827   0.3159461
 1278527   210.10132   0.5811803   0.3159457
 1278528   210.10148   0.5811779   0.3159452
 1278529   210.10164   0.5811755   0.3159448
 1278530   210.10180   0.5811732   0.3159445
 1278531   210.10196   0.5811709   0.3159442
