   n        time         Cl         Cd
  935415   155.05125   0.6007144   0.2925775
  935416   155.05142   0.6007207   0.2925784
  935417   155.05158   0.6007271   0.2925793
  935418   155.05174   0.6007334   0.2925803
  935419   155.05190   0.6007398   0.2925812
  935420   155.05206   0.6007462   0.2925821
  935421   155.05222   0.6007526   0.2925831
  935422   155.05238   0.6007591   0.2925841
  935423   155.05255   0.6007656   0.2925850
  935424   155.05271   0.6007721   0.2925860
  935425   155.05287   0.6007787   0.2925871
  935426   155.05303   0.6007853   0.2925881
  935427   155.05319   0.6007919   0.2925891
  935428   155.05335   0.6007986   0.2925902
  935429   155.05351   0.6008053   0.2925913
  935430   155.05368   0.6008121   0.2925924
  935431   155.05384   0.6008189   0.2925935
  935432   155.05400   0.6008258   0.2925946
  935433   155.05416   0.6008327   0.2925958
  935434   155.05432   0.6008397   0.2925970
  935435   155.05448   0.6008467   0.2925982
  935436   155.05464   0.6008538   0.2925994
  935437   155.05481   0.6008609   0.2926006
  935438   155.05497   0.6008681   0.2926019
  935439   155.05513   0.6008753   0.2926031
  935440   155.05529   0.6008825   0.2926044
  935441   155.05545   0.6008898   0.2926057
  935442   155.05561   0.6008972   0.2926070
  935443   155.05578   0.6009046   0.2926084
  935444   155.05594   0.6009120   0.2926097
  935445   155.05610   0.6009195   0.2926111
  935446   155.05626   0.6009270   0.2926125
  935447   155.05642   0.6009345   0.2926139
  935448   155.05658   0.6009421   0.2926154
  935449   155.05674   0.6009497   0.2926168
  935450   155.05691   0.6009573   0.2926183
  935451   155.05707   0.6009650   0.2926197
  935452   155.05723   0.6009727   0.2926212
  935453   155.05739   0.6009804   0.2926227
  935454   155.05755   0.6009881   0.2926243
  935455   155.05771   0.6009959   0.2926258
  935456   155.05787   0.6010037   0.2926274
  935457   155.05804   0.6010114   0.2926289
  935458   155.05820   0.6010192   0.2926305
  935459   155.05836   0.6010270   0.2926321
  935460   155.05852   0.6010349   0.2926337
  935461   155.05868   0.6010427   0.2926353
  935462   155.05884   0.6010505   0.2926370
  935463   155.05901   0.6010584   0.2926386
  935464   155.05917   0.6010662   0.2926403
  935465   155.05933   0.6010741   0.2926420
  935466   155.05949   0.6010820   0.2926437
  935467   155.05965   0.6010898   0.2926453
  935468   155.05981   0.6010977   0.2926471
  935469   155.05997   0.6011056   0.2926488
  935470   155.06014   0.6011134   0.2926505
  935471   155.06030   0.6011213   0.2926523
  935472   155.06046   0.6011292   0.2926540
  935473   155.06062   0.6011371   0.2926558
  935474   155.06078   0.6011449   0.2926575
  935475   155.06094   0.6011528   0.2926593
  935476   155.06110   0.6011607   0.2926611
  935477   155.06127   0.6011685   0.2926629
  935478   155.06143   0.6011764   0.2926647
  935479   155.06159   0.6011842   0.2926666
  935480   155.06175   0.6011921   0.2926684
  935481   155.06191   0.6011999   0.2926702
  935482   155.06207   0.6012077   0.2926721
  935483   155.06223   0.6012155   0.2926739
  935484   155.06240   0.6012233   0.2926758
  935485   155.06256   0.6012311   0.2926776
  935486   155.06272   0.6012388   0.2926795
  935487   155.06288   0.6012466   0.2926814
  935488   155.06304   0.6012543   0.2926833
  935489   155.06320   0.6012620   0.2926851
  935490   155.06337   0.6012697   0.2926870
  935491   155.06353   0.6012774   0.2926889
  935492   155.06369   0.6012850   0.2926908
  935493   155.06385   0.6012926   0.2926927
  935494   155.06401   0.6013002   0.2926946
  935495   155.06417   0.6013077   0.2926965
  935496   155.06433   0.6013153   0.2926984
  935497   155.06450   0.6013228   0.2927003
  935498   155.06466   0.6013302   0.2927022
  935499   155.06482   0.6013376   0.2927041
  935500   155.06498   0.6013450   0.2927060
  935501   155.06514   0.6013524   0.2927079
  935502   155.06530   0.6013597   0.2927098
  935503   155.06546   0.6013670   0.2927116
  935504   155.06563   0.6013742   0.2927135
  935505   155.06579   0.6013814   0.2927154
  935506   155.06595   0.6013885   0.2927172
  935507   155.06611   0.6013956   0.2927191
  935508   155.06627   0.6014027   0.2927209
  935509   155.06643   0.6014097   0.2927228
  935510   155.06659   0.6014166   0.2927246
  935511   155.06676   0.6014236   0.2927264
  935512   155.06692   0.6014304   0.2927282
  935513   155.06708   0.6014372   0.2927300
  935514   155.06724   0.6014440   0.2927318
  935515   155.06740   0.6014507   0.2927336
  935516   155.06756   0.6014573   0.2927353
  935517   155.06773   0.6014639   0.2927371
  935518   155.06789   0.6014705   0.2927388
