   n        time         Cl         Cd
  461838    85.04144   0.7638992   0.0241775
  461839    85.04162   0.7639089   0.0241487
  461840    85.04180   0.7639186   0.0241200
  461841    85.04198   0.7639283   0.0240914
  461842    85.04216   0.7639379   0.0240630
  461843    85.04233   0.7639476   0.0240347
  461844    85.04251   0.7639572   0.0240065
  461845    85.04269   0.7639667   0.0239784
  461846    85.04287   0.7639762   0.0239504
  461847    85.04305   0.7639856   0.0239226
  461848    85.04322   0.7639949   0.0238948
  461849    85.04340   0.7640042   0.0238672
  461850    85.04358   0.7640134   0.0238397
  461851    85.04376   0.7640225   0.0238123
  461852    85.04394   0.7640315   0.0237849
  461853    85.04411   0.7640404   0.0237577
  461854    85.04429   0.7640492   0.0237306
  461855    85.04447   0.7640580   0.0237036
  461856    85.04465   0.7640667   0.0236766
  461857    85.04483   0.7640753   0.0236497
  461858    85.04501   0.7640839   0.0236230
  461859    85.04518   0.7640924   0.0235963
  461860    85.04536   0.7641009   0.0235696
  461861    85.04554   0.7641094   0.0235431
  461862    85.04572   0.7641179   0.0235166
  461863    85.04590   0.7641265   0.0234902
  461864    85.04607   0.7641350   0.0234638
  461865    85.04625   0.7641436   0.0234375
  461866    85.04643   0.7641522   0.0234113
  461867    85.04661   0.7641609   0.0233851
  461868    85.04679   0.7641697   0.0233590
  461869    85.04696   0.7641785   0.0233329
  461870    85.04714   0.7641875   0.0233069
  461871    85.04732   0.7641964   0.0232809
  461872    85.04750   0.7642055   0.0232550
  461873    85.04768   0.7642147   0.0232291
  461874    85.04785   0.7642239   0.0232033
  461875    85.04803   0.7642332   0.0231774
  461876    85.04821   0.7642425   0.0231517
  461877    85.04839   0.7642519   0.0231260
  461878    85.04857   0.7642614   0.0231003
  461879    85.04874   0.7642708   0.0230746
  461880    85.04892   0.7642803   0.0230490
  461881    85.04910   0.7642898   0.0230235
  461882    85.04928   0.7642993   0.0229979
  461883    85.04946   0.7643087   0.0229724
  461884    85.04964   0.7643182   0.0229470
  461885    85.04981   0.7643276   0.0229216
  461886    85.04999   0.7643370   0.0228962
  461887    85.05017   0.7643464   0.0228709
  461888    85.05035   0.7643557   0.0228456
  461889    85.05053   0.7643649   0.0228204
  461890    85.05070   0.7643741   0.0227952
  461891    85.05088   0.7643833   0.0227700
  461892    85.05106   0.7643923   0.0227449
  461893    85.05124   0.7644013   0.0227199
  461894    85.05142   0.7644102   0.0226949
  461895    85.05159   0.7644191   0.0226699
  461896    85.05177   0.7644278   0.0226450
  461897    85.05195   0.7644365   0.0226202
  461898    85.05213   0.7644450   0.0225954
  461899    85.05231   0.7644535   0.0225706
  461900    85.05248   0.7644619   0.0225459
  461901    85.05266   0.7644701   0.0225213
  461902    85.05284   0.7644783   0.0224967
  461903    85.05302   0.7644863   0.0224721
  461904    85.05320   0.7644942   0.0224477
  461905    85.05337   0.7645019   0.0224232
  461906    85.05355   0.7645096   0.0223988
  461907    85.05373   0.7645170   0.0223745
  461908    85.05391   0.7645243   0.0223502
  461909    85.05409   0.7645314   0.0223260
  461910    85.05426   0.7645384   0.0223018
  461911    85.05444   0.7645452   0.0222777
