t     p     U
  0.8112527E+02       0.6953400E+00       0.3718162E+00
  0.8125027E+02       0.6951193E+00       0.3723128E+00
  0.8137525E+02       0.6950778E+00       0.3725587E+00
  0.8150023E+02       0.6949436E+00       0.3729010E+00
  0.8162522E+02       0.6949532E+00       0.3730489E+00
  0.8175021E+02       0.6950096E+00       0.3730769E+00
  0.8187518E+02       0.6949465E+00       0.3732349E+00
  0.8200013E+02       0.6951927E+00       0.3730526E+00
  0.8212529E+02       0.6955031E+00       0.3726702E+00
  0.8225028E+02       0.6958929E+00       0.3721668E+00
  0.8237527E+02       0.6960269E+00       0.3718924E+00
  0.8250015E+02       0.6962821E+00       0.3715325E+00
  0.8262528E+02       0.6965814E+00       0.3710722E+00
  0.8275018E+02       0.6967950E+00       0.3706651E+00
  0.8287515E+02       0.6969912E+00       0.3702908E+00
  0.8300018E+02       0.6972216E+00       0.3698682E+00
  0.8312524E+02       0.6973839E+00       0.3695289E+00
  0.8325029E+02       0.6973644E+00       0.3694352E+00
  0.8337514E+02       0.6973230E+00       0.3694430E+00
  0.8350022E+02       0.6972179E+00       0.3695510E+00
  0.8362530E+02       0.6972653E+00       0.3695138E+00
  0.8375025E+02       0.6972849E+00       0.3694988E+00
  0.8387525E+02       0.6973184E+00       0.3694034E+00
  0.8400013E+02       0.6972036E+00       0.3695200E+00
  0.8412518E+02       0.6973525E+00       0.3693381E+00
  0.8425017E+02       0.6973180E+00       0.3693317E+00
  0.8437519E+02       0.6972435E+00       0.3694166E+00
  0.8450028E+02       0.6970090E+00       0.3697199E+00
  0.8462524E+02       0.6969399E+00       0.3698636E+00
  0.8475022E+02       0.6968340E+00       0.3699964E+00
  0.8487521E+02       0.6969286E+00       0.3698925E+00
  0.8500027E+02       0.6968091E+00       0.3699534E+00
  0.8512525E+02       0.6969261E+00       0.3698006E+00
  0.8525014E+02       0.6969545E+00       0.3697149E+00
  0.8537520E+02       0.6967804E+00       0.3698488E+00
  0.8550021E+02       0.6967333E+00       0.3699282E+00
  0.8562519E+02       0.6968136E+00       0.3698001E+00
  0.8575013E+02       0.6969728E+00       0.3695666E+00
  0.8587524E+02       0.6968953E+00       0.3695972E+00
  0.8600028E+02       0.6966944E+00       0.3698217E+00
  0.8612519E+02       0.6965200E+00       0.3701364E+00
  0.8625015E+02       0.6964401E+00       0.3702962E+00
  0.8637527E+02       0.6963003E+00       0.3704736E+00
  0.8650020E+02       0.6960932E+00       0.3707787E+00
  0.8662527E+02       0.6959135E+00       0.3710193E+00
  0.8675018E+02       0.6957814E+00       0.3712741E+00
  0.8687523E+02       0.6958207E+00       0.3713607E+00
  0.8700016E+02       0.6956277E+00       0.3716778E+00
  0.8712526E+02       0.6956948E+00       0.3717148E+00
  0.8725025E+02       0.6959522E+00       0.3714530E+00
  0.8737516E+02       0.6963007E+00       0.3710386E+00
  0.8750024E+02       0.6965886E+00       0.3706242E+00
  0.8762530E+02       0.6966643E+00       0.3704360E+00
  0.8775023E+02       0.6966382E+00       0.3704358E+00
  0.8787523E+02       0.6965839E+00       0.3704467E+00
  0.8800030E+02       0.6968307E+00       0.3701356E+00
  0.8812521E+02       0.6970300E+00       0.3698559E+00
  0.8825019E+02       0.6971208E+00       0.3696838E+00
  0.8837514E+02       0.6971703E+00       0.3696569E+00
  0.8850022E+02       0.6973008E+00       0.3695293E+00
  0.8862516E+02       0.6971058E+00       0.3697595E+00
  0.8875030E+02       0.6967943E+00       0.3701657E+00
  0.8887530E+02       0.6965409E+00       0.3705684E+00
  0.8900013E+02       0.6962849E+00       0.3709575E+00
  0.8912522E+02       0.6960514E+00       0.3714197E+00
  0.8925029E+02       0.6961538E+00       0.3715143E+00
  0.8937517E+02       0.6962601E+00       0.3714587E+00
  0.8950026E+02       0.6962106E+00       0.3714962E+00
  0.8962521E+02       0.6959983E+00       0.3717043E+00
  0.8975020E+02       0.6957408E+00       0.3721165E+00
  0.8987528E+02       0.6957512E+00       0.3722254E+00
  0.9000018E+02       0.6957240E+00       0.3722802E+00
  0.9012527E+02       0.6955208E+00       0.3725883E+00
  0.9025019E+02       0.6954555E+00       0.3727303E+00
  0.9037526E+02       0.6953964E+00       0.3728688E+00
  0.9050028E+02       0.6954854E+00       0.3728147E+00
  0.9062522E+02       0.6955593E+00       0.3726918E+00
  0.9075030E+02       0.6956860E+00       0.3724716E+00
  0.9087519E+02       0.6959852E+00       0.3720385E+00
  0.9100016E+02       0.6963999E+00       0.3714048E+00
  0.9112517E+02       0.6968018E+00       0.3706870E+00
  0.9125024E+02       0.6972059E+00       0.3699470E+00
  0.9137528E+02       0.6976460E+00       0.3690978E+00
  0.9150013E+02       0.6980785E+00       0.3682638E+00
  0.9162530E+02       0.6984300E+00       0.3675512E+00
  0.9175023E+02       0.6988167E+00       0.3668158E+00
  0.9187516E+02       0.6991190E+00       0.3661940E+00
  0.9200023E+02       0.6993555E+00       0.3656583E+00
  0.9212515E+02       0.6995740E+00       0.3651876E+00
  0.9225021E+02       0.7000098E+00       0.3644371E+00
  0.9237524E+02       0.7003716E+00       0.3637218E+00
  0.9250021E+02       0.7007086E+00       0.3630569E+00
  0.9262517E+02       0.7010701E+00       0.3623568E+00
  0.9275021E+02       0.7011277E+00       0.3619849E+00
  0.9287523E+02       0.7008601E+00       0.3621346E+00
  0.9300024E+02       0.7006849E+00       0.3623087E+00
  0.9312527E+02       0.7006337E+00       0.3623684E+00
  0.9325014E+02       0.7003560E+00       0.3626679E+00
  0.9337514E+02       0.7001820E+00       0.3629499E+00
  0.9350030E+02       0.7002724E+00       0.3628735E+00
  0.9362525E+02       0.7001195E+00       0.3630585E+00
  0.9375017E+02       0.6998251E+00       0.3634748E+00
  0.9387520E+02       0.6995913E+00       0.3638875E+00
  0.9400024E+02       0.6994007E+00       0.3641886E+00
  0.9412530E+02       0.6991364E+00       0.3646324E+00
  0.9425019E+02       0.6990131E+00       0.3648490E+00
  0.9437521E+02       0.6987308E+00       0.3652623E+00
  0.9450027E+02       0.6985378E+00       0.3655951E+00
  0.9462529E+02       0.6982755E+00       0.3659975E+00
  0.9475018E+02       0.6983668E+00       0.3660498E+00
  0.9487527E+02       0.6984984E+00       0.3658694E+00
  0.9500029E+02       0.6987401E+00       0.3655094E+00
  0.9512513E+02       0.6990525E+00       0.3649886E+00
  0.9525015E+02       0.6992266E+00       0.3645416E+00
  0.9537514E+02       0.6993852E+00       0.3642803E+00
  0.9550024E+02       0.6997846E+00       0.3636220E+00
  0.9562523E+02       0.6998125E+00       0.3633228E+00
  0.9575019E+02       0.6997812E+00       0.3632625E+00
  0.9587530E+02       0.6996007E+00       0.3634372E+00
  0.9600024E+02       0.6995305E+00       0.3635476E+00
  0.9612529E+02       0.6994657E+00       0.3635645E+00
  0.9625028E+02       0.6991697E+00       0.3639257E+00
  0.9637528E+02       0.6987755E+00       0.3645303E+00
  0.9650027E+02       0.6983469E+00       0.3652496E+00
  0.9662514E+02       0.6978277E+00       0.3661138E+00
  0.9675022E+02       0.6975782E+00       0.3667224E+00
  0.9687526E+02       0.6972485E+00       0.3673078E+00
  0.9700029E+02       0.6968481E+00       0.3680924E+00
  0.9712514E+02       0.6966049E+00       0.3686560E+00
  0.9725014E+02       0.6964114E+00       0.3691216E+00
  0.9737515E+02       0.6960114E+00       0.3698311E+00
  0.9750029E+02       0.6957940E+00       0.3704073E+00
  0.9762526E+02       0.6956720E+00       0.3708637E+00
  0.9775022E+02       0.6959093E+00       0.3708172E+00
  0.9787522E+02       0.6960756E+00       0.3707526E+00
  0.9800025E+02       0.6960815E+00       0.3707973E+00
  0.9812516E+02       0.6961169E+00       0.3708354E+00
  0.9825026E+02       0.6962740E+00       0.3707304E+00
  0.9837527E+02       0.6962382E+00       0.3707326E+00
  0.9850023E+02       0.6961912E+00       0.3708884E+00
  0.9862522E+02       0.6959480E+00       0.3713041E+00
  0.9875022E+02       0.6956010E+00       0.3719527E+00
  0.9887521E+02       0.6952806E+00       0.3726326E+00
  0.9900021E+02       0.6949143E+00       0.3733096E+00
  0.9912520E+02       0.6949321E+00       0.3735834E+00
  0.9925023E+02       0.6947240E+00       0.3739876E+00
  0.9937520E+02       0.6948190E+00       0.3740360E+00
  0.9950014E+02       0.6949293E+00       0.3739637E+00
  0.9962524E+02       0.6951197E+00       0.3737947E+00
  0.9975018E+02       0.6953993E+00       0.3734637E+00
  0.9987530E+02       0.6955642E+00       0.3731198E+00
  0.1000003E+03       0.6955073E+00       0.3730988E+00
  0.1001252E+03       0.6954513E+00       0.3731390E+00
  0.1002502E+03       0.6955345E+00       0.3730473E+00
  0.1003751E+03       0.6955015E+00       0.3731293E+00
  0.1005002E+03       0.6955923E+00       0.3730632E+00
  0.1006252E+03       0.6957780E+00       0.3727714E+00
  0.1007503E+03       0.6960986E+00       0.3722915E+00
  0.1008753E+03       0.6960627E+00       0.3722523E+00
  0.1010003E+03       0.6961504E+00       0.3721149E+00
  0.1011252E+03       0.6960242E+00       0.3722505E+00
  0.1012503E+03       0.6961420E+00       0.3721270E+00
  0.1013752E+03       0.6960416E+00       0.3721863E+00
  0.1015003E+03       0.6957414E+00       0.3725655E+00
  0.1016252E+03       0.6957377E+00       0.3727315E+00
  0.1017502E+03       0.6958891E+00       0.3726221E+00
  0.1018752E+03       0.6959387E+00       0.3726003E+00
  0.1020002E+03       0.6958851E+00       0.3727019E+00
  0.1021252E+03       0.6956398E+00       0.3730044E+00
  0.1022503E+03       0.6955122E+00       0.3732327E+00
  0.1023752E+03       0.6953160E+00       0.3735391E+00
  0.1025003E+03       0.6952084E+00       0.3738068E+00
  0.1026252E+03       0.6949766E+00       0.3741301E+00
  0.1027502E+03       0.6946967E+00       0.3746414E+00
  0.1028751E+03       0.6944594E+00       0.3751554E+00
  0.1030003E+03       0.6944887E+00       0.3752220E+00
  0.1031252E+03       0.6941882E+00       0.3756007E+00
  0.1032502E+03       0.6939367E+00       0.3760287E+00
  0.1033751E+03       0.6939335E+00       0.3760824E+00
  0.1035002E+03       0.6938406E+00       0.3762136E+00
  0.1036252E+03       0.6937608E+00       0.3763354E+00
  0.1037502E+03       0.6935287E+00       0.3765968E+00
  0.1038751E+03       0.6933708E+00       0.3768300E+00
  0.1040003E+03       0.6934114E+00       0.3767997E+00
  0.1041252E+03       0.6935543E+00       0.3766036E+00
  0.1042503E+03       0.6937370E+00       0.3762645E+00
  0.1043752E+03       0.6938984E+00       0.3759967E+00
  0.1045002E+03       0.6942595E+00       0.3754964E+00
  0.1046253E+03       0.6943961E+00       0.3751519E+00
  0.1047502E+03       0.6944017E+00       0.3750741E+00
  0.1048753E+03       0.6944672E+00       0.3749691E+00
  0.1050002E+03       0.6945947E+00       0.3747649E+00
  0.1051252E+03       0.6945458E+00       0.3747641E+00
  0.1052502E+03       0.6944702E+00       0.3748534E+00
  0.1053752E+03       0.6943099E+00       0.3750640E+00
  0.1055003E+03       0.6941534E+00       0.3752975E+00
  0.1056252E+03       0.6940447E+00       0.3755132E+00
  0.1057502E+03       0.6938901E+00       0.3758128E+00
  0.1058752E+03       0.6939465E+00       0.3759021E+00
  0.1060003E+03       0.6940086E+00       0.3759211E+00
  0.1061252E+03       0.6942935E+00       0.3756607E+00
  0.1062502E+03       0.6945027E+00       0.3754101E+00
  0.1063752E+03       0.6947302E+00       0.3750727E+00
  0.1065002E+03       0.6947226E+00       0.3750199E+00
  0.1066252E+03       0.6948912E+00       0.3748113E+00
  0.1067503E+03       0.6951145E+00       0.3744582E+00
  0.1068752E+03       0.6952450E+00       0.3741821E+00
  0.1070003E+03       0.6952903E+00       0.3740232E+00
  0.1071253E+03       0.6954354E+00       0.3737560E+00
  0.1072503E+03       0.6955551E+00       0.3735112E+00
  0.1073751E+03       0.6956738E+00       0.3732568E+00
  0.1075002E+03       0.6956575E+00       0.3731657E+00
  0.1076251E+03       0.6957002E+00       0.3730439E+00
  0.1077503E+03       0.6957129E+00       0.3729154E+00
  0.1078752E+03       0.6957530E+00       0.3728147E+00
  0.1080003E+03       0.6956544E+00       0.3728585E+00
  0.1081252E+03       0.6957062E+00       0.3727715E+00
  0.1082502E+03       0.6955958E+00       0.3729055E+00
  0.1083752E+03       0.6955141E+00       0.3730589E+00
  0.1085003E+03       0.6954845E+00       0.3731435E+00
  0.1086252E+03       0.6954477E+00       0.3732294E+00
  0.1087502E+03       0.6954765E+00       0.3732244E+00
  0.1088753E+03       0.6955544E+00       0.3731186E+00
  0.1090001E+03       0.6957188E+00       0.3729023E+00
  0.1091252E+03       0.6958078E+00       0.3727600E+00
  0.1092502E+03       0.6958321E+00       0.3726972E+00
  0.1093752E+03       0.6959180E+00       0.3725769E+00
  0.1095001E+03       0.6960299E+00       0.3724032E+00
  0.1096252E+03       0.6959993E+00       0.3723898E+00
  0.1097503E+03       0.6960517E+00       0.3723175E+00
  0.1098752E+03       0.6960986E+00       0.3722365E+00
  0.1100002E+03       0.6960995E+00       0.3721909E+00
  0.1101252E+03       0.6960605E+00       0.3722170E+00
  0.1102503E+03       0.6960735E+00       0.3722176E+00
  0.1103752E+03       0.6960582E+00       0.3722319E+00
  0.1105001E+03       0.6960114E+00       0.3722894E+00
  0.1106252E+03       0.6959883E+00       0.3723064E+00
  0.1107502E+03       0.6958588E+00       0.3724544E+00
  0.1108752E+03       0.6958804E+00       0.3724457E+00
  0.1110002E+03       0.6959749E+00       0.3723326E+00
  0.1111252E+03       0.6959937E+00       0.3722568E+00
  0.1112502E+03       0.6960016E+00       0.3722039E+00
  0.1113752E+03       0.6960365E+00       0.3721377E+00
  0.1115002E+03       0.6961334E+00       0.3719628E+00
  0.1116252E+03       0.6962041E+00       0.3717967E+00
  0.1117503E+03       0.6961771E+00       0.3717368E+00
  0.1118752E+03       0.6962157E+00       0.3716789E+00
  0.1120002E+03       0.6962512E+00       0.3716244E+00
  0.1121253E+03       0.6962823E+00       0.3715725E+00
  0.1122501E+03       0.6962697E+00       0.3715759E+00
  0.1123752E+03       0.6963851E+00       0.3714250E+00
  0.1125002E+03       0.6965733E+00       0.3711388E+00
  0.1126251E+03       0.6967981E+00       0.3708256E+00
  0.1127502E+03       0.6968552E+00       0.3706540E+00
  0.1128751E+03       0.6968727E+00       0.3705721E+00
  0.1130002E+03       0.6970580E+00       0.3703030E+00
  0.1131253E+03       0.6972158E+00       0.3700432E+00
  0.1132502E+03       0.6971983E+00       0.3699857E+00
  0.1133752E+03       0.6971923E+00       0.3699667E+00
  0.1135002E+03       0.6971860E+00       0.3699670E+00
  0.1136252E+03       0.6971517E+00       0.3700295E+00
  0.1137503E+03       0.6971198E+00       0.3700567E+00
  0.1138752E+03       0.6972150E+00       0.3699285E+00
  0.1140002E+03       0.6971725E+00       0.3699362E+00
  0.1141253E+03       0.6970218E+00       0.3701008E+00
  0.1142502E+03       0.6969251E+00       0.3703029E+00
  0.1143753E+03       0.6968337E+00       0.3704855E+00
  0.1145003E+03       0.6967378E+00       0.3706795E+00
  0.1146253E+03       0.6966131E+00       0.3709089E+00
  0.1147502E+03       0.6965354E+00       0.3710760E+00
  0.1148752E+03       0.6965001E+00       0.3712144E+00
  0.1150002E+03       0.6964746E+00       0.3713171E+00
  0.1151253E+03       0.6964806E+00       0.3713183E+00
  0.1152502E+03       0.6964665E+00       0.3713717E+00
  0.1153752E+03       0.6965653E+00       0.3712879E+00
  0.1155002E+03       0.6966305E+00       0.3711854E+00
  0.1156253E+03       0.6966016E+00       0.3712082E+00
  0.1157502E+03       0.6964717E+00       0.3713647E+00
  0.1158752E+03       0.6962619E+00       0.3716680E+00
  0.1160002E+03       0.6960239E+00       0.3720247E+00
  0.1161253E+03       0.6958302E+00       0.3723554E+00
  0.1162502E+03       0.6956531E+00       0.3726823E+00
  0.1163752E+03       0.6952679E+00       0.3733325E+00
  0.1165001E+03       0.6948248E+00       0.3740538E+00
  0.1166252E+03       0.6943948E+00       0.3749384E+00
  0.1167503E+03       0.6946355E+00       0.3749103E+00
  0.1168753E+03       0.6945515E+00       0.3751622E+00
  0.1170003E+03       0.6944745E+00       0.3753741E+00
  0.1171251E+03       0.6943510E+00       0.3756581E+00
  0.1172503E+03       0.6941726E+00       0.3760186E+00
  0.1173752E+03       0.6939930E+00       0.3763278E+00
  0.1175002E+03       0.6938379E+00       0.3766903E+00
  0.1176253E+03       0.6937577E+00       0.3769131E+00
  0.1177502E+03       0.6937305E+00       0.3770707E+00
  0.1178751E+03       0.6938243E+00       0.3770733E+00
  0.1180002E+03       0.6939080E+00       0.3769792E+00
  0.1181253E+03       0.6939403E+00       0.3769424E+00
  0.1182502E+03       0.6941838E+00       0.3766351E+00
  0.1183753E+03       0.6942089E+00       0.3764359E+00
  0.1185002E+03       0.6944565E+00       0.3761577E+00
  0.1186252E+03       0.6947042E+00       0.3757459E+00
  0.1187502E+03       0.6948854E+00       0.3754169E+00
  0.1188752E+03       0.6948528E+00       0.3753627E+00
  0.1190002E+03       0.6948264E+00       0.3753312E+00
  0.1191252E+03       0.6946984E+00       0.3754456E+00
  0.1192503E+03       0.6945621E+00       0.3755908E+00
  0.1193752E+03       0.6943345E+00       0.3758706E+00
  0.1195002E+03       0.6941232E+00       0.3762191E+00
  0.1196253E+03       0.6942117E+00       0.3762083E+00
  0.1197502E+03       0.6942983E+00       0.3761223E+00
  0.1198753E+03       0.6942474E+00       0.3761880E+00
