t       rho1       u1       v1       w1       p1       rho2       u2       v2       w2       p2       rho3       u3       v3       w3       p3       rho4       u4       v4       w4       p4       rho5       u5       v5       w5       p5       rho6       u6       v6       w6       p6       rho7       u7       v7       w7       p7       rho8       u8       v8       w8       p8       rho9       u9       v9       w9       p9
  1.2131270E+02         9.2971700E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6408867E-01         9.2903972E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6360372E-01         9.3267608E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6615903E-01         9.5310992E-01         4.4395247E-01         1.3347237E-01        -7.4030347E-02         6.6778255E-01         9.5213038E-01         2.5880492E-01         1.9915867E-01        -8.6520277E-02         6.7924267E-01         9.4955844E-01         1.7870325E-01         1.1378568E-02         7.2307391E-03         6.7745072E-01         9.6018589E-01         2.1382219E-01         5.3607583E-02        -1.2774524E-01         6.9150460E-01         9.4831890E-01         4.0577024E-01        -4.7870368E-02         2.0838393E-02         6.7095822E-01         9.5656449E-01         3.8125783E-01         5.7905808E-02         5.3857204E-02         6.7895144E-01
  1.2132830E+02         9.2861408E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6330093E-01         9.3362719E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6687530E-01         9.3392962E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6709274E-01         9.5655000E-01         4.6101588E-01         1.3154303E-01         2.0319236E-02         6.6957629E-01         9.6616310E-01         2.6423082E-01         1.8835995E-01        -6.4759307E-02         6.8764007E-01         9.4422305E-01         1.8489727E-01         2.3550970E-02        -1.9033410E-02         6.7578453E-01         9.6497315E-01         2.4500591E-01         4.3559648E-02        -5.7531428E-02         6.9143319E-01         9.4433981E-01         3.6627710E-01        -2.8618805E-02         3.3082772E-02         6.7012560E-01         9.5232594E-01         4.0657285E-01         1.0300310E-01         3.3149723E-02         6.7637444E-01
  1.2134390E+02         9.2747778E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6248816E-01         9.3590462E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6850436E-01         9.3465406E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6762143E-01         9.2630696E-01         2.4870645E-01         2.8674737E-01         3.0868143E-02         6.6061842E-01         9.7592002E-01         3.0375013E-01         1.5522991E-01        -3.1742793E-02         6.8847382E-01         9.4293869E-01         1.6536546E-01         3.0417748E-02        -2.8719189E-02         6.7589241E-01         9.7319502E-01         2.6829347E-01         4.1657116E-02        -2.4711115E-02         6.9141895E-01         9.4126081E-01         2.9295516E-01         3.5298437E-02         4.7042061E-02         6.7093790E-01         9.4528216E-01         4.1045761E-01         1.2809080E-01        -1.0567181E-03         6.7268902E-01
  1.2135950E+02         9.2649859E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6178763E-01         9.3558180E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6827983E-01         9.3479449E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6773343E-01         9.3410558E-01         2.4398385E-01         2.6018170E-01         4.9317837E-02         6.5606272E-01         9.7335154E-01         3.1607535E-01         1.4561376E-01        -3.4944694E-02         6.8789321E-01         9.4482613E-01         1.2408275E-01         2.7737552E-02        -2.4841405E-02         6.7637628E-01         9.7698724E-01         2.7990398E-01         4.6522591E-02        -3.3639520E-02         6.9086760E-01         9.4103009E-01         2.2515722E-01         9.5518902E-02         5.5140160E-02         6.7148876E-01         9.4429046E-01         4.0733221E-01         1.1108024E-01         4.7529861E-02         6.6915822E-01
  1.2137520E+02         9.2570806E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6122204E-01         9.3423170E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6732085E-01         9.3620175E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6873884E-01         9.1813505E-01         3.7064037E-01         2.7465948E-01         5.4065060E-02         6.4772820E-01         9.6939880E-01         3.3336952E-01         1.2839584E-01        -4.9664170E-02         6.8644536E-01         9.4845837E-01         9.1206528E-02         3.3898856E-02        -2.4931930E-02         6.7710274E-01         9.7759354E-01         2.8781617E-01         5.2244388E-02        -4.4183813E-02         6.9053870E-01         9.4004595E-01         1.9285238E-01         1.2586020E-01         6.2607326E-02         6.7048520E-01         9.5118707E-01         3.6709931E-01         1.1056964E-01         1.4254366E-01         6.6985905E-01
  1.2139080E+02         9.2530924E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6093606E-01         9.3185854E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6563922E-01         9.4018149E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7152047E-01         9.0858382E-01         1.9322933E-01         2.9003385E-01        -9.5551215E-02         6.4807320E-01         9.6909356E-01         3.5275277E-01         1.2146543E-01        -4.4313878E-02         6.8417329E-01         9.5183897E-01         8.2577199E-02         5.5372242E-02        -2.8145388E-02         6.7837727E-01         9.7671092E-01         2.9620862E-01         4.3829944E-02        -3.7756350E-02         6.8997222E-01         9.3613058E-01         1.7410176E-01         1.5748540E-01         6.7425556E-02         6.6839224E-01         9.5783699E-01         3.5909840E-01         1.1604649E-01         1.5020384E-01         6.7579854E-01
  1.2140640E+02         9.2505753E-01        -5.5511151E-17         0.0000000E+00         0.0000000E+00         6.6075402E-01         9.2844141E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6320032E-01         9.3858778E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.7055273E-01         9.3524808E-01        -1.1295149E-02         2.2843225E-01        -2.1647635E-01         6.5455532E-01         9.6722871E-01         3.7199789E-01         1.3570303E-01        -4.2093415E-02         6.8117023E-01         9.5434135E-01         8.8037960E-02         7.8305587E-02        -1.8297298E-02         6.8066031E-01         9.7273183E-01         2.9632089E-01         3.0892834E-02        -3.2626096E-02         6.8891156E-01         9.3064159E-01         1.5602316E-01         2.0066479E-01         4.9091883E-02         6.6672391E-01         9.6022552E-01         3.9177921E-01         1.0985564E-01         7.9049394E-02         6.7846870E-01
  1.2142200E+02         9.2479616E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6056979E-01         9.2491519E-01         0.0000000E+00         1.3877788E-17         0.0000000E+00         6.6067922E-01         9.3436038E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6751361E-01         9.3818009E-01         3.5889305E-02         1.8823041E-01        -2.1827084E-01         6.5915984E-01         9.6413529E-01         3.5979804E-01         1.6075575E-01        -4.8540559E-02         6.7953521E-01         9.5405084E-01         1.0022421E-01         8.0058582E-02         7.2912425E-03         6.8120611E-01         9.7112250E-01         2.9622966E-01         7.1028830E-03        -4.3825705E-02         6.8764615E-01         9.2775667E-01         1.4519510E-01         2.0560002E-01        -1.9550957E-02         6.6662562E-01         9.6006185E-01         4.1166350E-01         1.1176878E-01         1.8101936E-02         6.7662072E-01
  1.2143770E+02         9.2438364E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6027486E-01         9.2288554E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5919983E-01         9.3082619E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6489440E-01         9.3741500E-01         5.9264358E-02         1.9121787E-01        -2.0204841E-01         6.6205770E-01         9.6391469E-01         3.1794825E-01         1.8538296E-01        -3.9126009E-02         6.8058223E-01         9.5335960E-01         8.4783375E-02         6.6596039E-02         2.1989662E-02         6.8018156E-01         9.6742076E-01         2.9552105E-01        -7.5340085E-03        -3.6858466E-02         6.8475938E-01         9.3293953E-01         1.5736912E-01         1.7075653E-01        -1.0158465E-01         6.6986716E-01         9.5610130E-01         3.9704028E-01         1.1787400E-01         9.3624601E-03         6.7533147E-01
  1.2145330E+02         9.2405653E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6004103E-01         9.2208099E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.5862328E-01         9.2953718E-01         0.0000000E+00         0.0000000E+00         0.0000000E+00         6.6395295E-01         9.3279010E-01         7.7690512E-02         8.9246720E-02        -1.3464217E-01         6.6208804E-01         9.6509027E-01         2.2224447E-01         2.0960920E-01        -2.8512439E-02         6.8177742E-01         9.5568156E-01         5.6039404E-02         7.9149418E-02         2.2933852E-02         6.8106359E-01         9.5906043E-01         2.9447785E-01         6.9232644E-03        -1.3996943E-02         6.8162304E-01         9.4384766E-01         1.9119224E-01         1.4165857E-01        -1.1853692E-01         6.7740959E-01         9.5434320E-01         3.6911654E-01         1.0362105E-01         4.8155814E-02         6.7517632E-01
