x0	T1	x1	T2	x2	T3	x3	T4	
-2.503640e-01 	 4.197620e-04 	-2.503640e-01 	 7.185970e-03 	-2.503640e-01 	 3.251280e-04 	-2.503640e-01 	 -2.561570e-03 	 
-2.460060e-01 	 4.646650e-04 	-2.460060e-01 	 6.850090e-03 	-2.460060e-01 	 3.835400e-04 	-2.460060e-01 	 -2.619410e-03 	 
-2.416130e-01 	 7.015940e-04 	-2.416130e-01 	 6.400570e-03 	-2.416130e-01 	 5.558980e-04 	-2.416130e-01 	 -2.718750e-03 	 
-2.371850e-01 	 7.985220e-04 	-2.371850e-01 	 6.162160e-03 	-2.371850e-01 	 7.488470e-04 	-2.371850e-01 	 -2.832870e-03 	 
-2.327210e-01 	 7.300800e-04 	-2.327210e-01 	 6.022180e-03 	-2.327210e-01 	 7.912110e-04 	-2.327210e-01 	 -2.932810e-03 	 
-2.282240e-01 	 6.703950e-04 	-2.282240e-01 	 5.765990e-03 	-2.282240e-01 	 5.429440e-04 	-2.282240e-01 	 -2.957730e-03 	 
-2.236930e-01 	 5.222390e-04 	-2.236930e-01 	 5.571570e-03 	-2.236930e-01 	 1.850940e-04 	-2.236930e-01 	 -2.909950e-03 	 
-2.191290e-01 	 1.858430e-04 	-2.191290e-01 	 5.536700e-03 	-2.191290e-01 	 2.034550e-05 	-2.191290e-01 	 -2.882190e-03 	 
-2.145320e-01 	 -1.218640e-04 	-2.145320e-01 	 5.388920e-03 	-2.145320e-01 	 2.666430e-05 	-2.145320e-01 	 -2.911210e-03 	 
-2.099030e-01 	 -1.316340e-04 	-2.099030e-01 	 5.085970e-03 	-2.099030e-01 	 2.548450e-06 	-2.099030e-01 	 -2.944320e-03 	 
-2.052420e-01 	 2.438350e-05 	-2.052420e-01 	 4.869760e-03 	-2.052420e-01 	 1.741270e-05 	-2.052420e-01 	 -2.953420e-03 	 
-2.005510e-01 	 -2.993440e-05 	-2.005510e-01 	 4.723810e-03 	-2.005510e-01 	 2.564610e-04 	-2.005510e-01 	 -2.964780e-03 	 
-1.958300e-01 	 -3.045240e-04 	-1.958300e-01 	 4.538630e-03 	-1.958300e-01 	 5.496060e-04 	-1.958300e-01 	 -2.984560e-03 	 
-1.910790e-01 	 -4.985510e-04 	-1.910790e-01 	 4.411950e-03 	-1.910790e-01 	 5.714710e-04 	-1.910790e-01 	 -3.006070e-03 	 
-1.862980e-01 	 -5.248540e-04 	-1.862980e-01 	 4.267750e-03 	-1.862980e-01 	 3.746470e-04 	-1.862980e-01 	 -3.051180e-03 	 
-1.814900e-01 	 -5.469660e-04 	-1.814900e-01 	 3.905050e-03 	-1.814900e-01 	 1.735870e-04 	-1.814900e-01 	 -3.101100e-03 	 
-1.766530e-01 	 -6.899870e-04 	-1.766530e-01 	 3.529870e-03 	-1.766530e-01 	 -1.017200e-04 	-1.766530e-01 	 -3.093150e-03 	 
-1.717900e-01 	 -8.813000e-04 	-1.717900e-01 	 3.415040e-03 	-1.717900e-01 	 -4.711170e-04 	-1.717900e-01 	 -3.035380e-03 	 
-1.669000e-01 	 -9.625420e-04 	-1.669000e-01 	 3.375910e-03 	-1.669000e-01 	 -7.041310e-04 	-1.669000e-01 	 -2.995760e-03 	 
-1.619840e-01 	 -9.622740e-04 	-1.619840e-01 	 3.178850e-03 	-1.619840e-01 	 -7.972160e-04 	-1.619840e-01 	 -3.003030e-03 	 
-1.570420e-01 	 -1.008660e-03 	-1.570420e-01 	 2.933150e-03 	-1.570420e-01 	 -9.105420e-04 	-1.570420e-01 	 -3.054070e-03 	 
-1.520760e-01 	 -1.061310e-03 	-1.520760e-01 	 2.778510e-03 	-1.520760e-01 	 -9.718240e-04 	-1.520760e-01 	 -3.126080e-03 	 
-1.470860e-01 	 -1.071700e-03 	-1.470860e-01 	 2.683340e-03 	-1.470860e-01 	 -9.229370e-04 	-1.470860e-01 	 -3.191890e-03 	 
-1.420730e-01 	 -1.099100e-03 	-1.420730e-01 	 2.620630e-03 	-1.420730e-01 	 -8.876700e-04 	-1.420730e-01 	 -3.265090e-03 	 
-1.370380e-01 	 -1.144090e-03 	-1.370380e-01 	 2.597610e-03 	-1.370380e-01 	 -9.044760e-04 	-1.370380e-01 	 -3.343550e-03 	 
-1.319800e-01 	 -1.166300e-03 	-1.319800e-01 	 2.573920e-03 	-1.319800e-01 	 -9.295160e-04 	-1.319800e-01 	 -3.371740e-03 	 
-1.269020e-01 	 -1.147290e-03 	-1.269020e-01 	 2.468280e-03 	-1.269020e-01 	 -1.007810e-03 	-1.269020e-01 	 -3.357710e-03 	 
-1.218020e-01 	 -1.053350e-03 	-1.218020e-01 	 2.246870e-03 	-1.218020e-01 	 -1.146810e-03 	-1.218020e-01 	 -3.369100e-03 	 
-1.166830e-01 	 -9.190710e-04 	-1.166830e-01 	 1.958760e-03 	-1.166830e-01 	 -1.204550e-03 	-1.166830e-01 	 -3.403200e-03 	 
-1.115450e-01 	 -8.101260e-04 	-1.115450e-01 	 1.684930e-03 	-1.115450e-01 	 -1.138590e-03 	-1.115450e-01 	 -3.406420e-03 	 
-1.063890e-01 	 -6.668740e-04 	-1.063890e-01 	 1.482280e-03 	-1.063890e-01 	 -1.151640e-03 	-1.063890e-01 	 -3.362810e-03 	 
-1.012150e-01 	 -4.201590e-04 	-1.012150e-01 	 1.371990e-03 	-1.012150e-01 	 -1.333080e-03 	-1.012150e-01 	 -3.297170e-03 	 
-9.602400e-02 	 -1.566790e-04 	-9.602400e-02 	 1.326420e-03 	-9.602400e-02 	 -1.435400e-03 	-9.602400e-02 	 -3.238970e-03 	 
-9.081690e-02 	 -4.299050e-05 	-9.081690e-02 	 1.269890e-03 	-9.081690e-02 	 -1.319930e-03 	-9.081690e-02 	 -3.196670e-03 	 
-8.559430e-02 	 -1.695460e-04 	-8.559430e-02 	 1.123530e-03 	-8.559430e-02 	 -1.228650e-03 	-8.559430e-02 	 -3.141230e-03 	 
-8.035700e-02 	 -4.400130e-04 	-8.035700e-02 	 9.041550e-04 	-8.035700e-02 	 -1.323510e-03 	-8.035700e-02 	 -3.066200e-03 	 
-7.510580e-02 	 -6.829720e-04 	-7.510580e-02 	 7.421360e-04 	-7.510580e-02 	 -1.397540e-03 	-7.510580e-02 	 -2.997380e-03 	 
-6.984130e-02 	 -8.959340e-04 	-6.984130e-02 	 7.239050e-04 	-6.984130e-02 	 -1.324620e-03 	-6.984130e-02 	 -2.915910e-03 	 
-6.456440e-02 	 -1.094880e-03 	-6.456440e-02 	 7.528190e-04 	-6.456440e-02 	 -1.368630e-03 	-6.456440e-02 	 -2.805780e-03 	 
-5.927580e-02 	 -1.137440e-03 	-5.927580e-02 	 7.271590e-04 	-5.927580e-02 	 -1.699810e-03 	-5.927580e-02 	 -2.702990e-03 	 
-5.397620e-02 	 -1.029300e-03 	-5.397620e-02 	 6.746090e-04 	-5.397620e-02 	 -2.045840e-03 	-5.397620e-02 	 -2.626370e-03 	 
-4.866640e-02 	 -1.005740e-03 	-4.866640e-02 	 5.844930e-04 	-4.866640e-02 	 -2.130860e-03 	-4.866640e-02 	 -2.543120e-03 	 
-4.334710e-02 	 -1.156500e-03 	-4.334710e-02 	 4.325190e-04 	-4.334710e-02 	 -1.994270e-03 	-4.334710e-02 	 -2.436870e-03 	 
-3.801920e-02 	 -1.313960e-03 	-3.801920e-02 	 3.138080e-04 	-3.801920e-02 	 -1.771140e-03 	-3.801920e-02 	 -2.348890e-03 	 
-3.268340e-02 	 -1.317000e-03 	-3.268340e-02 	 2.455670e-04 	-3.268340e-02 	 -1.575340e-03 	-3.268340e-02 	 -2.313670e-03 	 
-2.734040e-02 	 -1.226360e-03 	-2.734040e-02 	 1.207510e-04 	-2.734040e-02 	 -1.478760e-03 	-2.734040e-02 	 -2.308730e-03 	 
-2.199110e-02 	 -1.184700e-03 	-2.199110e-02 	 -2.359350e-05 	-2.199110e-02 	 -1.420720e-03 	-2.199110e-02 	 -2.286390e-03 	 
-1.663620e-02 	 -1.151110e-03 	-1.663620e-02 	 -8.092280e-05 	-1.663620e-02 	 -1.327040e-03 	-1.663620e-02 	 -2.201760e-03 	 
-1.127640e-02 	 -1.015810e-03 	-1.127640e-02 	 -1.119480e-04 	-1.127640e-02 	 -1.247130e-03 	-1.127640e-02 	 -2.049290e-03 	 
-5.912670e-03 	 -8.343500e-04 	-5.912670e-03 	 -2.513730e-04 	-5.912670e-03 	 -1.206700e-03 	-5.912670e-03 	 -1.889800e-03 	 
-5.456540e-04 	 -7.192090e-04 	-5.456540e-04 	 -5.168770e-04 	-5.456540e-04 	 -1.165080e-03 	-5.456540e-04 	 -1.789500e-03 	 
4.823840e-03 	 -7.073860e-04 	4.823840e-03 	 -7.400170e-04 	4.823840e-03 	 -1.188360e-03 	4.823840e-03 	 -1.742490e-03 	 
1.019500e-02 	 -7.712170e-04 	1.019500e-02 	 -6.483850e-04 	1.019500e-02 	 -1.353870e-03 	1.019500e-02 	 -1.706800e-03 	 
1.556710e-02 	 -8.069740e-04 	1.556710e-02 	 -2.535690e-04 	1.556710e-02 	 -1.526000e-03 	1.556710e-02 	 -1.666960e-03 	 
2.093940e-02 	 -7.487010e-04 	2.093940e-02 	 3.739430e-05 	2.093940e-02 	 -1.531540e-03 	2.093940e-02 	 -1.631030e-03 	 
2.631100e-02 	 -7.186260e-04 	2.631100e-02 	 4.474890e-05 	2.631100e-02 	 -1.422910e-03 	2.631100e-02 	 -1.601500e-03 	 
3.168110e-02 	 -8.444280e-04 	3.168110e-02 	 -6.747250e-06 	3.168110e-02 	 -1.295790e-03 	3.168110e-02 	 -1.561240e-03 	 
3.704900e-02 	 -1.051130e-03 	3.704900e-02 	 -3.510120e-05 	3.704900e-02 	 -1.119290e-03 	3.704900e-02 	 -1.498640e-03 	 
